Loading cached latent encoders from pretrained/atc/presslight/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_atc_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:1049.444572748268, q_loss:100, rewards:-244.27124, queue:85.183334, delay:0.6733624, throughput:565
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.7182441, throughput:1172
REAL_TEST step:6, travel time:295.9287321830458, q_loss:100, rewards:-88.579185, queue:66.005554, delay:0.838517, throughput:1209
REAL_TEST step:8, travel time:289.6374531835206, q_loss:100, rewards:-86.47946, queue:42.93611, delay:0.61322397, throughput:1175
REAL_TEST step:10, travel time:290.97752808988764, q_loss:100, rewards:-86.99476, queue:64.022224, delay:0.8135954, throughput:1174
REAL_TEST step:12, travel time:291.0067415730337, q_loss:100, rewards:-86.996704, queue:64.01945, delay:0.78581417, throughput:1174
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:25.202778, delay:0.42080495, throughput:1172
REAL_TEST step:16, travel time:155.417104276069, q_loss:100, rewards:-36.075283, queue:12.266666, delay:0.73107934, throughput:1277
REAL_TEST step:18, travel time:334.8424606151538, q_loss:100, rewards:-103.819725, queue:65.272224, delay:0.734853, throughput:1169
REAL_TEST step:20, travel time:161.10352588147038, q_loss:100, rewards:-38.497517, queue:14.95, delay:0.81593376, throughput:1272
REAL_TEST step:22, travel time:150.55612244897958, q_loss:100, rewards:-35.3125, queue:9.452778, delay:0.53452283, throughput:1317
REAL_TEST step:24, travel time:154.75843960990247, q_loss:100, rewards:-36.095848, queue:11.402778, delay:0.6683286, throughput:1276
REAL_TEST step:26, travel time:153.31582895723932, q_loss:100, rewards:-35.386097, queue:11.402778, delay:0.6542021, throughput:1277
REAL_TEST step:28, travel time:162.92798199549887, q_loss:100, rewards:-39.18972, queue:9.8527775, delay:0.52121794, throughput:1276
REAL_TEST step:30, travel time:849.6389830508475, q_loss:100, rewards:-265.7692, queue:181.96945, delay:0.8760043, throughput:718
