Loading cached latent encoders from pretrained/darla/presslight/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_darla_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:2452.770893371758, q_loss:100, rewards:-472.24765, queue:471.82492, delay:4.46621, throughput:57
REAL_TEST step:4, travel time:193.1251830161054, q_loss:100, rewards:-51.766125, queue:53.300972, delay:4.475785, throughput:1282
REAL_TEST step:6, travel time:226.7243920412675, q_loss:100, rewards:-64.172775, queue:62.37519, delay:4.1265745, throughput:1227
REAL_TEST step:8, travel time:237.9933920704846, q_loss:100, rewards:-68.7189, queue:69.05639, delay:4.3989263, throughput:1225
REAL_TEST step:10, travel time:210.93284132841328, q_loss:100, rewards:-58.08504, queue:56.27101, delay:4.5748734, throughput:1245
REAL_TEST step:12, travel time:183.7481804949054, q_loss:100, rewards:-48.4753, queue:49.716022, delay:4.3982925, throughput:1286
REAL_TEST step:14, travel time:201.66226138032306, q_loss:100, rewards:-54.827778, queue:54.266663, delay:4.3720145, throughput:1266
REAL_TEST step:16, travel time:155.3323678493845, q_loss:100, rewards:-37.69528, queue:39.850346, delay:4.3226357, throughput:1329
REAL_TEST step:18, travel time:201.66911225238445, q_loss:100, rewards:-54.986954, queue:57.441196, delay:4.4275775, throughput:1258
REAL_TEST step:20, travel time:170.50801749271136, q_loss:100, rewards:-43.1925, queue:44.743423, delay:4.4148555, throughput:1313
REAL_TEST step:22, travel time:147.69365426695842, q_loss:100, rewards:-34.434998, queue:38.173393, delay:4.454744, throughput:1314
REAL_TEST step:24, travel time:152.02704678362574, q_loss:100, rewards:-35.973064, queue:38.61353, delay:4.3211875, throughput:1308
REAL_TEST step:26, travel time:149.87737226277372, q_loss:100, rewards:-35.257492, queue:38.295982, delay:4.5005393, throughput:1314
REAL_TEST step:28, travel time:154.20325203252034, q_loss:100, rewards:-36.36555, queue:38.603737, delay:4.4112215, throughput:1297
REAL_TEST step:30, travel time:149.24618736383442, q_loss:100, rewards:-35.2736, queue:36.385307, delay:4.381544, throughput:1322
REAL_TEST step:32, travel time:153.01754385964912, q_loss:100, rewards:-36.32916, queue:40.46907, delay:4.6119385, throughput:1312
REAL_TEST step:34, travel time:152.08296622613804, q_loss:100, rewards:-35.860832, queue:39.35306, delay:4.413661, throughput:1303
REAL_TEST step:36, travel time:148.81100651701666, q_loss:100, rewards:-35.0725, queue:38.998257, delay:4.2508245, throughput:1323
REAL_TEST step:38, travel time:151.9662261380323, q_loss:100, rewards:-35.804157, queue:37.738914, delay:4.1052065, throughput:1307
REAL_TEST step:40, travel time:152.36350470673426, q_loss:100, rewards:-36.48418, queue:38.669903, delay:4.3864408, throughput:1323
REAL_TEST step:42, travel time:144.98624185372918, q_loss:100, rewards:-33.639996, queue:37.68075, delay:4.225423, throughput:1330
REAL_TEST step:44, travel time:158.7509130752374, q_loss:100, rewards:-38.545822, queue:40.97512, delay:4.392474, throughput:1307
REAL_TEST step:46, travel time:153.84449404761904, q_loss:100, rewards:-35.922768, queue:39.586525, delay:4.265987, throughput:1288
REAL_TEST step:48, travel time:162.51147298297556, q_loss:100, rewards:-39.36305, queue:39.718407, delay:4.6500554, throughput:1295
REAL_TEST step:50, travel time:161.2862398822664, q_loss:100, rewards:-39.17193, queue:40.423748, delay:4.7091527, throughput:1304
REAL_TEST step:52, travel time:166.19701492537314, q_loss:100, rewards:-40.332767, queue:40.458225, delay:4.4543614, throughput:1283
REAL_TEST step:54, travel time:163.47754491017963, q_loss:100, rewards:-39.202496, queue:41.3331, delay:4.356059, throughput:1280
REAL_TEST step:56, travel time:171.5402985074627, q_loss:100, rewards:-42.38723, queue:42.060688, delay:4.479482, throughput:1273
REAL_TEST step:58, travel time:187.5399853264857, q_loss:100, rewards:-49.25252, queue:47.567528, delay:4.560082, throughput:1297
REAL_TEST step:60, travel time:163.64836795252225, q_loss:100, rewards:-39.697495, queue:41.779636, delay:4.5680327, throughput:1289
REAL_TEST step:62, travel time:174.84263959390864, q_loss:100, rewards:-44.99194, queue:45.81431, delay:4.521809, throughput:1323
REAL_TEST step:64, travel time:157.26937002172338, q_loss:100, rewards:-38.426674, queue:39.782654, delay:4.6228185, throughput:1326
REAL_TEST step:66, travel time:161.71325126719768, q_loss:100, rewards:-39.994164, queue:42.852974, delay:4.2672606, throughput:1328
REAL_TEST step:68, travel time:158.91383055756697, q_loss:100, rewards:-38.94888, queue:41.380424, delay:4.4116807, throughput:1326
REAL_TEST step:70, travel time:189.76176683562636, q_loss:100, rewards:-50.81222, queue:48.525677, delay:4.5267663, throughput:1315
REAL_TEST step:72, travel time:157.29109341057205, q_loss:100, rewards:-38.26028, queue:40.90479, delay:4.3987665, throughput:1324
REAL_TEST step:74, travel time:167.6480811006517, q_loss:100, rewards:-42.280277, queue:43.074604, delay:4.560327, throughput:1326
REAL_TEST step:76, travel time:1517.1527313266445, q_loss:100, rewards:-374.0176, queue:371.88577, delay:4.3669367, throughput:256
REAL_TEST step:78, travel time:2499.416543574594, q_loss:100, rewards:-469.70294, queue:468.39343, delay:4.503763, throughput:35
REAL_TEST step:80, travel time:689.7491856677525, q_loss:100, rewards:-225.4485, queue:222.67732, delay:4.445963, throughput:605
REAL_TEST step:82, travel time:2199.113543091655, q_loss:100, rewards:-445.25418, queue:443.13034, delay:4.337553, throughput:90
REAL_TEST step:84, travel time:2049.3730366492146, q_loss:100, rewards:-433.1169, queue:430.62344, delay:4.3706665, throughput:123
REAL_TEST step:86, travel time:1151.5117878192534, q_loss:100, rewards:-319.58325, queue:317.90005, delay:4.395724, throughput:379
REAL_TEST step:88, travel time:962.3633879781421, q_loss:100, rewards:-286.18893, queue:282.24252, delay:4.4124928, throughput:457
REAL_TEST step:90, travel time:1410.8032432432433, q_loss:100, rewards:-357.9812, queue:355.37595, delay:4.7739544, throughput:284
REAL_TEST step:92, travel time:2231.010989010989, q_loss:100, rewards:-449.95035, queue:448.51718, delay:4.342137, throughput:86
REAL_TEST step:94, travel time:2428.2430858806406, q_loss:100, rewards:-462.84906, queue:459.79874, delay:4.452103, throughput:46
REAL_TEST step:96, travel time:2541.0209267563528, q_loss:100, rewards:-471.98352, queue:469.5653, delay:4.7684913, throughput:28
REAL_TEST step:98, travel time:2678.678516228748, q_loss:100, rewards:-481.55542, queue:480.1753, delay:4.5747275, throughput:5
REAL_TEST step:100, travel time:2573.125, q_loss:100, rewards:-474.46292, queue:473.6001, delay:4.491986, throughput:23
REAL_TEST step:102, travel time:2116.541333333333, q_loss:100, rewards:-439.4161, queue:436.34393, delay:4.5639114, throughput:108
REAL_TEST step:104, travel time:2665.743076923077, q_loss:100, rewards:-481.4121, queue:477.3241, delay:4.674634, throughput:8
REAL_TEST step:106, travel time:2675.2546296296296, q_loss:100, rewards:-481.6618, queue:479.4183, delay:4.429032, throughput:6
REAL_TEST step:108, travel time:2417.8263386396525, q_loss:100, rewards:-463.51657, queue:461.15576, delay:4.5172477, throughput:50
REAL_TEST step:110, travel time:2075.1651254953763, q_loss:100, rewards:-434.6908, queue:430.36746, delay:4.382546, throughput:116
REAL_TEST step:112, travel time:2678.724884080371, q_loss:100, rewards:-481.56268, queue:480.4559, delay:4.370772, throughput:5
REAL_TEST step:114, travel time:2391.891930835735, q_loss:100, rewards:-460.43567, queue:457.5904, delay:4.4803424, throughput:53
REAL_TEST step:116, travel time:2674.121913580247, q_loss:100, rewards:-481.46268, queue:480.13602, delay:4.6556554, throughput:6
REAL_TEST step:118, travel time:2668.773497688752, q_loss:100, rewards:-481.21625, queue:480.63998, delay:4.6196446, throughput:7
REAL_TEST step:120, travel time:2652.3522205206737, q_loss:100, rewards:-481.17072, queue:478.8655, delay:4.384672, throughput:11
REAL_TEST step:122, travel time:2510.5712166172107, q_loss:100, rewards:-469.74628, queue:469.1919, delay:4.533252, throughput:33
REAL_TEST step:124, travel time:2662.464615384615, q_loss:100, rewards:-480.81403, queue:479.425, delay:4.7333474, throughput:7
REAL_TEST step:126, travel time:2679.4621329211745, q_loss:100, rewards:-481.6946, queue:481.84695, delay:4.6065083, throughput:5
REAL_TEST step:128, travel time:2679.4420401854713, q_loss:100, rewards:-481.69183, queue:482.06827, delay:4.616075, throughput:5
REAL_TEST step:130, travel time:2665.6553846153847, q_loss:100, rewards:-481.3965, queue:478.37964, delay:4.505378, throughput:8
REAL_TEST step:132, travel time:2380.426934097421, q_loss:100, rewards:-460.83176, queue:458.25342, delay:4.4700184, throughput:57
REAL_TEST step:134, travel time:2679.454404945904, q_loss:100, rewards:-481.69376, queue:482.75803, delay:4.4569683, throughput:5
REAL_TEST step:136, travel time:2484.910294117647, q_loss:100, rewards:-469.01212, queue:465.89502, delay:4.1424365, throughput:39
REAL_TEST step:138, travel time:2526.24739195231, q_loss:100, rewards:-470.61407, queue:468.5089, delay:4.6632686, throughput:30
REAL_TEST step:140, travel time:2679.7341576506956, q_loss:100, rewards:-481.74374, queue:482.6916, delay:4.551612, throughput:5
REAL_TEST step:142, travel time:2231.758953168044, q_loss:100, rewards:-448.92477, queue:447.30112, delay:4.588825, throughput:85
REAL_TEST step:144, travel time:2268.702364394993, q_loss:100, rewards:-452.07977, queue:449.7205, delay:4.5698895, throughput:77
REAL_TEST step:146, travel time:2516.688427299703, q_loss:100, rewards:-470.88907, queue:470.02484, delay:4.5212264, throughput:32
REAL_TEST step:148, travel time:2014.0038910505837, q_loss:100, rewards:-429.4691, queue:429.74915, delay:4.5755057, throughput:128
REAL_TEST step:150, travel time:2389.186513629842, q_loss:100, rewards:-461.90598, queue:460.10724, delay:4.309382, throughput:55
REAL_TEST step:152, travel time:2670.3081664098613, q_loss:100, rewards:-481.51236, queue:480.08533, delay:4.362153, throughput:7
REAL_TEST step:154, travel time:2643.743119266055, q_loss:100, rewards:-480.31818, queue:477.99802, delay:4.317017, throughput:12
REAL_TEST step:156, travel time:2669.664098613251, q_loss:100, rewards:-481.396, queue:480.139, delay:4.813832, throughput:7
REAL_TEST step:158, travel time:2533.925149700599, q_loss:100, rewards:-469.97296, queue:471.7477, delay:4.482098, throughput:27
REAL_TEST step:160, travel time:2132.911528150134, q_loss:100, rewards:-440.5211, queue:438.35092, delay:4.751158, throughput:103
REAL_TEST step:162, travel time:2529.8223880597016, q_loss:100, rewards:-470.59714, queue:470.4219, delay:4.5776696, throughput:29
REAL_TEST step:164, travel time:2540.2769461077846, q_loss:100, rewards:-471.15018, queue:469.66943, delay:4.5492663, throughput:27
REAL_TEST step:166, travel time:2246.703601108033, q_loss:100, rewards:-449.49756, queue:447.3078, delay:4.6152782, throughput:81
REAL_TEST step:168, travel time:2659.5130568356376, q_loss:100, rewards:-481.00598, queue:480.27078, delay:4.466416, throughput:9
REAL_TEST step:170, travel time:2652.4708588957055, q_loss:100, rewards:-480.4671, queue:479.89374, delay:4.609192, throughput:10
REAL_TEST step:172, travel time:2573.1581325301204, q_loss:100, rewards:-474.47183, queue:470.9265, delay:4.6954727, throughput:23
REAL_TEST step:174, travel time:2381.608633093525, q_loss:100, rewards:-459.11707, queue:457.95404, delay:4.409464, throughput:54
REAL_TEST step:176, travel time:2270.4958217270196, q_loss:100, rewards:-451.79562, queue:452.819, delay:4.680206, throughput:77
REAL_TEST step:178, travel time:2384.3836206896553, q_loss:100, rewards:-460.30878, queue:456.09015, delay:4.6208324, throughput:55
REAL_TEST step:180, travel time:2693.159937888199, q_loss:100, rewards:-481.95157, queue:480.77722, delay:4.6616955, throughput:2
REAL_TEST step:182, travel time:2214.7400275103164, q_loss:100, rewards:-446.06198, queue:443.35507, delay:4.6784687, throughput:86
REAL_TEST step:184, travel time:2120.6395193591457, q_loss:100, rewards:-439.713, queue:437.11603, delay:4.484485, throughput:106
REAL_TEST step:186, travel time:2678.7434312210203, q_loss:100, rewards:-481.56683, queue:479.58575, delay:4.4520383, throughput:5
REAL_TEST step:188, travel time:2693.159937888199, q_loss:100, rewards:-481.95157, queue:480.28436, delay:4.4397907, throughput:2
REAL_TEST step:190, travel time:2679.4729520865535, q_loss:100, rewards:-481.69678, queue:481.01123, delay:4.423305, throughput:5
REAL_TEST step:192, travel time:2612.4109589041095, q_loss:100, rewards:-476.7274, queue:477.41583, delay:4.4948735, throughput:16
REAL_TEST step:194, travel time:2693.159937888199, q_loss:100, rewards:-481.95157, queue:480.7433, delay:4.4184036, throughput:2
REAL_TEST step:196, travel time:2441.8737300435414, q_loss:100, rewards:-466.79822, queue:464.68884, delay:4.574096, throughput:47
REAL_TEST step:198, travel time:2529.46884272997, q_loss:100, rewards:-473.24155, queue:472.47205, delay:4.653443, throughput:32
Total time taken: 864.2283313274384
