replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_domain_randomization_s0/model/bullhead_1_noise5_presslight_domain_randomization -> eval real_setting=dz20
REAL_TEST step:3, travel time:1049.444572748268, q_loss:100, rewards:-244.27124, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:6, travel time:283.76457725947523, q_loss:100, rewards:-86.33277, queue:62.744446, delay:0.7993881, throughput:1212
REAL_TEST step:9, travel time:272.9044170890659, q_loss:100, rewards:-83.12779, queue:60.086113, delay:0.6967328, throughput:1225
REAL_TEST step:12, travel time:272.84793627805936, q_loss:100, rewards:-83.10611, queue:60.058334, delay:0.69479007, throughput:1225
REAL_TEST step:15, travel time:272.84793627805936, q_loss:100, rewards:-83.10611, queue:60.058334, delay:0.69479007, throughput:1225
REAL_TEST step:18, travel time:272.84793627805936, q_loss:100, rewards:-83.10611, queue:60.058334, delay:0.69479007, throughput:1225
REAL_TEST step:21, travel time:274.13975380159303, q_loss:100, rewards:-83.64114, queue:60.58889, delay:0.72481763, throughput:1223
REAL_TEST step:24, travel time:162.39505247376312, q_loss:100, rewards:-38.778057, queue:14.966666, delay:0.83806527, throughput:1275
REAL_TEST step:27, travel time:160.89647411852962, q_loss:100, rewards:-38.206387, queue:14.291667, delay:0.7914244, throughput:1274
REAL_TEST step:30, travel time:159.66991747936984, q_loss:100, rewards:-37.819725, queue:14.080556, delay:0.80648226, throughput:1273
REAL_TEST step:33, travel time:155.43060765191296, q_loss:100, rewards:-36.200825, queue:12.638889, delay:0.7751993, throughput:1279
REAL_TEST step:36, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:39, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:42, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:45, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:48, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:51, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:54, travel time:152.79294823705928, q_loss:100, rewards:-35.363888, queue:11.869445, delay:0.7749321, throughput:1278
REAL_TEST step:57, travel time:207.11102775693922, q_loss:100, rewards:-55.644993, queue:32.291668, delay:0.8121504, throughput:1238
REAL_TEST step:60, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:63, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:66, travel time:239.84021005251313, q_loss:100, rewards:-67.79835, queue:44.666668, delay:0.7886274, throughput:1212
REAL_TEST step:69, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:72, travel time:291.5704647676162, q_loss:100, rewards:-87.13532, queue:64.16111, delay:0.8135949, throughput:1173
REAL_TEST step:75, travel time:290.5434131736527, q_loss:100, rewards:-86.89392, queue:63.919445, delay:0.8004608, throughput:1175
REAL_TEST step:78, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:81, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:84, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:87, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:90, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:93, travel time:294.24644194756553, q_loss:100, rewards:-87.900566, queue:64.922226, delay:0.8578202, throughput:1172
