replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_domain_randomization_s0/model/bullhead_1_noise5_presslight_domain_randomization -> eval real_setting=sensor50
REAL_TEST step:3, travel time:1049.444572748268, q_loss:100, rewards:-244.27124, queue:10.694445, delay:0.59169203, throughput:565
REAL_TEST step:6, travel time:390.2389513108614, q_loss:100, rewards:-124.9795, queue:7.383333, delay:0.3758854, throughput:1097
REAL_TEST step:9, travel time:277.13034033309197, q_loss:100, rewards:-84.80864, queue:2.3444445, delay:0.32197008, throughput:1222
REAL_TEST step:12, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:33.288887, delay:0.081873864, throughput:1172
REAL_TEST step:15, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:4.9055557, delay:0.3867378, throughput:1172
REAL_TEST step:18, travel time:273.2455089820359, q_loss:100, rewards:-80.42449, queue:57.122223, delay:0.77805114, throughput:1195
REAL_TEST step:21, travel time:254.63690922730683, q_loss:100, rewards:-73.31422, queue:11.116667, delay:0.42056075, throughput:1208
REAL_TEST step:24, travel time:233.94858797972483, q_loss:100, rewards:-68.05779, queue:11.230556, delay:0.6423766, throughput:1259
REAL_TEST step:27, travel time:209.63015753938484, q_loss:100, rewards:-56.57527, queue:2.1805556, delay:0.20004408, throughput:1236
REAL_TEST step:30, travel time:265.9377344336084, q_loss:100, rewards:-77.50917, queue:10.427778, delay:0.23392686, throughput:1200
REAL_TEST step:33, travel time:156.774943735934, q_loss:100, rewards:-36.638046, queue:10.936111, delay:0.56354296, throughput:1274
REAL_TEST step:36, travel time:291.36834208552136, q_loss:100, rewards:-86.98504, queue:30.708334, delay:0.6619428, throughput:1176
REAL_TEST step:39, travel time:210.01647940074906, q_loss:100, rewards:-56.680546, queue:10.663889, delay:0.5533288, throughput:1238
REAL_TEST step:42, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:53.586113, delay:0.2859595, throughput:1172
REAL_TEST step:45, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.65719324, throughput:1172
REAL_TEST step:48, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:43.983334, delay:0.7185448, throughput:1172
REAL_TEST step:51, travel time:1107.8706140350878, q_loss:100, rewards:-272.28503, queue:19.452778, delay:0.32658058, throughput:558
REAL_TEST step:54, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.33920828, throughput:1172
REAL_TEST step:57, travel time:356.7846961740435, q_loss:100, rewards:-111.965614, queue:31.705555, delay:0.40856218, throughput:1193
REAL_TEST step:60, travel time:252.74868717179294, q_loss:100, rewards:-72.564766, queue:20.0, delay:0.50442576, throughput:1226
REAL_TEST step:63, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.3256633, throughput:1172
REAL_TEST step:66, travel time:240.28882220555138, q_loss:100, rewards:-67.921135, queue:10.7, delay:0.53109854, throughput:1213
REAL_TEST step:69, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.31098405, throughput:1172
REAL_TEST step:72, travel time:248.380059970015, q_loss:100, rewards:-71.01639, queue:27.438889, delay:0.7031635, throughput:1219
REAL_TEST step:75, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:59.375, delay:0.48838666, throughput:1172
REAL_TEST step:78, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:10.694445, delay:0.6502156, throughput:1172
REAL_TEST step:81, travel time:272.7338028169014, q_loss:100, rewards:-85.431145, queue:28.875, delay:0.59981644, throughput:1269
REAL_TEST step:84, travel time:158.8927231807952, q_loss:100, rewards:-37.682507, queue:9.125, delay:0.44093865, throughput:1275
REAL_TEST step:87, travel time:324.4553638409602, q_loss:100, rewards:-99.52416, queue:71.41944, delay:0.5158384, throughput:1222
REAL_TEST step:90, travel time:254.6496624156039, q_loss:100, rewards:-73.29696, queue:22.975, delay:0.34770775, throughput:1218
REAL_TEST step:93, travel time:164.44569288389513, q_loss:100, rewards:-39.77694, queue:15.980556, delay:0.68748873, throughput:1275
REAL_TEST step:96, travel time:237.49512378094525, q_loss:100, rewards:-66.92919, queue:18.408333, delay:0.41452315, throughput:1223
REAL_TEST step:99, travel time:387.8991784914115, q_loss:100, rewards:-124.19271, queue:77.111115, delay:0.6855746, throughput:1175
REAL_TEST step:102, travel time:236.84396099024755, q_loss:100, rewards:-66.70142, queue:13.025, delay:0.5948374, throughput:1215
REAL_TEST step:105, travel time:235.91672918229557, q_loss:100, rewards:-66.367516, queue:15.880555, delay:0.38512653, throughput:1212
REAL_TEST step:108, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:0.0, delay:0.13678087, throughput:1172
REAL_TEST step:111, travel time:375.41616766467064, q_loss:100, rewards:-119.3353, queue:62.144444, delay:0.40665644, throughput:1186
REAL_TEST step:114, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:4.9055557, delay:0.2642251, throughput:1172
REAL_TEST step:117, travel time:235.225056264066, q_loss:100, rewards:-66.08502, queue:16.688889, delay:0.41460893, throughput:1227
REAL_TEST step:120, travel time:432.95280898876405, q_loss:100, rewards:-140.22672, queue:37.22778, delay:0.6427974, throughput:1137
REAL_TEST step:123, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:0.0, delay:0.13678087, throughput:1172
REAL_TEST step:126, travel time:285.12303075768943, q_loss:100, rewards:-84.676956, queue:54.586113, delay:0.4748209, throughput:1176
REAL_TEST step:129, travel time:218.31357839459864, q_loss:100, rewards:-59.9375, queue:16.505556, delay:0.221683, throughput:1254
REAL_TEST step:132, travel time:285.8792198049512, q_loss:100, rewards:-84.96838, queue:5.788889, delay:0.26404542, throughput:1175
REAL_TEST step:135, travel time:254.7674418604651, q_loss:100, rewards:-73.321396, queue:19.569445, delay:0.16590178, throughput:1213
REAL_TEST step:138, travel time:186.2595648912228, q_loss:100, rewards:-47.838585, queue:3.8277779, delay:0.11140146, throughput:1263
REAL_TEST step:141, travel time:165.43810952738184, q_loss:100, rewards:-40.112766, queue:11.563889, delay:0.4269564, throughput:1273
REAL_TEST step:144, travel time:234.97299324831206, q_loss:100, rewards:-65.99529, queue:17.480556, delay:0.469444, throughput:1224
REAL_TEST step:147, travel time:219.19729932483122, q_loss:100, rewards:-60.094177, queue:31.788889, delay:0.5944097, throughput:1251
REAL_TEST step:150, travel time:235.00300075018754, q_loss:100, rewards:-66.047516, queue:42.794445, delay:0.80670273, throughput:1208
REAL_TEST step:153, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:10.694445, delay:0.6502156, throughput:1172
REAL_TEST step:156, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.31098405, throughput:1172
REAL_TEST step:159, travel time:154.70442610652663, q_loss:100, rewards:-36.07279, queue:6.1694446, delay:0.41791436, throughput:1276
REAL_TEST step:162, travel time:253.30307576894222, q_loss:100, rewards:-72.771706, queue:25.883333, delay:0.47490713, throughput:1226
REAL_TEST step:165, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:10.694445, delay:0.6502156, throughput:1172
REAL_TEST step:168, travel time:284.22130532633156, q_loss:100, rewards:-84.34032, queue:10.705556, delay:0.5749234, throughput:1175
REAL_TEST step:171, travel time:228.32633158289573, q_loss:100, rewards:-63.494755, queue:13.094444, delay:0.33115166, throughput:1235
REAL_TEST step:174, travel time:156.23405851462866, q_loss:100, rewards:-36.44112, queue:6.411111, delay:0.47173733, throughput:1279
REAL_TEST step:177, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.33920828, throughput:1172
REAL_TEST step:180, travel time:186.13503375843962, q_loss:100, rewards:-47.67582, queue:22.347221, delay:0.6618245, throughput:1266
REAL_TEST step:183, travel time:367.69917479369843, q_loss:100, rewards:-116.66967, queue:34.627777, delay:0.3683241, throughput:1163
REAL_TEST step:186, travel time:212.1695423855964, q_loss:100, rewards:-57.52366, queue:3.0972223, delay:0.095071726, throughput:1235
REAL_TEST step:189, travel time:362.80495123780946, q_loss:100, rewards:-114.561104, queue:27.133333, delay:0.15988988, throughput:1187
REAL_TEST step:192, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:10.694445, delay:0.57448596, throughput:1172
REAL_TEST step:195, travel time:241.35783945986498, q_loss:100, rewards:-68.18329, queue:6.038889, delay:0.3719916, throughput:1212
REAL_TEST step:198, travel time:273.258064516129, q_loss:100, rewards:-80.21921, queue:30.966667, delay:0.45628875, throughput:1205
REAL_TEST step:201, travel time:244.71042760690173, q_loss:100, rewards:-69.60722, queue:20.677778, delay:0.46932915, throughput:1219
REAL_TEST step:204, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.6567824, throughput:1172
REAL_TEST step:207, travel time:245.39759939984995, q_loss:100, rewards:-69.86003, queue:20.980556, delay:0.46987617, throughput:1223
REAL_TEST step:210, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.37244585, throughput:1172
REAL_TEST step:213, travel time:257.6046852122987, q_loss:100, rewards:-76.429726, queue:53.175, delay:0.7310787, throughput:1217
REAL_TEST step:216, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:59.375, delay:0.5494375, throughput:1172
REAL_TEST step:219, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.7526119, throughput:1172
REAL_TEST step:222, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.2499332, throughput:1172
REAL_TEST step:225, travel time:248.5753938484621, q_loss:100, rewards:-71.098366, queue:47.908333, delay:0.72436684, throughput:1195
REAL_TEST step:228, travel time:288.26106526631656, q_loss:100, rewards:-87.42808, queue:31.372223, delay:0.5814586, throughput:1134
REAL_TEST step:231, travel time:245.76444111027757, q_loss:100, rewards:-70.04974, queue:36.163887, delay:0.3059169, throughput:1200
REAL_TEST step:234, travel time:156.4688672168042, q_loss:100, rewards:-36.755825, queue:6.486111, delay:0.43461356, throughput:1277
REAL_TEST step:237, travel time:238.8642160540135, q_loss:100, rewards:-67.686935, queue:39.26389, delay:0.5419824, throughput:1243
REAL_TEST step:240, travel time:248.7404351087772, q_loss:100, rewards:-71.1092, queue:26.572222, delay:0.6578065, throughput:1216
REAL_TEST step:243, travel time:166.65491372843212, q_loss:100, rewards:-40.571125, queue:15.630555, delay:0.5801858, throughput:1271
REAL_TEST step:246, travel time:253.12153038259564, q_loss:100, rewards:-72.79332, queue:43.841667, delay:0.41249275, throughput:1190
REAL_TEST step:249, travel time:372.97524381095275, q_loss:100, rewards:-118.010925, queue:43.45, delay:0.48582008, throughput:1191
REAL_TEST step:252, travel time:176.3435858964741, q_loss:100, rewards:-44.15915, queue:14.797222, delay:0.49940392, throughput:1270
REAL_TEST step:255, travel time:255.67340823970036, q_loss:100, rewards:-73.854164, queue:45.033333, delay:0.55203146, throughput:1190
REAL_TEST step:258, travel time:491.9745508982036, q_loss:100, rewards:-165.03612, queue:19.713888, delay:0.38629073, throughput:1055
REAL_TEST step:261, travel time:165.84246061515378, q_loss:100, rewards:-40.263874, queue:4.5416665, delay:0.12243402, throughput:1270
REAL_TEST step:264, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:4.9055557, delay:0.4002828, throughput:1172
REAL_TEST step:267, travel time:135.99344023323616, q_loss:100, rewards:-29.882498, queue:0.38333333, delay:0.1385404, throughput:1324
REAL_TEST step:270, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.60927564, throughput:1172
REAL_TEST step:273, travel time:284.2325581395349, q_loss:100, rewards:-84.348366, queue:4.9083333, delay:0.26434064, throughput:1175
REAL_TEST step:276, travel time:310.2687125748503, q_loss:100, rewards:-93.97669, queue:3.0416667, delay:0.13807376, throughput:1166
REAL_TEST step:279, travel time:256.20284431137725, q_loss:100, rewards:-74.12004, queue:45.586113, delay:0.49191773, throughput:1191
REAL_TEST step:282, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.311395, throughput:1172
REAL_TEST step:285, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:38.194443, delay:0.40756044, throughput:1172
REAL_TEST step:288, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.4002592, throughput:1172
REAL_TEST step:291, travel time:236.85917602996255, q_loss:100, rewards:-66.729454, queue:14.861111, delay:0.22615509, throughput:1256
REAL_TEST step:294, travel time:257.09902475618907, q_loss:100, rewards:-74.27225, queue:46.275, delay:0.47392213, throughput:1188
REAL_TEST step:297, travel time:291.5704647676162, q_loss:100, rewards:-87.13532, queue:38.958332, delay:0.4542517, throughput:1173
Total time taken: 341.74452924728394
