Loading cached latent encoders from pretrained/lusr/presslight/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_lusr_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:4, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:8, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:10, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:12, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:16, travel time:231.14853713428357, q_loss:100, rewards:-64.56946, queue:41.269444, delay:0.82358646, throughput:1227
REAL_TEST step:18, travel time:205.00750187546888, q_loss:100, rewards:-54.848328, queue:31.497223, delay:0.79519916, throughput:1238
REAL_TEST step:20, travel time:218.46136534133532, q_loss:100, rewards:-59.864723, queue:36.511112, delay:0.82373935, throughput:1231
REAL_TEST step:22, travel time:211.60690172543136, q_loss:100, rewards:-57.31308, queue:33.927776, delay:0.82301384, throughput:1236
REAL_TEST step:24, travel time:208.17854463615905, q_loss:100, rewards:-56.03725, queue:32.65278, delay:0.8117629, throughput:1236
REAL_TEST step:26, travel time:212.40510127531883, q_loss:100, rewards:-57.610836, queue:34.225, delay:0.82330215, throughput:1236
REAL_TEST step:28, travel time:196.96399099774945, q_loss:100, rewards:-51.866108, queue:28.383333, delay:0.7977773, throughput:1254
REAL_TEST step:30, travel time:240.2550637659415, q_loss:100, rewards:-67.95529, queue:44.833332, delay:0.78946984, throughput:1211
REAL_TEST step:32, travel time:207.50037509377344, q_loss:100, rewards:-55.77749, queue:32.416668, delay:0.80857474, throughput:1238
REAL_TEST step:34, travel time:1016.5691609977324, q_loss:100, rewards:-240.62129, queue:226.31111, delay:0.8369166, throughput:579
REAL_TEST step:36, travel time:161.22355588897224, q_loss:100, rewards:-38.387787, queue:14.566667, delay:0.80081695, throughput:1273
REAL_TEST step:38, travel time:936.4383860414395, q_loss:100, rewards:-229.42378, queue:214.59445, delay:0.8343319, throughput:613
REAL_TEST step:40, travel time:167.38034508627157, q_loss:100, rewards:-40.76362, queue:16.755556, delay:0.822206, throughput:1268
REAL_TEST step:42, travel time:241.423855963991, q_loss:100, rewards:-68.400314, queue:45.255554, delay:0.79796547, throughput:1212
REAL_TEST step:44, travel time:161.43360840210053, q_loss:100, rewards:-38.574173, queue:14.869445, delay:0.80663383, throughput:1275
REAL_TEST step:46, travel time:171.2550637659415, q_loss:100, rewards:-42.37695, queue:18.602777, delay:0.81772393, throughput:1263
REAL_TEST step:48, travel time:203.1807951987997, q_loss:100, rewards:-54.218887, queue:30.527779, delay:0.8461279, throughput:1255
REAL_TEST step:50, travel time:1721.6313309776208, q_loss:100, rewards:-402.64484, queue:393.59445, delay:0.77021855, throughput:213
REAL_TEST step:52, travel time:196.83870967741936, q_loss:100, rewards:-51.82971, queue:28.1, delay:0.8487248, throughput:1262
REAL_TEST step:54, travel time:180.5018754688672, q_loss:100, rewards:-45.69139, queue:21.822222, delay:0.8436552, throughput:1264
REAL_TEST step:56, travel time:763.630260521042, q_loss:100, rewards:-200.99178, queue:184.84445, delay:0.83096087, throughput:695
REAL_TEST step:58, travel time:193.23480870217554, q_loss:100, rewards:-50.47805, queue:26.733334, delay:0.84615874, throughput:1261
REAL_TEST step:60, travel time:241.30157539384845, q_loss:100, rewards:-68.35558, queue:45.211113, delay:0.79826313, throughput:1211
REAL_TEST step:62, travel time:884.577659574468, q_loss:100, rewards:-221.4204, queue:206.2111, delay:0.83335596, throughput:636
REAL_TEST step:64, travel time:218.81995498874718, q_loss:100, rewards:-60.10696, queue:36.666668, delay:0.85052127, throughput:1249
REAL_TEST step:66, travel time:240.19129782445611, q_loss:100, rewards:-67.93197, queue:44.797222, delay:0.7876958, throughput:1213
REAL_TEST step:68, travel time:207.93398349587397, q_loss:100, rewards:-55.944992, queue:32.558334, delay:0.8105854, throughput:1236
REAL_TEST step:70, travel time:211.20555138784695, q_loss:100, rewards:-57.172237, queue:33.78611, delay:0.82122767, throughput:1235
REAL_TEST step:72, travel time:205.9444861215304, q_loss:100, rewards:-55.182785, queue:31.816668, delay:0.79261476, throughput:1238
REAL_TEST step:74, travel time:176.15678919729933, q_loss:100, rewards:-44.060547, queue:20.480556, delay:0.8015966, throughput:1269
REAL_TEST step:76, travel time:173.15978994748687, q_loss:100, rewards:-42.966408, queue:19.383333, delay:0.7982174, throughput:1269
REAL_TEST step:78, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:80, travel time:247.3278319579895, q_loss:100, rewards:-70.6003, queue:47.458332, delay:0.81472564, throughput:1208
REAL_TEST step:82, travel time:164.11552888222056, q_loss:100, rewards:-39.725, queue:16.05, delay:0.80829984, throughput:1272
REAL_TEST step:84, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:86, travel time:1967.3172588832488, q_loss:100, rewards:-428.31857, queue:420.3278, delay:0.7684141, throughput:153
REAL_TEST step:88, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:90, travel time:181.80420105026258, q_loss:100, rewards:-46.1903, queue:22.708334, delay:0.799004, throughput:1266
REAL_TEST step:92, travel time:174.4516129032258, q_loss:100, rewards:-43.469723, queue:19.963888, delay:0.8126311, throughput:1270
REAL_TEST step:94, travel time:208.87621905476368, q_loss:100, rewards:-56.30501, queue:32.922222, delay:0.8148552, throughput:1236
REAL_TEST step:96, travel time:160.0247376311844, q_loss:100, rewards:-38.113342, queue:14.530556, delay:0.8109599, throughput:1275
REAL_TEST step:98, travel time:159.35933983495875, q_loss:100, rewards:-37.86833, queue:14.302778, delay:0.8068841, throughput:1273
REAL_TEST step:100, travel time:200.52288072018004, q_loss:100, rewards:-53.161945, queue:29.777779, delay:0.8024154, throughput:1239
REAL_TEST step:102, travel time:160.7139753801593, q_loss:100, rewards:-39.79723, queue:15.969444, delay:0.68887585, throughput:1322
REAL_TEST step:104, travel time:266.4231057764441, q_loss:100, rewards:-77.85362, queue:54.702778, delay:0.8438949, throughput:1213
REAL_TEST step:106, travel time:193.60058309037902, q_loss:100, rewards:-52.31806, queue:28.341667, delay:0.7502205, throughput:1283
REAL_TEST step:108, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:110, travel time:182.8796498905908, q_loss:100, rewards:-48.015266, queue:24.463888, delay:0.81618315, throughput:1300
REAL_TEST step:112, travel time:155.02551020408163, q_loss:100, rewards:-37.305546, queue:13.333333, delay:0.69973344, throughput:1317
