Loading cached latent encoders from pretrained/lusr/presslight/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_lusr_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.6567824, throughput:1172
REAL_TEST step:4, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:169.06667, delay:0.4127882, throughput:45
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:4.9055557, delay:0.3392319, throughput:1172
REAL_TEST step:8, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:33.288887, delay:0.081873864, throughput:1172
REAL_TEST step:10, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:4.9055557, delay:0.3867378, throughput:1172
REAL_TEST step:12, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.78584933, throughput:1172
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:25.202778, delay:0.42080495, throughput:1172
REAL_TEST step:16, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:30.991667, delay:0.6567824, throughput:1172
REAL_TEST step:18, travel time:224.10427606901726, q_loss:100, rewards:-61.956142, queue:7.6305556, delay:0.20350516, throughput:1231
REAL_TEST step:20, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:20.297222, delay:0.231899, throughput:1172
REAL_TEST step:22, travel time:211.73968492123032, q_loss:100, rewards:-57.37001, queue:33.952778, delay:0.66037, throughput:1233
REAL_TEST step:24, travel time:266.93548387096774, q_loss:100, rewards:-77.92446, queue:31.341667, delay:0.6625629, throughput:1183
REAL_TEST step:26, travel time:254.25731432858214, q_loss:100, rewards:-73.15781, queue:29.61111, delay:0.6171991, throughput:1214
REAL_TEST step:28, travel time:247.52138034508627, q_loss:100, rewards:-71.249725, queue:26.48611, delay:0.24533965, throughput:1230
REAL_TEST step:30, travel time:201.51762940735185, q_loss:100, rewards:-53.546684, queue:22.877777, delay:0.72200173, throughput:1261
REAL_TEST step:32, travel time:288.69242310577647, q_loss:100, rewards:-85.97058, queue:40.025, delay:0.7189779, throughput:1188
REAL_TEST step:34, travel time:242.86871717929483, q_loss:100, rewards:-68.941124, queue:7.5444446, delay:0.32887492, throughput:1211
REAL_TEST step:36, travel time:289.5093773443361, q_loss:100, rewards:-86.30004, queue:5.8, delay:0.33848327, throughput:1173
REAL_TEST step:38, travel time:324.5701425356339, q_loss:100, rewards:-100.411415, queue:28.533333, delay:0.35304445, throughput:1197
REAL_TEST step:40, travel time:245.2768192048012, q_loss:100, rewards:-69.842255, queue:8.5, delay:0.4666819, throughput:1208
REAL_TEST step:42, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.3256633, throughput:1172
REAL_TEST step:44, travel time:242.82070517629407, q_loss:100, rewards:-68.91809, queue:12.444445, delay:0.5935607, throughput:1210
REAL_TEST step:46, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:5.788889, delay:0.31098405, throughput:1172
REAL_TEST step:48, travel time:159.384096024006, q_loss:100, rewards:-37.834732, queue:13.416667, delay:0.6897397, throughput:1275
REAL_TEST step:50, travel time:343.2310549777117, q_loss:100, rewards:-108.52559, queue:81.01945, delay:0.48755634, throughput:1199
REAL_TEST step:52, travel time:158.1185296324081, q_loss:100, rewards:-37.1675, queue:13.013889, delay:0.7236949, throughput:1274
REAL_TEST step:54, travel time:262.1507876969242, q_loss:100, rewards:-76.104744, queue:19.716667, delay:0.6426218, throughput:1204
REAL_TEST step:56, travel time:255.39759939984995, q_loss:100, rewards:-74.09697, queue:32.56389, delay:0.44814825, throughput:1230
REAL_TEST step:58, travel time:156.46811702925731, q_loss:100, rewards:-36.499443, queue:6.7777777, delay:0.4329317, throughput:1276
REAL_TEST step:60, travel time:330.89497374343586, q_loss:100, rewards:-102.86582, queue:28.897223, delay:0.35358173, throughput:1190
REAL_TEST step:62, travel time:567.516129032258, q_loss:100, rewards:-191.70163, queue:64.1, delay:0.63177246, throughput:1086
REAL_TEST step:64, travel time:391.27831957989497, q_loss:100, rewards:-126.00597, queue:98.969444, delay:0.47268182, throughput:1151
REAL_TEST step:66, travel time:258.2858214553638, q_loss:100, rewards:-75.03196, queue:24.038889, delay:0.65857327, throughput:1240
REAL_TEST step:68, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:91.611115, delay:0.6068507, throughput:714
REAL_TEST step:70, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:25.202778, delay:0.34507564, throughput:1172
REAL_TEST step:72, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:0.0, delay:0.13678087, throughput:1172
REAL_TEST step:74, travel time:289.63165791447864, q_loss:100, rewards:-86.329765, queue:24.23889, delay:0.3570918, throughput:1180
