Loading cached latent encoders from pretrained/recon_baseline/presslight/bullhead_1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_recon_baseline_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:1, travel time:878.1712802768166, q_loss:100, rewards:-268.55347, queue:253.0, delay:0.76169026, throughput:768
REAL_TEST step:2, travel time:1031.6609589041095, q_loss:100, rewards:-242.72989, queue:228.51666, delay:0.83635545, throughput:573
REAL_TEST step:3, travel time:2527.0988200589973, q_loss:100, rewards:-475.53506, queue:469.49445, delay:0.7567783, throughput:45
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:5, travel time:289.39234808702173, q_loss:100, rewards:-86.26862, queue:63.28611, delay:0.81304073, throughput:1173
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:7, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:8, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:9, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:10, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:11, travel time:158.0667666916729, q_loss:100, rewards:-37.146385, queue:13.425, delay:0.79009825, throughput:1271
REAL_TEST step:12, travel time:924.1075949367089, q_loss:100, rewards:-271.16312, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:13, travel time:239.7014253563391, q_loss:100, rewards:-67.755295, queue:44.625, delay:0.7876162, throughput:1211
REAL_TEST step:14, travel time:160.85371342835708, q_loss:100, rewards:-38.238907, queue:14.3972225, delay:0.80014104, throughput:1271
REAL_TEST step:15, travel time:205.61215303825958, q_loss:100, rewards:-55.065556, queue:31.716667, delay:0.8047454, throughput:1238
REAL_TEST step:16, travel time:157.05701425356338, q_loss:100, rewards:-36.720837, queue:12.994445, delay:0.7770802, throughput:1279
REAL_TEST step:17, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:18, travel time:158.51012753188297, q_loss:100, rewards:-37.29055, queue:13.486111, delay:0.78085023, throughput:1279
REAL_TEST step:19, travel time:167.81048689138578, q_loss:100, rewards:-41.010834, queue:17.475, delay:0.812774, throughput:1279
REAL_TEST step:20, travel time:1049.444572748268, q_loss:100, rewards:-244.27124, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:21, travel time:1808.4040632054175, q_loss:100, rewards:-441.46915, queue:433.53333, delay:0.7671258, throughput:249
REAL_TEST step:22, travel time:158.17704426106528, q_loss:100, rewards:-37.16139, queue:13.391666, delay:0.7805463, throughput:1278
REAL_TEST step:23, travel time:1049.444572748268, q_loss:100, rewards:-244.27124, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:24, travel time:155.93558052434457, q_loss:100, rewards:-36.32277, queue:12.688889, delay:0.7848322, throughput:1275
REAL_TEST step:25, travel time:159.13503375843962, q_loss:100, rewards:-37.566666, queue:13.794444, delay:0.79006684, throughput:1276
REAL_TEST step:26, travel time:158.3953488372093, q_loss:100, rewards:-37.29166, queue:13.544444, delay:0.7881112, throughput:1279
REAL_TEST step:27, travel time:151.3675918979745, q_loss:100, rewards:-34.783604, queue:11.311111, delay:0.7439326, throughput:1278
REAL_TEST step:28, travel time:156.88072018004502, q_loss:100, rewards:-36.702778, queue:13.016666, delay:0.7869568, throughput:1279
REAL_TEST step:29, travel time:220.49887471867967, q_loss:100, rewards:-60.549435, queue:37.325, delay:0.77455837, throughput:1235
REAL_TEST step:30, travel time:190.96162201303403, q_loss:100, rewards:-51.514458, queue:28.058332, delay:0.6849574, throughput:1290
REAL_TEST step:31, travel time:221.82670667666918, q_loss:100, rewards:-61.066402, queue:37.883335, delay:0.77038956, throughput:1225
REAL_TEST step:32, travel time:227.87396849212303, q_loss:100, rewards:-63.340027, queue:40.133335, delay:0.7996398, throughput:1223
REAL_TEST step:33, travel time:155.8642160540135, q_loss:100, rewards:-36.276924, queue:12.636111, delay:0.7736674, throughput:1279
REAL_TEST step:34, travel time:206.25850832729907, q_loss:100, rewards:-57.073303, queue:33.405556, delay:0.6523833, throughput:1276
REAL_TEST step:35, travel time:199.5228095582911, q_loss:100, rewards:-54.539726, queue:30.680555, delay:0.64142185, throughput:1289
REAL_TEST step:36, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:37, travel time:2149.890645586298, q_loss:100, rewards:-451.50534, queue:444.27222, delay:0.73844427, throughput:123
REAL_TEST step:38, travel time:193.39246922519914, q_loss:100, rewards:-52.205814, queue:28.575, delay:0.6187142, throughput:1287
REAL_TEST step:39, travel time:2377.8901408450706, q_loss:100, rewards:-468.07626, queue:461.6139, delay:0.7507938, throughput:74
REAL_TEST step:40, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:41, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:42, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:43, travel time:2700.4071762870517, q_loss:100, rewards:-480.9782, queue:475.02222, delay:0.9905743, throughput:2
REAL_TEST step:44, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:45, travel time:200.62973760932945, q_loss:100, rewards:-54.480007, queue:30.502777, delay:0.6704678, throughput:1275
REAL_TEST step:46, travel time:2376.001414427157, q_loss:100, rewards:-465.77182, queue:459.21667, delay:0.75599533, throughput:71
REAL_TEST step:47, travel time:697.6903276131045, q_loss:100, rewards:-232.68637, queue:215.23056, delay:0.7031972, throughput:902
REAL_TEST step:48, travel time:878.6386481802426, q_loss:100, rewards:-268.05994, queue:252.41945, delay:0.673415, throughput:766
REAL_TEST step:49, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:50, travel time:2376.001414427157, q_loss:100, rewards:-465.77182, queue:459.21667, delay:0.75599533, throughput:71
REAL_TEST step:51, travel time:2376.001414427157, q_loss:100, rewards:-465.77182, queue:459.21667, delay:0.75599533, throughput:71
REAL_TEST step:52, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:53, travel time:880.3842794759826, q_loss:100, rewards:-266.47012, queue:250.925, delay:0.66813976, throughput:758
REAL_TEST step:54, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:55, travel time:889.446288209607, q_loss:100, rewards:-269.40768, queue:253.50555, delay:0.6993563, throughput:756
REAL_TEST step:56, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:57, travel time:889.446288209607, q_loss:100, rewards:-269.40768, queue:253.50555, delay:0.6993563, throughput:756
REAL_TEST step:58, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:59, travel time:880.3886462882097, q_loss:100, rewards:-266.48, queue:250.90834, delay:0.66514856, throughput:759
REAL_TEST step:60, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:61, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:62, travel time:888.8663755458515, q_loss:100, rewards:-269.2049, queue:253.31944, delay:0.69977766, throughput:758
REAL_TEST step:63, travel time:887.528384279476, q_loss:100, rewards:-268.7636, queue:252.93333, delay:0.6972741, throughput:758
REAL_TEST step:64, travel time:882.317903930131, q_loss:100, rewards:-267.0706, queue:251.49445, delay:0.6777447, throughput:758
REAL_TEST step:65, travel time:880.507423580786, q_loss:100, rewards:-266.51007, queue:250.95, delay:0.674431, throughput:758
REAL_TEST step:66, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:67, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:68, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:69, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:70, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:71, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:72, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:73, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:74, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:75, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:76, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:77, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:78, travel time:920.6465284039675, q_loss:100, rewards:-270.82806, queue:255.41667, delay:0.84267485, throughput:717
REAL_TEST step:79, travel time:2678.723338485317, q_loss:100, rewards:-481.56238, queue:475.53888, delay:0.97653615, throughput:5
REAL_TEST step:80, travel time:884.7318777292577, q_loss:100, rewards:-267.85452, queue:252.15555, delay:0.68859136, throughput:756
REAL_TEST step:81, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:82, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:83, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:84, travel time:914.6415770609319, q_loss:100, rewards:-270.6147, queue:255.11389, delay:0.8209737, throughput:724
REAL_TEST step:85, travel time:2695.5031152647975, q_loss:100, rewards:-480.83792, queue:474.87778, delay:0.9765846, throughput:3
REAL_TEST step:86, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:87, travel time:920.4409377817854, q_loss:100, rewards:-270.76782, queue:255.37222, delay:0.8408176, throughput:717
REAL_TEST step:88, travel time:992.8486187845303, q_loss:100, rewards:-240.60881, queue:226.32222, delay:0.6724847, throughput:609
REAL_TEST step:89, travel time:191.07142857142858, q_loss:100, rewards:-50.885254, queue:27.336111, delay:0.627695, throughput:1281
REAL_TEST step:90, travel time:143.19897959183675, q_loss:100, rewards:-32.610855, queue:8.755555, delay:0.68407303, throughput:1322
REAL_TEST step:91, travel time:145.09530685920578, q_loss:100, rewards:-33.631397, queue:9.761111, delay:0.6020702, throughput:1330
REAL_TEST step:92, travel time:683.3998323554065, q_loss:100, rewards:-211.76857, queue:195.13055, delay:0.69084376, throughput:924
REAL_TEST step:93, travel time:198.4030612244898, q_loss:100, rewards:-53.698627, queue:29.744444, delay:0.6626926, throughput:1271
REAL_TEST step:94, travel time:140.73979591836735, q_loss:100, rewards:-31.59222, queue:7.8194447, delay:0.597665, throughput:1316
REAL_TEST step:95, travel time:877.7139152981849, q_loss:100, rewards:-268.47073, queue:252.725, delay:0.675752, throughput:770
REAL_TEST step:96, travel time:1044.860759493671, q_loss:100, rewards:-244.00124, queue:229.93056, delay:0.8300516, throughput:568
REAL_TEST step:97, travel time:876.1672443674177, q_loss:100, rewards:-267.2614, queue:251.73334, delay:0.6605472, throughput:767
REAL_TEST step:98, travel time:297.1115133960898, q_loss:100, rewards:-94.31808, queue:71.075, delay:0.67963094, throughput:1117
REAL_TEST step:99, travel time:2686.3447204968943, q_loss:100, rewards:-480.66016, queue:474.69446, delay:0.97386247, throughput:5
REAL_TEST step:100, travel time:2678.7078825347758, q_loss:100, rewards:-481.5596, queue:475.53888, delay:0.97658074, throughput:5
REAL_TEST step:101, travel time:998.8, q_loss:100, rewards:-242.18694, queue:227.73334, delay:0.69420147, throughput:602
REAL_TEST step:102, travel time:171.42253521126761, q_loss:100, rewards:-45.188343, queue:21.502777, delay:0.7368076, throughput:1375
REAL_TEST step:103, travel time:143.24694903086862, q_loss:100, rewards:-33.144707, queue:9.261111, delay:0.5948217, throughput:1337
REAL_TEST step:104, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:105, travel time:273.78498542274053, q_loss:100, rewards:-82.55114, queue:59.53611, delay:0.6422159, throughput:1217
REAL_TEST step:106, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:107, travel time:273.8664259927798, q_loss:100, rewards:-83.375534, queue:60.194443, delay:0.63115686, throughput:1227
REAL_TEST step:108, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:109, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:110, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:111, travel time:2498.796215429403, q_loss:100, rewards:-476.4235, queue:470.375, delay:0.746795, throughput:53
REAL_TEST step:112, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:113, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:114, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:115, travel time:259.89859154929576, q_loss:100, rewards:-79.99752, queue:56.519444, delay:0.4696426, throughput:1268
REAL_TEST step:116, travel time:2527.0737463126843, q_loss:100, rewards:-475.5318, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:117, travel time:2376.4243281471004, q_loss:100, rewards:-465.85208, queue:459.38055, delay:0.7525297, throughput:72
REAL_TEST step:118, travel time:2498.796215429403, q_loss:100, rewards:-476.4235, queue:470.375, delay:0.746795, throughput:53
REAL_TEST step:119, travel time:2376.4243281471004, q_loss:100, rewards:-465.85208, queue:459.38055, delay:0.7525297, throughput:72
REAL_TEST step:120, travel time:2274.1511470985156, q_loss:100, rewards:-466.86316, queue:460.45834, delay:0.63832664, throughput:111
REAL_TEST step:121, travel time:260.84425651867514, q_loss:100, rewards:-80.44223, queue:57.18889, delay:0.60194534, throughput:1262
REAL_TEST step:122, travel time:2515.0, q_loss:100, rewards:-475.31458, queue:469.27222, delay:0.7538826, throughput:48
REAL_TEST step:123, travel time:321.28169014084506, q_loss:100, rewards:-104.80224, queue:81.63333, delay:0.5359727, throughput:1241
REAL_TEST step:124, travel time:262.34507042253523, q_loss:100, rewards:-80.99476, queue:57.366665, delay:0.4710348, throughput:1267
REAL_TEST step:125, travel time:2498.796215429403, q_loss:100, rewards:-476.4235, queue:470.375, delay:0.746795, throughput:53
REAL_TEST step:126, travel time:2514.9544787077825, q_loss:100, rewards:-475.306, queue:469.2639, delay:0.75259215, throughput:48
