Loading cached latent encoders from pretrained/recon_baseline/presslight/bullhead_1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_recon_baseline_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=combine2
REAL_TEST step:1, travel time:2204.4875164257555, q_loss:100, rewards:-464.30893, queue:321.57303, delay:1.334389, throughput:124
REAL_TEST step:2, travel time:1034.1460928652323, q_loss:100, rewards:-245.26491, queue:161.9476, delay:1.5496798, throughput:579
REAL_TEST step:3, travel time:900.0951965065502, q_loss:100, rewards:-272.8028, queue:259.93878, delay:1.4972017, throughput:749
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:68.24618, delay:1.5347717, throughput:1172
REAL_TEST step:5, travel time:215.2543135783946, q_loss:100, rewards:-58.56305, queue:39.81818, delay:1.7171791, throughput:1233
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:68.06734, delay:1.5421007, throughput:1172
REAL_TEST step:7, travel time:255.59732540861813, q_loss:100, rewards:-74.4478, queue:15.602998, delay:0.90276855, throughput:1216
REAL_TEST step:8, travel time:269.7183520599251, q_loss:100, rewards:-79.073654, queue:60.449104, delay:1.6389948, throughput:1190
REAL_TEST step:9, travel time:252.08041697691735, q_loss:100, rewards:-72.96806, queue:53.29726, delay:1.4569373, throughput:1210
REAL_TEST step:10, travel time:154.14831460674156, q_loss:100, rewards:-35.88973, queue:19.56424, delay:1.6262919, throughput:1280
REAL_TEST step:11, travel time:160.65341335333832, q_loss:100, rewards:-38.11945, queue:20.148365, delay:1.6733221, throughput:1276
REAL_TEST step:12, travel time:157.1297824456114, q_loss:100, rewards:-36.74445, queue:19.221823, delay:1.6150388, throughput:1277
REAL_TEST step:13, travel time:205.34283570892723, q_loss:100, rewards:-54.973904, queue:31.259277, delay:1.4475672, throughput:1237
REAL_TEST step:14, travel time:159.29032258064515, q_loss:100, rewards:-37.55275, queue:13.711034, delay:1.185112, throughput:1276
REAL_TEST step:15, travel time:166.71342835708927, q_loss:100, rewards:-40.46027, queue:19.966923, delay:1.5119193, throughput:1277
REAL_TEST step:16, travel time:157.43135783945988, q_loss:100, rewards:-36.8686, queue:19.835209, delay:1.7032837, throughput:1279
REAL_TEST step:17, travel time:173.99849962490623, q_loss:100, rewards:-43.164997, queue:16.65737, delay:1.3876863, throughput:1265
REAL_TEST step:18, travel time:160.85596399099774, q_loss:100, rewards:-38.15722, queue:20.566648, delay:1.6058129, throughput:1278
REAL_TEST step:19, travel time:155.78598061148398, q_loss:100, rewards:-36.563602, queue:18.884453, delay:1.5239189, throughput:1285
REAL_TEST step:20, travel time:191.7974493623406, q_loss:100, rewards:-49.980286, queue:25.362215, delay:1.52627, throughput:1259
REAL_TEST step:21, travel time:150.36297376093293, q_loss:100, rewards:-35.43, queue:11.239359, delay:0.9704849, throughput:1322
REAL_TEST step:22, travel time:160.3398349587397, q_loss:100, rewards:-38.011124, queue:18.440912, delay:1.4919884, throughput:1274
REAL_TEST step:23, travel time:168.5138784696174, q_loss:100, rewards:-41.117214, queue:17.20323, delay:1.2075493, throughput:1264
REAL_TEST step:24, travel time:165.33533383345838, q_loss:100, rewards:-39.940536, queue:21.190979, delay:1.7144201, throughput:1265
REAL_TEST step:25, travel time:158.84471117779444, q_loss:100, rewards:-37.467495, queue:19.650564, delay:1.7251744, throughput:1276
REAL_TEST step:26, travel time:161.29707426856714, q_loss:100, rewards:-38.378338, queue:20.083912, delay:1.6457326, throughput:1275
REAL_TEST step:27, travel time:157.3788447111778, q_loss:100, rewards:-36.885006, queue:16.858706, delay:1.377351, throughput:1277
REAL_TEST step:28, travel time:165.2213053263316, q_loss:100, rewards:-39.92278, queue:21.3822, delay:1.6611974, throughput:1267
REAL_TEST step:29, travel time:157.04951237809453, q_loss:100, rewards:-36.85415, queue:13.923169, delay:1.2358161, throughput:1278
REAL_TEST step:30, travel time:150.6842867487328, q_loss:100, rewards:-35.84694, queue:15.84378, delay:1.4789131, throughput:1321
REAL_TEST step:31, travel time:159.8252063015754, q_loss:100, rewards:-37.891117, queue:20.453606, delay:1.6655056, throughput:1275
REAL_TEST step:32, travel time:164.26891991182953, q_loss:100, rewards:-40.567493, queue:20.776686, delay:1.6258538, throughput:1304
REAL_TEST step:33, travel time:157.20985810306198, q_loss:100, rewards:-37.031685, queue:18.754862, delay:1.4796963, throughput:1278
REAL_TEST step:34, travel time:237.58580738595222, q_loss:100, rewards:-69.44832, queue:41.829117, delay:1.4262506, throughput:1272
REAL_TEST step:35, travel time:150.73207820419987, q_loss:100, rewards:-35.873886, queue:18.387144, delay:1.5867825, throughput:1323
REAL_TEST step:36, travel time:485.40363636363634, q_loss:100, rewards:-167.1364, queue:148.21211, delay:1.467818, throughput:1069
REAL_TEST step:37, travel time:138.30774647887324, q_loss:100, rewards:-31.966951, queue:14.789829, delay:1.5424135, throughput:1373
REAL_TEST step:38, travel time:149.81285714285715, q_loss:100, rewards:-35.997795, queue:15.451264, delay:1.4049664, throughput:1346
REAL_TEST step:39, travel time:670.4198529411765, q_loss:100, rewards:-236.54411, queue:219.57417, delay:1.3763255, throughput:980
REAL_TEST step:40, travel time:147.64225352112675, q_loss:100, rewards:-35.679153, queue:17.54324, delay:1.5219966, throughput:1366
REAL_TEST step:41, travel time:783.7151020408163, q_loss:100, rewards:-251.93729, queue:238.87025, delay:1.5381694, throughput:832
REAL_TEST step:42, travel time:840.013411567477, q_loss:100, rewards:-264.1574, queue:172.03093, delay:1.4061614, throughput:804
REAL_TEST step:43, travel time:243.71460674157302, q_loss:100, rewards:-69.07416, queue:48.48904, delay:1.6808832, throughput:1230
REAL_TEST step:44, travel time:212.23250728862973, q_loss:100, rewards:-59.048607, queue:15.726479, delay:1.2850938, throughput:1276
REAL_TEST step:45, travel time:210.95991253644314, q_loss:100, rewards:-58.711956, queue:38.218575, delay:1.342251, throughput:1266
REAL_TEST step:46, travel time:209.6268221574344, q_loss:100, rewards:-58.111107, queue:37.00394, delay:1.398221, throughput:1275
REAL_TEST step:47, travel time:387.8906705539359, q_loss:100, rewards:-127.86145, queue:77.68058, delay:1.4302721, throughput:1168
REAL_TEST step:48, travel time:201.89225352112675, q_loss:100, rewards:-57.16473, queue:36.88696, delay:1.2805609, throughput:1330
REAL_TEST step:49, travel time:216.06195335276968, q_loss:100, rewards:-60.54, queue:40.051723, delay:1.6101425, throughput:1276
REAL_TEST step:50, travel time:206.77696793002914, q_loss:100, rewards:-56.94416, queue:37.991222, delay:1.5811757, throughput:1266
REAL_TEST step:51, travel time:184.3600583090379, q_loss:100, rewards:-48.388603, queue:28.87682, delay:1.5995295, throughput:1292
REAL_TEST step:52, travel time:226.98469387755102, q_loss:100, rewards:-64.75862, queue:30.903673, delay:1.223608, throughput:1268
REAL_TEST step:53, travel time:252.0371720116618, q_loss:100, rewards:-74.22639, queue:41.53025, delay:1.4358492, throughput:1295
REAL_TEST step:54, travel time:175.6545189504373, q_loss:100, rewards:-45.072235, queue:18.94854, delay:1.4445447, throughput:1300
REAL_TEST step:55, travel time:175.24562682215745, q_loss:100, rewards:-44.84861, queue:25.289635, delay:1.5402659, throughput:1297
REAL_TEST step:56, travel time:197.5597667638484, q_loss:100, rewards:-53.483322, queue:23.980585, delay:1.2796738, throughput:1312
REAL_TEST step:57, travel time:212.8134110787172, q_loss:100, rewards:-59.33889, queue:31.08539, delay:0.85153204, throughput:1269
REAL_TEST step:58, travel time:163.4591836734694, q_loss:100, rewards:-40.31585, queue:21.262459, delay:1.6299407, throughput:1314
REAL_TEST step:59, travel time:158.46574344023324, q_loss:100, rewards:-38.39417, queue:20.045872, delay:1.5951704, throughput:1309
REAL_TEST step:60, travel time:166.98104956268222, q_loss:100, rewards:-41.690002, queue:21.90381, delay:1.5559794, throughput:1307
REAL_TEST step:61, travel time:164.97521865889212, q_loss:100, rewards:-40.896378, queue:21.645924, delay:1.5847739, throughput:1318
REAL_TEST step:62, travel time:160.61516034985422, q_loss:100, rewards:-39.285004, queue:15.786213, delay:1.1698399, throughput:1320
REAL_TEST step:63, travel time:163.66548547129696, q_loss:100, rewards:-41.710003, queue:22.352663, delay:1.6191744, throughput:1356
REAL_TEST step:64, travel time:184.5098181818182, q_loss:100, rewards:-48.472492, queue:20.91095, delay:1.1884631, throughput:1316
REAL_TEST step:65, travel time:188.3301818181818, q_loss:100, rewards:-49.95919, queue:16.397444, delay:1.3077501, throughput:1299
REAL_TEST step:66, travel time:171.88556851311952, q_loss:100, rewards:-43.716114, queue:23.30753, delay:1.581878, throughput:1306
REAL_TEST step:67, travel time:171.23688046647231, q_loss:100, rewards:-43.397778, queue:22.219566, delay:1.4075073, throughput:1299
REAL_TEST step:68, travel time:196.3120464441219, q_loss:100, rewards:-53.68862, queue:26.931492, delay:1.3378072, throughput:1287
REAL_TEST step:69, travel time:162.47521865889212, q_loss:100, rewards:-39.951946, queue:18.084799, delay:1.501939, throughput:1310
REAL_TEST step:70, travel time:225.8454810495627, q_loss:100, rewards:-64.19304, queue:15.98974, delay:0.8701373, throughput:1289
REAL_TEST step:71, travel time:167.18148688046648, q_loss:100, rewards:-41.959457, queue:22.18549, delay:1.6232417, throughput:1298
REAL_TEST step:72, travel time:198.52696793002914, q_loss:100, rewards:-54.10611, queue:32.57526, delay:1.6180018, throughput:1293
