Loading cached latent encoders from pretrained/vae_embedding/presslight/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_1/baseline_v1_vae_s0/model/bullhead_1_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:2391.7837078651687, q_loss:100, rewards:-472.2126, queue:481.3525, delay:8.48498, throughput:77
REAL_TEST step:4, travel time:153.89122280570143, q_loss:100, rewards:-35.688892, queue:71.38851, delay:8.497717, throughput:1279
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:109.63253, delay:7.878989, throughput:1172
REAL_TEST step:8, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:113.511284, delay:8.398865, throughput:1172
REAL_TEST step:10, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:110.44942, delay:8.734769, throughput:1172
REAL_TEST step:12, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:111.61975, delay:8.404635, throughput:1172
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:108.74849, delay:8.351034, throughput:1172
REAL_TEST step:16, travel time:292.06451612903226, q_loss:100, rewards:-87.250595, queue:109.13661, delay:8.266078, throughput:1172
REAL_TEST step:18, travel time:154.76519129782446, q_loss:100, rewards:-36.04749, queue:73.780365, delay:8.416879, throughput:1273
REAL_TEST step:20, travel time:206.10352588147038, q_loss:100, rewards:-55.178066, queue:87.35025, delay:8.3600855, throughput:1235
REAL_TEST step:22, travel time:207.60315078769693, q_loss:100, rewards:-55.71808, queue:85.151764, delay:8.520037, throughput:1237
REAL_TEST step:24, travel time:206.49512378094525, q_loss:100, rewards:-55.300007, queue:83.63428, delay:8.246914, throughput:1238
REAL_TEST step:26, travel time:208.03600900225055, q_loss:100, rewards:-56.00416, queue:84.70422, delay:8.591623, throughput:1233
REAL_TEST step:28, travel time:207.86271567891973, q_loss:100, rewards:-55.826683, queue:83.47443, delay:8.416047, throughput:1238
REAL_TEST step:30, travel time:207.4178544636159, q_loss:100, rewards:-55.668884, queue:80.57611, delay:8.388937, throughput:1237
REAL_TEST step:32, travel time:207.4403600900225, q_loss:100, rewards:-55.65833, queue:87.49998, delay:8.817543, throughput:1238
REAL_TEST step:34, travel time:197.17784256559767, q_loss:100, rewards:-53.392784, queue:84.19148, delay:8.416735, throughput:1279
REAL_TEST step:36, travel time:208.06526631657914, q_loss:100, rewards:-55.950546, queue:86.78731, delay:8.185423, throughput:1232
REAL_TEST step:38, travel time:157.3218304576144, q_loss:100, rewards:-36.955006, queue:68.10068, delay:7.8373923, throughput:1275
REAL_TEST step:40, travel time:156.48312078019504, q_loss:100, rewards:-36.680843, queue:69.4751, delay:8.335017, throughput:1269
REAL_TEST step:42, travel time:154.42610652663166, q_loss:100, rewards:-35.872776, queue:70.41165, delay:8.102967, throughput:1276
REAL_TEST step:44, travel time:151.70626822157433, q_loss:100, rewards:-35.981655, queue:71.61433, delay:8.30545, throughput:1314
REAL_TEST step:46, travel time:155.24831712789828, q_loss:100, rewards:-36.30943, queue:71.477585, delay:8.149592, throughput:1281
REAL_TEST step:48, travel time:192.85963636363635, q_loss:100, rewards:-51.849728, queue:80.11567, delay:8.788066, throughput:1284
REAL_TEST step:50, travel time:160.96774193548387, q_loss:100, rewards:-38.387215, queue:70.592705, delay:8.967164, throughput:1268
REAL_TEST step:52, travel time:161.50257921886515, q_loss:100, rewards:-39.36445, queue:70.72133, delay:8.452626, throughput:1300
REAL_TEST step:54, travel time:155.02919161676647, q_loss:100, rewards:-36.311386, queue:71.50256, delay:8.265801, throughput:1281
REAL_TEST step:56, travel time:155.6166541635409, q_loss:100, rewards:-36.36112, queue:69.65862, delay:8.477897, throughput:1273
REAL_TEST step:58, travel time:154.9377344336084, q_loss:100, rewards:-36.131382, queue:71.2515, delay:8.59417, throughput:1277
REAL_TEST step:60, travel time:154.31507876969243, q_loss:100, rewards:-35.852222, queue:71.66899, delay:8.674589, throughput:1276
