Loading cached latent encoders from pretrained/atc/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_atc_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:238.17864030858246, q_loss:100, rewards:-98.49527, queue:40.41955, delay:1.4229416, throughput:3819
REAL_TEST step:4, travel time:227.43696308335268, q_loss:100, rewards:-68.592186, queue:26.788975, delay:1.1377113, throughput:3931
REAL_TEST step:6, travel time:252.67764891934632, q_loss:100, rewards:-86.70056, queue:42.76497, delay:1.3692691, throughput:3473
REAL_TEST step:8, travel time:273.7563996696945, q_loss:100, rewards:-122.28498, queue:46.913002, delay:1.2713379, throughput:3291
REAL_TEST step:10, travel time:297.13816343723676, q_loss:100, rewards:-141.84608, queue:48.40706, delay:1.065985, throughput:3185
REAL_TEST step:12, travel time:288.8485018202184, q_loss:100, rewards:-134.12502, queue:52.256958, delay:1.3917615, throughput:3222
REAL_TEST step:14, travel time:275.79488545551413, q_loss:100, rewards:-130.1125, queue:37.5823, delay:1.2532141, throughput:3393
REAL_TEST step:16, travel time:282.85796948974223, q_loss:100, rewards:-141.1053, queue:48.750782, delay:1.1326313, throughput:3435
REAL_TEST step:18, travel time:223.0109341573568, q_loss:100, rewards:-101.58082, queue:38.28016, delay:1.3139118, throughput:3881
REAL_TEST step:20, travel time:236.03144963144962, q_loss:100, rewards:-123.54636, queue:36.767975, delay:1.3218608, throughput:3759
REAL_TEST step:22, travel time:220.5019540791402, q_loss:100, rewards:-123.80779, queue:32.034225, delay:1.3351291, throughput:3815
REAL_TEST step:24, travel time:225.9314733235438, q_loss:100, rewards:-124.0939, queue:36.993996, delay:1.4326932, throughput:3792
REAL_TEST step:26, travel time:210.0799904489016, q_loss:100, rewards:-114.183334, queue:29.841291, delay:1.3327495, throughput:3911
REAL_TEST step:28, travel time:366.7972481827622, q_loss:100, rewards:-219.62082, queue:40.254147, delay:1.3640627, throughput:3314
REAL_TEST step:30, travel time:269.44749805548355, q_loss:100, rewards:-147.92303, queue:48.944183, delay:1.2921665, throughput:3470
REAL_TEST step:32, travel time:882.210018668326, q_loss:100, rewards:-298.03992, queue:165.37514, delay:1.2024775, throughput:2036
REAL_TEST step:34, travel time:467.2235082304527, q_loss:100, rewards:-280.36835, queue:71.51747, delay:1.2952877, throughput:3215
REAL_TEST step:36, travel time:259.85955920041005, q_loss:100, rewards:-80.667244, queue:37.692085, delay:1.4716829, throughput:3523
REAL_TEST step:38, travel time:1500.7474708171205, q_loss:100, rewards:-317.31134, queue:177.59612, delay:1.3614997, throughput:918
