Loading cached latent encoders from pretrained/darla/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_darla_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:2308.373786407767, q_loss:100, rewards:-369.63385, queue:366.66943, delay:0.92159724, throughput:48
REAL_TEST step:4, travel time:1013.073889875666, q_loss:100, rewards:-331.98688, queue:224.06018, delay:0.8700412, throughput:1554
REAL_TEST step:6, travel time:318.5430424528302, q_loss:100, rewards:-151.12141, queue:58.16574, delay:0.77542, throughput:3019
REAL_TEST step:8, travel time:318.5430424528302, q_loss:100, rewards:-151.12141, queue:58.16574, delay:0.77542, throughput:3019
REAL_TEST step:10, travel time:265.8193038755863, q_loss:100, rewards:-123.47026, queue:51.099075, delay:0.7902096, throughput:3665
REAL_TEST step:12, travel time:265.8193038755863, q_loss:100, rewards:-123.47026, queue:51.099075, delay:0.7902096, throughput:3665
REAL_TEST step:14, travel time:262.11602073562085, q_loss:100, rewards:-127.20189, queue:48.93704, delay:0.7700423, throughput:3670
REAL_TEST step:16, travel time:480.4062419396441, q_loss:100, rewards:-356.24258, queue:130.07315, delay:0.7708721, throughput:3130
REAL_TEST step:18, travel time:1177.1759885999288, q_loss:100, rewards:-384.82532, queue:216.34445, delay:0.82924736, throughput:1490
REAL_TEST step:20, travel time:480.4170918367347, q_loss:100, rewards:-359.7533, queue:131.33148, delay:0.7705938, throughput:3172
REAL_TEST step:22, travel time:480.4170918367347, q_loss:100, rewards:-359.7533, queue:131.33148, delay:0.7705938, throughput:3172
REAL_TEST step:24, travel time:1375.422417398578, q_loss:100, rewards:-373.3984, queue:209.0963, delay:0.8616883, throughput:1152
REAL_TEST step:26, travel time:480.4170918367347, q_loss:100, rewards:-359.7533, queue:131.33148, delay:0.7705938, throughput:3172
REAL_TEST step:28, travel time:1331.803162713275, q_loss:100, rewards:-336.48254, queue:202.74722, delay:0.7034163, throughput:1213
REAL_TEST step:30, travel time:480.4170918367347, q_loss:100, rewards:-359.7533, queue:131.33148, delay:0.7705938, throughput:3172
REAL_TEST step:32, travel time:1331.803162713275, q_loss:100, rewards:-336.48254, queue:202.74722, delay:0.7034163, throughput:1213
REAL_TEST step:34, travel time:460.4070552914686, q_loss:100, rewards:-328.6339, queue:123.92963, delay:0.70648247, throughput:3278
REAL_TEST step:36, travel time:1331.803162713275, q_loss:100, rewards:-336.48254, queue:202.74722, delay:0.7034163, throughput:1213
REAL_TEST step:38, travel time:1331.803162713275, q_loss:100, rewards:-336.48254, queue:202.74722, delay:0.7034163, throughput:1213
REAL_TEST step:40, travel time:1417.8940425531914, q_loss:100, rewards:-374.117, queue:216.00926, delay:0.86467725, throughput:1110
REAL_TEST step:42, travel time:1417.8940425531914, q_loss:100, rewards:-374.117, queue:216.00926, delay:0.86467725, throughput:1110
REAL_TEST step:44, travel time:1417.8940425531914, q_loss:100, rewards:-374.117, queue:216.00926, delay:0.86467725, throughput:1110
REAL_TEST step:46, travel time:1417.8940425531914, q_loss:100, rewards:-374.117, queue:216.00926, delay:0.86467725, throughput:1110
REAL_TEST step:48, travel time:1294.8659420289855, q_loss:100, rewards:-372.43542, queue:207.98889, delay:0.85857713, throughput:1246
REAL_TEST step:50, travel time:480.4170918367347, q_loss:100, rewards:-359.7533, queue:131.33148, delay:0.7705938, throughput:3172
REAL_TEST step:52, travel time:1331.803162713275, q_loss:100, rewards:-336.48254, queue:202.74722, delay:0.7034163, throughput:1213
REAL_TEST step:54, travel time:442.4225529767911, q_loss:100, rewards:-322.14462, queue:118.79907, delay:0.63015985, throughput:3265
REAL_TEST step:56, travel time:1310.2151427389326, q_loss:100, rewards:-334.6151, queue:198.3574, delay:0.6969395, throughput:1234
REAL_TEST step:58, travel time:424.6583103534721, q_loss:100, rewards:-314.2411, queue:112.81759, delay:0.6115884, throughput:3323
REAL_TEST step:60, travel time:1325.1031185031186, q_loss:100, rewards:-335.24103, queue:200.1074, delay:0.6899639, throughput:1222
REAL_TEST step:62, travel time:425.0193224592221, q_loss:100, rewards:-314.33585, queue:112.86574, delay:0.6131463, throughput:3319
REAL_TEST step:64, travel time:1286.6446078431372, q_loss:100, rewards:-334.9235, queue:195.40092, delay:0.69287825, throughput:1266
REAL_TEST step:66, travel time:425.4899228663847, q_loss:100, rewards:-316.09723, queue:113.38982, delay:0.6399758, throughput:3353
REAL_TEST step:68, travel time:1313.3774752475247, q_loss:100, rewards:-336.2036, queue:199.74629, delay:0.70271236, throughput:1235
REAL_TEST step:70, travel time:423.7484402295982, q_loss:100, rewards:-314.13467, queue:112.780556, delay:0.6059186, throughput:3344
REAL_TEST step:72, travel time:1281.1100693028943, q_loss:100, rewards:-334.39774, queue:196.26852, delay:0.69375926, throughput:1271
REAL_TEST step:74, travel time:394.7517605633803, q_loss:100, rewards:-313.51523, queue:101.09259, delay:0.59190446, throughput:3379
REAL_TEST step:76, travel time:1273.888978930308, q_loss:100, rewards:-335.48782, queue:194.53981, delay:0.70941925, throughput:1274
REAL_TEST step:78, travel time:444.8453346855984, q_loss:100, rewards:-321.84354, queue:118.9287, delay:0.62868404, throughput:3246
REAL_TEST step:80, travel time:1801.2945032778618, q_loss:100, rewards:-337.26675, queue:242.11111, delay:0.77680534, throughput:664
REAL_TEST step:82, travel time:1302.059670781893, q_loss:100, rewards:-334.57205, queue:197.01111, delay:0.68651384, throughput:1247
