Loading cached latent encoders from pretrained/darla/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_darla_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1650.9573225516622, q_loss:100, rewards:-344.4893, queue:231.21304, delay:1.4788916, throughput:786
REAL_TEST step:4, travel time:725.6078120038107, q_loss:100, rewards:-161.3444, queue:97.44316, delay:1.222336, throughput:2184
REAL_TEST step:6, travel time:279.06064106266246, q_loss:100, rewards:-151.26389, queue:43.879917, delay:1.4268682, throughput:3163
REAL_TEST step:8, travel time:317.5444704505559, q_loss:100, rewards:-151.75252, queue:55.973785, delay:1.3084661, throughput:3047
REAL_TEST step:10, travel time:262.9133761105627, q_loss:100, rewards:-120.158615, queue:40.50598, delay:1.0629002, throughput:3667
REAL_TEST step:12, travel time:265.8193038755863, q_loss:100, rewards:-123.47026, queue:50.85464, delay:1.4083418, throughput:3665
REAL_TEST step:14, travel time:350.16503187837174, q_loss:100, rewards:-230.29446, queue:53.932144, delay:1.2576698, throughput:3450
REAL_TEST step:16, travel time:375.3811526094484, q_loss:100, rewards:-257.19754, queue:63.664093, delay:1.1173059, throughput:3375
REAL_TEST step:18, travel time:868.5147891755821, q_loss:100, rewards:-366.82004, queue:167.41309, delay:1.3372715, throughput:2018
REAL_TEST step:20, travel time:375.29867582148114, q_loss:100, rewards:-260.08865, queue:64.889755, delay:1.2842062, throughput:3404
REAL_TEST step:22, travel time:413.59230203481246, q_loss:100, rewards:-301.28333, queue:98.06365, delay:1.2927519, throughput:3370
REAL_TEST step:24, travel time:360.6467969329706, q_loss:100, rewards:-273.15027, queue:94.05548, delay:1.4285533, throughput:3417
REAL_TEST step:26, travel time:388.070988415085, q_loss:100, rewards:-290.00574, queue:101.07515, delay:1.2848861, throughput:3427
REAL_TEST step:28, travel time:437.8439393939394, q_loss:100, rewards:-322.28723, queue:32.180897, delay:1.2877268, throughput:3276
REAL_TEST step:30, travel time:445.49592875318064, q_loss:100, rewards:-322.30145, queue:123.177025, delay:1.3161539, throughput:3236
REAL_TEST step:32, travel time:586.2646976090014, q_loss:100, rewards:-314.09332, queue:112.31977, delay:1.1627647, throughput:2878
REAL_TEST step:34, travel time:419.48112490499113, q_loss:100, rewards:-313.0572, queue:68.08985, delay:1.2787752, throughput:3292
REAL_TEST step:36, travel time:536.7048820625342, q_loss:100, rewards:-319.83807, queue:125.20706, delay:1.4877288, throughput:2910
REAL_TEST step:38, travel time:493.4554608830364, q_loss:100, rewards:-313.19437, queue:73.062805, delay:1.3321643, throughput:3130
REAL_TEST step:40, travel time:849.803510933169, q_loss:100, rewards:-324.1131, queue:111.17399, delay:1.1721549, throughput:2135
REAL_TEST step:42, travel time:622.2496596787367, q_loss:100, rewards:-313.29608, queue:130.90108, delay:1.3493537, throughput:2606
REAL_TEST step:44, travel time:400.22802197802196, q_loss:100, rewards:-314.3645, queue:20.440594, delay:1.146678, throughput:3401
REAL_TEST step:46, travel time:1208.6048324240062, q_loss:100, rewards:-331.85168, queue:174.86346, delay:1.217103, throughput:1393
REAL_TEST step:48, travel time:420.84199949761364, q_loss:100, rewards:-309.20917, queue:108.642044, delay:1.0938426, throughput:3322
REAL_TEST step:50, travel time:957.5284445905952, q_loss:100, rewards:-328.44733, queue:154.63707, delay:1.3265342, throughput:2039
REAL_TEST step:52, travel time:527.1359015516318, q_loss:100, rewards:-313.06442, queue:89.09242, delay:1.4290184, throughput:2973
REAL_TEST step:54, travel time:429.49112278069515, q_loss:100, rewards:-315.2736, queue:100.51667, delay:1.0472229, throughput:3326
REAL_TEST step:56, travel time:618.5176914153133, q_loss:100, rewards:-315.39145, queue:32.433674, delay:0.9986398, throughput:2656
REAL_TEST step:58, travel time:499.7192337969037, q_loss:100, rewards:-341.03995, queue:123.70243, delay:1.2807969, throughput:3089
REAL_TEST step:60, travel time:626.4266015512784, q_loss:100, rewards:-339.97653, queue:129.20023, delay:1.3745512, throughput:2727
REAL_TEST step:62, travel time:407.3608169440242, q_loss:100, rewards:-313.4894, queue:99.98431, delay:1.1259408, throughput:3341
REAL_TEST step:64, travel time:412.4795321637427, q_loss:100, rewards:-314.7253, queue:110.20476, delay:1.4319625, throughput:3333
