replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_domain_randomization_s0/model/bullhead_3_noise5_presslight_domain_randomization -> eval real_setting=noise10
REAL_TEST step:3, travel time:1246.827695083446, q_loss:100, rewards:-126.09693, queue:162.65755, delay:4.4365277, throughput:1252
REAL_TEST step:6, travel time:236.82672434510934, q_loss:100, rewards:-104.327515, queue:67.15396, delay:4.38167, throughput:3816
REAL_TEST step:9, travel time:229.29517208413003, q_loss:100, rewards:-106.51555, queue:60.627678, delay:4.3629336, throughput:3871
REAL_TEST step:12, travel time:977.3115942028985, q_loss:100, rewards:-183.59335, queue:193.14563, delay:4.527949, throughput:1716
REAL_TEST step:15, travel time:272.2918118466899, q_loss:100, rewards:-143.66888, queue:66.91498, delay:4.282815, throughput:3146
REAL_TEST step:18, travel time:264.5769780062839, q_loss:100, rewards:-137.31778, queue:65.954926, delay:4.360243, throughput:3221
REAL_TEST step:21, travel time:225.4804015296367, q_loss:100, rewards:-100.488365, queue:61.875355, delay:4.305502, throughput:3862
REAL_TEST step:24, travel time:318.3437128595198, q_loss:100, rewards:-74.23165, queue:70.868195, delay:4.43655, throughput:3712
REAL_TEST step:27, travel time:198.30873601523447, q_loss:100, rewards:-95.35139, queue:53.189407, delay:4.3539996, throughput:3955
REAL_TEST step:30, travel time:190.28938073934543, q_loss:100, rewards:-84.24361, queue:50.51156, delay:4.40171, throughput:4021
REAL_TEST step:33, travel time:211.8431511710433, q_loss:100, rewards:-102.45277, queue:56.36643, delay:4.228572, throughput:3960
REAL_TEST step:36, travel time:193.6646553724762, q_loss:100, rewards:-84.767494, queue:51.36938, delay:4.3503656, throughput:4046
REAL_TEST step:39, travel time:226.3656117146906, q_loss:100, rewards:-114.72999, queue:59.86643, delay:4.3195825, throughput:3919
REAL_TEST step:42, travel time:268.5481735719539, q_loss:100, rewards:-129.83026, queue:69.295166, delay:4.499876, throughput:3715
REAL_TEST step:45, travel time:309.94564946397406, q_loss:100, rewards:-125.59722, queue:75.23485, delay:4.364034, throughput:3455
REAL_TEST step:48, travel time:1468.5713736052328, q_loss:100, rewards:-314.9953, queue:318.10013, delay:4.4159408, throughput:976
REAL_TEST step:51, travel time:195.27170606131523, q_loss:100, rewards:-87.44444, queue:50.4392, delay:4.31281, throughput:4045
REAL_TEST step:54, travel time:172.60247143856375, q_loss:100, rewards:-69.78777, queue:45.484024, delay:4.280374, throughput:4104
REAL_TEST step:57, travel time:173.58084519981625, q_loss:100, rewards:-67.44474, queue:46.828457, delay:4.269828, throughput:4149
REAL_TEST step:60, travel time:168.15339986075656, q_loss:100, rewards:-59.410835, queue:46.36124, delay:4.288542, throughput:4061
REAL_TEST step:63, travel time:178.782861124013, q_loss:100, rewards:-79.112785, queue:47.83555, delay:4.3845983, throughput:4080
REAL_TEST step:66, travel time:150.54330889092574, q_loss:100, rewards:-40.926113, queue:39.146267, delay:4.261013, throughput:4198
REAL_TEST step:69, travel time:177.25823264629236, q_loss:100, rewards:-63.79917, queue:48.054253, delay:4.405365, throughput:3989
REAL_TEST step:72, travel time:204.58352668213456, q_loss:100, rewards:-79.66306, queue:56.945194, delay:4.3449316, throughput:4010
REAL_TEST step:75, travel time:189.94897252366658, q_loss:100, rewards:-80.79973, queue:52.524895, delay:4.3795853, throughput:4083
REAL_TEST step:78, travel time:214.39869433434367, q_loss:100, rewards:-100.87054, queue:60.642464, delay:4.384573, throughput:4005
REAL_TEST step:81, travel time:227.58922638822972, q_loss:100, rewards:-90.00975, queue:63.036892, delay:4.3413315, throughput:3863
REAL_TEST step:84, travel time:269.69984879032256, q_loss:100, rewards:-131.74976, queue:68.95176, delay:4.423094, throughput:3560
REAL_TEST step:87, travel time:235.23441768065558, q_loss:100, rewards:-131.8728, queue:63.036907, delay:4.376554, throughput:3730
REAL_TEST step:90, travel time:205.8020364669666, q_loss:100, rewards:-105.023056, queue:55.088257, delay:4.329352, throughput:3962
REAL_TEST step:93, travel time:230.47441629408843, q_loss:100, rewards:-111.7111, queue:60.477615, delay:4.3877306, throughput:3709
REAL_TEST step:96, travel time:214.07358992979908, q_loss:100, rewards:-102.36466, queue:58.03861, delay:4.288663, throughput:3855
REAL_TEST step:99, travel time:191.5632823365786, q_loss:100, rewards:-89.67472, queue:52.03677, delay:4.2960434, throughput:4052
REAL_TEST step:102, travel time:206.62011577424022, q_loss:100, rewards:-107.38331, queue:54.894207, delay:4.308839, throughput:3879
REAL_TEST step:105, travel time:201.67895618865214, q_loss:100, rewards:-102.37611, queue:54.70703, delay:4.393799, throughput:3906
REAL_TEST step:108, travel time:194.4615564384202, q_loss:100, rewards:-91.821655, queue:52.664944, delay:4.439067, throughput:4012
REAL_TEST step:111, travel time:216.1076578816509, q_loss:100, rewards:-102.8778, queue:57.55497, delay:4.2917027, throughput:3756
REAL_TEST step:114, travel time:224.62311814238325, q_loss:100, rewards:-87.936104, queue:58.967575, delay:4.3283606, throughput:3588
REAL_TEST step:117, travel time:215.21226641111645, q_loss:100, rewards:-110.27803, queue:58.999207, delay:4.4086614, throughput:3901
REAL_TEST step:120, travel time:200.7831920903955, q_loss:100, rewards:-99.93583, queue:53.074398, delay:4.392718, throughput:3996
REAL_TEST step:123, travel time:207.37034417727486, q_loss:100, rewards:-109.714714, queue:57.471943, delay:4.448411, throughput:3971
REAL_TEST step:126, travel time:208.65633937082936, q_loss:100, rewards:-106.979706, queue:56.54384, delay:4.307261, throughput:3920
REAL_TEST step:129, travel time:204.9240506329114, q_loss:100, rewards:-101.620834, queue:54.007545, delay:4.2769475, throughput:3919
REAL_TEST step:132, travel time:209.97588618278274, q_loss:100, rewards:-105.04832, queue:56.4357, delay:4.387787, throughput:3863
REAL_TEST step:135, travel time:207.16986564299424, q_loss:100, rewards:-102.89775, queue:55.772987, delay:4.476331, throughput:3890
REAL_TEST step:138, travel time:210.14713635274384, q_loss:100, rewards:-105.795006, queue:57.070084, delay:4.230608, throughput:3908
REAL_TEST step:141, travel time:192.2474994184694, q_loss:100, rewards:-88.63166, queue:54.14024, delay:4.253643, throughput:4022
REAL_TEST step:144, travel time:202.65571017274473, q_loss:100, rewards:-100.61834, queue:52.973457, delay:4.362085, throughput:3923
REAL_TEST step:147, travel time:191.37281417579857, q_loss:100, rewards:-88.68972, queue:52.005585, delay:4.3517175, throughput:4022
REAL_TEST step:150, travel time:161.95675300647548, q_loss:100, rewards:-60.27804, queue:43.575996, delay:4.331424, throughput:4129
REAL_TEST step:153, travel time:169.706993006993, q_loss:100, rewards:-62.681393, queue:46.190083, delay:4.4655337, throughput:4059
REAL_TEST step:156, travel time:193.65922968529827, q_loss:100, rewards:-90.348625, queue:54.05819, delay:4.565482, throughput:4007
REAL_TEST step:159, travel time:170.86284922650657, q_loss:100, rewards:-65.28915, queue:47.507984, delay:4.30874, throughput:4087
REAL_TEST step:162, travel time:180.32993984266542, q_loss:100, rewards:-73.18362, queue:48.21229, delay:4.4761295, throughput:4101
REAL_TEST step:165, travel time:186.39107059373538, q_loss:100, rewards:-83.597786, queue:50.597454, delay:4.273451, throughput:4052
REAL_TEST step:168, travel time:178.12583390844262, q_loss:100, rewards:-75.69166, queue:48.30866, delay:4.489589, throughput:4115
REAL_TEST step:171, travel time:179.41911421911422, q_loss:100, rewards:-74.109726, queue:49.05897, delay:4.3852262, throughput:4034
REAL_TEST step:174, travel time:269.2648108493933, q_loss:100, rewards:-84.853584, queue:66.694336, delay:4.2922344, throughput:3590
REAL_TEST step:177, travel time:181.93867595818816, q_loss:100, rewards:-69.18445, queue:48.622013, delay:4.36603, throughput:4079
REAL_TEST step:180, travel time:277.253426364316, q_loss:100, rewards:-86.05977, queue:61.237854, delay:4.2963476, throughput:3637
REAL_TEST step:183, travel time:327.72577265584073, q_loss:100, rewards:-88.32838, queue:65.79104, delay:4.3215103, throughput:3299
REAL_TEST step:186, travel time:180.1174269005848, q_loss:100, rewards:-73.25223, queue:47.873974, delay:4.4219193, throughput:4005
REAL_TEST step:189, travel time:349.0278145695364, q_loss:100, rewards:-107.49276, queue:70.53495, delay:4.282439, throughput:3310
REAL_TEST step:192, travel time:172.4225873640361, q_loss:100, rewards:-70.276405, queue:46.43174, delay:4.3109393, throughput:4121
REAL_TEST step:195, travel time:173.36192228098415, q_loss:100, rewards:-69.158066, queue:47.39302, delay:4.2257667, throughput:4148
REAL_TEST step:198, travel time:180.40978311029073, q_loss:100, rewards:-77.87111, queue:48.35509, delay:4.367916, throughput:4115
REAL_TEST step:201, travel time:175.3439226519337, q_loss:100, rewards:-70.67112, queue:48.04733, delay:4.294192, throughput:4134
REAL_TEST step:204, travel time:167.5970974429855, q_loss:100, rewards:-67.12193, queue:45.72272, delay:4.295424, throughput:4114
REAL_TEST step:207, travel time:177.01197880672657, q_loss:100, rewards:-72.17945, queue:47.019154, delay:4.369597, throughput:4112
REAL_TEST step:210, travel time:173.2916955817719, q_loss:100, rewards:-70.66835, queue:46.310764, delay:4.3526244, throughput:4096
REAL_TEST step:213, travel time:213.1455435342607, q_loss:100, rewards:-99.6453, queue:56.134243, delay:4.34813, throughput:3642
REAL_TEST step:216, travel time:171.49299333792786, q_loss:100, rewards:-62.836952, queue:45.18763, delay:4.274834, throughput:4114
REAL_TEST step:219, travel time:186.58107795512376, q_loss:100, rewards:-81.5264, queue:51.536747, delay:4.3882732, throughput:4071
REAL_TEST step:222, travel time:180.12102944586135, q_loss:100, rewards:-76.53475, queue:48.78718, delay:4.310423, throughput:4070
REAL_TEST step:225, travel time:192.1430246189918, q_loss:100, rewards:-83.50499, queue:51.728996, delay:4.397032, throughput:4010
