Loading cached latent encoders from pretrained/lusr/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_lusr_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:233.63284905195763, q_loss:100, rewards:-120.67526, queue:44.033497, delay:1.6405324, throughput:3738
REAL_TEST step:4, travel time:544.4141021810576, q_loss:100, rewards:-373.73703, queue:137.47145, delay:1.629876, throughput:2630
REAL_TEST step:6, travel time:535.4246575342465, q_loss:100, rewards:-365.2014, queue:136.63553, delay:1.627245, throughput:2728
REAL_TEST step:8, travel time:1053.8182744565217, q_loss:100, rewards:-174.52057, queue:161.29424, delay:1.7257242, throughput:2533
REAL_TEST step:10, travel time:1241.1415019762846, q_loss:100, rewards:-125.05749, queue:158.61218, delay:1.6572598, throughput:1373
REAL_TEST step:12, travel time:293.8066896212494, q_loss:100, rewards:-113.148895, queue:56.77453, delay:1.6346537, throughput:3653
REAL_TEST step:14, travel time:304.494140625, q_loss:100, rewards:-107.84667, queue:57.399803, delay:1.6208524, throughput:3670
REAL_TEST step:16, travel time:359.72305699481865, q_loss:100, rewards:-108.75084, queue:63.446888, delay:1.6705433, throughput:3093
REAL_TEST step:18, travel time:310.3475055296142, q_loss:100, rewards:-110.50416, queue:58.422543, delay:1.6392391, throughput:3645
REAL_TEST step:20, travel time:282.45329060882426, q_loss:100, rewards:-108.90555, queue:55.702927, delay:1.6562966, throughput:3657
REAL_TEST step:22, travel time:268.9629901960784, q_loss:100, rewards:-111.69444, queue:54.1628, delay:1.5956316, throughput:3699
REAL_TEST step:24, travel time:302.7978436657682, q_loss:100, rewards:-112.39941, queue:55.89582, delay:1.6426146, throughput:3666
REAL_TEST step:26, travel time:262.9103614457831, q_loss:100, rewards:-103.55695, queue:46.609997, delay:1.6102364, throughput:3784
REAL_TEST step:28, travel time:697.8706216472074, q_loss:100, rewards:-186.07474, queue:116.93579, delay:1.6868883, throughput:2177
REAL_TEST step:30, travel time:243.15566150178785, q_loss:100, rewards:-95.526375, queue:38.61488, delay:1.6177, throughput:3885
REAL_TEST step:32, travel time:490.48786754210676, q_loss:100, rewards:-105.65885, queue:73.86701, delay:1.6512867, throughput:2635
REAL_TEST step:34, travel time:265.07238095238097, q_loss:100, rewards:-97.68636, queue:48.912384, delay:1.619848, throughput:3844
REAL_TEST step:36, travel time:337.03885743695315, q_loss:100, rewards:-110.30723, queue:57.01009, delay:1.6287918, throughput:3243
REAL_TEST step:38, travel time:238.9904388330473, q_loss:100, rewards:-107.65473, queue:44.701237, delay:1.6134188, throughput:3744
REAL_TEST step:40, travel time:261.5060209424084, q_loss:100, rewards:-131.56808, queue:50.806698, delay:1.6225342, throughput:3491
REAL_TEST step:42, travel time:230.15973218555715, q_loss:100, rewards:-115.848076, queue:44.31818, delay:1.6559632, throughput:3870
REAL_TEST step:44, travel time:217.57387580299786, q_loss:100, rewards:-103.37556, queue:37.533062, delay:1.6441916, throughput:3910
REAL_TEST step:46, travel time:219.5073774393146, q_loss:100, rewards:-95.393036, queue:37.83675, delay:1.6864445, throughput:3938
REAL_TEST step:48, travel time:214.23863092388703, q_loss:100, rewards:-103.01945, queue:37.281574, delay:1.6314753, throughput:3891
REAL_TEST step:50, travel time:222.76968503937007, q_loss:100, rewards:-119.464455, queue:39.80687, delay:1.6442783, throughput:3781
REAL_TEST step:52, travel time:254.28442115292998, q_loss:100, rewards:-91.115845, queue:42.354557, delay:1.6391737, throughput:3859
REAL_TEST step:54, travel time:243.80865068171133, q_loss:100, rewards:-98.264465, queue:40.81526, delay:1.6144074, throughput:3959
REAL_TEST step:56, travel time:244.9412772204551, q_loss:100, rewards:-109.53393, queue:41.67452, delay:1.6538407, throughput:3812
REAL_TEST step:58, travel time:223.71321935949916, q_loss:100, rewards:-93.98669, queue:36.165962, delay:1.6350212, throughput:3888
REAL_TEST step:60, travel time:230.40829954686382, q_loss:100, rewards:-103.05389, queue:39.10063, delay:1.6261926, throughput:3885
REAL_TEST step:62, travel time:259.3195251937984, q_loss:100, rewards:-101.21363, queue:43.98217, delay:1.6269814, throughput:3798
REAL_TEST step:64, travel time:224.15797066602548, q_loss:100, rewards:-87.89303, queue:36.441174, delay:1.5970422, throughput:3872
REAL_TEST step:66, travel time:238.06755788971114, q_loss:100, rewards:-97.24113, queue:41.227043, delay:1.6148616, throughput:3879
REAL_TEST step:68, travel time:220.98475827577994, q_loss:100, rewards:-96.99779, queue:37.02682, delay:1.6039586, throughput:3925
REAL_TEST step:70, travel time:238.62025622431713, q_loss:100, rewards:-110.284134, queue:42.180874, delay:1.6378568, throughput:3827
REAL_TEST step:72, travel time:222.4540901502504, q_loss:100, rewards:-93.611115, queue:37.161404, delay:1.652665, throughput:3919
REAL_TEST step:74, travel time:227.06749764816556, q_loss:100, rewards:-61.446663, queue:35.250423, delay:1.545574, throughput:3985
REAL_TEST step:76, travel time:177.1761416589003, q_loss:100, rewards:-59.859734, queue:24.854252, delay:1.5541528, throughput:4068
REAL_TEST step:78, travel time:595.2799881235154, q_loss:100, rewards:-153.45116, queue:101.56207, delay:1.5981301, throughput:2488
REAL_TEST step:80, travel time:199.98118089861208, q_loss:100, rewards:-55.991684, queue:25.747541, delay:1.5353081, throughput:4010
REAL_TEST step:82, travel time:186.5280131826742, q_loss:100, rewards:-56.257504, queue:25.704185, delay:1.5678254, throughput:4024
REAL_TEST step:84, travel time:497.7571664829107, q_loss:100, rewards:-123.431076, queue:87.05446, delay:1.6333722, throughput:2688
REAL_TEST step:86, travel time:227.8915547024952, q_loss:100, rewards:-90.07804, queue:36.462578, delay:1.6000793, throughput:3888
REAL_TEST step:88, travel time:223.8435051056756, q_loss:100, rewards:-87.16638, queue:35.091022, delay:1.6264628, throughput:3938
REAL_TEST step:90, travel time:224.58588738417677, q_loss:100, rewards:-93.058334, queue:36.24614, delay:1.6610454, throughput:3905
REAL_TEST step:92, travel time:236.60250058976175, q_loss:100, rewards:-85.97807, queue:38.46369, delay:1.5775892, throughput:3923
REAL_TEST step:94, travel time:187.48294392523366, q_loss:100, rewards:-56.727226, queue:26.34184, delay:1.5256515, throughput:4066
REAL_TEST step:96, travel time:218.246138996139, q_loss:100, rewards:-59.5864, queue:33.946426, delay:1.536569, throughput:3779
REAL_TEST step:98, travel time:170.1651184393869, q_loss:100, rewards:-43.061382, queue:23.60022, delay:1.5336109, throughput:4091
REAL_TEST step:100, travel time:179.8011641443539, q_loss:100, rewards:-48.491096, queue:23.72189, delay:1.5164427, throughput:4099
REAL_TEST step:102, travel time:162.7459434399629, q_loss:100, rewards:-42.191956, queue:20.315619, delay:1.5452086, throughput:4107
REAL_TEST step:104, travel time:165.75409836065575, q_loss:100, rewards:-46.90417, queue:22.495562, delay:1.6135201, throughput:4139
REAL_TEST step:106, travel time:161.03743933441183, q_loss:100, rewards:-48.034992, queue:20.361122, delay:1.5358908, throughput:4119
REAL_TEST step:108, travel time:192.42089413944868, q_loss:100, rewards:-87.571945, queue:30.832827, delay:1.6374068, throughput:4035
REAL_TEST step:110, travel time:198.88886272663055, q_loss:100, rewards:-95.141365, queue:34.014915, delay:1.5892253, throughput:3977
REAL_TEST step:112, travel time:208.14696337505796, q_loss:100, rewards:-79.531685, queue:36.22679, delay:1.6415325, throughput:3988
REAL_TEST step:114, travel time:210.7503512880562, q_loss:100, rewards:-98.18945, queue:38.583694, delay:1.6428776, throughput:3993
REAL_TEST step:116, travel time:180.88223140495867, q_loss:100, rewards:-56.987766, queue:27.294727, delay:1.5236307, throughput:4111
REAL_TEST step:118, travel time:191.6785464709993, q_loss:100, rewards:-81.191635, queue:31.524063, delay:1.6091864, throughput:4056
REAL_TEST step:120, travel time:208.72209026128266, q_loss:100, rewards:-95.66607, queue:37.355003, delay:1.5920668, throughput:3931
REAL_TEST step:122, travel time:208.95203385845286, q_loss:100, rewards:-88.83167, queue:37.264294, delay:1.5977383, throughput:3976
REAL_TEST step:124, travel time:206.30927342256214, q_loss:100, rewards:-99.082184, queue:36.39888, delay:1.6380154, throughput:3927
REAL_TEST step:126, travel time:202.9742449075158, q_loss:100, rewards:-88.32194, queue:34.917007, delay:1.5728346, throughput:4004
REAL_TEST step:128, travel time:194.32142857142858, q_loss:100, rewards:-83.53585, queue:32.510498, delay:1.591727, throughput:3995
REAL_TEST step:130, travel time:193.73112986404126, q_loss:100, rewards:-83.90668, queue:32.13695, delay:1.571504, throughput:4020
REAL_TEST step:132, travel time:210.11989795918367, q_loss:100, rewards:-90.890236, queue:37.678005, delay:1.6101528, throughput:4033
REAL_TEST step:134, travel time:215.22398710865562, q_loss:100, rewards:-75.06501, queue:37.012486, delay:1.5663447, throughput:4023
REAL_TEST step:136, travel time:217.37502933583667, q_loss:100, rewards:-83.18946, queue:38.340164, delay:1.5640901, throughput:3946
REAL_TEST step:138, travel time:217.7823306489815, q_loss:100, rewards:-91.72832, queue:39.628418, delay:1.6022148, throughput:3940
REAL_TEST step:140, travel time:223.19835111542193, q_loss:100, rewards:-93.905, queue:40.3372, delay:1.5796466, throughput:3830
REAL_TEST step:142, travel time:213.852171882298, q_loss:100, rewards:-83.37475, queue:38.987392, delay:1.5818472, throughput:3955
REAL_TEST step:144, travel time:203.3799357208448, q_loss:100, rewards:-66.42055, queue:32.229755, delay:1.5376002, throughput:4001
REAL_TEST step:146, travel time:296.66057504873294, q_loss:100, rewards:-87.39499, queue:54.506104, delay:1.5841974, throughput:3561
REAL_TEST step:148, travel time:222.53024662633783, q_loss:100, rewards:-85.690285, queue:40.60221, delay:1.5830082, throughput:3922
REAL_TEST step:150, travel time:194.86287703016242, q_loss:100, rewards:-81.38055, queue:32.142963, delay:1.59156, throughput:4062
REAL_TEST step:152, travel time:213.34448007329362, q_loss:100, rewards:-62.06028, queue:34.681396, delay:1.5518954, throughput:4069
REAL_TEST step:154, travel time:179.66268930702157, q_loss:100, rewards:-61.601406, queue:27.247982, delay:1.5804832, throughput:4088
REAL_TEST step:156, travel time:193.45794178317672, q_loss:100, rewards:-61.17501, queue:29.842714, delay:1.5665876, throughput:4055
REAL_TEST step:158, travel time:172.82794218857535, q_loss:100, rewards:-53.34722, queue:24.85403, delay:1.5276331, throughput:4143
REAL_TEST step:160, travel time:176.68672485071198, q_loss:100, rewards:-57.062504, queue:26.08672, delay:1.5132105, throughput:4125
REAL_TEST step:162, travel time:182.05955107650024, q_loss:100, rewards:-38.176384, queue:24.591236, delay:1.5304044, throughput:4152
REAL_TEST step:164, travel time:185.96722438688977, q_loss:100, rewards:-45.69417, queue:25.760702, delay:1.4992608, throughput:4087
REAL_TEST step:166, travel time:162.19234296194406, q_loss:100, rewards:-40.05388, queue:19.476915, delay:1.5279967, throughput:4181
REAL_TEST step:168, travel time:205.54855824682815, q_loss:100, rewards:-75.01555, queue:34.209984, delay:1.5875947, throughput:4067
REAL_TEST step:170, travel time:233.5482374768089, q_loss:100, rewards:-52.25944, queue:35.027866, delay:1.5130618, throughput:3990
REAL_TEST step:172, travel time:198.89225821272686, q_loss:100, rewards:-52.830254, queue:30.705486, delay:1.5742699, throughput:4035
REAL_TEST step:174, travel time:191.10963302752293, q_loss:100, rewards:-59.714996, queue:29.49446, delay:1.4854621, throughput:4077
REAL_TEST step:176, travel time:177.94491622676153, q_loss:100, rewards:-47.14111, queue:26.092047, delay:1.5699521, throughput:4155
REAL_TEST step:178, travel time:188.42612716763006, q_loss:100, rewards:-53.464714, queue:27.156015, delay:1.5352577, throughput:4088
REAL_TEST step:180, travel time:173.4031185507911, q_loss:100, rewards:-48.695824, queue:24.014713, delay:1.4966571, throughput:4107
REAL_TEST step:182, travel time:207.96654275092936, q_loss:100, rewards:-78.30026, queue:32.61104, delay:1.6044594, throughput:4027
REAL_TEST step:184, travel time:209.95920259619842, q_loss:100, rewards:-77.99388, queue:32.4511, delay:1.5721667, throughput:4075
REAL_TEST step:186, travel time:185.43599257884972, q_loss:100, rewards:-73.9, queue:27.464613, delay:1.5645664, throughput:4071
REAL_TEST step:188, travel time:202.58931947069942, q_loss:100, rewards:-90.13082, queue:33.538857, delay:1.571974, throughput:4013
REAL_TEST step:190, travel time:187.16374942422846, q_loss:100, rewards:-74.97112, queue:28.287197, delay:1.5665087, throughput:4078
REAL_TEST step:192, travel time:205.86317858020143, q_loss:100, rewards:-81.38082, queue:33.95113, delay:1.568686, throughput:3829
REAL_TEST step:194, travel time:210.20248808893595, q_loss:100, rewards:-77.07417, queue:32.334713, delay:1.5413297, throughput:3564
REAL_TEST step:196, travel time:262.3832799145299, q_loss:100, rewards:-85.77058, queue:40.987907, delay:1.5250915, throughput:3456
REAL_TEST step:198, travel time:226.73352069494123, q_loss:100, rewards:-81.465004, queue:39.87193, delay:1.5273123, throughput:3646
Total time taken: 1234.1953117847443
