Loading cached latent encoders from pretrained/vae_embedding/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:1255.7385008517888, q_loss:100, rewards:-117.92051, queue:220.26204, delay:0.8208035, throughput:1396
REAL_TEST step:4, travel time:221.13659117997616, q_loss:100, rewards:-108.70554, queue:35.050926, delay:0.708904, throughput:3880
REAL_TEST step:6, travel time:989.4747855917667, q_loss:100, rewards:-189.61888, queue:166.39166, delay:0.86316675, throughput:1467
REAL_TEST step:8, travel time:900.063764141241, q_loss:100, rewards:-187.92918, queue:143.62778, delay:0.8342289, throughput:1765
REAL_TEST step:10, travel time:574.4192556136574, q_loss:100, rewards:-383.34088, queue:136.7889, delay:0.7576723, throughput:2523
REAL_TEST step:12, travel time:318.5430424528302, q_loss:100, rewards:-151.12141, queue:58.16574, delay:0.77542, throughput:3019
REAL_TEST step:14, travel time:864.9870086608927, q_loss:100, rewards:-170.39726, queue:138.65186, delay:0.796123, throughput:1862
REAL_TEST step:16, travel time:318.5430424528302, q_loss:100, rewards:-151.12141, queue:58.16574, delay:0.77542, throughput:3019
REAL_TEST step:18, travel time:259.34624937903624, q_loss:100, rewards:-123.47221, queue:48.346294, delay:0.7915058, throughput:3648
REAL_TEST step:20, travel time:264.45032290114256, q_loss:100, rewards:-121.89418, queue:50.252777, delay:0.7903448, throughput:3652
REAL_TEST step:22, travel time:265.8193038755863, q_loss:100, rewards:-123.47026, queue:51.099075, delay:0.7902096, throughput:3665
REAL_TEST step:24, travel time:264.41450269475746, q_loss:100, rewards:-123.34666, queue:50.961113, delay:0.793705, throughput:3699
REAL_TEST step:26, travel time:1040.4493440233236, q_loss:100, rewards:-316.51257, queue:179.80371, delay:0.8512228, throughput:1507
REAL_TEST step:28, travel time:677.6369294605809, q_loss:100, rewards:-197.98724, queue:126.96852, delay:0.7136094, throughput:2114
REAL_TEST step:30, travel time:658.9083069847658, q_loss:100, rewards:-298.26657, queue:137.45833, delay:0.73760766, throughput:2458
REAL_TEST step:32, travel time:446.4305204648812, q_loss:100, rewards:-359.7478, queue:119.76204, delay:0.7725804, throughput:3276
REAL_TEST step:34, travel time:760.3736301369863, q_loss:100, rewards:-109.64828, queue:157.08333, delay:0.78934103, throughput:2081
REAL_TEST step:36, travel time:2097.9889447236183, q_loss:100, rewards:-340.12195, queue:322.77222, delay:0.81017184, throughput:228
REAL_TEST step:38, travel time:1620.6679704476314, q_loss:100, rewards:-281.95245, queue:297.83057, delay:0.7665458, throughput:558
REAL_TEST step:40, travel time:1108.845924823223, q_loss:100, rewards:-176.36719, queue:164.72778, delay:0.75818086, throughput:1180
REAL_TEST step:42, travel time:2138.114314115308, q_loss:100, rewards:-356.59656, queue:307.6213, delay:0.8502577, throughput:253
REAL_TEST step:44, travel time:2049.0737001514385, q_loss:100, rewards:-346.17773, queue:336.1889, delay:0.81988245, throughput:234
REAL_TEST step:46, travel time:1454.6609724047307, q_loss:100, rewards:-311.8927, queue:211.88148, delay:0.742373, throughput:973
REAL_TEST step:48, travel time:1301.1413173652695, q_loss:100, rewards:-324.16666, queue:237.5176, delay:0.715029, throughput:984
REAL_TEST step:50, travel time:1741.7030481809243, q_loss:100, rewards:-326.58435, queue:238.37778, delay:0.77077144, throughput:724
REAL_TEST step:52, travel time:843.3868842171321, q_loss:100, rewards:-297.14386, queue:161.06389, delay:0.6647094, throughput:1832
REAL_TEST step:54, travel time:1475.9858030168589, q_loss:100, rewards:-314.79865, queue:209.99815, delay:0.77413577, throughput:930
REAL_TEST step:56, travel time:439.94310344827585, q_loss:100, rewards:-241.25977, queue:102.41852, delay:0.5704145, throughput:3313
REAL_TEST step:58, travel time:1391.3796376186367, q_loss:100, rewards:-283.7963, queue:204.16112, delay:0.76250654, throughput:994
REAL_TEST step:60, travel time:505.1482634730539, q_loss:100, rewards:-295.94864, queue:120.1787, delay:0.5616918, throughput:3281
REAL_TEST step:62, travel time:553.9027325144147, q_loss:100, rewards:-244.36356, queue:131.81111, delay:0.62552154, throughput:3174
REAL_TEST step:64, travel time:1713.6369485294117, q_loss:100, rewards:-231.26474, queue:260.7037, delay:0.73285306, throughput:534
REAL_TEST step:66, travel time:1283.5265681182582, q_loss:100, rewards:-251.21017, queue:209.04259, delay:0.68819255, throughput:1189
REAL_TEST step:68, travel time:1624.5508755324183, q_loss:100, rewards:-150.28949, queue:236.57686, delay:0.74423367, throughput:609
REAL_TEST step:70, travel time:1510.3077638307764, q_loss:100, rewards:-145.36975, queue:212.5287, delay:0.73628145, throughput:755
REAL_TEST step:72, travel time:690.5908953873983, q_loss:100, rewards:-68.88355, queue:108.30463, delay:0.64756876, throughput:2391
REAL_TEST step:74, travel time:1154.844113372093, q_loss:100, rewards:-133.01808, queue:198.58519, delay:0.6654607, throughput:1266
REAL_TEST step:76, travel time:1422.938785046729, q_loss:100, rewards:-152.88307, queue:192.16759, delay:0.74318767, throughput:954
REAL_TEST step:78, travel time:1413.9859094790777, q_loss:100, rewards:-108.52334, queue:213.13055, delay:0.69583064, throughput:919
REAL_TEST step:80, travel time:1377.1263809102961, q_loss:100, rewards:-88.44082, queue:195.18796, delay:0.70318556, throughput:992
REAL_TEST step:82, travel time:1250.8082373782108, q_loss:100, rewards:-87.49524, queue:169.3361, delay:0.7132325, throughput:1325
REAL_TEST step:84, travel time:1221.4170579029733, q_loss:100, rewards:-82.71491, queue:208.4611, delay:0.66119015, throughput:1301
REAL_TEST step:86, travel time:1550.3, q_loss:100, rewards:-179.99115, queue:233.25371, delay:0.72593015, throughput:675
REAL_TEST step:88, travel time:1279.5139138240575, q_loss:100, rewards:-113.93848, queue:172.61482, delay:0.73624027, throughput:1157
REAL_TEST step:90, travel time:1440.8709106984968, q_loss:100, rewards:-138.76805, queue:229.0, delay:0.71822596, throughput:793
REAL_TEST step:92, travel time:1584.9466606902733, q_loss:100, rewards:-197.48279, queue:239.08797, delay:0.7313119, throughput:634
REAL_TEST step:94, travel time:1482.2435210008937, q_loss:100, rewards:-136.07578, queue:217.57129, delay:0.72838837, throughput:759
REAL_TEST step:96, travel time:1473.317543859649, q_loss:100, rewards:-163.75058, queue:222.12685, delay:0.73041487, throughput:767
REAL_TEST step:98, travel time:1234.8001511144691, q_loss:100, rewards:-159.52197, queue:206.2, delay:0.6825575, throughput:1166
REAL_TEST step:100, travel time:1052.3396501457726, q_loss:100, rewards:-196.95107, queue:169.24167, delay:0.6772478, throughput:1568
REAL_TEST step:102, travel time:1704.3937078651686, q_loss:100, rewards:-263.96497, queue:279.93054, delay:0.7323327, throughput:569
REAL_TEST step:104, travel time:1386.3774781919112, q_loss:100, rewards:-211.75113, queue:231.26575, delay:0.7075139, throughput:955
REAL_TEST step:106, travel time:1502.1574608408903, q_loss:100, rewards:-252.17218, queue:245.5963, delay:0.7046861, throughput:824
REAL_TEST step:108, travel time:1200.603435399552, q_loss:100, rewards:-146.93309, queue:200.7676, delay:0.67647576, throughput:1214
REAL_TEST step:110, travel time:1480.6166186754422, q_loss:100, rewards:-206.14423, queue:242.98056, delay:0.7077575, throughput:825
REAL_TEST step:112, travel time:1659.8107126645484, q_loss:100, rewards:-259.29803, queue:251.11111, delay:0.7338659, throughput:613
REAL_TEST step:114, travel time:1379.9859504132232, q_loss:100, rewards:-177.38644, queue:216.94537, delay:0.7097818, throughput:929
REAL_TEST step:116, travel time:1406.4245002126754, q_loss:100, rewards:-144.24971, queue:215.05371, delay:0.7202267, throughput:876
REAL_TEST step:118, travel time:1366.002143163309, q_loss:100, rewards:-192.86337, queue:204.8287, delay:0.7334295, throughput:1070
REAL_TEST step:120, travel time:1191.333949704142, q_loss:100, rewards:-127.4644, queue:200.68982, delay:0.68011963, throughput:1236
REAL_TEST step:122, travel time:1172.9992727272727, q_loss:100, rewards:-223.02611, queue:201.19537, delay:0.70776343, throughput:1303
REAL_TEST step:124, travel time:894.0612947658402, q_loss:100, rewards:-112.789185, queue:130.89537, delay:0.6898228, throughput:1968
REAL_TEST step:126, travel time:1071.9762282091917, q_loss:100, rewards:-98.74705, queue:151.04445, delay:0.7018142, throughput:1505
REAL_TEST step:128, travel time:547.4905308082156, q_loss:100, rewards:-77.1653, queue:103.01204, delay:0.6274042, throughput:2958
REAL_TEST step:130, travel time:1002.790627362056, q_loss:100, rewards:-111.95267, queue:148.32777, delay:0.7058374, throughput:1601
REAL_TEST step:132, travel time:952.1733693815478, q_loss:100, rewards:-175.02272, queue:159.47963, delay:0.6656563, throughput:1717
REAL_TEST step:134, travel time:281.9576940957694, q_loss:100, rewards:-54.33086, queue:34.36111, delay:0.5525651, throughput:3703
