Loading cached latent encoders from pretrained/vae_embedding/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:1591.4708126669211, q_loss:100, rewards:-301.3317, queue:223.88797, delay:0.49227843, throughput:914
REAL_TEST step:4, travel time:637.1630177514793, q_loss:100, rewards:-177.71136, queue:71.04352, delay:0.33632115, throughput:2264
REAL_TEST step:6, travel time:279.71117092866757, q_loss:100, rewards:-125.300285, queue:24.033333, delay:0.44454005, throughput:3352
REAL_TEST step:8, travel time:927.157715839565, q_loss:100, rewards:-218.89748, queue:92.71111, delay:0.49616784, throughput:1723
REAL_TEST step:10, travel time:481.0204970535485, q_loss:100, rewards:-359.64856, queue:31.639814, delay:0.4103024, throughput:3159
REAL_TEST step:12, travel time:289.27451539338654, q_loss:100, rewards:-130.09665, queue:25.668518, delay:0.441511, throughput:3155
REAL_TEST step:14, travel time:802.379759192971, q_loss:100, rewards:-151.07422, queue:41.735184, delay:0.3892312, throughput:1989
REAL_TEST step:16, travel time:318.5430424528302, q_loss:100, rewards:-151.12141, queue:23.028704, delay:0.31969905, throughput:3019
REAL_TEST step:18, travel time:1163.2037108620023, q_loss:100, rewards:-118.46754, queue:147.70926, delay:0.6239975, throughput:1482
REAL_TEST step:20, travel time:465.63525917926563, q_loss:100, rewards:-143.73114, queue:48.65278, delay:0.5091575, throughput:2681
REAL_TEST step:22, travel time:240.18336162988115, q_loss:100, rewards:-90.10945, queue:14.633333, delay:0.3191907, throughput:3747
REAL_TEST step:24, travel time:781.5095761381476, q_loss:100, rewards:-205.28268, queue:50.88241, delay:0.27917713, throughput:2003
REAL_TEST step:26, travel time:254.7511100148002, q_loss:100, rewards:-116.15584, queue:26.69074, delay:0.55532146, throughput:3716
REAL_TEST step:28, travel time:1449.686433447099, q_loss:100, rewards:-347.16357, queue:22.339815, delay:0.17508171, throughput:1139
REAL_TEST step:30, travel time:564.5422575155984, q_loss:100, rewards:-303.34943, queue:31.780556, delay:0.42916614, throughput:2701
REAL_TEST step:32, travel time:233.35726579788542, q_loss:100, rewards:-129.76971, queue:14.291667, delay:0.31807792, throughput:3766
REAL_TEST step:34, travel time:248.53243574051407, q_loss:100, rewards:-112.3875, queue:18.069445, delay:0.39210677, throughput:3703
REAL_TEST step:36, travel time:437.63610165051085, q_loss:100, rewards:-144.12915, queue:41.49074, delay:0.32055566, throughput:3302
REAL_TEST step:38, travel time:261.5102618542109, q_loss:100, rewards:-116.80944, queue:10.605556, delay:0.28955546, throughput:3798
REAL_TEST step:40, travel time:191.84626300851465, q_loss:100, rewards:-70.656395, queue:10.026852, delay:0.21371493, throughput:3989
REAL_TEST step:42, travel time:258.74394124847004, q_loss:100, rewards:-111.664734, queue:18.791666, delay:0.4919788, throughput:3692
REAL_TEST step:44, travel time:1390.2697448359659, q_loss:100, rewards:-328.1599, queue:43.362038, delay:0.23641439, throughput:1215
REAL_TEST step:46, travel time:223.1189909566873, q_loss:100, rewards:-105.59196, queue:15.195371, delay:0.3403374, throughput:3873
REAL_TEST step:48, travel time:237.17801175318314, q_loss:100, rewards:-112.89363, queue:15.071297, delay:0.37491286, throughput:3766
REAL_TEST step:50, travel time:939.3880799187267, q_loss:100, rewards:-296.85938, queue:99.73148, delay:0.48946682, throughput:1712
REAL_TEST step:52, travel time:344.44287484510534, q_loss:100, rewards:-139.70801, queue:27.47963, delay:0.30860555, throughput:3112
REAL_TEST step:54, travel time:516.3379554105492, q_loss:100, rewards:-281.59897, queue:54.955555, delay:0.25899157, throughput:2876
REAL_TEST step:56, travel time:277.37084592145015, q_loss:100, rewards:-96.08724, queue:5.5953703, delay:0.09804519, throughput:3566
REAL_TEST step:58, travel time:1331.0557172557174, q_loss:100, rewards:-335.57367, queue:55.237038, delay:0.34456408, throughput:1216
REAL_TEST step:60, travel time:224.19929161747345, q_loss:100, rewards:-80.06166, queue:23.367592, delay:0.5231354, throughput:3974
REAL_TEST step:62, travel time:1302.290057518488, q_loss:100, rewards:-331.56137, queue:104.17407, delay:0.28157154, throughput:1245
REAL_TEST step:64, travel time:496.1050572785694, q_loss:100, rewards:-126.93008, queue:45.427776, delay:0.52184016, throughput:3173
REAL_TEST step:66, travel time:305.083313150884, q_loss:100, rewards:-118.30805, queue:15.411111, delay:0.28368875, throughput:3712
REAL_TEST step:68, travel time:1437.8852878464818, q_loss:100, rewards:-291.60992, queue:84.68611, delay:0.39137256, throughput:1023
REAL_TEST step:70, travel time:1360.0882485366951, q_loss:100, rewards:-156.6944, queue:79.465744, delay:0.3674855, throughput:1086
REAL_TEST step:72, travel time:265.6005939123979, q_loss:100, rewards:-123.08671, queue:15.696297, delay:0.27904537, throughput:3654
REAL_TEST step:74, travel time:862.1965894465894, q_loss:100, rewards:-303.2395, queue:75.91389, delay:0.29456913, throughput:1918
REAL_TEST step:76, travel time:384.3043604651163, q_loss:100, rewards:-122.50419, queue:23.041666, delay:0.31409517, throughput:3148
REAL_TEST step:78, travel time:1832.4426616328458, q_loss:100, rewards:-331.0067, queue:80.775, delay:0.28557953, throughput:453
REAL_TEST step:80, travel time:1425.817378497791, q_loss:100, rewards:-107.708336, queue:6.866667, delay:0.11405839, throughput:1075
REAL_TEST step:82, travel time:244.9737728585178, q_loss:100, rewards:-103.72386, queue:11.530556, delay:0.29642785, throughput:3809
REAL_TEST step:84, travel time:988.1639344262295, q_loss:100, rewards:-138.42926, queue:37.22778, delay:0.31699878, throughput:1841
REAL_TEST step:86, travel time:961.8957746478874, q_loss:100, rewards:-128.97552, queue:32.49815, delay:0.23792103, throughput:1467
REAL_TEST step:88, travel time:1003.3703981968445, q_loss:100, rewards:-120.13637, queue:15.868519, delay:0.21113193, throughput:1785
REAL_TEST step:90, travel time:478.685119047619, q_loss:100, rewards:-111.57535, queue:45.66574, delay:0.46808028, throughput:2877
REAL_TEST step:92, travel time:998.7514690632561, q_loss:100, rewards:-104.479675, queue:41.668518, delay:0.29628736, throughput:1564
REAL_TEST step:94, travel time:247.55102040816325, q_loss:100, rewards:-110.01697, queue:8.099074, delay:0.34322754, throughput:3755
REAL_TEST step:96, travel time:642.1701221243965, q_loss:100, rewards:-269.74918, queue:67.369446, delay:0.46455023, throughput:2731
REAL_TEST step:98, travel time:252.59082263433191, q_loss:100, rewards:-104.188065, queue:20.074074, delay:0.47706547, throughput:3762
REAL_TEST step:100, travel time:234.0428402366864, q_loss:100, rewards:-95.9842, queue:13.822222, delay:0.46809575, throughput:3862
REAL_TEST step:102, travel time:347.9116743471582, q_loss:100, rewards:-138.7919, queue:29.575926, delay:0.52117836, throughput:3314
REAL_TEST step:104, travel time:226.61721917481518, q_loss:100, rewards:-86.049995, queue:16.48889, delay:0.35467866, throughput:3875
REAL_TEST step:106, travel time:913.2564784053156, q_loss:100, rewards:-252.67284, queue:77.412964, delay:0.37573135, throughput:1781
REAL_TEST step:108, travel time:1299.4005386687188, q_loss:100, rewards:-346.57938, queue:53.508335, delay:0.218053, throughput:1361
REAL_TEST step:110, travel time:610.4568047337278, q_loss:100, rewards:-112.71217, queue:74.06389, delay:0.5446844, throughput:2664
REAL_TEST step:112, travel time:492.7077973221318, q_loss:100, rewards:-245.15276, queue:65.541664, delay:0.3814617, throughput:3017
REAL_TEST step:114, travel time:818.1374876360039, q_loss:100, rewards:-136.45561, queue:50.944443, delay:0.19554506, throughput:1938
REAL_TEST step:116, travel time:792.3592327698309, q_loss:100, rewards:-121.71087, queue:45.789814, delay:0.22060831, throughput:2130
REAL_TEST step:118, travel time:850.9410999023755, q_loss:100, rewards:-184.58089, queue:84.95185, delay:0.5581008, throughput:2046
REAL_TEST step:120, travel time:223.92251184834123, q_loss:100, rewards:-92.0761, queue:16.925, delay:0.42302194, throughput:3895
REAL_TEST step:122, travel time:281.0752634219769, q_loss:100, rewards:-127.928604, queue:24.81574, delay:0.43119314, throughput:3663
REAL_TEST step:124, travel time:974.407370845673, q_loss:100, rewards:-285.31802, queue:94.65, delay:0.41501245, throughput:1739
REAL_TEST step:126, travel time:787.3132807363577, q_loss:100, rewards:-87.62253, queue:67.59537, delay:0.33445713, throughput:2537
REAL_TEST step:128, travel time:664.0640625, q_loss:100, rewards:-137.69139, queue:59.85648, delay:0.4070263, throughput:2598
REAL_TEST step:130, travel time:749.5133248730964, q_loss:100, rewards:-109.483635, queue:53.538887, delay:0.3676297, throughput:2131
REAL_TEST step:132, travel time:405.9548355424644, q_loss:100, rewards:-286.65448, queue:14.836111, delay:0.3588056, throughput:3321
REAL_TEST step:134, travel time:918.365774003919, q_loss:100, rewards:-305.38562, queue:74.812965, delay:0.33934548, throughput:1992
REAL_TEST step:136, travel time:669.7539537712895, q_loss:100, rewards:-135.3989, queue:44.169445, delay:0.4446376, throughput:2297
REAL_TEST step:138, travel time:209.58730538922157, q_loss:100, rewards:-90.126114, queue:17.380556, delay:0.45632508, throughput:3915
REAL_TEST step:140, travel time:427.3491823899371, q_loss:100, rewards:-309.9081, queue:21.667593, delay:0.46429652, throughput:3224
REAL_TEST step:142, travel time:490.85154130702836, q_loss:100, rewards:-336.41415, queue:54.749073, delay:0.32803747, throughput:3342
REAL_TEST step:144, travel time:494.97489655172416, q_loss:100, rewards:-133.29861, queue:30.018518, delay:0.3116436, throughput:3337
