Loading cached latent encoders from pretrained/vae_embedding/presslight/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_presslight_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:1313.8067573135559, q_loss:100, rewards:-291.4047, queue:216.06647, delay:1.522129, throughput:1072
REAL_TEST step:4, travel time:214.86877828054298, q_loss:100, rewards:-102.199715, queue:37.714172, delay:1.4474905, throughput:3888
REAL_TEST step:6, travel time:881.6537809426925, q_loss:100, rewards:-179.03055, queue:132.6866, delay:1.5849719, throughput:1807
REAL_TEST step:8, travel time:884.0911864406779, q_loss:100, rewards:-185.51813, queue:138.48209, delay:1.5810816, throughput:1801
REAL_TEST step:10, travel time:319.4422228756248, q_loss:100, rewards:-161.38422, queue:62.81655, delay:1.5608896, throughput:3033
REAL_TEST step:12, travel time:282.6405190209378, q_loss:100, rewards:-151.12497, queue:51.801388, delay:1.5798655, throughput:3086
REAL_TEST step:14, travel time:827.267488341106, q_loss:100, rewards:-170.78839, queue:124.09577, delay:1.581287, throughput:1927
REAL_TEST step:16, travel time:289.7, q_loss:100, rewards:-129.73416, queue:53.274727, delay:1.325625, throughput:3171
REAL_TEST step:18, travel time:213.33284169124877, q_loss:100, rewards:-105.74887, queue:36.907772, delay:1.6297615, throughput:3805
REAL_TEST step:20, travel time:241.42511013215858, q_loss:100, rewards:-108.967766, queue:47.593506, delay:1.5836643, throughput:3744
REAL_TEST step:22, travel time:202.6689803733844, q_loss:100, rewards:-75.944725, queue:23.90114, delay:1.4046861, throughput:3893
REAL_TEST step:24, travel time:236.74524262607042, q_loss:100, rewards:-79.56694, queue:43.357937, delay:1.4868512, throughput:3859
REAL_TEST step:26, travel time:235.29546012269938, q_loss:100, rewards:-108.69282, queue:41.32427, delay:1.5356771, throughput:3753
REAL_TEST step:28, travel time:194.4915336236091, q_loss:100, rewards:-79.2697, queue:29.344606, delay:1.5216032, throughput:3866
REAL_TEST step:30, travel time:254.85726327620117, q_loss:100, rewards:-123.554436, queue:43.108402, delay:1.4289627, throughput:3276
REAL_TEST step:32, travel time:213.61937716262975, q_loss:100, rewards:-116.186676, queue:33.539627, delay:1.5442085, throughput:3777
REAL_TEST step:34, travel time:352.4288472145615, q_loss:100, rewards:-116.427765, queue:58.564396, delay:1.4861203, throughput:3185
REAL_TEST step:36, travel time:621.8128499852638, q_loss:100, rewards:-117.038605, queue:96.66937, delay:1.5080665, throughput:2484
REAL_TEST step:38, travel time:470.0492597577389, q_loss:100, rewards:-243.36884, queue:87.30353, delay:1.4881479, throughput:2948
REAL_TEST step:40, travel time:186.07785831190085, q_loss:100, rewards:-70.97834, queue:22.099611, delay:1.3391876, throughput:4055
REAL_TEST step:42, travel time:357.6629363176126, q_loss:100, rewards:-134.7022, queue:72.149315, delay:1.6196331, throughput:3311
REAL_TEST step:44, travel time:532.8930921052631, q_loss:100, rewards:-258.37244, queue:102.7534, delay:1.5111705, throughput:2654
REAL_TEST step:46, travel time:518.4139144558744, q_loss:100, rewards:-244.27997, queue:124.07436, delay:1.5684699, throughput:2817
REAL_TEST step:48, travel time:302.6469090067145, q_loss:100, rewards:-166.05586, queue:67.74616, delay:1.311362, throughput:3820
