Loading cached latent encoders from pretrained/darla/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_darla_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:3063.5777027027025, q_loss:100, rewards:-196.53917, queue:202.67065, delay:4.558659, throughput:16
REAL_TEST step:4, travel time:368.32306338028167, q_loss:100, rewards:-57.24193, queue:68.49815, delay:4.321519, throughput:1007
REAL_TEST step:6, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:154.90695, delay:4.2699265, throughput:1001
REAL_TEST step:8, travel time:159.7553516819572, q_loss:100, rewards:-56.250565, queue:67.64129, delay:4.314187, throughput:1559
REAL_TEST step:10, travel time:98.26541008660215, q_loss:100, rewards:-38.70887, queue:53.463844, delay:4.4707737, throughput:1928
REAL_TEST step:12, travel time:93.05806783144912, q_loss:100, rewards:-37.29137, queue:50.398346, delay:4.2639265, throughput:1911
REAL_TEST step:14, travel time:113.39614783966684, q_loss:100, rewards:-42.46611, queue:55.025623, delay:4.4210153, throughput:1888
REAL_TEST step:16, travel time:73.74044665012407, q_loss:100, rewards:-29.53943, queue:44.399418, delay:4.246236, throughput:1994
REAL_TEST step:18, travel time:77.23076923076923, q_loss:100, rewards:-29.93306, queue:43.456135, delay:4.0718603, throughput:1996
REAL_TEST step:20, travel time:66.99950372208437, q_loss:100, rewards:-25.25083, queue:41.576714, delay:4.331823, throughput:1988
REAL_TEST step:22, travel time:85.16774193548387, q_loss:100, rewards:-31.496387, queue:46.35476, delay:4.211145, throughput:1983
REAL_TEST step:24, travel time:66.0803970223325, q_loss:100, rewards:-25.745825, queue:41.480293, delay:4.1679306, throughput:1978
REAL_TEST step:26, travel time:74.09582919563059, q_loss:100, rewards:-27.533041, queue:42.226097, delay:4.146457, throughput:1984
REAL_TEST step:28, travel time:67.83523573200992, q_loss:100, rewards:-26.027222, queue:44.766907, delay:4.2537475, throughput:1993
REAL_TEST step:30, travel time:63.93098311817279, q_loss:100, rewards:-24.712767, queue:42.090157, delay:4.326129, throughput:1987
REAL_TEST step:32, travel time:68.53277060575968, q_loss:100, rewards:-26.171116, queue:42.39304, delay:4.3839374, throughput:1986
REAL_TEST step:34, travel time:68.8728897715988, q_loss:100, rewards:-25.395277, queue:41.530495, delay:4.141919, throughput:1994
REAL_TEST step:36, travel time:79.32587064676616, q_loss:100, rewards:-31.098343, queue:47.74945, delay:4.4015, throughput:1962
REAL_TEST step:38, travel time:76.26318432948267, q_loss:100, rewards:-29.494717, queue:45.237267, delay:4.372851, throughput:1941
REAL_TEST step:40, travel time:67.76873449131514, q_loss:100, rewards:-25.34305, queue:42.144768, delay:4.112844, throughput:1997
REAL_TEST step:42, travel time:116.28465998945704, q_loss:100, rewards:-45.768322, queue:59.749508, delay:4.3465834, throughput:1856
REAL_TEST step:44, travel time:111.31132075471699, q_loss:100, rewards:-44.34969, queue:58.799355, delay:4.3888254, throughput:1857
REAL_TEST step:46, travel time:101.29387545033454, q_loss:100, rewards:-38.79193, queue:51.067642, delay:4.220235, throughput:1902
REAL_TEST step:48, travel time:79.4790628115653, q_loss:100, rewards:-29.290558, queue:43.195354, delay:4.0870237, throughput:1961
REAL_TEST step:50, travel time:75.58362282878412, q_loss:100, rewards:-28.515562, queue:44.06342, delay:4.224396, throughput:1993
REAL_TEST step:52, travel time:73.72555831265508, q_loss:100, rewards:-27.630274, queue:45.671074, delay:4.2650166, throughput:1994
REAL_TEST step:54, travel time:78.112158808933, q_loss:100, rewards:-31.326372, queue:48.453575, delay:4.070718, throughput:1992
REAL_TEST step:56, travel time:67.55285359801489, q_loss:100, rewards:-25.109438, queue:42.408848, delay:4.2276835, throughput:1986
REAL_TEST step:58, travel time:80.18560794044664, q_loss:100, rewards:-29.89305, queue:44.684624, delay:4.268659, throughput:1996
REAL_TEST step:60, travel time:63.60744416873449, q_loss:100, rewards:-23.602783, queue:40.939007, delay:4.3178663, throughput:1994
REAL_TEST step:62, travel time:74.4064064064064, q_loss:100, rewards:-27.944992, queue:44.582417, delay:4.258874, throughput:1951
REAL_TEST step:64, travel time:78.84714640198511, q_loss:100, rewards:-31.60527, queue:47.61279, delay:4.4178905, throughput:1977
REAL_TEST step:66, travel time:70.84069478908188, q_loss:100, rewards:-26.77335, queue:42.846584, delay:4.1845345, throughput:1987
REAL_TEST step:68, travel time:72.46772591857001, q_loss:100, rewards:-28.08221, queue:45.10712, delay:4.289577, throughput:1988
REAL_TEST step:70, travel time:75.07146401985112, q_loss:100, rewards:-28.399704, queue:43.408646, delay:4.183188, throughput:1996
REAL_TEST step:72, travel time:74.21588089330025, q_loss:100, rewards:-27.647507, queue:44.60932, delay:4.382376, throughput:1990
REAL_TEST step:74, travel time:72.48535980148884, q_loss:100, rewards:-27.271946, queue:44.648907, delay:4.4152813, throughput:1998
REAL_TEST step:76, travel time:74.10173697270471, q_loss:100, rewards:-28.696943, queue:45.201847, delay:4.3123713, throughput:1996
REAL_TEST step:78, travel time:67.31761786600497, q_loss:100, rewards:-25.2489, queue:41.457916, delay:4.1862926, throughput:1990
REAL_TEST step:80, travel time:68.56377171215881, q_loss:100, rewards:-25.978348, queue:42.76821, delay:4.2110662, throughput:1989
REAL_TEST step:82, travel time:74.17008504252126, q_loss:100, rewards:-27.659714, queue:44.35621, delay:4.4336753, throughput:1946
REAL_TEST step:84, travel time:83.90904522613066, q_loss:100, rewards:-32.581097, queue:47.73326, delay:4.0231166, throughput:1959
REAL_TEST step:86, travel time:87.8089330024814, q_loss:100, rewards:-33.75109, queue:47.954933, delay:4.2664657, throughput:1974
REAL_TEST step:88, travel time:71.93250620347395, q_loss:100, rewards:-27.495285, queue:44.63353, delay:4.208321, throughput:1997
REAL_TEST step:90, travel time:88.5146693187469, q_loss:100, rewards:-35.505836, queue:49.929043, delay:4.3089314, throughput:1968
REAL_TEST step:92, travel time:85.93273542600897, q_loss:100, rewards:-35.592224, queue:49.255753, delay:4.2829876, throughput:1957
REAL_TEST step:94, travel time:105.99331963001028, q_loss:100, rewards:-40.50555, queue:54.08273, delay:4.3499203, throughput:1899
REAL_TEST step:96, travel time:116.22239830956154, q_loss:100, rewards:-45.094173, queue:61.014084, delay:4.265407, throughput:1846
REAL_TEST step:98, travel time:113.58145625982189, q_loss:100, rewards:-43.046654, queue:57.466633, delay:4.450742, throughput:1864
REAL_TEST step:100, travel time:114.4306905370844, q_loss:100, rewards:-43.08862, queue:55.71653, delay:4.181074, throughput:1919
REAL_TEST step:102, travel time:117.91921858500528, q_loss:100, rewards:-42.36583, queue:57.197872, delay:4.352528, throughput:1856
REAL_TEST step:104, travel time:114.29109225874868, q_loss:100, rewards:-42.248325, queue:56.053303, delay:4.287537, throughput:1844
REAL_TEST step:106, travel time:134.58004509582864, q_loss:100, rewards:-47.276672, queue:59.833855, delay:4.177121, throughput:1712
