Loading cached latent encoders from pretrained/darla/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_darla_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:4, travel time:418.6396475770925, q_loss:100, rewards:-73.12834, queue:66.26111, delay:0.7465599, throughput:998
REAL_TEST step:6, travel time:471.81293103448274, q_loss:100, rewards:-145.46832, queue:142.46388, delay:0.5990677, throughput:1005
REAL_TEST step:8, travel time:3196.930909090909, q_loss:100, rewards:-189.585, queue:188.88333, delay:0.96641296, throughput:6
REAL_TEST step:10, travel time:447.5704467353952, q_loss:100, rewards:-139.16309, queue:136.11389, delay:0.5611783, throughput:1011
REAL_TEST step:12, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:138.10556, delay:0.5605855, throughput:1001
REAL_TEST step:14, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:138.10556, delay:0.5605855, throughput:1001
REAL_TEST step:16, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:138.10556, delay:0.5605855, throughput:1001
REAL_TEST step:18, travel time:69.2287841191067, q_loss:100, rewards:-26.951107, queue:17.288889, delay:0.46180505, throughput:1991
REAL_TEST step:20, travel time:67.7685047193244, q_loss:100, rewards:-25.818888, queue:15.972222, delay:0.4537533, throughput:1988
REAL_TEST step:22, travel time:71.70868486352357, q_loss:100, rewards:-26.474983, queue:16.769444, delay:0.4765464, throughput:1997
REAL_TEST step:24, travel time:81.7985111662531, q_loss:100, rewards:-33.832775, queue:24.075, delay:0.49466732, throughput:1987
REAL_TEST step:26, travel time:68.17717121588089, q_loss:100, rewards:-25.889994, queue:15.963889, delay:0.45608643, throughput:1997
REAL_TEST step:28, travel time:74.65508684863524, q_loss:100, rewards:-29.725273, queue:20.041666, delay:0.48187777, throughput:1996
REAL_TEST step:30, travel time:67.09677419354838, q_loss:100, rewards:-25.352781, queue:15.455556, delay:0.45145476, throughput:1998
REAL_TEST step:32, travel time:79.54342431761786, q_loss:100, rewards:-32.435833, queue:22.816668, delay:0.4776535, throughput:1997
REAL_TEST step:34, travel time:84.74491315136477, q_loss:100, rewards:-35.385555, queue:25.741667, delay:0.4903403, throughput:1983
