replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_domain_randomization_s0/model/cologne1_noise5_presslight_domain_randomization -> eval real_setting=sensor70
REAL_TEST step:3, travel time:92.23827095413812, q_loss:100, rewards:-38.023613, queue:2.511111, delay:0.13395594, throughput:1854
REAL_TEST step:6, travel time:108.04766786263454, q_loss:100, rewards:-42.051098, queue:1.1972222, delay:0.060725693, throughput:1920
REAL_TEST step:9, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:7.5055556, delay:0.13751279, throughput:1001
REAL_TEST step:12, travel time:69.62034739454094, q_loss:100, rewards:-23.798328, queue:3.5305555, delay:0.17534877, throughput:1997
REAL_TEST step:15, travel time:137.55128205128204, q_loss:100, rewards:-33.96139, queue:7.4055557, delay:0.16424373, throughput:1475
REAL_TEST step:18, travel time:86.13787801127627, q_loss:100, rewards:-33.765827, queue:12.513889, delay:0.32415998, throughput:1913
REAL_TEST step:21, travel time:457.6196213425129, q_loss:100, rewards:-142.1578, queue:52.769444, delay:0.20139806, throughput:1006
REAL_TEST step:24, travel time:95.44813895781638, q_loss:100, rewards:-38.644997, queue:14.530556, delay:0.27169687, throughput:1995
REAL_TEST step:27, travel time:119.69303482587064, q_loss:100, rewards:-56.204437, queue:4.516667, delay:0.10576732, throughput:1981
REAL_TEST step:30, travel time:467.99660729431724, q_loss:100, rewards:-147.66112, queue:68.522224, delay:0.24844229, throughput:1014
REAL_TEST step:33, travel time:160.08634020618555, q_loss:100, rewards:-37.6225, queue:10.313889, delay:0.26528838, throughput:1455
REAL_TEST step:36, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:60.85, delay:0.30171803, throughput:1001
REAL_TEST step:39, travel time:70.37220843672456, q_loss:100, rewards:-24.031374, queue:4.3055553, delay:0.19660167, throughput:1991
REAL_TEST step:42, travel time:453.9335634167386, q_loss:100, rewards:-140.59583, queue:60.93611, delay:0.24448825, throughput:1005
REAL_TEST step:45, travel time:310.5822784810127, q_loss:100, rewards:-54.12003, queue:2.5527778, delay:0.14683864, throughput:1136
REAL_TEST step:48, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:60.841667, delay:0.29330948, throughput:1001
REAL_TEST step:51, travel time:59.50421836228288, q_loss:100, rewards:-20.779724, queue:7.1833334, delay:0.30730566, throughput:1998
REAL_TEST step:54, travel time:58.34937965260546, q_loss:100, rewards:-21.58805, queue:6.111111, delay:0.3163364, throughput:1996
REAL_TEST step:57, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:0.0, delay:0.0, throughput:1001
REAL_TEST step:60, travel time:453.90595340811046, q_loss:100, rewards:-140.58804, queue:60.8, delay:0.25055856, throughput:1005
REAL_TEST step:63, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:0.036111113, delay:0.051200274, throughput:1001
REAL_TEST step:66, travel time:98.7771712158809, q_loss:100, rewards:-38.522503, queue:4.2222223, delay:0.16910669, throughput:1989
REAL_TEST step:69, travel time:285.8670634920635, q_loss:100, rewards:-96.350845, queue:2.0666666, delay:0.1626962, throughput:1416
REAL_TEST step:72, travel time:125.87426431246656, q_loss:100, rewards:-46.581387, queue:6.811111, delay:0.17978612, throughput:1821
REAL_TEST step:75, travel time:111.42921460730365, q_loss:100, rewards:-42.831135, queue:9.330556, delay:0.29791725, throughput:1969
REAL_TEST step:78, travel time:457.7826086956522, q_loss:100, rewards:-146.49446, queue:68.075, delay:0.24032031, throughput:1029
REAL_TEST step:81, travel time:118.9430985915493, q_loss:100, rewards:-44.183327, queue:3.825, delay:0.16181085, throughput:1724
REAL_TEST step:84, travel time:76.18461538461538, q_loss:100, rewards:-31.037212, queue:0.20277777, delay:0.06503235, throughput:1997
REAL_TEST step:87, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:0.047222223, delay:0.06627663, throughput:1001
REAL_TEST step:90, travel time:191.18695652173912, q_loss:100, rewards:-47.144997, queue:1.3111111, delay:0.06551839, throughput:1793
REAL_TEST step:93, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:0.0, delay:0.0, throughput:1001
REAL_TEST step:96, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:61.419445, delay:0.26795587, throughput:1001
REAL_TEST step:99, travel time:66.81885856079404, q_loss:100, rewards:-24.698051, queue:5.075, delay:0.17654185, throughput:1989
