Loading cached latent encoders from pretrained/lusr/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_lusr_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:3196.930909090909, q_loss:100, rewards:-189.585, queue:188.88333, delay:0.96641296, throughput:6
REAL_TEST step:4, travel time:456.87186147186145, q_loss:100, rewards:-141.06113, queue:138.10556, delay:0.5605855, throughput:1001
REAL_TEST step:6, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:8, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:10, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:12, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:14, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:16, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:18, travel time:3196.930909090909, q_loss:100, rewards:-189.585, queue:188.88333, delay:0.96641296, throughput:6
REAL_TEST step:20, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:22, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.322224, delay:0.5641497, throughput:1001
REAL_TEST step:24, travel time:67.26004962779156, q_loss:100, rewards:-26.303333, queue:16.955555, delay:0.4216144, throughput:1998
REAL_TEST step:26, travel time:117.21885856079405, q_loss:100, rewards:-54.670547, queue:46.202778, delay:0.51841605, throughput:1987
REAL_TEST step:28, travel time:73.38114143920596, q_loss:100, rewards:-29.746107, queue:20.533333, delay:0.45110434, throughput:1997
REAL_TEST step:30, travel time:72.8213399503722, q_loss:100, rewards:-26.873894, queue:17.561111, delay:0.48284802, throughput:1994
REAL_TEST step:32, travel time:277.3358208955224, q_loss:100, rewards:-93.13001, queue:86.897224, delay:0.7092775, throughput:1228
REAL_TEST step:34, travel time:57.07890818858561, q_loss:100, rewards:-19.949715, queue:10.363889, delay:0.4366468, throughput:1997
REAL_TEST step:36, travel time:90.54293059125963, q_loss:100, rewards:-38.62583, queue:29.61389, delay:0.5623137, throughput:1908
REAL_TEST step:38, travel time:61.71017369727047, q_loss:100, rewards:-21.01555, queue:11.344444, delay:0.4677647, throughput:1996
REAL_TEST step:40, travel time:66.62679900744416, q_loss:100, rewards:-26.566113, queue:17.063889, delay:0.47070205, throughput:1988
REAL_TEST step:42, travel time:65.65905707196029, q_loss:100, rewards:-23.126657, queue:13.444445, delay:0.47335786, throughput:1996
REAL_TEST step:44, travel time:63.00992555831265, q_loss:100, rewards:-24.079712, queue:14.530556, delay:0.45604596, throughput:1985
REAL_TEST step:46, travel time:61.56476426799007, q_loss:100, rewards:-23.296375, queue:13.686111, delay:0.45220476, throughput:1987
REAL_TEST step:48, travel time:68.49578163771712, q_loss:100, rewards:-23.501389, queue:13.875, delay:0.4707002, throughput:1998
REAL_TEST step:50, travel time:66.72803970223325, q_loss:100, rewards:-23.19639, queue:13.494445, delay:0.47360066, throughput:1997
REAL_TEST step:52, travel time:64.4377171215881, q_loss:100, rewards:-22.007507, queue:12.2722225, delay:0.45609337, throughput:1995
REAL_TEST step:54, travel time:56.10272952853598, q_loss:100, rewards:-20.519152, queue:10.861111, delay:0.42075768, throughput:1996
REAL_TEST step:56, travel time:66.04565756823821, q_loss:100, rewards:-22.791382, queue:13.172222, delay:0.46327052, throughput:1997
REAL_TEST step:58, travel time:58.512158808933, q_loss:100, rewards:-21.591663, queue:11.955556, delay:0.43752608, throughput:1996
REAL_TEST step:60, travel time:61.31612903225806, q_loss:100, rewards:-20.94999, queue:11.341666, delay:0.44484207, throughput:1995
REAL_TEST step:62, travel time:59.526054590570716, q_loss:100, rewards:-22.141115, queue:12.494445, delay:0.4348291, throughput:1991
REAL_TEST step:64, travel time:59.28585607940447, q_loss:100, rewards:-22.025282, queue:12.347222, delay:0.42834917, throughput:1993
REAL_TEST step:66, travel time:59.58957816377171, q_loss:100, rewards:-22.234163, queue:12.680555, delay:0.43154317, throughput:1996
REAL_TEST step:68, travel time:54.19801488833747, q_loss:100, rewards:-18.563612, queue:9.05, delay:0.40538698, throughput:1997
REAL_TEST step:70, travel time:60.27493796526055, q_loss:100, rewards:-22.234993, queue:12.627778, delay:0.43135977, throughput:1997
REAL_TEST step:72, travel time:55.54441687344913, q_loss:100, rewards:-19.400547, queue:9.711111, delay:0.40853623, throughput:1996
