Loading cached latent encoders from pretrained/vae_embedding/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_vae_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:205.24066135946111, q_loss:100, rewards:-55.064735, queue:95.05764, delay:8.419179, throughput:1537
REAL_TEST step:4, travel time:332.64354838709676, q_loss:100, rewards:-56.631943, queue:92.51843, delay:8.346247, throughput:1116
REAL_TEST step:6, travel time:73.35817188276205, q_loss:100, rewards:-29.16973, queue:73.96459, delay:8.2172365, throughput:1988
REAL_TEST step:8, travel time:70.44516129032257, q_loss:100, rewards:-28.357487, queue:75.10593, delay:8.185745, throughput:1978
REAL_TEST step:10, travel time:60.97518610421836, q_loss:100, rewards:-23.361673, queue:72.38846, delay:8.6141205, throughput:1995
REAL_TEST step:12, travel time:73.5652605459057, q_loss:100, rewards:-29.722504, queue:72.92144, delay:8.226886, throughput:1979
REAL_TEST step:14, travel time:65.43225806451613, q_loss:100, rewards:-24.00112, queue:71.4251, delay:8.513633, throughput:1994
REAL_TEST step:16, travel time:69.85012406947891, q_loss:100, rewards:-27.16529, queue:72.35571, delay:8.23636, throughput:1985
REAL_TEST step:18, travel time:69.59721531576331, q_loss:100, rewards:-26.980274, queue:70.450745, delay:7.8684015, throughput:1970
REAL_TEST step:20, travel time:77.90570719602978, q_loss:100, rewards:-31.159166, queue:75.70082, delay:8.447631, throughput:1977
REAL_TEST step:22, travel time:71.16202783300199, q_loss:100, rewards:-27.373617, queue:74.08643, delay:8.136851, throughput:1962
REAL_TEST step:24, travel time:75.52258064516128, q_loss:100, rewards:-30.95416, queue:75.26284, delay:8.104546, throughput:1995
REAL_TEST step:26, travel time:81.62630272952853, q_loss:100, rewards:-32.12304, queue:75.064316, delay:8.061158, throughput:1996
REAL_TEST step:28, travel time:72.51215880893301, q_loss:100, rewards:-27.614445, queue:78.84696, delay:8.260407, throughput:1976
REAL_TEST step:30, travel time:73.34491315136476, q_loss:100, rewards:-29.06223, queue:75.945564, delay:8.4285145, throughput:1985
REAL_TEST step:32, travel time:83.63672456575682, q_loss:100, rewards:-32.900265, queue:76.95403, delay:8.528765, throughput:1990
REAL_TEST step:34, travel time:77.6258064516129, q_loss:100, rewards:-30.396948, queue:75.42634, delay:8.062848, throughput:1995
REAL_TEST step:36, travel time:88.01391650099404, q_loss:100, rewards:-33.72777, queue:81.07912, delay:8.5583315, throughput:1964
REAL_TEST step:38, travel time:75.17915632754342, q_loss:100, rewards:-29.733057, queue:75.71651, delay:8.483301, throughput:1985
REAL_TEST step:40, travel time:69.86004962779157, q_loss:100, rewards:-27.615007, queue:74.954124, delay:7.9862576, throughput:1975
REAL_TEST step:42, travel time:75.09776674937966, q_loss:100, rewards:-29.02972, queue:77.730774, delay:8.366067, throughput:1980
REAL_TEST step:44, travel time:72.74873864783048, q_loss:100, rewards:-28.429718, queue:77.43399, delay:8.453452, throughput:1942
REAL_TEST step:46, travel time:84.96281202241467, q_loss:100, rewards:-33.12722, queue:75.833176, delay:8.145449, throughput:1931
REAL_TEST step:48, travel time:78.15926110833749, q_loss:100, rewards:-28.724161, queue:72.00074, delay:7.9090705, throughput:1950
REAL_TEST step:50, travel time:76.12009925558313, q_loss:100, rewards:-29.55555, queue:74.91869, delay:8.192392, throughput:1985
REAL_TEST step:52, travel time:75.90168818272096, q_loss:100, rewards:-29.271105, queue:79.209145, delay:8.278451, throughput:1987
REAL_TEST step:54, travel time:72.5255583126551, q_loss:100, rewards:-28.07, queue:77.716156, delay:7.8790393, throughput:1967
REAL_TEST step:56, travel time:91.09460834181078, q_loss:100, rewards:-35.380558, queue:80.40294, delay:8.231408, throughput:1931
REAL_TEST step:58, travel time:81.20446650124069, q_loss:100, rewards:-31.225555, queue:75.33899, delay:8.271857, throughput:1997
REAL_TEST step:60, travel time:76.08937437934459, q_loss:100, rewards:-30.341099, queue:76.35637, delay:8.409631, throughput:1974
REAL_TEST step:62, travel time:83.61985957873621, q_loss:100, rewards:-33.993065, queue:79.87124, delay:8.2802925, throughput:1944
REAL_TEST step:64, travel time:76.06451612903226, q_loss:100, rewards:-29.315289, queue:75.94431, delay:8.547224, throughput:1995
REAL_TEST step:66, travel time:82.35998013902682, q_loss:100, rewards:-32.69304, queue:77.4305, delay:8.137893, throughput:1984
REAL_TEST step:68, travel time:78.07363184079603, q_loss:100, rewards:-31.408325, queue:79.239136, delay:8.317666, throughput:1959
REAL_TEST step:70, travel time:87.02580645161291, q_loss:100, rewards:-32.123882, queue:76.21585, delay:8.11762, throughput:1985
REAL_TEST step:72, travel time:80.44776119402985, q_loss:100, rewards:-30.65055, queue:78.56996, delay:8.524253, throughput:1963
REAL_TEST step:74, travel time:76.47940446650124, q_loss:100, rewards:-29.366392, queue:77.83378, delay:8.572842, throughput:1986
REAL_TEST step:76, travel time:108.80083420229406, q_loss:100, rewards:-42.156094, queue:85.86913, delay:8.372424, throughput:1880
REAL_TEST step:78, travel time:93.60240334378265, q_loss:100, rewards:-37.85113, queue:80.92335, delay:8.148624, throughput:1875
REAL_TEST step:80, travel time:93.70436105476674, q_loss:100, rewards:-38.168613, queue:81.78487, delay:8.208452, throughput:1938
REAL_TEST step:82, travel time:100.78589809572826, q_loss:100, rewards:-39.38305, queue:83.13592, delay:8.6242695, throughput:1904
REAL_TEST step:84, travel time:83.14887218045112, q_loss:100, rewards:-32.362766, queue:77.765816, delay:7.778426, throughput:1963
REAL_TEST step:86, travel time:93.7420477137177, q_loss:100, rewards:-38.078323, queue:80.53517, delay:8.26909, throughput:1961
REAL_TEST step:88, travel time:82.70154459392127, q_loss:100, rewards:-33.036667, queue:79.64041, delay:8.173355, throughput:1959
REAL_TEST step:90, travel time:110.76116303219106, q_loss:100, rewards:-43.451088, queue:85.66593, delay:8.351693, throughput:1889
REAL_TEST step:92, travel time:90.54925373134328, q_loss:100, rewards:-37.492504, queue:79.15072, delay:8.30974, throughput:1959
REAL_TEST step:94, travel time:95.8, q_loss:100, rewards:-37.80582, queue:81.32686, delay:8.410852, throughput:1991
REAL_TEST step:96, travel time:122.1630492323981, q_loss:100, rewards:-46.381954, queue:92.53775, delay:8.251777, throughput:1843
REAL_TEST step:98, travel time:100.68120456905504, q_loss:100, rewards:-40.040836, queue:85.88082, delay:8.599583, throughput:1884
REAL_TEST step:100, travel time:95.28400597907324, q_loss:100, rewards:-39.053894, queue:81.55349, delay:8.070045, throughput:1956
REAL_TEST step:102, travel time:96.48258196721312, q_loss:100, rewards:-38.66222, queue:84.96788, delay:8.396807, throughput:1910
REAL_TEST step:104, travel time:115.22575431034483, q_loss:100, rewards:-45.190277, queue:87.49226, delay:8.2921715, throughput:1808
REAL_TEST step:106, travel time:100.15687276443536, q_loss:100, rewards:-38.80972, queue:81.32218, delay:8.034096, throughput:1916
REAL_TEST step:108, travel time:81.65067466266866, q_loss:100, rewards:-31.894999, queue:77.34152, delay:8.484664, throughput:1952
REAL_TEST step:110, travel time:91.15880893300248, q_loss:100, rewards:-37.571392, queue:85.06803, delay:8.048498, throughput:1966
REAL_TEST step:112, travel time:91.3151364764268, q_loss:100, rewards:-35.010002, queue:80.31333, delay:8.33453, throughput:1993
REAL_TEST step:114, travel time:93.12770236299649, q_loss:100, rewards:-39.758343, queue:82.96733, delay:8.350298, throughput:1951
REAL_TEST step:116, travel time:82.48069105691057, q_loss:100, rewards:-31.480278, queue:77.67261, delay:8.13309, throughput:1922
REAL_TEST step:118, travel time:99.7389087200408, q_loss:100, rewards:-39.98585, queue:81.7681, delay:8.305818, throughput:1923
REAL_TEST step:120, travel time:95.43721633888049, q_loss:100, rewards:-39.252487, queue:82.23034, delay:8.231928, throughput:1947
REAL_TEST step:122, travel time:100.25117739403454, q_loss:100, rewards:-40.947227, queue:82.99056, delay:8.223536, throughput:1872
REAL_TEST step:124, travel time:100.3401325854156, q_loss:100, rewards:-40.51915, queue:81.37221, delay:7.9312553, throughput:1922
REAL_TEST step:126, travel time:91.442581300813, q_loss:100, rewards:-36.138054, queue:79.03816, delay:8.404382, throughput:1925
REAL_TEST step:128, travel time:77.69032258064516, q_loss:100, rewards:-30.520294, queue:74.57506, delay:8.189826, throughput:1967
REAL_TEST step:130, travel time:94.7203260315843, q_loss:100, rewards:-36.15251, queue:80.439705, delay:8.276856, throughput:1926
REAL_TEST step:132, travel time:95.86938564790914, q_loss:100, rewards:-40.337227, queue:80.69787, delay:8.147714, throughput:1897
REAL_TEST step:134, travel time:87.61240694789082, q_loss:100, rewards:-34.019154, queue:79.20473, delay:8.432425, throughput:1983
REAL_TEST step:136, travel time:75.05461767626613, q_loss:100, rewards:-29.09416, queue:74.987526, delay:8.579784, throughput:1983
REAL_TEST step:138, travel time:90.75980148883374, q_loss:100, rewards:-37.38583, queue:79.693275, delay:8.472725, throughput:1982
REAL_TEST step:140, travel time:77.1151364764268, q_loss:100, rewards:-29.355011, queue:76.753525, delay:8.287174, throughput:1988
REAL_TEST step:142, travel time:92.37071960297767, q_loss:100, rewards:-36.884712, queue:80.90276, delay:8.673318, throughput:1978
REAL_TEST step:144, travel time:67.48238213399503, q_loss:100, rewards:-25.793598, queue:76.320114, delay:7.700099, throughput:1970
REAL_TEST step:146, travel time:79.2272952853598, q_loss:100, rewards:-32.02527, queue:74.23023, delay:8.256883, throughput:1985
REAL_TEST step:148, travel time:82.29478908188585, q_loss:100, rewards:-33.463326, queue:79.793945, delay:8.2576065, throughput:1977
REAL_TEST step:150, travel time:76.22382133995038, q_loss:100, rewards:-31.355545, queue:81.583824, delay:7.9275737, throughput:1980
REAL_TEST step:152, travel time:84.50372208436724, q_loss:100, rewards:-34.757507, queue:78.45613, delay:8.222919, throughput:1964
REAL_TEST step:154, travel time:83.95074626865672, q_loss:100, rewards:-34.870556, queue:80.62235, delay:7.99722, throughput:1972
REAL_TEST step:156, travel time:88.7198093220339, q_loss:100, rewards:-34.613888, queue:79.10415, delay:7.986825, throughput:1789
REAL_TEST step:158, travel time:78.79007444168734, q_loss:100, rewards:-30.829718, queue:78.02946, delay:8.520697, throughput:1992
REAL_TEST step:160, travel time:79.50719602977668, q_loss:100, rewards:-31.814442, queue:75.65275, delay:8.119771, throughput:1993
REAL_TEST step:162, travel time:86.55163853028799, q_loss:100, rewards:-32.681927, queue:79.133835, delay:8.213182, throughput:1965
REAL_TEST step:164, travel time:92.15037220843672, q_loss:100, rewards:-36.244446, queue:80.33482, delay:8.4292145, throughput:1986
REAL_TEST step:166, travel time:80.15930521091812, q_loss:100, rewards:-31.96694, queue:76.309204, delay:8.473825, throughput:1975
REAL_TEST step:168, travel time:77.67394540942928, q_loss:100, rewards:-29.446959, queue:75.475006, delay:8.276457, throughput:1982
REAL_TEST step:170, travel time:83.57071960297766, q_loss:100, rewards:-31.351381, queue:79.39093, delay:8.204854, throughput:1990
REAL_TEST step:172, travel time:88.5571002979146, q_loss:100, rewards:-36.230015, queue:77.44929, delay:8.169121, throughput:1959
REAL_TEST step:174, travel time:77.88147410358566, q_loss:100, rewards:-32.001385, queue:77.488686, delay:8.11617, throughput:1957
REAL_TEST step:176, travel time:73.29478908188585, q_loss:100, rewards:-27.74667, queue:73.678925, delay:8.374506, throughput:1982
REAL_TEST step:178, travel time:649.8995726495726, q_loss:100, rewards:-123.09334, queue:155.84499, delay:8.355972, throughput:686
REAL_TEST step:180, travel time:70.8272952853598, q_loss:100, rewards:-28.081942, queue:76.26596, delay:8.5092325, throughput:1978
REAL_TEST step:182, travel time:79.33399503722084, q_loss:100, rewards:-31.34695, queue:74.636, delay:8.082148, throughput:1989
REAL_TEST step:184, travel time:75.17543859649123, q_loss:100, rewards:-29.328062, queue:77.193825, delay:8.69668, throughput:1941
REAL_TEST step:186, travel time:97.07146583202922, q_loss:100, rewards:-39.948917, queue:84.11577, delay:8.318325, throughput:1872
REAL_TEST step:188, travel time:77.96316575410653, q_loss:100, rewards:-30.991102, queue:75.52863, delay:8.410157, throughput:1954
REAL_TEST step:190, travel time:88.63523573200993, q_loss:100, rewards:-36.28194, queue:80.87141, delay:8.059385, throughput:1988
REAL_TEST step:192, travel time:80.05260545905708, q_loss:100, rewards:-31.877186, queue:76.992645, delay:8.079946, throughput:1982
REAL_TEST step:194, travel time:80.48505976095618, q_loss:100, rewards:-31.113062, queue:75.976295, delay:8.602732, throughput:1961
REAL_TEST step:196, travel time:85.33746898263027, q_loss:100, rewards:-32.783066, queue:77.39906, delay:8.328924, throughput:1991
