Loading cached latent encoders from pretrained/vae_embedding/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_vae_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:15.25, delay:0.3177335, throughput:1001
REAL_TEST step:4, travel time:371.2929203539823, q_loss:100, rewards:-57.227226, queue:51.31389, delay:0.5324582, throughput:1001
REAL_TEST step:6, travel time:57.32720953326713, q_loss:100, rewards:-20.448341, queue:10.963889, delay:0.43622732, throughput:1993
REAL_TEST step:8, travel time:61.483870967741936, q_loss:100, rewards:-22.510834, queue:13.166667, delay:0.439499, throughput:1993
REAL_TEST step:10, travel time:60.54617676266137, q_loss:100, rewards:-22.474997, queue:13.113889, delay:0.4593, throughput:1987
REAL_TEST step:12, travel time:57.03126550868486, q_loss:100, rewards:-20.106665, queue:10.505555, delay:0.43200445, throughput:1996
REAL_TEST step:14, travel time:55.770223325062034, q_loss:100, rewards:-19.558342, queue:10.025, delay:0.42327228, throughput:1997
REAL_TEST step:16, travel time:65.28833746898263, q_loss:100, rewards:-23.660547, queue:13.638889, delay:0.43141073, throughput:1997
REAL_TEST step:18, travel time:58.52754342431762, q_loss:100, rewards:-20.667225, queue:11.152778, delay:0.43406937, throughput:1997
REAL_TEST step:20, travel time:100.04168734491316, q_loss:100, rewards:-39.15973, queue:16.102777, delay:0.33197773, throughput:1996
REAL_TEST step:22, travel time:63.99503722084367, q_loss:100, rewards:-23.058048, queue:13.6027775, delay:0.45553488, throughput:1997
REAL_TEST step:24, travel time:64.66600496277916, q_loss:100, rewards:-23.363892, queue:13.730556, delay:0.4612794, throughput:1997
REAL_TEST step:26, travel time:60.11811414392059, q_loss:100, rewards:-21.272219, queue:11.130555, delay:0.39251047, throughput:1997
REAL_TEST step:28, travel time:57.73002481389578, q_loss:100, rewards:-20.316668, queue:10.719444, delay:0.4353704, throughput:1998
REAL_TEST step:30, travel time:59.265508684863526, q_loss:100, rewards:-20.584991, queue:10.944445, delay:0.4369351, throughput:1997
REAL_TEST step:32, travel time:57.23870967741936, q_loss:100, rewards:-19.497488, queue:10.002778, delay:0.43307656, throughput:1996
REAL_TEST step:34, travel time:64.28535980148884, q_loss:100, rewards:-22.838327, queue:13.330556, delay:0.4493654, throughput:1997
REAL_TEST step:36, travel time:65.4833746898263, q_loss:100, rewards:-23.237766, queue:13.841666, delay:0.46830907, throughput:1997
REAL_TEST step:38, travel time:61.3439205955335, q_loss:100, rewards:-21.379166, queue:11.888889, delay:0.45562294, throughput:1997
REAL_TEST step:40, travel time:58.5181141439206, q_loss:100, rewards:-20.806387, queue:11.211111, delay:0.42989177, throughput:1997
REAL_TEST step:42, travel time:403.12878254750177, q_loss:100, rewards:-103.93582, queue:97.772224, delay:0.8586036, throughput:1272
REAL_TEST step:44, travel time:61.4364448857994, q_loss:100, rewards:-22.708334, queue:11.363889, delay:0.39156973, throughput:1986
REAL_TEST step:46, travel time:58.03523573200992, q_loss:100, rewards:-20.575283, queue:11.002778, delay:0.44357368, throughput:1997
REAL_TEST step:48, travel time:57.220347394540944, q_loss:100, rewards:-19.923328, queue:10.316667, delay:0.43074435, throughput:1998
REAL_TEST step:50, travel time:58.36923076923077, q_loss:100, rewards:-20.632782, queue:11.125, delay:0.43524554, throughput:1996
REAL_TEST step:52, travel time:61.64367245657568, q_loss:100, rewards:-22.134163, queue:10.016666, delay:0.3765883, throughput:1998
REAL_TEST step:54, travel time:58.61141439205955, q_loss:100, rewards:-20.614162, queue:11.086111, delay:0.44693387, throughput:1996
REAL_TEST step:56, travel time:59.62282878411911, q_loss:100, rewards:-21.048601, queue:11.566667, delay:0.44166076, throughput:1998
REAL_TEST step:58, travel time:61.971712158808934, q_loss:100, rewards:-22.290552, queue:12.797222, delay:0.462814, throughput:1997
REAL_TEST step:60, travel time:59.355334987593054, q_loss:100, rewards:-20.995274, queue:11.3527775, delay:0.44301918, throughput:1997
REAL_TEST step:62, travel time:57.851116625310176, q_loss:100, rewards:-20.04139, queue:10.430555, delay:0.43540722, throughput:1998
REAL_TEST step:64, travel time:70.35384615384615, q_loss:100, rewards:-25.214443, queue:15.794444, delay:0.4723636, throughput:1996
REAL_TEST step:66, travel time:56.47791563275434, q_loss:100, rewards:-19.514444, queue:9.9777775, delay:0.4339528, throughput:1997
REAL_TEST step:68, travel time:57.29677419354839, q_loss:100, rewards:-19.808334, queue:10.208333, delay:0.42821103, throughput:1998
REAL_TEST step:70, travel time:58.18362282878412, q_loss:100, rewards:-20.21861, queue:10.558333, delay:0.4387151, throughput:1994
REAL_TEST step:72, travel time:56.66799007444169, q_loss:100, rewards:-19.905, queue:10.483334, delay:0.4257427, throughput:1996
REAL_TEST step:74, travel time:58.132009925558314, q_loss:100, rewards:-20.259436, queue:10.669444, delay:0.43377626, throughput:1997
REAL_TEST step:76, travel time:58.7454094292804, q_loss:100, rewards:-20.487217, queue:10.888889, delay:0.4448636, throughput:1996
REAL_TEST step:78, travel time:453.10640138408303, q_loss:100, rewards:-139.95749, queue:70.08056, delay:0.4390318, throughput:1003
REAL_TEST step:80, travel time:91.98759305210918, q_loss:100, rewards:-35.78444, queue:26.88889, delay:0.5047371, throughput:1997
REAL_TEST step:82, travel time:58.69826302729528, q_loss:100, rewards:-20.580273, queue:11.055555, delay:0.4309043, throughput:1998
REAL_TEST step:84, travel time:60.45161290322581, q_loss:100, rewards:-21.407497, queue:10.922222, delay:0.40426895, throughput:1998
REAL_TEST step:86, travel time:59.46550868486352, q_loss:100, rewards:-20.54139, queue:8.341666, delay:0.33352056, throughput:1998
REAL_TEST step:88, travel time:57.18312655086849, q_loss:100, rewards:-19.86833, queue:10.327778, delay:0.42807028, throughput:1997
REAL_TEST step:90, travel time:58.146401985111666, q_loss:100, rewards:-20.189722, queue:10.725, delay:0.42464972, throughput:1998
REAL_TEST step:92, travel time:59.297766749379655, q_loss:100, rewards:-20.576113, queue:11.002778, delay:0.44178864, throughput:1998
REAL_TEST step:94, travel time:108.80099255583127, q_loss:100, rewards:-38.697205, queue:29.705555, delay:0.53796333, throughput:1997
REAL_TEST step:96, travel time:60.50620347394541, q_loss:100, rewards:-20.741926, queue:11.172222, delay:0.44714046, throughput:1997
REAL_TEST step:98, travel time:58.59801488833747, q_loss:100, rewards:-20.101938, queue:10.480556, delay:0.43265656, throughput:1997
REAL_TEST step:100, travel time:62.49280397022333, q_loss:100, rewards:-21.985273, queue:12.4777775, delay:0.4508719, throughput:1995
REAL_TEST step:102, travel time:60.58660049627792, q_loss:100, rewards:-20.868883, queue:11.277778, delay:0.44153053, throughput:1997
REAL_TEST step:104, travel time:66.1985111662531, q_loss:100, rewards:-24.016392, queue:14.552778, delay:0.46115863, throughput:1998
REAL_TEST step:106, travel time:300.6452802359882, q_loss:100, rewards:-95.303345, queue:61.31389, delay:0.5482553, throughput:1106
REAL_TEST step:108, travel time:91.46749379652606, q_loss:100, rewards:-35.443333, queue:12.525, delay:0.31561762, throughput:1998
REAL_TEST step:110, travel time:58.702233250620345, q_loss:100, rewards:-20.370556, queue:10.894444, delay:0.43073082, throughput:1996
REAL_TEST step:112, travel time:56.62531017369727, q_loss:100, rewards:-19.330555, queue:9.802778, delay:0.4336945, throughput:1997
REAL_TEST step:114, travel time:58.90074441687345, q_loss:100, rewards:-20.485836, queue:11.011111, delay:0.43649533, throughput:1996
REAL_TEST step:116, travel time:57.858560794044664, q_loss:100, rewards:-19.938051, queue:8.213889, delay:0.36695507, throughput:1998
REAL_TEST step:118, travel time:59.89081885856079, q_loss:100, rewards:-21.173887, queue:9.358334, delay:0.38941222, throughput:1997
REAL_TEST step:120, travel time:59.520099255583126, q_loss:100, rewards:-20.897491, queue:11.311111, delay:0.43717653, throughput:1997
REAL_TEST step:122, travel time:57.99354838709677, q_loss:100, rewards:-20.141378, queue:10.680555, delay:0.42692137, throughput:1997
REAL_TEST step:124, travel time:60.494292803970225, q_loss:100, rewards:-21.416111, queue:11.827778, delay:0.44745335, throughput:1997
REAL_TEST step:126, travel time:59.66501240694789, q_loss:100, rewards:-20.951391, queue:10.322222, delay:0.3901825, throughput:1998
REAL_TEST step:128, travel time:457.6196213425129, q_loss:100, rewards:-142.1578, queue:72.33056, delay:0.4211294, throughput:1006
REAL_TEST step:130, travel time:80.72952853598015, q_loss:100, rewards:-28.72971, queue:19.397223, delay:0.5094271, throughput:1996
REAL_TEST step:132, travel time:453.10640138408303, q_loss:100, rewards:-139.95749, queue:70.08056, delay:0.4390318, throughput:1003
REAL_TEST step:134, travel time:81.62084367245657, q_loss:100, rewards:-29.520002, queue:19.997223, delay:0.47744974, throughput:1996
REAL_TEST step:136, travel time:55.34640198511166, q_loss:100, rewards:-19.428335, queue:9.913889, delay:0.4273183, throughput:1994
REAL_TEST step:138, travel time:57.27047146401985, q_loss:100, rewards:-19.692778, queue:9.194445, delay:0.38567504, throughput:1998
REAL_TEST step:140, travel time:57.75086848635236, q_loss:100, rewards:-19.712778, queue:10.211111, delay:0.43234563, throughput:1995
REAL_TEST step:142, travel time:59.89975186104218, q_loss:100, rewards:-21.021656, queue:11.552778, delay:0.44659224, throughput:1998
REAL_TEST step:144, travel time:58.02531017369727, q_loss:100, rewards:-20.823048, queue:10.255555, delay:0.38049385, throughput:1994
REAL_TEST step:146, travel time:60.84466501240695, q_loss:100, rewards:-21.519173, queue:9.908334, delay:0.37669235, throughput:1997
REAL_TEST step:148, travel time:61.05062034739454, q_loss:100, rewards:-21.36472, queue:11.941667, delay:0.44293752, throughput:1998
REAL_TEST step:150, travel time:60.655583126550866, q_loss:100, rewards:-21.471403, queue:10.875, delay:0.40071085, throughput:1998
REAL_TEST step:152, travel time:93.53945409429281, q_loss:100, rewards:-33.77362, queue:24.708334, delay:0.5306855, throughput:1996
REAL_TEST step:154, travel time:60.727047146401986, q_loss:100, rewards:-20.991655, queue:11.366667, delay:0.45743483, throughput:1998
REAL_TEST step:156, travel time:81.48138957816377, q_loss:100, rewards:-28.04723, queue:14.566667, delay:0.41277063, throughput:1992
REAL_TEST step:158, travel time:59.76277915632755, q_loss:100, rewards:-20.990013, queue:8.483334, delay:0.33010268, throughput:1998
REAL_TEST step:160, travel time:68.76774193548387, q_loss:100, rewards:-24.818893, queue:12.333333, delay:0.4047568, throughput:1992
REAL_TEST step:162, travel time:56.43573200992556, q_loss:100, rewards:-19.073334, queue:9.516666, delay:0.42823562, throughput:1994
REAL_TEST step:164, travel time:76.3667493796526, q_loss:100, rewards:-27.179167, queue:17.927778, delay:0.49633378, throughput:1998
REAL_TEST step:166, travel time:59.30570719602978, q_loss:100, rewards:-20.663612, queue:11.325, delay:0.44177365, throughput:1993
REAL_TEST step:168, travel time:453.90595340811046, q_loss:100, rewards:-140.58804, queue:70.68889, delay:0.42108247, throughput:1005
REAL_TEST step:170, travel time:453.92493528904225, q_loss:100, rewards:-140.5936, queue:70.69444, delay:0.42987293, throughput:1005
REAL_TEST step:172, travel time:88.63225806451612, q_loss:100, rewards:-32.65916, queue:23.491667, delay:0.53037745, throughput:1997
REAL_TEST step:174, travel time:57.52357320099256, q_loss:100, rewards:-19.833334, queue:8.7722225, delay:0.3611393, throughput:1994
REAL_TEST step:176, travel time:78.72555831265508, q_loss:100, rewards:-28.482231, queue:19.277779, delay:0.5158198, throughput:1995
REAL_TEST step:178, travel time:59.121588089330025, q_loss:100, rewards:-20.532225, queue:11.025, delay:0.43853852, throughput:1996
REAL_TEST step:180, travel time:57.64119106699752, q_loss:100, rewards:-20.33333, queue:8.847222, delay:0.3760897, throughput:1998
REAL_TEST step:182, travel time:80.01885856079404, q_loss:100, rewards:-29.13304, queue:16.647223, delay:0.40418306, throughput:1997
REAL_TEST step:184, travel time:58.31910669975186, q_loss:100, rewards:-21.534445, queue:10.558333, delay:0.39410743, throughput:1992
REAL_TEST step:186, travel time:61.75285359801489, q_loss:100, rewards:-21.303606, queue:11.941667, delay:0.44285235, throughput:1997
REAL_TEST step:188, travel time:86.70521091811415, q_loss:100, rewards:-31.949728, queue:22.76111, delay:0.51539224, throughput:1997
REAL_TEST step:190, travel time:453.0432525951557, q_loss:100, rewards:-139.95277, queue:70.06944, delay:0.4388423, throughput:1003
REAL_TEST step:192, travel time:96.03722084367246, q_loss:100, rewards:-34.093605, queue:21.880556, delay:0.43982634, throughput:1997
REAL_TEST step:194, travel time:56.07841191066998, q_loss:100, rewards:-19.108335, queue:7.641667, delay:0.3730423, throughput:1992
