Loading cached latent encoders from pretrained/vae_embedding/presslight/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne1/baseline_v1_vae_s0/model/cologne1_noise5_presslight_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:321.91346153846155, q_loss:100, rewards:-57.24891, queue:23.403532, delay:1.6527971, throughput:1118
REAL_TEST step:4, travel time:250.95006402048656, q_loss:100, rewards:-55.148037, queue:51.46234, delay:1.795331, throughput:1436
REAL_TEST step:6, travel time:133.74420946626384, q_loss:100, rewards:-63.543602, queue:39.510265, delay:1.9941238, throughput:1931
REAL_TEST step:8, travel time:403.34270910436715, q_loss:100, rewards:-144.73444, queue:72.82645, delay:1.2127271, throughput:1195
REAL_TEST step:10, travel time:69.72258064516129, q_loss:100, rewards:-28.627485, queue:22.970728, delay:1.7720822, throughput:1995
REAL_TEST step:12, travel time:68.37617866004963, q_loss:100, rewards:-27.094727, queue:28.48648, delay:2.2451932, throughput:1985
REAL_TEST step:14, travel time:138.32159033719174, q_loss:100, rewards:-65.83137, queue:31.972746, delay:1.7031984, throughput:1951
REAL_TEST step:16, travel time:68.39900744416873, q_loss:100, rewards:-26.275557, queue:18.731733, delay:1.4338611, throughput:1991
REAL_TEST step:18, travel time:86.58341608738829, q_loss:100, rewards:-37.586117, queue:26.095304, delay:1.8986436, throughput:1988
REAL_TEST step:20, travel time:183.31832014607426, q_loss:100, rewards:-53.12914, queue:30.864979, delay:1.7104188, throughput:1566
REAL_TEST step:22, travel time:75.65558312655087, q_loss:100, rewards:-31.31888, queue:33.682755, delay:2.2202973, throughput:1977
REAL_TEST step:24, travel time:71.49280397022332, q_loss:100, rewards:-29.237207, queue:24.394407, delay:1.6940091, throughput:1998
REAL_TEST step:26, travel time:73.08734491315137, q_loss:100, rewards:-28.334715, queue:24.743025, delay:1.6528686, throughput:1992
REAL_TEST step:28, travel time:99.9948024948025, q_loss:100, rewards:-40.094982, queue:23.839285, delay:1.4025179, throughput:1885
REAL_TEST step:30, travel time:71.07994041708044, q_loss:100, rewards:-28.338043, queue:25.241282, delay:1.9611703, throughput:1990
REAL_TEST step:32, travel time:89.49131513647643, q_loss:100, rewards:-39.45, queue:27.630161, delay:2.0246894, throughput:1988
REAL_TEST step:34, travel time:68.79404466501241, q_loss:100, rewards:-27.360287, queue:22.69669, delay:1.6712816, throughput:1998
REAL_TEST step:36, travel time:64.85955334987592, q_loss:100, rewards:-24.954174, queue:23.183681, delay:2.0287664, throughput:1978
REAL_TEST step:38, travel time:67.0014888337469, q_loss:100, rewards:-26.250011, queue:20.699192, delay:1.6735531, throughput:1989
REAL_TEST step:40, travel time:78.86799007444169, q_loss:100, rewards:-33.325275, queue:32.593792, delay:1.9339471, throughput:1998
REAL_TEST step:42, travel time:78.02183622828784, q_loss:100, rewards:-31.457224, queue:25.873747, delay:1.7300986, throughput:1988
