Loading cached latent encoders from pretrained/atc/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_atc_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:1692.2094240837696, q_loss:100, rewards:-161.84666, queue:55.633335, delay:0.79159087, throughput:350
REAL_TEST step:4, travel time:398.54258031616524, q_loss:100, rewards:-82.766655, queue:27.556482, delay:0.5073883, throughput:1700
REAL_TEST step:6, travel time:940.1467351430667, q_loss:100, rewards:-152.6961, queue:53.116665, delay:0.7065462, throughput:889
REAL_TEST step:8, travel time:1745.0844298245613, q_loss:100, rewards:-181.86, queue:61.485184, delay:0.9250425, throughput:303
REAL_TEST step:10, travel time:1152.2646616541354, q_loss:100, rewards:-166.25722, queue:62.585186, delay:0.872436, throughput:680
REAL_TEST step:12, travel time:173.00645651348273, q_loss:100, rewards:-70.380295, queue:21.507408, delay:0.54077363, throughput:2508
REAL_TEST step:14, travel time:780.1994117647059, q_loss:100, rewards:-150.4614, queue:52.79074, delay:0.76482755, throughput:1078
REAL_TEST step:16, travel time:199.188013136289, q_loss:100, rewards:-75.58918, queue:24.462963, delay:0.53854644, throughput:2305
REAL_TEST step:18, travel time:183.30535232961108, q_loss:100, rewards:-62.010845, queue:18.688889, delay:0.5526586, throughput:2452
REAL_TEST step:20, travel time:158.21018867924528, q_loss:100, rewards:-52.50335, queue:18.00926, delay:0.506523, throughput:2510
REAL_TEST step:22, travel time:141.9927948426242, q_loss:100, rewards:-54.85335, queue:16.227777, delay:0.4754063, throughput:2548
REAL_TEST step:24, travel time:133.73240977032447, q_loss:100, rewards:-54.336113, queue:15.928703, delay:0.48443773, throughput:2657
REAL_TEST step:26, travel time:173.02733923758183, q_loss:100, rewards:-54.350292, queue:16.175, delay:0.46720243, throughput:2463
REAL_TEST step:28, travel time:176.9850517439632, q_loss:100, rewards:-72.00834, queue:22.055555, delay:0.5194528, throughput:2494
REAL_TEST step:30, travel time:187.2697191227395, q_loss:100, rewards:-69.133896, queue:21.117592, delay:0.52809256, throughput:2449
REAL_TEST step:32, travel time:151.01189562547967, q_loss:100, rewards:-57.359722, queue:17.163889, delay:0.4696968, throughput:2495
REAL_TEST step:34, travel time:183.69189396849788, q_loss:100, rewards:-69.25581, queue:21.175926, delay:0.5075189, throughput:2451
REAL_TEST step:36, travel time:840.3310486634681, q_loss:100, rewards:-110.84806, queue:39.198147, delay:0.6781155, throughput:918
REAL_TEST step:38, travel time:170.48810437452033, q_loss:100, rewards:-71.5414, queue:21.971296, delay:0.520148, throughput:2489
REAL_TEST step:40, travel time:204.16926070038912, q_loss:100, rewards:-63.561943, queue:19.802778, delay:0.49576607, throughput:2356
REAL_TEST step:42, travel time:166.54528012279354, q_loss:100, rewards:-65.90223, queue:20.017593, delay:0.50283873, throughput:2493
REAL_TEST step:44, travel time:608.6094908551656, q_loss:100, rewards:-111.60442, queue:40.22963, delay:0.63610435, throughput:1424
REAL_TEST step:46, travel time:195.65939044481055, q_loss:100, rewards:-77.59416, queue:24.703703, delay:0.52435136, throughput:2297
REAL_TEST step:48, travel time:168.7147262914418, q_loss:100, rewards:-54.86251, queue:16.318518, delay:0.465755, throughput:2444
REAL_TEST step:50, travel time:157.22872545244513, q_loss:100, rewards:-61.88139, queue:18.74537, delay:0.5041437, throughput:2465
REAL_TEST step:52, travel time:223.3476577622919, q_loss:100, rewards:-76.99918, queue:23.807407, delay:0.5705298, throughput:2360
REAL_TEST step:54, travel time:154.23103581055062, q_loss:100, rewards:-59.259445, queue:17.896296, delay:0.48235926, throughput:2469
REAL_TEST step:56, travel time:228.9863813229572, q_loss:100, rewards:-84.1914, queue:26.252777, delay:0.61120266, throughput:2355
REAL_TEST step:58, travel time:153.37682271680737, q_loss:100, rewards:-58.584717, queue:17.601852, delay:0.4970433, throughput:2494
REAL_TEST step:60, travel time:222.82855990318677, q_loss:100, rewards:-75.70306, queue:23.38426, delay:0.5541046, throughput:2262
REAL_TEST step:62, travel time:158.20754716981133, q_loss:100, rewards:-61.78277, queue:18.746296, delay:0.49574822, throughput:2467
REAL_TEST step:64, travel time:186.50210808738981, q_loss:100, rewards:-60.05501, queue:17.893518, delay:0.50002086, throughput:2486
REAL_TEST step:66, travel time:153.37581825182903, q_loss:100, rewards:-67.529175, queue:20.749075, delay:0.47316754, throughput:2491
REAL_TEST step:68, travel time:188.44590417310664, q_loss:100, rewards:-52.81501, queue:15.580556, delay:0.46496594, throughput:2469
REAL_TEST step:70, travel time:131.58583611420096, q_loss:100, rewards:-48.583332, queue:14.290741, delay:0.4084311, throughput:2610
REAL_TEST step:72, travel time:478.09650287737935, q_loss:100, rewards:-84.45805, queue:32.00463, delay:0.54735565, throughput:1680
REAL_TEST step:74, travel time:198.4846214511041, q_loss:100, rewards:-64.85279, queue:19.778704, delay:0.5392943, throughput:2382
REAL_TEST step:76, travel time:185.77003891050583, q_loss:100, rewards:-52.918056, queue:16.48611, delay:0.42825544, throughput:2358
REAL_TEST step:78, travel time:1057.0527036276524, q_loss:100, rewards:-109.810005, queue:40.25, delay:0.6675348, throughput:790
REAL_TEST step:80, travel time:437.24733570159856, q_loss:100, rewards:-90.27361, queue:32.710186, delay:0.5507406, throughput:1753
REAL_TEST step:82, travel time:142.42451088962716, q_loss:100, rewards:-52.503895, queue:15.937963, delay:0.47448334, throughput:2609
REAL_TEST step:84, travel time:454.29099307159356, q_loss:100, rewards:-99.43362, queue:34.850925, delay:0.6101616, throughput:1661
REAL_TEST step:86, travel time:213.02440016266775, q_loss:100, rewards:-92.185265, queue:29.237038, delay:0.5630439, throughput:2328
REAL_TEST step:88, travel time:435.0601604278075, q_loss:100, rewards:-108.94501, queue:39.32685, delay:0.60404, throughput:1736
REAL_TEST step:90, travel time:97.19712885154061, q_loss:100, rewards:-27.49528, queue:6.825926, delay:0.3805343, throughput:2776
REAL_TEST step:92, travel time:555.8582562104237, q_loss:100, rewards:-112.2775, queue:40.801853, delay:0.6352396, throughput:1444
REAL_TEST step:94, travel time:554.3801969365427, q_loss:100, rewards:-71.115845, queue:24.460186, delay:0.4495023, throughput:1310
REAL_TEST step:96, travel time:529.5324051848296, q_loss:100, rewards:-101.10944, queue:37.300926, delay:0.6046889, throughput:1498
REAL_TEST step:98, travel time:100.72469922151451, q_loss:100, rewards:-27.321669, queue:7.2203703, delay:0.33384186, throughput:2749
REAL_TEST step:100, travel time:489.19761904761907, q_loss:100, rewards:-110.073326, queue:39.721294, delay:0.73677963, throughput:1573
REAL_TEST step:102, travel time:642.4106652006597, q_loss:100, rewards:-59.684715, queue:21.805555, delay:0.45982167, throughput:1217
REAL_TEST step:104, travel time:211.40149724192278, q_loss:100, rewards:-58.432217, queue:17.560184, delay:0.4564456, throughput:2338
REAL_TEST step:106, travel time:191.71903087143414, q_loss:100, rewards:-54.168068, queue:17.191668, delay:0.45140156, throughput:2330
REAL_TEST step:108, travel time:428.07712532865906, q_loss:100, rewards:-108.08835, queue:39.56111, delay:0.588937, throughput:1760
REAL_TEST step:110, travel time:128.9231311706629, q_loss:100, rewards:-23.521383, queue:5.4425926, delay:0.3240185, throughput:2738
REAL_TEST step:112, travel time:478.4282178217822, q_loss:100, rewards:-83.56944, queue:29.127777, delay:0.5278856, throughput:1598
REAL_TEST step:114, travel time:123.79610924055369, q_loss:100, rewards:-30.072227, queue:9.983334, delay:0.3210426, throughput:2596
REAL_TEST step:116, travel time:225.8637532133676, q_loss:100, rewards:-66.99529, queue:20.82963, delay:0.49996576, throughput:2431
REAL_TEST step:118, travel time:94.51326494517156, q_loss:100, rewards:-24.81583, queue:6.3018517, delay:0.30575687, throughput:2748
REAL_TEST step:120, travel time:230.40576995129263, q_loss:100, rewards:-55.808334, queue:17.818518, delay:0.40739182, throughput:2367
REAL_TEST step:122, travel time:97.38676574663836, q_loss:100, rewards:-25.322498, queue:6.5185184, delay:0.3049885, throughput:2756
REAL_TEST step:124, travel time:119.40535649656171, q_loss:100, rewards:-14.289998, queue:2.2722223, delay:0.27938965, throughput:2678
REAL_TEST step:126, travel time:94.23425336164189, q_loss:100, rewards:-24.651386, queue:6.2953706, delay:0.30444494, throughput:2752
REAL_TEST step:128, travel time:235.96923076923076, q_loss:100, rewards:-55.43111, queue:18.05463, delay:0.43035385, throughput:2293
REAL_TEST step:130, travel time:94.78995756718528, q_loss:100, rewards:-24.413614, queue:6.2453704, delay:0.29691598, throughput:2756
REAL_TEST step:132, travel time:120.88621908127209, q_loss:100, rewards:-15.916116, queue:2.8435185, delay:0.29601857, throughput:2751
REAL_TEST step:134, travel time:359.9463327370304, q_loss:100, rewards:-50.860844, queue:16.505556, delay:0.43242526, throughput:1855
REAL_TEST step:136, travel time:226.3977320453591, q_loss:100, rewards:-55.752224, queue:16.73889, delay:0.43396118, throughput:2174
REAL_TEST step:138, travel time:167.13615560640733, q_loss:100, rewards:-47.789997, queue:13.850926, delay:0.445977, throughput:2487
REAL_TEST step:140, travel time:267.0602605863192, q_loss:100, rewards:-68.37167, queue:21.103704, delay:0.51261353, throughput:2160
REAL_TEST step:142, travel time:216.525, q_loss:100, rewards:-49.277496, queue:17.700926, delay:0.45029324, throughput:2290
REAL_TEST step:144, travel time:332.7578475336323, q_loss:100, rewards:-36.42695, queue:12.435185, delay:0.3449991, throughput:1729
REAL_TEST step:146, travel time:95.79448178280863, q_loss:100, rewards:-27.697233, queue:7.274074, delay:0.33558863, throughput:2740
REAL_TEST step:148, travel time:466.23705722070844, q_loss:100, rewards:-94.751945, queue:33.375, delay:0.5674236, throughput:1722
REAL_TEST step:150, travel time:91.93526706756279, q_loss:100, rewards:-23.39445, queue:5.866667, delay:0.29704794, throughput:2745
REAL_TEST step:152, travel time:342.6986809563067, q_loss:100, rewards:-69.72084, queue:24.753704, delay:0.5115194, throughput:1956
REAL_TEST step:154, travel time:125.6267657992565, q_loss:100, rewards:-46.480286, queue:13.444445, delay:0.42233723, throughput:2557
REAL_TEST step:156, travel time:492.88081671415006, q_loss:100, rewards:-104.12696, queue:37.625, delay:0.63139814, throughput:1609
REAL_TEST step:158, travel time:181.4231609613984, q_loss:100, rewards:-35.16945, queue:10.613889, delay:0.38562357, throughput:2437
REAL_TEST step:160, travel time:519.0952830188679, q_loss:100, rewards:-98.297775, queue:35.202778, delay:0.55121505, throughput:1524
REAL_TEST step:162, travel time:95.17905166312809, q_loss:100, rewards:-24.885279, queue:6.3925924, delay:0.30235445, throughput:2746
REAL_TEST step:164, travel time:514.0442316461468, q_loss:100, rewards:-97.52776, queue:34.86759, delay:0.558631, throughput:1607
REAL_TEST step:166, travel time:148.43918398768284, q_loss:100, rewards:-58.502518, queue:17.627777, delay:0.47447917, throughput:2461
REAL_TEST step:168, travel time:424.0057598582189, q_loss:100, rewards:-105.59111, queue:38.92963, delay:0.5835477, throughput:1746
REAL_TEST step:170, travel time:136.6298957959037, q_loss:100, rewards:-23.081667, queue:5.836111, delay:0.31657547, throughput:2687
REAL_TEST step:172, travel time:398.474540008558, q_loss:100, rewards:-96.087204, queue:35.09722, delay:0.5270672, throughput:1828
REAL_TEST step:174, travel time:90.00884642604387, q_loss:100, rewards:-22.437502, queue:5.585185, delay:0.28675854, throughput:2753
REAL_TEST step:176, travel time:444.9433707865169, q_loss:100, rewards:-95.86919, queue:35.823147, delay:0.58361995, throughput:1721
REAL_TEST step:178, travel time:165.78687315634218, q_loss:100, rewards:-47.870274, queue:14.59537, delay:0.42141205, throughput:2466
REAL_TEST step:180, travel time:433.1785396260018, q_loss:100, rewards:-108.089714, queue:39.88148, delay:0.6038613, throughput:1734
REAL_TEST step:182, travel time:519.6556513409962, q_loss:100, rewards:-94.346375, queue:32.497223, delay:0.5771808, throughput:1505
