Loading cached latent encoders from pretrained/atc/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_atc_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:1691.4237644584648, q_loss:100, rewards:-157.63419, queue:44.101852, delay:0.57290924, throughput:343
REAL_TEST step:4, travel time:234.44871287128714, q_loss:100, rewards:-51.904736, queue:10.684259, delay:0.3130062, throughput:2137
REAL_TEST step:6, travel time:1226.191129032258, q_loss:100, rewards:-172.06334, queue:51.067593, delay:0.77708143, throughput:634
REAL_TEST step:8, travel time:1544.2147525676937, q_loss:100, rewards:-171.11333, queue:55.88426, delay:0.8129285, throughput:435
REAL_TEST step:10, travel time:602.1030680728667, q_loss:100, rewards:-111.04945, queue:37.53611, delay:0.73811316, throughput:1456
REAL_TEST step:12, travel time:191.86783831282952, q_loss:100, rewards:-59.958332, queue:13.832407, delay:0.4165091, throughput:2766
REAL_TEST step:14, travel time:676.2564917859036, q_loss:100, rewards:-131.83528, queue:41.605556, delay:0.6726412, throughput:1271
REAL_TEST step:16, travel time:205.61627014581734, q_loss:100, rewards:-85.394714, queue:26.146296, delay:0.5242781, throughput:2453
REAL_TEST step:18, travel time:250.27126158806934, q_loss:100, rewards:-61.049454, queue:14.715741, delay:0.46064004, throughput:2118
REAL_TEST step:20, travel time:148.77844950213372, q_loss:100, rewards:-40.64724, queue:5.6212964, delay:0.3741728, throughput:2680
REAL_TEST step:22, travel time:541.3084384093113, q_loss:100, rewards:-95.012215, queue:23.796297, delay:0.433009, throughput:1433
REAL_TEST step:24, travel time:362.3777051857901, q_loss:100, rewards:-61.75139, queue:15.225926, delay:0.4655834, throughput:1945
REAL_TEST step:26, travel time:833.0638421358096, q_loss:100, rewards:-110.430824, queue:26.139814, delay:0.47180346, throughput:1082
REAL_TEST step:28, travel time:238.60062769713613, q_loss:100, rewards:-103.52834, queue:24.147223, delay:0.48162004, throughput:2277
REAL_TEST step:30, travel time:890.2762836185819, q_loss:100, rewards:-122.80111, queue:34.988888, delay:0.5630333, throughput:974
REAL_TEST step:32, travel time:200.26939571150098, q_loss:100, rewards:-56.670002, queue:11.197222, delay:0.40794775, throughput:2316
REAL_TEST step:34, travel time:1284.9496514329976, q_loss:100, rewards:-135.395, queue:26.307407, delay:0.47234306, throughput:634
REAL_TEST step:36, travel time:720.7393209200438, q_loss:100, rewards:-102.81416, queue:25.397223, delay:0.42535594, throughput:1209
REAL_TEST step:38, travel time:199.97045280122794, q_loss:100, rewards:-83.016106, queue:25.444445, delay:0.4923455, throughput:2427
REAL_TEST step:40, travel time:542.2381852551985, q_loss:100, rewards:-100.684166, queue:31.524075, delay:0.52213997, throughput:1524
REAL_TEST step:42, travel time:191.57636224098235, q_loss:100, rewards:-80.877754, queue:25.102777, delay:0.551976, throughput:2423
REAL_TEST step:44, travel time:259.3826907301066, q_loss:100, rewards:-90.60388, queue:13.768518, delay:0.28346688, throughput:2135
REAL_TEST step:46, travel time:794.1773371104816, q_loss:100, rewards:-126.92972, queue:34.21574, delay:0.5354359, throughput:1096
REAL_TEST step:48, travel time:188.27052954719878, q_loss:100, rewards:-76.42111, queue:23.52037, delay:0.55152225, throughput:2480
REAL_TEST step:50, travel time:364.7126245847176, q_loss:100, rewards:-108.276115, queue:29.394444, delay:0.5533671, throughput:1972
REAL_TEST step:52, travel time:616.1076158940398, q_loss:100, rewards:-105.88194, queue:33.85278, delay:0.60610867, throughput:1312
REAL_TEST step:54, travel time:1131.5373352855052, q_loss:100, rewards:-179.17525, queue:41.503704, delay:0.5765724, throughput:756
REAL_TEST step:56, travel time:174.5310821181888, q_loss:100, rewards:-77.096954, queue:11.096296, delay:0.37860703, throughput:2450
REAL_TEST step:58, travel time:194.15771297006907, q_loss:100, rewards:-81.45888, queue:25.307407, delay:0.55957043, throughput:2478
REAL_TEST step:60, travel time:694.1833244254409, q_loss:100, rewards:-141.73056, queue:27.114815, delay:0.5018294, throughput:1228
REAL_TEST step:62, travel time:697.0557324840764, q_loss:100, rewards:-113.05139, queue:26.446297, delay:0.4662379, throughput:1248
REAL_TEST step:64, travel time:576.1745, q_loss:100, rewards:-85.801674, queue:24.950926, delay:0.50743985, throughput:1377
REAL_TEST step:66, travel time:567.4722222222222, q_loss:100, rewards:-93.76444, queue:25.892593, delay:0.47297004, throughput:1416
REAL_TEST step:68, travel time:689.5151015925316, q_loss:100, rewards:-116.52528, queue:32.77963, delay:0.55782074, throughput:1162
REAL_TEST step:70, travel time:208.54923664122137, q_loss:100, rewards:-88.03359, queue:17.470371, delay:0.3763002, throughput:2403
REAL_TEST step:72, travel time:106.63914265635981, q_loss:100, rewards:-33.58721, queue:4.274074, delay:0.25777498, throughput:2762
REAL_TEST step:74, travel time:660.9343408025013, q_loss:100, rewards:-114.63613, queue:25.197222, delay:0.4247452, throughput:1313
REAL_TEST step:76, travel time:1202.9644787644788, q_loss:100, rewards:-124.5525, queue:26.803703, delay:0.39131594, throughput:654
REAL_TEST step:78, travel time:248.64793388429752, q_loss:100, rewards:-89.174194, queue:13.527778, delay:0.33561924, throughput:2225
REAL_TEST step:80, travel time:606.327622014538, q_loss:100, rewards:-137.67139, queue:37.550926, delay:0.604849, throughput:1460
REAL_TEST step:82, travel time:306.3380161770966, q_loss:100, rewards:-103.55973, queue:28.142593, delay:0.5298602, throughput:1952
REAL_TEST step:84, travel time:214.22777340676632, q_loss:100, rewards:-73.08723, queue:22.075926, delay:0.53727597, throughput:2372
REAL_TEST step:86, travel time:233.32147001934237, q_loss:100, rewards:-92.5175, queue:26.687037, delay:0.52620286, throughput:2380
REAL_TEST step:88, travel time:347.38365051903116, q_loss:100, rewards:-103.76556, queue:24.207407, delay:0.40162793, throughput:1814
REAL_TEST step:90, travel time:762.0641316685585, q_loss:100, rewards:-143.01222, queue:41.889816, delay:0.67540765, throughput:1136
REAL_TEST step:92, travel time:245.68333333333334, q_loss:100, rewards:-122.29415, queue:36.119446, delay:0.6410057, throughput:2382
REAL_TEST step:94, travel time:296.49714052287584, q_loss:100, rewards:-114.8389, queue:37.114815, delay:0.6175601, throughput:2159
REAL_TEST step:96, travel time:665.5316789862725, q_loss:100, rewards:-131.70442, queue:34.38426, delay:0.48268524, throughput:1282
REAL_TEST step:98, travel time:764.2998859749144, q_loss:100, rewards:-120.47307, queue:26.874075, delay:0.43689117, throughput:1091
REAL_TEST step:100, travel time:661.0762211486849, q_loss:100, rewards:-119.52665, queue:31.982407, delay:0.52783215, throughput:1258
REAL_TEST step:102, travel time:735.5519816197587, q_loss:100, rewards:-141.69054, queue:34.303703, delay:0.47971112, throughput:1110
REAL_TEST step:104, travel time:662.0387978142077, q_loss:100, rewards:-126.400826, queue:35.762962, delay:0.5607584, throughput:1215
REAL_TEST step:106, travel time:539.8855569155447, q_loss:100, rewards:-91.01001, queue:5.898148, delay:0.11895249, throughput:1339
REAL_TEST step:108, travel time:630.1283676703645, q_loss:100, rewards:-132.04861, queue:34.939816, delay:0.5314708, throughput:1322
REAL_TEST step:110, travel time:862.9353474320242, q_loss:100, rewards:-128.08667, queue:38.573147, delay:0.5950829, throughput:975
REAL_TEST step:112, travel time:656.6860031931878, q_loss:100, rewards:-102.2625, queue:18.538889, delay:0.3598486, throughput:1272
REAL_TEST step:114, travel time:365.3798056611745, q_loss:100, rewards:-101.07553, queue:27.899075, delay:0.55385315, throughput:2124
REAL_TEST step:116, travel time:770.8735498839907, q_loss:100, rewards:-132.62834, queue:38.43704, delay:0.5998655, throughput:1068
REAL_TEST step:118, travel time:680.1597222222222, q_loss:100, rewards:-94.08028, queue:26.397223, delay:0.48859552, throughput:1251
REAL_TEST step:120, travel time:933.503821656051, q_loss:100, rewards:-127.153885, queue:37.572224, delay:0.6014491, throughput:932
REAL_TEST step:122, travel time:944.5288399222294, q_loss:100, rewards:-96.97584, queue:26.88889, delay:0.59567136, throughput:926
REAL_TEST step:124, travel time:186.1199233716475, q_loss:100, rewards:-73.67889, queue:13.112037, delay:0.3335807, throughput:2456
REAL_TEST step:126, travel time:416.16764995083577, q_loss:100, rewards:-108.468056, queue:32.391666, delay:0.65560484, throughput:1720
REAL_TEST step:128, travel time:114.1445106980007, q_loss:100, rewards:-42.026943, queue:5.6703706, delay:0.24816465, throughput:2739
REAL_TEST step:130, travel time:283.2936758893281, q_loss:100, rewards:-109.351685, queue:31.967592, delay:0.62043947, throughput:2297
REAL_TEST step:132, travel time:707.6389684813754, q_loss:100, rewards:-135.5811, queue:26.543518, delay:0.48697928, throughput:1123
REAL_TEST step:134, travel time:264.3781339909577, q_loss:100, rewards:-82.85054, queue:19.812037, delay:0.39054847, throughput:2230
REAL_TEST step:136, travel time:825.6895943562611, q_loss:100, rewards:-136.52664, queue:43.360184, delay:0.70170677, throughput:1047
REAL_TEST step:138, travel time:189.56690812047273, q_loss:100, rewards:-66.36889, queue:13.994445, delay:0.4462329, throughput:2440
REAL_TEST step:140, travel time:627.8990872210953, q_loss:100, rewards:-99.288055, queue:33.166668, delay:0.4992912, throughput:1354
REAL_TEST step:142, travel time:382.84735202492215, q_loss:100, rewards:-90.234985, queue:17.038889, delay:0.32857382, throughput:1880
REAL_TEST step:144, travel time:206.38399693721286, q_loss:100, rewards:-90.48249, queue:19.591667, delay:0.4022815, throughput:2447
REAL_TEST step:146, travel time:215.74533174413986, q_loss:100, rewards:-79.40222, queue:16.473148, delay:0.3624712, throughput:2259
REAL_TEST step:148, travel time:343.4534510433387, q_loss:100, rewards:-89.798065, queue:27.037964, delay:0.5309147, throughput:2074
REAL_TEST step:150, travel time:216.1139240506329, q_loss:100, rewards:-69.44499, queue:18.372223, delay:0.4696492, throughput:2424
REAL_TEST step:152, travel time:233.12383900928793, q_loss:100, rewards:-82.1611, queue:18.972221, delay:0.5414182, throughput:2395
REAL_TEST step:154, travel time:297.5098532494759, q_loss:100, rewards:-88.099724, queue:15.248148, delay:0.31786302, throughput:2047
REAL_TEST step:156, travel time:618.5496417604913, q_loss:100, rewards:-93.86834, queue:26.05926, delay:0.42467952, throughput:1338
REAL_TEST step:158, travel time:217.1987755102041, q_loss:100, rewards:-92.58944, queue:19.51389, delay:0.35520208, throughput:2295
REAL_TEST step:160, travel time:585.6453033268102, q_loss:100, rewards:-132.0703, queue:41.74352, delay:0.6050565, throughput:1453
REAL_TEST step:162, travel time:739.6567080045096, q_loss:100, rewards:-99.455826, queue:25.341667, delay:0.42161736, throughput:1154
REAL_TEST step:164, travel time:704.5513100436681, q_loss:100, rewards:-96.05222, queue:31.062963, delay:0.5558029, throughput:1208
REAL_TEST step:166, travel time:604.1005448241704, q_loss:100, rewards:-100.49944, queue:24.452778, delay:0.46019176, throughput:1423
REAL_TEST step:168, travel time:250.55816831683168, q_loss:100, rewards:-98.58559, queue:25.45463, delay:0.4577344, throughput:2236
REAL_TEST step:170, travel time:724.4945533769063, q_loss:100, rewards:-113.321396, queue:34.175926, delay:0.6223061, throughput:1215
REAL_TEST step:172, travel time:1078.3, q_loss:100, rewards:-119.49389, queue:31.535185, delay:0.5145241, throughput:783
REAL_TEST step:174, travel time:860.0465671641791, q_loss:100, rewards:-105.230835, queue:28.068518, delay:0.47744662, throughput:1041
REAL_TEST step:176, travel time:703.4579945799458, q_loss:100, rewards:-100.72556, queue:32.511112, delay:0.5675033, throughput:1226
REAL_TEST step:178, travel time:743.3534046145188, q_loss:100, rewards:-100.16195, queue:28.028704, delay:0.48420206, throughput:1143
REAL_TEST step:180, travel time:705.7187839305103, q_loss:100, rewards:-102.01806, queue:27.90926, delay:0.47962674, throughput:1221
REAL_TEST step:182, travel time:610.5197331851028, q_loss:100, rewards:-150.95277, queue:41.488888, delay:0.5932873, throughput:1438
REAL_TEST step:184, travel time:317.98632974316484, q_loss:100, rewards:-61.842224, queue:14.631481, delay:0.401824, throughput:1950
REAL_TEST step:186, travel time:648.727027027027, q_loss:100, rewards:-106.225555, queue:31.787964, delay:0.52399236, throughput:1259
REAL_TEST step:188, travel time:739.7755331088664, q_loss:100, rewards:-117.12361, queue:33.26389, delay:0.4861534, throughput:1121
REAL_TEST step:190, travel time:211.67484662576686, q_loss:100, rewards:-91.51057, queue:27.947222, delay:0.57022166, throughput:2404
REAL_TEST step:192, travel time:647.1878198567042, q_loss:100, rewards:-132.36473, queue:36.233334, delay:0.5637382, throughput:1323
REAL_TEST step:194, travel time:785.3516284680338, q_loss:100, rewards:-116.242775, queue:20.961111, delay:0.32758495, throughput:1038
REAL_TEST step:196, travel time:965.4711055276382, q_loss:100, rewards:-135.4125, queue:38.408333, delay:0.6066681, throughput:963
REAL_TEST step:198, travel time:954.6714824120603, q_loss:100, rewards:-120.64139, queue:34.925, delay:0.5635472, throughput:923
Total time taken: 1013.0341649055481
