Loading cached latent encoders from pretrained/darla/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_darla_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:1370.4523206751055, q_loss:100, rewards:-123.07388, queue:42.038887, delay:0.6223503, throughput:543
REAL_TEST step:4, travel time:976.8451612903226, q_loss:100, rewards:-125.917206, queue:44.73148, delay:0.6740791, throughput:931
REAL_TEST step:6, travel time:807.65544332211, q_loss:100, rewards:-55.276672, queue:27.450926, delay:0.5333457, throughput:1134
REAL_TEST step:8, travel time:299.4173100365705, q_loss:100, rewards:-39.02999, queue:12.510185, delay:0.4261694, throughput:2016
REAL_TEST step:10, travel time:84.72268907563026, q_loss:100, rewards:-18.794998, queue:3.848148, delay:0.36654115, throughput:2806
REAL_TEST step:12, travel time:122.04982456140351, q_loss:100, rewards:-19.081388, queue:3.9481483, delay:0.35977268, throughput:2771
REAL_TEST step:14, travel time:640.5744903293256, q_loss:100, rewards:-124.026115, queue:44.34537, delay:0.714671, throughput:1309
REAL_TEST step:16, travel time:433.8097147950089, q_loss:100, rewards:-121.59807, queue:38.221294, delay:0.673806, throughput:1730
REAL_TEST step:18, travel time:1002.5980595980596, q_loss:100, rewards:-148.9675, queue:50.289814, delay:0.75026166, throughput:807
REAL_TEST step:20, travel time:1105.9513590844062, q_loss:100, rewards:-174.11833, queue:61.460186, delay:0.8695606, throughput:739
REAL_TEST step:22, travel time:261.8296153846154, q_loss:100, rewards:-83.83222, queue:24.362963, delay:0.4891541, throughput:2205
REAL_TEST step:24, travel time:584.1655561250641, q_loss:100, rewards:-120.10444, queue:42.224075, delay:0.6483197, throughput:1359
REAL_TEST step:26, travel time:479.25593904078886, q_loss:100, rewards:-129.32582, queue:45.45, delay:0.7179957, throughput:1653
REAL_TEST step:28, travel time:526.5557692307692, q_loss:100, rewards:-138.17583, queue:47.80648, delay:0.6960844, throughput:1495
REAL_TEST step:30, travel time:654.0858324715615, q_loss:100, rewards:-128.13583, queue:46.572224, delay:0.7214966, throughput:1314
REAL_TEST step:32, travel time:514.2227378190255, q_loss:100, rewards:-132.39084, queue:47.06389, delay:0.7141896, throughput:1573
REAL_TEST step:34, travel time:656.69375, q_loss:100, rewards:-128.4675, queue:38.008335, delay:0.63478184, throughput:1304
REAL_TEST step:36, travel time:521.1798594847775, q_loss:100, rewards:-133.63557, queue:46.293518, delay:0.66321504, throughput:1544
REAL_TEST step:38, travel time:532.8474494706448, q_loss:100, rewards:-139.62834, queue:48.750927, delay:0.77637994, throughput:1483
REAL_TEST step:40, travel time:448.172681589767, q_loss:100, rewards:-116.771385, queue:41.512035, delay:0.6251482, throughput:1662
REAL_TEST step:42, travel time:576.7315175097276, q_loss:100, rewards:-130.96167, queue:47.169445, delay:0.76191735, throughput:1454
REAL_TEST step:44, travel time:461.86860986547083, q_loss:100, rewards:-126.19195, queue:40.39074, delay:0.65300906, throughput:1713
REAL_TEST step:46, travel time:482.0138269402319, q_loss:100, rewards:-106.35058, queue:29.787964, delay:0.5933476, throughput:1688
REAL_TEST step:48, travel time:1525.480472297911, q_loss:100, rewards:-157.80249, queue:54.22037, delay:0.777332, throughput:443
REAL_TEST step:50, travel time:843.053216374269, q_loss:100, rewards:-157.52304, queue:55.069443, delay:0.7825055, throughput:1075
REAL_TEST step:52, travel time:461.1177570093458, q_loss:100, rewards:-114.124725, queue:38.952778, delay:0.67695576, throughput:1648
REAL_TEST step:54, travel time:1516.051188299817, q_loss:100, rewards:-160.31, queue:47.708332, delay:0.7381193, throughput:445
REAL_TEST step:56, travel time:443.22618510158014, q_loss:100, rewards:-116.15167, queue:38.50648, delay:0.6375816, throughput:1706
REAL_TEST step:58, travel time:1334.207627118644, q_loss:100, rewards:-152.91945, queue:52.521297, delay:0.76718795, throughput:545
REAL_TEST step:60, travel time:440.52520252025204, q_loss:100, rewards:-118.968056, queue:41.394444, delay:0.67124933, throughput:1715
REAL_TEST step:62, travel time:1288.3669123669124, q_loss:100, rewards:-156.27222, queue:44.283333, delay:0.68032235, throughput:586
REAL_TEST step:64, travel time:677.5740839086563, q_loss:100, rewards:-118.310555, queue:42.119446, delay:0.6732073, throughput:1272
REAL_TEST step:66, travel time:900.429418742586, q_loss:100, rewards:-127.99109, queue:39.906483, delay:0.64019924, throughput:1044
REAL_TEST step:68, travel time:460.80484581497797, q_loss:100, rewards:-129.71361, queue:40.630554, delay:0.69282967, throughput:1745
REAL_TEST step:70, travel time:653.8419647624132, q_loss:100, rewards:-115.7364, queue:41.91574, delay:0.6873772, throughput:1265
REAL_TEST step:72, travel time:433.5212404418012, q_loss:100, rewards:-125.129166, queue:36.31296, delay:0.6475353, throughput:1813
REAL_TEST step:74, travel time:328.84794628751973, q_loss:100, rewards:-100.82111, queue:25.12037, delay:0.48223, throughput:2066
REAL_TEST step:76, travel time:481.5795559666975, q_loss:100, rewards:-138.62473, queue:44.48611, delay:0.6571285, throughput:1660
REAL_TEST step:78, travel time:596.7093425605536, q_loss:100, rewards:-134.89972, queue:40.06296, delay:0.6059263, throughput:1405
REAL_TEST step:80, travel time:496.9312872194228, q_loss:100, rewards:-132.18832, queue:47.282406, delay:0.74934125, throughput:1618
REAL_TEST step:82, travel time:495.636815920398, q_loss:100, rewards:-131.2111, queue:46.75463, delay:0.7529084, throughput:1618
REAL_TEST step:84, travel time:650.8486910994765, q_loss:100, rewards:-116.676674, queue:37.364815, delay:0.6451267, throughput:1313
REAL_TEST step:86, travel time:1229.973520249221, q_loss:100, rewards:-151.23917, queue:48.807407, delay:0.7667394, throughput:636
REAL_TEST step:88, travel time:618.3740419008686, q_loss:100, rewards:-136.15973, queue:48.2, delay:0.7215913, throughput:1354
REAL_TEST step:90, travel time:476.4858426966292, q_loss:100, rewards:-130.85222, queue:41.63148, delay:0.6657278, throughput:1687
REAL_TEST step:92, travel time:947.3079973562459, q_loss:100, rewards:-157.19057, queue:54.300926, delay:0.7819705, throughput:871
REAL_TEST step:94, travel time:533.192046556741, q_loss:100, rewards:-136.56778, queue:45.464813, delay:0.6445221, throughput:1492
REAL_TEST step:96, travel time:556.9169262720665, q_loss:100, rewards:-134.65834, queue:44.59537, delay:0.65760875, throughput:1468
REAL_TEST step:98, travel time:433.0725565514298, q_loss:100, rewards:-109.28915, queue:30.035185, delay:0.5422841, throughput:1826
REAL_TEST step:100, travel time:533.1516494337765, q_loss:100, rewards:-146.29028, queue:50.668518, delay:0.7715307, throughput:1473
REAL_TEST step:102, travel time:535.0067210753721, q_loss:100, rewards:-124.211685, queue:39.18796, delay:0.6414163, throughput:1646
REAL_TEST step:104, travel time:490.31537389688805, q_loss:100, rewards:-135.6525, queue:47.74537, delay:0.7106952, throughput:1632
REAL_TEST step:106, travel time:1126.1394508670521, q_loss:100, rewards:-157.29611, queue:48.577778, delay:0.7777356, throughput:755
REAL_TEST step:108, travel time:1422.8378623188405, q_loss:100, rewards:-171.67445, queue:58.59074, delay:0.8053627, throughput:485
REAL_TEST step:110, travel time:1655.3198724760894, q_loss:100, rewards:-182.39223, queue:56.775925, delay:0.8477462, throughput:349
REAL_TEST step:112, travel time:887.423749246534, q_loss:100, rewards:-158.18306, queue:48.76389, delay:0.71244586, throughput:1028
REAL_TEST step:114, travel time:1246.863492063492, q_loss:100, rewards:-195.60666, queue:65.56019, delay:0.9089643, throughput:615
REAL_TEST step:116, travel time:673.4455388180764, q_loss:100, rewards:-142.47084, queue:48.28611, delay:0.7356754, throughput:1186
REAL_TEST step:118, travel time:472.91009174311927, q_loss:100, rewards:-108.84833, queue:32.558334, delay:0.61113113, throughput:1739
REAL_TEST step:120, travel time:797.6546546546547, q_loss:100, rewards:-161.16972, queue:55.858334, delay:0.8056215, throughput:1024
REAL_TEST step:122, travel time:1676.828207847296, q_loss:100, rewards:-161.01193, queue:51.323147, delay:0.689445, throughput:342
REAL_TEST step:124, travel time:722.0173031026253, q_loss:100, rewards:-156.7325, queue:43.54074, delay:0.6877318, throughput:1091
REAL_TEST step:126, travel time:779.6699568167797, q_loss:100, rewards:-158.33585, queue:53.532406, delay:0.81005853, throughput:1031
REAL_TEST step:128, travel time:805.1678018575851, q_loss:100, rewards:-146.61807, queue:51.166668, delay:0.7142508, throughput:1027
