replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_domain_randomization_s0/model/cologne3_noise5_presslight_domain_randomization -> eval real_setting=combine1
REAL_TEST step:3, travel time:148.83812010443864, q_loss:100, rewards:-37.87972, queue:7.9543023, delay:1.0246745, throughput:2583
REAL_TEST step:6, travel time:511.32987012987013, q_loss:100, rewards:-58.592495, queue:24.400597, delay:1.4701425, throughput:1430
REAL_TEST step:9, travel time:190.20993836671803, q_loss:100, rewards:-26.380556, queue:12.5971775, delay:1.3889319, throughput:2467
REAL_TEST step:12, travel time:556.3082085699535, q_loss:100, rewards:-54.713337, queue:24.312958, delay:1.4541185, throughput:1343
REAL_TEST step:15, travel time:189.672294704528, q_loss:100, rewards:-27.18973, queue:12.437522, delay:1.3734651, throughput:2476
REAL_TEST step:18, travel time:184.8499818379949, q_loss:100, rewards:-35.98333, queue:18.506086, delay:1.4089682, throughput:2467
REAL_TEST step:21, travel time:286.11523736600304, q_loss:100, rewards:-60.671925, queue:23.446402, delay:1.4853047, throughput:2382
REAL_TEST step:24, travel time:92.88235294117646, q_loss:100, rewards:-26.697771, queue:11.92587, delay:1.2912095, throughput:2800
REAL_TEST step:27, travel time:750.7859290438965, q_loss:100, rewards:-76.80889, queue:31.550777, delay:1.4012969, throughput:1119
REAL_TEST step:30, travel time:117.36048588781708, q_loss:100, rewards:-35.57166, queue:14.357465, delay:1.3285409, throughput:2692
REAL_TEST step:33, travel time:108.88830532212886, q_loss:100, rewards:-30.986391, queue:12.8362465, delay:1.2588445, throughput:2790
REAL_TEST step:36, travel time:279.67506892477354, q_loss:100, rewards:-44.65861, queue:18.880606, delay:1.420848, throughput:2267
REAL_TEST step:39, travel time:171.0168579626973, q_loss:100, rewards:-34.981667, queue:16.99562, delay:1.4209443, throughput:2533
REAL_TEST step:42, travel time:200.9529203539823, q_loss:100, rewards:-62.22834, queue:23.160286, delay:1.3754461, throughput:2599
REAL_TEST step:45, travel time:277.36073761044946, q_loss:100, rewards:-50.699165, queue:21.936338, delay:1.3892109, throughput:2164
REAL_TEST step:48, travel time:109.29411764705883, q_loss:100, rewards:-25.27611, queue:12.284327, delay:1.4025993, throughput:2799
REAL_TEST step:51, travel time:434.45673505798396, q_loss:100, rewards:-53.75528, queue:22.467384, delay:1.2831613, throughput:1796
REAL_TEST step:54, travel time:553.8294858342077, q_loss:100, rewards:-68.62721, queue:24.733248, delay:1.2303227, throughput:1401
REAL_TEST step:57, travel time:131.43607954545453, q_loss:100, rewards:-45.313057, queue:18.50437, delay:1.4030201, throughput:2728
REAL_TEST step:60, travel time:494.154565701559, q_loss:100, rewards:-65.46473, queue:23.391521, delay:1.3701096, throughput:1784
REAL_TEST step:63, travel time:278.9789729073999, q_loss:100, rewards:-37.319725, queue:16.42308, delay:1.3684093, throughput:2200
REAL_TEST step:66, travel time:158.99596033786264, q_loss:100, rewards:-66.04194, queue:20.139147, delay:1.289547, throughput:2617
REAL_TEST step:69, travel time:191.20607857672348, q_loss:100, rewards:-65.932205, queue:23.206894, delay:1.3125668, throughput:2568
REAL_TEST step:72, travel time:741.8520467836257, q_loss:100, rewards:-66.62361, queue:29.153156, delay:1.4818338, throughput:1109
REAL_TEST step:75, travel time:361.36965134706816, q_loss:100, rewards:-93.94859, queue:35.564976, delay:1.468656, throughput:2187
REAL_TEST step:78, travel time:540.4666064981949, q_loss:100, rewards:-50.83387, queue:25.518648, delay:1.457455, throughput:1768
REAL_TEST step:81, travel time:510.95629820051414, q_loss:100, rewards:-116.082214, queue:35.568424, delay:1.3647904, throughput:1634
REAL_TEST step:84, travel time:555.5700934579439, q_loss:100, rewards:-45.38, queue:22.969238, delay:1.3936844, throughput:1520
REAL_TEST step:87, travel time:395.9126946672959, q_loss:100, rewards:-57.894726, queue:24.08652, delay:1.4405836, throughput:1780
REAL_TEST step:90, travel time:799.1592493297587, q_loss:100, rewards:-64.086105, queue:32.254826, delay:1.5552757, throughput:1190
REAL_TEST step:93, travel time:358.7150357995227, q_loss:100, rewards:-71.588615, queue:23.338533, delay:1.2443683, throughput:1866
REAL_TEST step:96, travel time:792.9882791688865, q_loss:100, rewards:-76.99447, queue:35.6201, delay:1.5420085, throughput:1265
REAL_TEST step:99, travel time:328.94580335731416, q_loss:100, rewards:-51.105007, queue:20.818907, delay:1.3951797, throughput:1891
REAL_TEST step:102, travel time:573.0158870255958, q_loss:100, rewards:-70.45305, queue:28.625696, delay:1.3960595, throughput:1817
REAL_TEST step:105, travel time:329.85797101449276, q_loss:100, rewards:-48.72195, queue:20.327023, delay:1.4256095, throughput:1875
