Loading cached latent encoders from pretrained/lusr/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_lusr_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:767.188524590164, q_loss:100, rewards:-100.37946, queue:40.975677, delay:1.4755635, throughput:1173
REAL_TEST step:4, travel time:870.8128172588832, q_loss:100, rewards:-152.63277, queue:58.675446, delay:1.6853126, throughput:977
REAL_TEST step:6, travel time:1190.7556420233464, q_loss:100, rewards:-146.14305, queue:54.66151, delay:1.5853307, throughput:683
REAL_TEST step:8, travel time:1162.8260869565217, q_loss:100, rewards:-144.50137, queue:54.34976, delay:1.5777884, throughput:707
REAL_TEST step:10, travel time:1163.2240061162079, q_loss:100, rewards:-145.81723, queue:53.976765, delay:1.5497855, throughput:706
REAL_TEST step:12, travel time:793.2492563950029, q_loss:100, rewards:-66.053604, queue:33.009323, delay:1.4829583, throughput:1096
REAL_TEST step:14, travel time:792.8630460448642, q_loss:100, rewards:-82.59112, queue:37.964615, delay:1.5787541, throughput:1133
REAL_TEST step:16, travel time:434.21318681318684, q_loss:100, rewards:-77.098885, queue:30.136736, delay:1.4277796, throughput:1572
REAL_TEST step:18, travel time:765.8521634615385, q_loss:100, rewards:-137.50056, queue:50.500816, delay:1.5320708, throughput:1146
REAL_TEST step:20, travel time:811.2823461759632, q_loss:100, rewards:-61.504448, queue:32.72335, delay:1.4963361, throughput:1122
REAL_TEST step:22, travel time:784.6939343350028, q_loss:100, rewards:-52.044716, queue:30.541739, delay:1.4870816, throughput:1148
REAL_TEST step:24, travel time:590.3920039005363, q_loss:100, rewards:-81.39693, queue:35.33297, delay:1.5253867, throughput:1391
REAL_TEST step:26, travel time:813.480907581627, q_loss:100, rewards:-118.11528, queue:47.02154, delay:1.6076854, throughput:1178
REAL_TEST step:28, travel time:839.975596228508, q_loss:100, rewards:-112.266106, queue:47.65688, delay:1.6274446, throughput:1149
REAL_TEST step:30, travel time:799.3385689354276, q_loss:100, rewards:-138.54388, queue:50.202946, delay:1.569441, throughput:1101
REAL_TEST step:32, travel time:867.8605051664753, q_loss:100, rewards:-106.12249, queue:47.168365, delay:1.6224709, throughput:1121
REAL_TEST step:34, travel time:794.4490566037736, q_loss:100, rewards:-107.63361, queue:47.317013, delay:1.575783, throughput:1209
REAL_TEST step:36, travel time:638.0668618838458, q_loss:100, rewards:-56.616955, queue:33.589317, delay:1.4935873, throughput:1388
REAL_TEST step:38, travel time:631.4302213666988, q_loss:100, rewards:-100.83917, queue:39.85261, delay:1.6003267, throughput:1422
REAL_TEST step:40, travel time:273.2830547112462, q_loss:100, rewards:-83.81111, queue:31.764164, delay:1.4978281, throughput:2284
REAL_TEST step:42, travel time:489.33509234828495, q_loss:100, rewards:-77.04916, queue:30.799252, delay:1.4930053, throughput:1694
REAL_TEST step:44, travel time:156.7862433862434, q_loss:100, rewards:-55.47055, queue:21.241262, delay:1.4851767, throughput:2675
REAL_TEST step:46, travel time:870.2909429280397, q_loss:100, rewards:-85.257225, queue:35.34551, delay:1.5529929, throughput:969
REAL_TEST step:48, travel time:875.6521476104053, q_loss:100, rewards:-94.28528, queue:39.386627, delay:1.6255995, throughput:983
REAL_TEST step:50, travel time:803.4133333333333, q_loss:100, rewards:-88.79444, queue:36.527206, delay:1.5524681, throughput:1033
REAL_TEST step:52, travel time:923.292243767313, q_loss:100, rewards:-86.07278, queue:36.977127, delay:1.5209441, throughput:887
REAL_TEST step:54, travel time:1138.3888475836432, q_loss:100, rewards:-86.471664, queue:40.002563, delay:1.5395089, throughput:681
REAL_TEST step:56, travel time:1029.842105263158, q_loss:100, rewards:-90.35833, queue:38.1242, delay:1.5510541, throughput:792
REAL_TEST step:58, travel time:1008.7642276422764, q_loss:100, rewards:-87.94694, queue:38.271725, delay:1.5247533, throughput:792
REAL_TEST step:60, travel time:1128.0289855072465, q_loss:100, rewards:-87.65639, queue:39.981915, delay:1.6143769, throughput:665
REAL_TEST step:62, travel time:985.0656984785616, q_loss:100, rewards:-92.50444, queue:38.531895, delay:1.5255489, throughput:840
REAL_TEST step:64, travel time:106.68312324929973, q_loss:100, rewards:-31.736391, queue:13.976288, delay:1.4182633, throughput:2799
REAL_TEST step:66, travel time:106.27065826330532, q_loss:100, rewards:-39.34444, queue:16.541159, delay:1.4790665, throughput:2793
REAL_TEST step:68, travel time:95.81337535014005, q_loss:100, rewards:-27.557497, queue:13.206255, delay:1.3796881, throughput:2792
REAL_TEST step:70, travel time:126.12741992256248, q_loss:100, rewards:-29.646666, queue:13.265127, delay:1.4488907, throughput:2755
REAL_TEST step:72, travel time:126.1421568627451, q_loss:100, rewards:-27.35389, queue:12.396549, delay:1.4126009, throughput:2787
REAL_TEST step:74, travel time:130.69478908188586, q_loss:100, rewards:-45.9111, queue:17.840708, delay:1.4928354, throughput:2689
