Loading cached latent encoders from pretrained/lusr/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_lusr_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:1015.2551299589603, q_loss:100, rewards:-124.10305, queue:39.225, delay:0.5090922, throughput:864
REAL_TEST step:4, travel time:900.4119897959183, q_loss:100, rewards:-160.01778, queue:55.75741, delay:0.81221825, throughput:946
REAL_TEST step:6, travel time:1188.5852534562212, q_loss:100, rewards:-166.67026, queue:57.06204, delay:0.82212627, throughput:690
REAL_TEST step:8, travel time:1170.9984639016898, q_loss:100, rewards:-145.14665, queue:50.487965, delay:0.6721285, throughput:699
REAL_TEST step:10, travel time:1182.7883720930233, q_loss:100, rewards:-145.54193, queue:50.642593, delay:0.67367834, throughput:687
REAL_TEST step:12, travel time:818.2766467065868, q_loss:100, rewards:-69.91556, queue:29.072222, delay:0.5506498, throughput:1079
REAL_TEST step:14, travel time:879.5500322788896, q_loss:100, rewards:-116.26665, queue:42.403706, delay:0.6358223, throughput:989
REAL_TEST step:16, travel time:530.5314804310834, q_loss:100, rewards:-79.39582, queue:25.845371, delay:0.467939, throughput:1413
REAL_TEST step:18, travel time:1076.5673412421493, q_loss:100, rewards:-150.58694, queue:52.613888, delay:0.68854046, throughput:805
REAL_TEST step:20, travel time:824.4556609035137, q_loss:100, rewards:-88.99418, queue:32.23426, delay:0.60729706, throughput:1142
REAL_TEST step:22, travel time:825.6583526682134, q_loss:100, rewards:-56.083893, queue:20.950926, delay:0.51098895, throughput:1104
REAL_TEST step:24, travel time:612.46790788829, q_loss:100, rewards:-124.922226, queue:42.58241, delay:0.6920452, throughput:1402
REAL_TEST step:26, travel time:817.4983370288248, q_loss:100, rewards:-121.763885, queue:46.564816, delay:0.7484119, throughput:1177
REAL_TEST step:28, travel time:837.6945228684359, q_loss:100, rewards:-115.84776, queue:42.907406, delay:0.66882616, throughput:1117
REAL_TEST step:30, travel time:763.9462765957447, q_loss:100, rewards:-142.06168, queue:48.449074, delay:0.7793989, throughput:1238
REAL_TEST step:32, travel time:932.8171779141104, q_loss:100, rewards:-121.20166, queue:49.79074, delay:0.78013444, throughput:956
REAL_TEST step:34, travel time:956.7930158730159, q_loss:100, rewards:-114.360275, queue:38.081482, delay:0.67871106, throughput:924
REAL_TEST step:36, travel time:524.577747378021, q_loss:100, rewards:-82.88502, queue:29.09074, delay:0.5821116, throughput:1585
REAL_TEST step:38, travel time:796.7721587819467, q_loss:100, rewards:-116.758896, queue:46.704628, delay:0.79282814, throughput:1185
REAL_TEST step:40, travel time:765.5477611940298, q_loss:100, rewards:-137.95998, queue:43.012035, delay:0.6890426, throughput:1354
