Loading cached latent encoders from pretrained/recon_baseline/presslight/cologne3
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_recon_baseline_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=dz100
REAL_TEST step:1, travel time:1290.5542704626334, q_loss:100, rewards:-110.373055, queue:42.523148, delay:0.65357393, throughput:548
REAL_TEST step:2, travel time:1805.8681771369722, q_loss:100, rewards:-172.38445, queue:60.91574, delay:0.88437116, throughput:285
REAL_TEST step:3, travel time:1076.3830486202364, q_loss:100, rewards:-96.838615, queue:38.90185, delay:0.60717434, throughput:827
REAL_TEST step:4, travel time:900.2870107770846, q_loss:100, rewards:-82.86639, queue:34.389816, delay:0.61476916, throughput:1067
REAL_TEST step:5, travel time:817.1517010596765, q_loss:100, rewards:-63.28805, queue:28.963888, delay:0.5682305, throughput:1127
REAL_TEST step:6, travel time:104.50910364145658, q_loss:100, rewards:-30.227776, queue:7.811111, delay:0.39336944, throughput:2799
REAL_TEST step:7, travel time:357.9342995169082, q_loss:100, rewards:-62.82861, queue:19.55, delay:0.478088, throughput:1875
REAL_TEST step:8, travel time:185.42349630671825, q_loss:100, rewards:-49.418884, queue:14.834259, delay:0.4825814, throughput:2779
REAL_TEST step:9, travel time:380.8315743183817, q_loss:100, rewards:-112.13417, queue:38.614815, delay:0.64333516, throughput:1806
REAL_TEST step:10, travel time:452.25435380384965, q_loss:100, rewards:-116.48194, queue:42.197224, delay:0.67550164, throughput:1652
REAL_TEST step:11, travel time:402.4624125874126, q_loss:100, rewards:-113.42945, queue:39.20741, delay:0.66237974, throughput:1784
REAL_TEST step:12, travel time:472.43932481751824, q_loss:100, rewards:-119.12973, queue:43.174072, delay:0.7030825, throughput:1615
REAL_TEST step:13, travel time:476.6697121973504, q_loss:100, rewards:-121.571655, queue:44.246296, delay:0.7075208, throughput:1611
REAL_TEST step:14, travel time:475.35522115823073, q_loss:100, rewards:-122.91222, queue:44.280556, delay:0.68433386, throughput:1628
REAL_TEST step:15, travel time:390.6944684528954, q_loss:100, rewards:-113.43306, queue:39.15278, delay:0.63915306, throughput:1836
REAL_TEST step:16, travel time:427.6609090909091, q_loss:100, rewards:-118.21834, queue:40.44537, delay:0.6463399, throughput:1659
REAL_TEST step:17, travel time:112.2766106442577, q_loss:100, rewards:-37.373604, queue:10.189815, delay:0.41399282, throughput:2785
REAL_TEST step:18, travel time:422.2559366754617, q_loss:100, rewards:-116.376114, queue:41.225, delay:0.6679864, throughput:1768
REAL_TEST step:19, travel time:696.6108017817372, q_loss:100, rewards:-143.68388, queue:48.13148, delay:0.72962534, throughput:1143
REAL_TEST step:20, travel time:402.936535918907, q_loss:100, rewards:-111.28583, queue:37.851852, delay:0.63549066, throughput:1767
REAL_TEST step:21, travel time:391.65727902946276, q_loss:100, rewards:-111.75084, queue:38.807407, delay:0.6377244, throughput:1825
REAL_TEST step:22, travel time:419.17966695880807, q_loss:100, rewards:-120.5625, queue:41.535187, delay:0.6756636, throughput:1780
REAL_TEST step:23, travel time:430.33745037494486, q_loss:100, rewards:-121.8675, queue:42.496296, delay:0.6929933, throughput:1753
REAL_TEST step:24, travel time:458.50136612021856, q_loss:100, rewards:-125.40805, queue:44.77222, delay:0.7009952, throughput:1679
REAL_TEST step:25, travel time:421.9106364428945, q_loss:100, rewards:-106.609726, queue:36.460186, delay:0.63679504, throughput:1788
REAL_TEST step:26, travel time:477.3577685569387, q_loss:100, rewards:-132.98277, queue:46.178703, delay:0.7119073, throughput:1631
REAL_TEST step:27, travel time:471.62002743484226, q_loss:100, rewards:-118.28667, queue:43.065742, delay:0.6808679, throughput:1661
REAL_TEST step:28, travel time:711.9285299244625, q_loss:100, rewards:-153.5547, queue:51.59074, delay:0.8057876, throughput:1207
REAL_TEST step:29, travel time:541.2226890756302, q_loss:100, rewards:-139.52612, queue:48.205555, delay:0.74135995, throughput:1385
REAL_TEST step:30, travel time:908.3539067629679, q_loss:100, rewards:-156.38333, queue:53.84537, delay:0.78501004, throughput:880
REAL_TEST step:31, travel time:443.50183318056827, q_loss:100, rewards:-116.09139, queue:41.43704, delay:0.61217797, throughput:1675
REAL_TEST step:32, travel time:614.1647245762712, q_loss:100, rewards:-115.5925, queue:42.108334, delay:0.68817353, throughput:1302
REAL_TEST step:33, travel time:669.3068242880172, q_loss:100, rewards:-118.076385, queue:42.545372, delay:0.6861567, throughput:1250
REAL_TEST step:34, travel time:454.44141323792485, q_loss:100, rewards:-110.57389, queue:39.66111, delay:0.64390856, throughput:1717
REAL_TEST step:35, travel time:440.47265268915226, q_loss:100, rewards:-117.50666, queue:41.496296, delay:0.6530008, throughput:1678
REAL_TEST step:36, travel time:441.8608458390177, q_loss:100, rewards:-115.65055, queue:41.77685, delay:0.64849716, throughput:1684
REAL_TEST step:37, travel time:432.6066457117198, q_loss:100, rewards:-117.13333, queue:41.930557, delay:0.66272634, throughput:1705
REAL_TEST step:38, travel time:438.02662454873644, q_loss:100, rewards:-116.39528, queue:42.00741, delay:0.64526397, throughput:1698
REAL_TEST step:39, travel time:451.1629392971246, q_loss:100, rewards:-119.04362, queue:42.593517, delay:0.66194946, throughput:1672
REAL_TEST step:40, travel time:684.0329373650108, q_loss:100, rewards:-118.09389, queue:42.475, delay:0.6792652, throughput:1243
REAL_TEST step:41, travel time:434.1736607142857, q_loss:100, rewards:-116.66861, queue:40.82685, delay:0.63069206, throughput:1723
REAL_TEST step:42, travel time:407.0689503732982, q_loss:100, rewards:-114.59972, queue:39.280556, delay:0.62885803, throughput:1768
REAL_TEST step:43, travel time:420.88524590163934, q_loss:100, rewards:-113.845, queue:39.032406, delay:0.62417126, throughput:1748
REAL_TEST step:44, travel time:430.9861173309449, q_loss:100, rewards:-114.547226, queue:40.38889, delay:0.6383493, throughput:1720
REAL_TEST step:45, travel time:382.2361351819757, q_loss:100, rewards:-109.723885, queue:38.18611, delay:0.6203178, throughput:1827
REAL_TEST step:46, travel time:388.73179241168776, q_loss:100, rewards:-108.52833, queue:37.40185, delay:0.60175186, throughput:1818
REAL_TEST step:47, travel time:381.6433175762785, q_loss:100, rewards:-108.904434, queue:38.041668, delay:0.6089281, throughput:1837
REAL_TEST step:48, travel time:389.0832238282961, q_loss:100, rewards:-110.42833, queue:37.773148, delay:0.60020345, throughput:1817
REAL_TEST step:49, travel time:386.61060408518034, q_loss:100, rewards:-109.43751, queue:37.581482, delay:0.5961921, throughput:1789
REAL_TEST step:50, travel time:387.31989596879066, q_loss:100, rewards:-110.29583, queue:37.875, delay:0.6000441, throughput:1810
REAL_TEST step:51, travel time:392.6275621456607, q_loss:100, rewards:-108.58, queue:37.68611, delay:0.59638464, throughput:1791
REAL_TEST step:52, travel time:418.1076373380974, q_loss:100, rewards:-115.8786, queue:39.961113, delay:0.63189036, throughput:1725
REAL_TEST step:53, travel time:387.8451500652458, q_loss:100, rewards:-106.90194, queue:37.408333, delay:0.59321445, throughput:1802
REAL_TEST step:54, travel time:414.3309481216458, q_loss:100, rewards:-114.07362, queue:39.328705, delay:0.62374485, throughput:1730
REAL_TEST step:55, travel time:416.84890478319176, q_loss:100, rewards:-114.617516, queue:39.400925, delay:0.6221167, throughput:1721
REAL_TEST step:56, travel time:490.25699862322165, q_loss:100, rewards:-122.88556, queue:40.82037, delay:0.6073988, throughput:1590
REAL_TEST step:57, travel time:385.4022540095362, q_loss:100, rewards:-107.60944, queue:37.344444, delay:0.5976131, throughput:1814
REAL_TEST step:58, travel time:384.2812095032397, q_loss:100, rewards:-108.07445, queue:37.144444, delay:0.59103334, throughput:1814
REAL_TEST step:59, travel time:492.5128205128205, q_loss:100, rewards:-124.098885, queue:41.239815, delay:0.6124419, throughput:1592
REAL_TEST step:60, travel time:501.96045977011494, q_loss:100, rewards:-127.67027, queue:43.016666, delay:0.6310491, throughput:1582
REAL_TEST step:61, travel time:493.7150710032066, q_loss:100, rewards:-125.73194, queue:42.299072, delay:0.6372243, throughput:1590
REAL_TEST step:62, travel time:389.0790273556231, q_loss:100, rewards:-107.378334, queue:36.710186, delay:0.58797675, throughput:1805
REAL_TEST step:63, travel time:369.17539267015707, q_loss:100, rewards:-111.98361, queue:38.067593, delay:0.58830154, throughput:1812
REAL_TEST step:64, travel time:376.3824034334764, q_loss:100, rewards:-108.826935, queue:37.65278, delay:0.59618956, throughput:1850
REAL_TEST step:65, travel time:391.04179364388335, q_loss:100, rewards:-109.529434, queue:37.54259, delay:0.5996432, throughput:1798
REAL_TEST step:66, travel time:389.89679098005206, q_loss:100, rewards:-109.46526, queue:37.87963, delay:0.5967524, throughput:1806
REAL_TEST step:67, travel time:388.1057650628522, q_loss:100, rewards:-109.65861, queue:37.66111, delay:0.599667, throughput:1810
REAL_TEST step:68, travel time:378.48167313497197, q_loss:100, rewards:-107.96111, queue:37.260185, delay:0.59542143, throughput:1833
REAL_TEST step:69, travel time:226.796261682243, q_loss:100, rewards:-38.70472, queue:11.90463, delay:0.3933431, throughput:2264
REAL_TEST step:70, travel time:78.13970588235294, q_loss:100, rewards:-15.554168, queue:2.6648147, delay:0.29363963, throughput:2806
REAL_TEST step:71, travel time:331.1204769736842, q_loss:100, rewards:-29.884716, queue:10.914815, delay:0.35450605, throughput:1901
REAL_TEST step:72, travel time:259.4086923370187, q_loss:100, rewards:-27.46667, queue:9.831482, delay:0.3611374, throughput:2097
REAL_TEST step:73, travel time:168.64868804664724, q_loss:100, rewards:-29.555836, queue:8.862963, delay:0.3214692, throughput:2451
REAL_TEST step:74, travel time:466.5051162790698, q_loss:100, rewards:-46.495, queue:16.467592, delay:0.44322413, throughput:1570
REAL_TEST step:75, travel time:75.84908963585434, q_loss:100, rewards:-14.938062, queue:2.4944444, delay:0.2832472, throughput:2813
REAL_TEST step:76, travel time:226.902124430956, q_loss:100, rewards:-29.178898, queue:9.2277775, delay:0.3094932, throughput:2205
REAL_TEST step:77, travel time:213.6342383107089, q_loss:100, rewards:-30.832502, queue:9.444445, delay:0.35864076, throughput:2233
REAL_TEST step:78, travel time:515.9362363919129, q_loss:100, rewards:-61.625553, queue:20.48889, delay:0.4855969, throughput:1431
REAL_TEST step:79, travel time:285.1848705501618, q_loss:100, rewards:-34.71389, queue:11.200926, delay:0.3558191, throughput:2039
REAL_TEST step:80, travel time:385.40891389009084, q_loss:100, rewards:-41.504166, queue:14.8, delay:0.4171667, throughput:1833
REAL_TEST step:81, travel time:425.652249890782, q_loss:100, rewards:-30.176386, queue:12.592592, delay:0.36661682, throughput:1732
REAL_TEST step:82, travel time:284.55366545159984, q_loss:100, rewards:-34.868885, queue:11.294444, delay:0.35536218, throughput:2033
REAL_TEST step:83, travel time:341.2281144781145, q_loss:100, rewards:-42.6714, queue:15.222222, delay:0.44375983, throughput:1905
