Loading cached latent encoders from pretrained/recon_baseline/presslight/cologne3
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_recon_baseline_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:1, travel time:947.5988243938281, q_loss:100, rewards:-97.602776, queue:34.157406, delay:0.52215236, throughput:845
REAL_TEST step:2, travel time:1798.374485596708, q_loss:100, rewards:-173.04277, queue:61.13148, delay:0.88389, throughput:289
REAL_TEST step:3, travel time:1053.599072233267, q_loss:100, rewards:-91.46972, queue:36.891666, delay:0.6008099, throughput:836
REAL_TEST step:4, travel time:902.5507082152975, q_loss:100, rewards:-84.377495, queue:34.862965, delay:0.6096622, throughput:1067
REAL_TEST step:5, travel time:827.234533183352, q_loss:100, rewards:-67.031654, queue:29.962963, delay:0.5781833, throughput:1116
REAL_TEST step:6, travel time:104.30182072829132, q_loss:100, rewards:-32.24444, queue:8.482408, delay:0.40532717, throughput:2807
REAL_TEST step:7, travel time:351.90048309178746, q_loss:100, rewards:-59.99305, queue:18.588888, delay:0.44046682, throughput:1876
REAL_TEST step:8, travel time:579.0069667738478, q_loss:100, rewards:-70.40194, queue:22.271296, delay:0.52775943, throughput:1355
REAL_TEST step:9, travel time:426.5444887118194, q_loss:100, rewards:-113.144165, queue:38.600925, delay:0.6536416, throughput:1751
REAL_TEST step:10, travel time:454.7144821264895, q_loss:100, rewards:-119.12361, queue:42.274075, delay:0.6618739, throughput:1651
REAL_TEST step:11, travel time:121.29026610644257, q_loss:100, rewards:-45.796116, queue:10.819445, delay:0.42347118, throughput:2781
REAL_TEST step:12, travel time:473.7543378995434, q_loss:100, rewards:-120.56916, queue:43.512035, delay:0.693959, throughput:1613
REAL_TEST step:13, travel time:409.7304499781564, q_loss:100, rewards:-117.57805, queue:40.907406, delay:0.6935375, throughput:1790
REAL_TEST step:14, travel time:470.0182565038795, q_loss:100, rewards:-123.88027, queue:44.005554, delay:0.67776436, throughput:1663
REAL_TEST step:15, travel time:405.4604630843163, q_loss:100, rewards:-114.65055, queue:39.607407, delay:0.6465329, throughput:1779
REAL_TEST step:16, travel time:395.74543080939947, q_loss:100, rewards:-112.50638, queue:38.942593, delay:0.6165353, throughput:1785
REAL_TEST step:17, travel time:338.33719806763287, q_loss:100, rewards:-53.3975, queue:10.085185, delay:0.36870253, throughput:1876
REAL_TEST step:18, travel time:537.3258928571429, q_loss:100, rewards:-107.15777, queue:36.47963, delay:0.5697865, throughput:1448
REAL_TEST step:19, travel time:108.0266106442577, q_loss:100, rewards:-31.663052, queue:8.193519, delay:0.38103423, throughput:2808
REAL_TEST step:20, travel time:526.970156324017, q_loss:100, rewards:-120.69695, queue:40.203705, delay:0.6410205, throughput:1500
REAL_TEST step:21, travel time:654.4291777188329, q_loss:100, rewards:-139.49277, queue:47.012035, delay:0.739253, throughput:1279
REAL_TEST step:22, travel time:609.2150423728814, q_loss:100, rewards:-116.47222, queue:37.89537, delay:0.60472715, throughput:1303
REAL_TEST step:23, travel time:252.3043313069909, q_loss:100, rewards:-87.25555, queue:24.264814, delay:0.48515907, throughput:2306
REAL_TEST step:24, travel time:461.1890410958904, q_loss:100, rewards:-118.29249, queue:40.90926, delay:0.6659516, throughput:1665
REAL_TEST step:25, travel time:457.03063943161635, q_loss:100, rewards:-131.09555, queue:46.025, delay:0.73834, throughput:1726
REAL_TEST step:26, travel time:453.01978417266184, q_loss:100, rewards:-130.1411, queue:45.049072, delay:0.69207656, throughput:1706
REAL_TEST step:27, travel time:448.40806380150644, q_loss:100, rewards:-115.509155, queue:35.572224, delay:0.598326, throughput:1739
REAL_TEST step:28, travel time:745.4967397747481, q_loss:100, rewards:-153.5, queue:50.073147, delay:0.7629483, throughput:1155
REAL_TEST step:29, travel time:650.0836120401337, q_loss:100, rewards:-145.9075, queue:49.644444, delay:0.7928627, throughput:1302
REAL_TEST step:30, travel time:1141.7411402157165, q_loss:100, rewards:-143.30666, queue:49.096294, delay:0.76122755, throughput:661
REAL_TEST step:31, travel time:453.3794258373206, q_loss:100, rewards:-123.57833, queue:32.521297, delay:0.53311366, throughput:1569
