Loading cached latent encoders from pretrained/vae_embedding/presslight/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/cologne3/baseline_v1_vae_s0/model/cologne3_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1067.4670824670825, q_loss:100, rewards:-118.911385, queue:46.299072, delay:0.6903361, throughput:808
REAL_TEST step:4, travel time:1633.7338403041824, q_loss:100, rewards:-186.56557, queue:65.88426, delay:0.86726874, throughput:395
REAL_TEST step:6, travel time:1151.5477463712757, q_loss:100, rewards:-146.70334, queue:50.674072, delay:0.69789654, throughput:716
REAL_TEST step:8, travel time:1169.3151840490798, q_loss:100, rewards:-145.31473, queue:50.539814, delay:0.68266964, throughput:701
REAL_TEST step:10, travel time:765.2050827423168, q_loss:100, rewards:-153.11278, queue:53.121296, delay:0.7319357, throughput:1155
REAL_TEST step:12, travel time:918.3978638184245, q_loss:100, rewards:-159.55084, queue:59.684258, delay:0.8413109, throughput:862
REAL_TEST step:14, travel time:824.0983709273183, q_loss:100, rewards:-163.37527, queue:55.76852, delay:0.7380379, throughput:956
REAL_TEST step:16, travel time:1061.2753515914137, q_loss:100, rewards:-164.25806, queue:56.096294, delay:0.760349, throughput:765
REAL_TEST step:18, travel time:863.9906291834003, q_loss:100, rewards:-147.01219, queue:50.419445, delay:0.6782668, throughput:968
REAL_TEST step:20, travel time:1146.9114583333333, q_loss:100, rewards:-146.47112, queue:51.45926, delay:0.70857763, throughput:732
REAL_TEST step:22, travel time:946.4069514844316, q_loss:100, rewards:-154.15332, queue:53.564816, delay:0.7248015, throughput:866
REAL_TEST step:24, travel time:1149.787610619469, q_loss:100, rewards:-151.87833, queue:53.010185, delay:0.7772506, throughput:736
REAL_TEST step:26, travel time:933.9396117900791, q_loss:100, rewards:-153.37917, queue:53.218517, delay:0.71654385, throughput:880
REAL_TEST step:28, travel time:1247.1333841463415, q_loss:100, rewards:-178.5, queue:60.773148, delay:0.8450975, throughput:654
REAL_TEST step:30, travel time:1235.6039682539683, q_loss:100, rewards:-168.27165, queue:58.26574, delay:0.78079844, throughput:628
REAL_TEST step:32, travel time:1063.2313432835822, q_loss:100, rewards:-164.7897, queue:56.282406, delay:0.7687861, throughput:830
REAL_TEST step:34, travel time:983.3245614035088, q_loss:100, rewards:-166.485, queue:57.285187, delay:0.74741834, throughput:831
REAL_TEST step:36, travel time:700.0, q_loss:100, rewards:-142.09, queue:49.113888, delay:0.692019, throughput:1181
REAL_TEST step:38, travel time:864.6869565217391, q_loss:100, rewards:-148.24666, queue:50.83241, delay:0.67127484, throughput:968
REAL_TEST step:40, travel time:459.3126721763085, q_loss:100, rewards:-117.4211, queue:42.499073, delay:0.6715936, throughput:1653
REAL_TEST step:42, travel time:863.687834224599, q_loss:100, rewards:-148.56667, queue:50.72315, delay:0.66932076, throughput:969
REAL_TEST step:44, travel time:450.12586127698665, q_loss:100, rewards:-117.90306, queue:41.728703, delay:0.6541503, throughput:1663
REAL_TEST step:46, travel time:747.8359788359788, q_loss:100, rewards:-149.93806, queue:52.099075, delay:0.7440524, throughput:1061
REAL_TEST step:48, travel time:389.6426146010187, q_loss:100, rewards:-113.885284, queue:39.844444, delay:0.6271359, throughput:1843
REAL_TEST step:50, travel time:482.0510351468464, q_loss:100, rewards:-121.20194, queue:43.680557, delay:0.67059743, throughput:1542
REAL_TEST step:52, travel time:719.776376146789, q_loss:100, rewards:-148.76138, queue:51.89722, delay:0.7079604, throughput:1111
REAL_TEST step:54, travel time:172.70923603192702, q_loss:100, rewards:-77.651115, queue:23.953703, delay:0.52354443, throughput:2489
REAL_TEST step:56, travel time:764.0441001191895, q_loss:100, rewards:-158.96832, queue:54.831482, delay:0.75120384, throughput:1027
REAL_TEST step:58, travel time:711.3834459459459, q_loss:100, rewards:-144.11638, queue:50.525, delay:0.7185948, throughput:1127
REAL_TEST step:60, travel time:756.4784406379208, q_loss:100, rewards:-142.38, queue:50.86852, delay:0.73997444, throughput:1075
REAL_TEST step:62, travel time:709.544831524843, q_loss:100, rewards:-142.25749, queue:50.4, delay:0.72229916, throughput:1127
REAL_TEST step:64, travel time:716.8916339135317, q_loss:100, rewards:-140.9122, queue:49.616665, delay:0.6861437, throughput:1163
REAL_TEST step:66, travel time:828.5455665024631, q_loss:100, rewards:-164.24306, queue:56.889816, delay:0.78233063, throughput:963
REAL_TEST step:68, travel time:1371.7402597402597, q_loss:100, rewards:-167.25667, queue:57.603703, delay:0.7789489, throughput:521
REAL_TEST step:70, travel time:496.1244735610669, q_loss:100, rewards:-130.28555, queue:46.585186, delay:0.69176626, throughput:1603
REAL_TEST step:72, travel time:873.8069340584636, q_loss:100, rewards:-150.19583, queue:51.308334, delay:0.7043442, throughput:951
REAL_TEST step:74, travel time:779.8675059952038, q_loss:100, rewards:-151.93723, queue:52.863888, delay:0.7542945, throughput:1015
REAL_TEST step:76, travel time:807.8479863868406, q_loss:100, rewards:-125.88918, queue:43.948147, delay:0.6531494, throughput:1132
REAL_TEST step:78, travel time:872.8790157211209, q_loss:100, rewards:-151.4264, queue:51.728703, delay:0.70061135, throughput:950
REAL_TEST step:80, travel time:970.2164179104477, q_loss:100, rewards:-145.94305, queue:51.282406, delay:0.7739668, throughput:828
REAL_TEST step:82, travel time:1376.244176013805, q_loss:100, rewards:-168.94751, queue:58.05648, delay:0.77665883, throughput:524
REAL_TEST step:84, travel time:672.3365384615385, q_loss:100, rewards:-138.74805, queue:48.405556, delay:0.6889253, throughput:1217
REAL_TEST step:86, travel time:1112.6474501108648, q_loss:100, rewards:-180.30695, queue:62.505554, delay:0.8425495, throughput:689
REAL_TEST step:88, travel time:1228.44909234412, q_loss:100, rewards:-166.69612, queue:57.73148, delay:0.7816092, throughput:638
REAL_TEST step:90, travel time:1865.8408839779006, q_loss:100, rewards:-182.06862, queue:62.435184, delay:0.8563299, throughput:269
REAL_TEST step:92, travel time:917.2071428571429, q_loss:100, rewards:-152.1597, queue:52.844444, delay:0.7183357, throughput:907
REAL_TEST step:94, travel time:996.6768166089965, q_loss:100, rewards:-151.65195, queue:53.489815, delay:0.7867739, throughput:797
REAL_TEST step:96, travel time:945.816533720087, q_loss:100, rewards:-156.64665, queue:54.387962, delay:0.7413834, throughput:878
REAL_TEST step:98, travel time:1603.9676524953788, q_loss:100, rewards:-203.75555, queue:68.21759, delay:0.91403246, throughput:414
REAL_TEST step:100, travel time:460.8554945054945, q_loss:100, rewards:-85.16111, queue:27.306482, delay:0.5158126, throughput:1559
REAL_TEST step:102, travel time:508.4883258817685, q_loss:100, rewards:-134.12001, queue:47.671295, delay:0.68081623, throughput:1493
REAL_TEST step:104, travel time:1007.7632884479093, q_loss:100, rewards:-130.68694, queue:46.976852, delay:0.7347155, throughput:837
REAL_TEST step:106, travel time:207.85575048732943, q_loss:100, rewards:-55.342785, queue:17.237963, delay:0.4511074, throughput:2343
REAL_TEST step:108, travel time:1602.8825214899714, q_loss:100, rewards:-181.2911, queue:64.111115, delay:0.86163545, throughput:410
REAL_TEST step:110, travel time:186.39754412893322, q_loss:100, rewards:-66.15222, queue:20.26111, delay:0.48533404, throughput:2474
REAL_TEST step:112, travel time:166.18265541059094, q_loss:100, rewards:-66.355576, queue:20.246296, delay:0.5000798, throughput:2462
REAL_TEST step:114, travel time:249.38114423851732, q_loss:100, rewards:-104.61583, queue:34.16759, delay:0.6051072, throughput:2171
REAL_TEST step:116, travel time:540.9798206278027, q_loss:100, rewards:-86.872475, queue:28.433332, delay:0.53087896, throughput:1419
REAL_TEST step:118, travel time:153.98965120735915, q_loss:100, rewards:-63.310287, queue:19.135185, delay:0.4806263, throughput:2491
REAL_TEST step:120, travel time:565.2835026608611, q_loss:100, rewards:-131.45721, queue:45.04074, delay:0.6811196, throughput:1475
REAL_TEST step:122, travel time:183.53769992383855, q_loss:100, rewards:-65.67972, queue:19.977777, delay:0.4807344, throughput:2496
REAL_TEST step:124, travel time:680.2202415181139, q_loss:100, rewards:-147.04861, queue:48.927776, delay:0.7626388, throughput:1127
REAL_TEST step:126, travel time:702.6155245603396, q_loss:100, rewards:-136.21083, queue:46.866665, delay:0.6765936, throughput:1211
