Loading cached latent encoders from pretrained/darla/presslight/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_darla_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:1096.1270096463022, q_loss:100, rewards:-185.79501, queue:181.24722, delay:0.75840795, throughput:418
REAL_TEST step:4, travel time:801.3049281314169, q_loss:100, rewards:-211.41335, queue:204.50555, delay:0.82442117, throughput:632
REAL_TEST step:6, travel time:800.9877300613497, q_loss:100, rewards:-212.187, queue:205.29723, delay:0.82359815, throughput:635
REAL_TEST step:8, travel time:762.8543307086615, q_loss:100, rewards:-209.57254, queue:202.22223, delay:0.8170236, throughput:667
REAL_TEST step:10, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:213.99722, delay:0.8317249, throughput:604
REAL_TEST step:12, travel time:782.327620967742, q_loss:100, rewards:-210.02106, queue:202.89722, delay:0.82290834, throughput:650
REAL_TEST step:14, travel time:760.2655310621243, q_loss:100, rewards:-205.11832, queue:197.94444, delay:0.81338024, throughput:661
REAL_TEST step:16, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:204.59166, delay:0.82403004, throughput:633
REAL_TEST step:18, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:213.99722, delay:0.8317249, throughput:604
REAL_TEST step:20, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:22, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:213.99722, delay:0.8317249, throughput:604
REAL_TEST step:24, travel time:852.9475341028332, q_loss:100, rewards:-220.6489, queue:213.94167, delay:0.8322447, throughput:604
REAL_TEST step:26, travel time:868.9474358974359, q_loss:100, rewards:-183.32603, queue:177.48334, delay:0.76202005, throughput:576
REAL_TEST step:28, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:213.99722, delay:0.8317249, throughput:604
REAL_TEST step:30, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:175.48056, delay:0.7613274, throughput:560
REAL_TEST step:32, travel time:668.0299850074963, q_loss:100, rewards:-239.37498, queue:229.73889, delay:0.8310611, throughput:935
REAL_TEST step:34, travel time:523.7292545710267, q_loss:100, rewards:-196.748, queue:183.26944, delay:0.7822637, throughput:1143
REAL_TEST step:36, travel time:572.5665058580289, q_loss:100, rewards:-220.28947, queue:203.10556, delay:0.827715, throughput:1183
REAL_TEST step:38, travel time:529.241731809982, q_loss:100, rewards:-233.58446, queue:220.33333, delay:0.85553336, throughput:1236
REAL_TEST step:40, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:42, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:204.59445, delay:0.82405037, throughput:633
REAL_TEST step:44, travel time:789.1559633027523, q_loss:100, rewards:-209.60588, queue:202.58055, delay:0.8225614, throughput:638
REAL_TEST step:46, travel time:793.9008097165992, q_loss:100, rewards:-212.38557, queue:205.35556, delay:0.82445824, throughput:643
REAL_TEST step:48, travel time:531.5967351874244, q_loss:100, rewards:-233.24245, queue:215.83888, delay:0.86861724, throughput:1243
