Loading cached latent encoders from pretrained/darla/presslight/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_darla_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:470.0932982917214, q_loss:100, rewards:-188.29727, queue:121.73333, delay:0.5497986, throughput:1194
REAL_TEST step:4, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:150.51389, delay:0.6440943, throughput:633
REAL_TEST step:6, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:200.31944, delay:0.78775513, throughput:633
REAL_TEST step:8, travel time:479.790059347181, q_loss:100, rewards:-170.04555, queue:99.95, delay:0.49673605, throughput:1096
REAL_TEST step:10, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:197.5861, delay:0.670536, throughput:604
REAL_TEST step:12, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:204.59166, delay:0.82403004, throughput:633
REAL_TEST step:14, travel time:990.328488372093, q_loss:100, rewards:-185.06529, queue:179.81389, delay:0.7337666, throughput:483
REAL_TEST step:16, travel time:487.84353741496597, q_loss:100, rewards:-170.33177, queue:85.352776, delay:0.39452922, throughput:1025
REAL_TEST step:18, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:164.01389, delay:0.7093922, throughput:604
REAL_TEST step:20, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:102.66944, delay:0.57923377, throughput:633
REAL_TEST step:22, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:213.99722, delay:0.8317249, throughput:604
REAL_TEST step:24, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:194.73889, delay:0.76835334, throughput:604
REAL_TEST step:26, travel time:868.9474358974359, q_loss:100, rewards:-183.32603, queue:116.71667, delay:0.5182082, throughput:576
REAL_TEST step:28, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:136.87222, delay:0.60617286, throughput:604
REAL_TEST step:30, travel time:556.0650195058518, q_loss:100, rewards:-227.81944, queue:187.26111, delay:0.70151275, throughput:1121
REAL_TEST step:32, travel time:564.4562091503268, q_loss:100, rewards:-230.3086, queue:197.66112, delay:0.7230111, throughput:1104
REAL_TEST step:34, travel time:432.0500320718409, q_loss:100, rewards:-175.67303, queue:139.38055, delay:0.61818075, throughput:1305
REAL_TEST step:36, travel time:394.8926261319534, q_loss:100, rewards:-157.74725, queue:141.61111, delay:0.6278263, throughput:1339
REAL_TEST step:38, travel time:483.68447517284727, q_loss:100, rewards:-203.37552, queue:138.11945, delay:0.5540175, throughput:1192
REAL_TEST step:40, travel time:471.3662825955124, q_loss:100, rewards:-205.2151, queue:166.53055, delay:0.7180706, throughput:1231
REAL_TEST step:42, travel time:776.1148459383753, q_loss:100, rewards:-224.86581, queue:150.1639, delay:0.58081084, throughput:706
REAL_TEST step:44, travel time:386.1620813397129, q_loss:100, rewards:-167.81853, queue:147.40834, delay:0.69101727, throughput:1317
REAL_TEST step:46, travel time:376.8504027617952, q_loss:100, rewards:-169.78526, queue:149.51389, delay:0.71915823, throughput:1386
REAL_TEST step:48, travel time:433.94028912633564, q_loss:100, rewards:-181.22058, queue:141.24445, delay:0.6629932, throughput:1210
REAL_TEST step:50, travel time:514.633893919793, q_loss:100, rewards:-211.28278, queue:199.54723, delay:0.79859585, throughput:1121
REAL_TEST step:52, travel time:425.8145933014354, q_loss:100, rewards:-186.36441, queue:136.30833, delay:0.60229146, throughput:1308
REAL_TEST step:54, travel time:481.25421443020906, q_loss:100, rewards:-188.23781, queue:139.6, delay:0.7044248, throughput:1145
REAL_TEST step:56, travel time:446.52866242038215, q_loss:100, rewards:-184.38004, queue:172.03612, delay:0.7985836, throughput:1186
REAL_TEST step:58, travel time:523.2260748959778, q_loss:100, rewards:-199.43867, queue:160.10278, delay:0.6405356, throughput:1160
REAL_TEST step:60, travel time:383.2843713278496, q_loss:100, rewards:-168.82475, queue:100.066666, delay:0.48687953, throughput:1414
REAL_TEST step:62, travel time:453.5616605616606, q_loss:100, rewards:-195.61502, queue:183.08333, delay:0.7925994, throughput:1234
REAL_TEST step:64, travel time:453.1787375415282, q_loss:100, rewards:-178.68839, queue:164.31389, delay:0.69155675, throughput:1232
REAL_TEST step:66, travel time:556.0262803234501, q_loss:100, rewards:-219.89165, queue:171.41945, delay:0.6978265, throughput:1074
REAL_TEST step:68, travel time:354.9172494172494, q_loss:100, rewards:-156.36697, queue:92.10555, delay:0.5578763, throughput:1458
REAL_TEST step:70, travel time:440.4917617237009, q_loss:100, rewards:-182.1839, queue:144.14444, delay:0.63813657, throughput:1250
REAL_TEST step:72, travel time:616.7542896362388, q_loss:100, rewards:-240.62581, queue:75.93889, delay:0.30682772, throughput:1040
REAL_TEST step:74, travel time:523.48712998713, q_loss:100, rewards:-215.17201, queue:158.44167, delay:0.6511962, throughput:1239
REAL_TEST step:76, travel time:893.7306434023991, q_loss:100, rewards:-222.02887, queue:216.12778, delay:0.75669646, throughput:651
REAL_TEST step:78, travel time:510.8939655172414, q_loss:100, rewards:-156.74226, queue:42.572224, delay:0.38976538, throughput:910
REAL_TEST step:80, travel time:720.0017953321365, q_loss:100, rewards:-215.81891, queue:203.68333, delay:0.7639879, throughput:800
REAL_TEST step:82, travel time:645.164590747331, q_loss:100, rewards:-194.4986, queue:106.125, delay:0.4208057, throughput:797
REAL_TEST step:84, travel time:526.8335714285714, q_loss:100, rewards:-195.6197, queue:135.79723, delay:0.5148051, throughput:1060
REAL_TEST step:86, travel time:482.3024844720497, q_loss:100, rewards:-205.32642, queue:131.575, delay:0.48806292, throughput:1190
REAL_TEST step:88, travel time:777.6290801186943, q_loss:100, rewards:-211.89804, queue:205.09166, delay:0.7276953, throughput:748
REAL_TEST step:90, travel time:253.94831338411316, q_loss:100, rewards:-114.63813, queue:91.98055, delay:0.56085914, throughput:1696
REAL_TEST step:92, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:74.45, delay:0.4670812, throughput:604
REAL_TEST step:94, travel time:566.8429933969186, q_loss:100, rewards:-205.94557, queue:152.75833, delay:0.658636, throughput:999
REAL_TEST step:96, travel time:665.8259762308999, q_loss:100, rewards:-210.05809, queue:201.55833, delay:0.7164048, throughput:902
REAL_TEST step:98, travel time:503.830923947203, q_loss:100, rewards:-211.09303, queue:171.0861, delay:0.63758975, throughput:1321
REAL_TEST step:100, travel time:406.0577411167513, q_loss:100, rewards:-167.0956, queue:154.73334, delay:0.79756826, throughput:1221
REAL_TEST step:102, travel time:459.6750156543519, q_loss:100, rewards:-193.14786, queue:142.53612, delay:0.6329893, throughput:1235
REAL_TEST step:104, travel time:593.4035769828927, q_loss:100, rewards:-203.7531, queue:194.55833, delay:0.8148555, throughput:944
REAL_TEST step:106, travel time:460.086887835703, q_loss:100, rewards:-152.32225, queue:71.525, delay:0.4116336, throughput:1084
REAL_TEST step:108, travel time:511.9160583941606, q_loss:100, rewards:-185.76501, queue:131.49445, delay:0.60587955, throughput:1037
REAL_TEST step:110, travel time:210.52515090543258, q_loss:100, rewards:-99.706406, queue:83.62222, delay:0.7560778, throughput:1862
REAL_TEST step:112, travel time:329.15540944411237, q_loss:100, rewards:-140.51137, queue:127.94444, delay:0.74985725, throughput:1417
REAL_TEST step:114, travel time:411.4246128769356, q_loss:100, rewards:-130.80385, queue:73.93611, delay:0.51053923, throughput:1073
REAL_TEST step:116, travel time:407.30679478380233, q_loss:100, rewards:-154.25061, queue:142.67223, delay:0.69492173, throughput:1210
REAL_TEST step:118, travel time:589.7464684014869, q_loss:100, rewards:-211.76582, queue:164.58333, delay:0.6862587, throughput:987
REAL_TEST step:120, travel time:486.04937413073714, q_loss:100, rewards:-184.58943, queue:129.56944, delay:0.57102007, throughput:1095
REAL_TEST step:122, travel time:844.2793572311496, q_loss:100, rewards:-184.5769, queue:126.46667, delay:0.6110282, throughput:599
REAL_TEST step:124, travel time:676.280686695279, q_loss:100, rewards:-211.72914, queue:165.85556, delay:0.63901436, throughput:820
REAL_TEST step:126, travel time:425.4058309037901, q_loss:100, rewards:-190.20241, queue:109.24167, delay:0.48781055, throughput:1425
REAL_TEST step:128, travel time:356.2062833432128, q_loss:100, rewards:-153.91138, queue:54.805557, delay:0.32960647, throughput:1483
REAL_TEST step:130, travel time:515.5705882352942, q_loss:100, rewards:-161.81584, queue:148.10278, delay:0.6036746, throughput:978
REAL_TEST step:132, travel time:446.5844155844156, q_loss:100, rewards:-152.44447, queue:88.66944, delay:0.55100626, throughput:1125
REAL_TEST step:134, travel time:253.6234309623431, q_loss:100, rewards:-119.09082, queue:51.447224, delay:0.51838124, throughput:1771
REAL_TEST step:136, travel time:611.3336236933798, q_loss:100, rewards:-187.10548, queue:165.76389, delay:0.63611054, throughput:903
REAL_TEST step:138, travel time:2337.6106666666665, q_loss:100, rewards:-242.65472, queue:178.18333, delay:0.69589996, throughput:105
REAL_TEST step:140, travel time:555.3577235772358, q_loss:100, rewards:-199.17645, queue:79.64445, delay:0.39953396, throughput:1084
REAL_TEST step:142, travel time:401.32341110217214, q_loss:100, rewards:-128.97917, queue:118.7, delay:0.6441874, throughput:1089
REAL_TEST step:144, travel time:570.1069100391135, q_loss:100, rewards:-233.32942, queue:114.880554, delay:0.46710297, throughput:1108
REAL_TEST step:146, travel time:529.6171383647799, q_loss:100, rewards:-178.478, queue:86.85, delay:0.45948583, throughput:996
REAL_TEST step:148, travel time:552.1865148861647, q_loss:100, rewards:-167.40446, queue:158.825, delay:0.74868286, throughput:893
REAL_TEST step:150, travel time:382.30138637733575, q_loss:100, rewards:-163.63113, queue:82.23333, delay:0.48855728, throughput:1419
REAL_TEST step:152, travel time:411.70954003407155, q_loss:100, rewards:-125.294205, queue:115.47222, delay:0.5545157, throughput:1014
REAL_TEST step:154, travel time:611.3831775700935, q_loss:100, rewards:-227.37082, queue:141.025, delay:0.594559, throughput:1020
REAL_TEST step:156, travel time:409.6113463166808, q_loss:100, rewards:-125.37672, queue:114.816666, delay:0.5319811, throughput:1012
REAL_TEST step:158, travel time:400.0883458646617, q_loss:100, rewards:-165.72694, queue:64.405556, delay:0.28998077, throughput:1317
REAL_TEST step:160, travel time:411.76644493717663, q_loss:100, rewards:-144.4436, queue:123.047226, delay:0.62300813, throughput:1163
REAL_TEST step:162, travel time:822.9239332096475, q_loss:100, rewards:-239.83212, queue:195.32777, delay:0.72386706, throughput:757
REAL_TEST step:164, travel time:459.3661599471249, q_loss:100, rewards:-182.90117, queue:171.29445, delay:0.76878643, throughput:1165
