replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_domain_randomization_s0/model/hz1x1_noise5_presslight_domain_randomization -> eval real_setting=noise10
REAL_TEST step:3, travel time:330.49056603773585, q_loss:100, rewards:-146.70526, queue:145.45592, delay:4.441835, throughput:1566
REAL_TEST step:6, travel time:240.6822381930185, q_loss:100, rewards:-114.7878, queue:111.98571, delay:4.4014935, throughput:1742
REAL_TEST step:9, travel time:209.72560673600793, q_loss:100, rewards:-100.85811, queue:94.72258, delay:4.3862815, throughput:1888
REAL_TEST step:12, travel time:294.28851540616245, q_loss:100, rewards:-132.43579, queue:130.2386, delay:4.37417, throughput:1531
REAL_TEST step:15, travel time:478.7909896602659, q_loss:100, rewards:-171.12923, queue:174.11185, delay:4.603297, throughput:1028
REAL_TEST step:18, travel time:497.49664929262843, q_loss:100, rewards:-176.72447, queue:175.69514, delay:4.408313, throughput:1019
REAL_TEST step:21, travel time:352.65270188221007, q_loss:100, rewards:-149.07639, queue:148.79305, delay:4.52539, throughput:1392
REAL_TEST step:24, travel time:305.8367561874671, q_loss:100, rewards:-146.92946, queue:144.23154, delay:4.3984303, throughput:1625
REAL_TEST step:27, travel time:288.0686170212766, q_loss:100, rewards:-135.55554, queue:131.3282, delay:4.1950655, throughput:1674
REAL_TEST step:30, travel time:275.14935064935065, q_loss:100, rewards:-126.82691, queue:126.10662, delay:4.4855933, throughput:1631
REAL_TEST step:33, travel time:260.5089197224975, q_loss:100, rewards:-129.6339, queue:123.56602, delay:4.35342, throughput:1845
REAL_TEST step:36, travel time:299.8122833085686, q_loss:100, rewards:-152.46577, queue:145.28221, delay:4.3427095, throughput:1767
REAL_TEST step:39, travel time:262.81468531468533, q_loss:100, rewards:-129.96669, queue:123.891655, delay:4.303037, throughput:1820
REAL_TEST step:42, travel time:248.40090316106372, q_loss:100, rewards:-121.686905, queue:121.62402, delay:4.3941717, throughput:1786
REAL_TEST step:45, travel time:194.95822848515348, q_loss:100, rewards:-91.63361, queue:89.95524, delay:4.4831867, throughput:1799
REAL_TEST step:48, travel time:295.56399796022436, q_loss:100, rewards:-145.51978, queue:140.87186, delay:4.548304, throughput:1743
REAL_TEST step:51, travel time:173.23042616451932, q_loss:100, rewards:-80.519966, queue:77.155495, delay:4.3094, throughput:1872
REAL_TEST step:54, travel time:329.6258883248731, q_loss:100, rewards:-165.53142, queue:162.66367, delay:4.5633125, throughput:1684
REAL_TEST step:57, travel time:245.6125126135217, q_loss:100, rewards:-119.963326, queue:116.903725, delay:4.518169, throughput:1730
REAL_TEST step:60, travel time:293.44303797468353, q_loss:100, rewards:-146.68474, queue:142.84055, delay:4.264781, throughput:1624
REAL_TEST step:63, travel time:365.96288327057556, q_loss:100, rewards:-175.68414, queue:174.03807, delay:4.476431, throughput:1513
