Loading cached latent encoders from pretrained/lusr/presslight/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_lusr_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:418.8011404133999, q_loss:100, rewards:-152.61693, queue:178.6509, delay:8.44732, throughput:1197
REAL_TEST step:4, travel time:558.2594795539034, q_loss:100, rewards:-199.2448, queue:212.4509, delay:8.4366455, throughput:1063
REAL_TEST step:6, travel time:740.3084922010398, q_loss:100, rewards:-230.74557, queue:240.36453, delay:8.389911, throughput:764
REAL_TEST step:8, travel time:555.1605744125326, q_loss:100, rewards:-226.50777, queue:240.20938, delay:8.365294, throughput:1121
REAL_TEST step:10, travel time:412.34512264689107, q_loss:100, rewards:-188.65308, queue:204.76425, delay:8.795221, throughput:1383
REAL_TEST step:12, travel time:466.44444444444446, q_loss:100, rewards:-204.91226, queue:214.68571, delay:8.393162, throughput:1239
REAL_TEST step:14, travel time:467.23777911888953, q_loss:100, rewards:-204.23006, queue:215.72441, delay:8.671071, throughput:1239
REAL_TEST step:16, travel time:436.361803084223, q_loss:100, rewards:-193.07417, queue:203.91217, delay:8.409271, throughput:1289
REAL_TEST step:18, travel time:480.2387323943662, q_loss:100, rewards:-179.81812, queue:194.30846, delay:8.0083275, throughput:1094
REAL_TEST step:20, travel time:484.6759890859482, q_loss:100, rewards:-187.44612, queue:203.66742, delay:8.572527, throughput:1133
REAL_TEST step:22, travel time:357.10577472841624, q_loss:100, rewards:-161.28194, queue:177.6805, delay:8.29615, throughput:1395
REAL_TEST step:24, travel time:483.2036434612882, q_loss:100, rewards:-196.04367, queue:210.14381, delay:8.232106, throughput:1170
REAL_TEST step:26, travel time:419.2347723240686, q_loss:100, rewards:-185.16617, queue:198.21321, delay:8.190239, throughput:1341
REAL_TEST step:28, travel time:430.67007211538464, q_loss:100, rewards:-187.48607, queue:207.76785, delay:8.401805, throughput:1322
REAL_TEST step:30, travel time:261.4910955207771, q_loss:100, rewards:-119.4236, queue:143.09953, delay:8.54179, throughput:1709
REAL_TEST step:32, travel time:436.74955383700177, q_loss:100, rewards:-192.67606, queue:205.27617, delay:8.676759, throughput:1286
REAL_TEST step:34, travel time:433.6437125748503, q_loss:100, rewards:-189.2664, queue:204.25119, delay:8.200925, throughput:1356
REAL_TEST step:36, travel time:380.3156923076923, q_loss:100, rewards:-159.3147, queue:182.8875, delay:8.659945, throughput:1397
REAL_TEST step:38, travel time:387.8285219399538, q_loss:100, rewards:-174.75836, queue:191.30777, delay:8.626138, throughput:1351
REAL_TEST step:40, travel time:406.92717889908255, q_loss:100, rewards:-185.13641, queue:200.59386, delay:8.139182, throughput:1370
REAL_TEST step:42, travel time:404.9434187016081, q_loss:100, rewards:-177.01834, queue:195.21484, delay:8.511444, throughput:1348
REAL_TEST step:44, travel time:357.42012161415147, q_loss:100, rewards:-166.29254, queue:184.84996, delay:8.594907, throughput:1511
