Loading cached latent encoders from pretrained/lusr/presslight/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_lusr_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=sensor70
REAL_TEST step:2, travel time:1063.7018927444794, q_loss:100, rewards:-183.54276, queue:69.816666, delay:0.36493543, throughput:436
REAL_TEST step:4, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:49.97222, delay:0.122329056, throughput:560
REAL_TEST step:6, travel time:526.2553054662379, q_loss:100, rewards:-217.41698, queue:98.77778, delay:0.3564343, throughput:1140
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:95.59722, delay:0.3009765, throughput:633
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:14.516666, delay:0.24253964, throughput:633
REAL_TEST step:12, travel time:542.495945102932, q_loss:100, rewards:-231.26888, queue:160.78055, delay:0.5462031, throughput:1185
REAL_TEST step:14, travel time:531.5077821011673, q_loss:100, rewards:-218.00421, queue:131.325, delay:0.5352711, throughput:1115
REAL_TEST step:16, travel time:526.0814249363867, q_loss:100, rewards:-218.12166, queue:108.361115, delay:0.38590574, throughput:1316
REAL_TEST step:18, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:16.633333, delay:0.058773126, throughput:633
REAL_TEST step:20, travel time:793.0071210579857, q_loss:100, rewards:-211.07838, queue:73.68056, delay:0.36328825, throughput:640
REAL_TEST step:22, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:31.15, delay:0.30131274, throughput:633
REAL_TEST step:24, travel time:639.5038103302286, q_loss:100, rewards:-202.55608, queue:91.477776, delay:0.40726784, throughput:836
REAL_TEST step:26, travel time:554.4274924471299, q_loss:100, rewards:-195.1189, queue:51.77778, delay:0.2532001, throughput:1008
REAL_TEST step:28, travel time:787.433439829606, q_loss:100, rewards:-199.42392, queue:50.433334, delay:0.24187233, throughput:691
REAL_TEST step:30, travel time:627.7169675090253, q_loss:100, rewards:-231.92532, queue:83.255554, delay:0.23329212, throughput:1085
REAL_TEST step:32, travel time:648.2928571428571, q_loss:100, rewards:-243.62448, queue:114.958336, delay:0.42305836, throughput:984
REAL_TEST step:34, travel time:467.0193174500966, q_loss:100, rewards:-191.11723, queue:75.1, delay:0.44232422, throughput:1189
REAL_TEST step:36, travel time:482.9577345731192, q_loss:100, rewards:-149.77533, queue:90.844444, delay:0.5073579, throughput:1012
REAL_TEST step:38, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:0.0, delay:0.0, throughput:633
REAL_TEST step:40, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:53.416668, delay:0.30134624, throughput:633
REAL_TEST step:42, travel time:513.5577211394303, q_loss:100, rewards:-181.3869, queue:21.225, delay:0.11007697, throughput:1021
