Loading cached latent encoders from pretrained/recon_baseline/presslight/hz1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_recon_baseline_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=sensor70
REAL_TEST step:1, travel time:460.52826855123675, q_loss:100, rewards:-136.29355, queue:9.608334, delay:0.18990661, throughput:964
REAL_TEST step:2, travel time:2623.180602006689, q_loss:100, rewards:-217.40527, queue:49.97778, delay:0.12232494, throughput:61
REAL_TEST step:3, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:120.00278, delay:0.36468238, throughput:633
REAL_TEST step:4, travel time:1101.1032258064515, q_loss:100, rewards:-186.05972, queue:60.81111, delay:0.26735368, throughput:416
REAL_TEST step:5, travel time:1101.1032258064515, q_loss:100, rewards:-186.05972, queue:7.552778, delay:0.124328, throughput:416
REAL_TEST step:6, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:108.99722, delay:0.52307355, throughput:633
REAL_TEST step:7, travel time:865.3823529411765, q_loss:100, rewards:-183.0158, queue:64.89445, delay:0.39454138, throughput:578
REAL_TEST step:8, travel time:1101.1032258064515, q_loss:100, rewards:-186.05972, queue:154.6639, delay:0.3915638, throughput:416
REAL_TEST step:9, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:0.14722222, delay:0.024961535, throughput:560
REAL_TEST step:10, travel time:850.9295597484277, q_loss:100, rewards:-182.85774, queue:27.866667, delay:0.36488983, throughput:589
REAL_TEST step:11, travel time:3129.644787644788, q_loss:100, rewards:-225.08028, queue:51.766666, delay:0.12359987, throughput:17
REAL_TEST step:12, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:65.191666, delay:0.39002907, throughput:560
REAL_TEST step:13, travel time:566.2284172661871, q_loss:100, rewards:-167.54227, queue:16.522223, delay:0.19963898, throughput:850
REAL_TEST step:14, travel time:714.5388302972195, q_loss:100, rewards:-201.05583, queue:59.033333, delay:0.22526905, throughput:699
REAL_TEST step:15, travel time:460.9266109785203, q_loss:100, rewards:-203.81728, queue:30.936111, delay:0.15108567, throughput:1244
REAL_TEST step:16, travel time:735.9732620320856, q_loss:100, rewards:-222.93585, queue:106.96389, delay:0.39606848, throughput:752
REAL_TEST step:17, travel time:554.0990813648294, q_loss:100, rewards:-225.04805, queue:111.094444, delay:0.45927888, throughput:1097
REAL_TEST step:18, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:125.48055, delay:0.63349545, throughput:560
REAL_TEST step:19, travel time:852.9202518363064, q_loss:100, rewards:-220.64418, queue:0.0, delay:0.0, throughput:604
REAL_TEST step:20, travel time:885.6455026455027, q_loss:100, rewards:-181.16357, queue:16.025, delay:0.26826906, throughput:560
REAL_TEST step:21, travel time:535.4433363553944, q_loss:100, rewards:-156.10751, queue:0.22777778, delay:0.036921453, throughput:908
REAL_TEST step:22, travel time:424.1704475781729, q_loss:100, rewards:-180.82277, queue:69.63611, delay:0.32175413, throughput:1300
REAL_TEST step:23, travel time:1279.4763358778625, q_loss:100, rewards:-229.7375, queue:67.236115, delay:0.22246869, throughput:360
REAL_TEST step:24, travel time:428.3633387888707, q_loss:100, rewards:-205.86584, queue:62.883335, delay:0.29040927, throughput:1409
REAL_TEST step:25, travel time:494.0525664811379, q_loss:100, rewards:-211.05812, queue:125.47222, delay:0.5216111, throughput:1246
REAL_TEST step:26, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:74.775, delay:0.36203596, throughput:633
REAL_TEST step:27, travel time:475.01510574018124, q_loss:100, rewards:-207.69618, queue:64.14167, delay:0.28527418, throughput:1231
REAL_TEST step:28, travel time:509.9117859725235, q_loss:100, rewards:-186.44995, queue:9.055555, delay:0.08829975, throughput:1082
REAL_TEST step:29, travel time:495.6098081023454, q_loss:100, rewards:-184.04031, queue:45.005554, delay:0.22005427, throughput:1108
REAL_TEST step:30, travel time:564.8405612244898, q_loss:100, rewards:-236.22426, queue:41.947224, delay:0.16751775, throughput:1135
