Loading cached latent encoders from pretrained/vae_embedding/presslight/hz1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz1x1/baseline_v1_vae_s0/model/hz1x1_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:857.118170266836, q_loss:100, rewards:-182.36252, queue:189.59355, delay:4.452223, throughput:583
REAL_TEST step:4, travel time:835.6729435084242, q_loss:100, rewards:-228.73633, queue:227.21475, delay:4.451613, throughput:643
REAL_TEST step:6, travel time:801.9024640657084, q_loss:100, rewards:-211.57033, queue:212.83795, delay:4.416254, throughput:632
REAL_TEST step:8, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:215.31091, delay:4.407641, throughput:633
REAL_TEST step:10, travel time:799.4790174002047, q_loss:100, rewards:-211.57639, queue:216.08633, delay:4.6342125, throughput:633
REAL_TEST step:12, travel time:704.8147512864495, q_loss:100, rewards:-221.43472, queue:220.21654, delay:4.4268446, throughput:795
REAL_TEST step:14, travel time:791.4551863041289, q_loss:100, rewards:-212.76944, queue:214.0623, delay:4.5602684, throughput:648
REAL_TEST step:16, travel time:868.9474358974359, q_loss:100, rewards:-183.32603, queue:187.61261, delay:4.401365, throughput:576
REAL_TEST step:18, travel time:760.6973544973545, q_loss:100, rewards:-193.29979, queue:195.42094, delay:4.204147, throughput:734
REAL_TEST step:20, travel time:629.2483612527312, q_loss:100, rewards:-231.64008, queue:229.96329, delay:4.5315676, throughput:963
REAL_TEST step:22, travel time:431.845348120764, q_loss:100, rewards:-183.82469, queue:181.58142, delay:4.359804, throughput:1241
REAL_TEST step:24, travel time:488.0796963946869, q_loss:100, rewards:-203.9136, queue:200.43787, delay:4.3449745, throughput:1196
REAL_TEST step:26, travel time:483.0293383270911, q_loss:100, rewards:-204.55275, queue:200.77745, delay:4.319461, throughput:1192
REAL_TEST step:28, travel time:400.7113111986494, q_loss:100, rewards:-185.07472, queue:184.18774, delay:4.4198356, throughput:1450
REAL_TEST step:30, travel time:505.36607142857144, q_loss:100, rewards:-210.02225, queue:208.4189, delay:4.517249, throughput:1156
REAL_TEST step:32, travel time:550.6644250168124, q_loss:100, rewards:-216.62248, queue:216.54306, delay:4.52887, throughput:1230
REAL_TEST step:34, travel time:345.29295154185024, q_loss:100, rewards:-161.347, queue:157.23227, delay:4.3175282, throughput:1461
REAL_TEST step:36, travel time:407.75685557586837, q_loss:100, rewards:-174.15366, queue:174.47803, delay:4.547143, throughput:1334
REAL_TEST step:38, travel time:243.06274900398407, q_loss:100, rewards:-119.25498, queue:115.08686, delay:4.5232134, throughput:1838
REAL_TEST step:40, travel time:422.84766584766584, q_loss:100, rewards:-180.24307, queue:178.87346, delay:4.2689905, throughput:1255
REAL_TEST step:42, travel time:456.69055592766244, q_loss:100, rewards:-179.27086, queue:181.44771, delay:4.475393, throughput:1155
REAL_TEST step:44, travel time:446.955310880829, q_loss:100, rewards:-181.3161, queue:181.20444, delay:4.514735, throughput:1187
REAL_TEST step:46, travel time:402.3428927680798, q_loss:100, rewards:-168.30167, queue:165.07886, delay:4.357738, throughput:1253
REAL_TEST step:48, travel time:445.75126262626264, q_loss:100, rewards:-185.69225, queue:181.84494, delay:4.2363367, throughput:1194
REAL_TEST step:50, travel time:291.1462915601023, q_loss:100, rewards:-143.1589, queue:138.16664, delay:4.372756, throughput:1691
REAL_TEST step:52, travel time:338.86248682824026, q_loss:100, rewards:-164.9147, queue:163.40518, delay:4.426304, throughput:1564
REAL_TEST step:54, travel time:351.4202271498107, q_loss:100, rewards:-167.41705, queue:165.89905, delay:4.213242, throughput:1491
REAL_TEST step:56, travel time:385.64445720850085, q_loss:100, rewards:-173.47923, queue:171.83937, delay:4.3627987, throughput:1479
REAL_TEST step:58, travel time:334.35761226725083, q_loss:100, rewards:-156.70723, queue:153.84892, delay:4.3921804, throughput:1470
REAL_TEST step:60, travel time:337.38539989264626, q_loss:100, rewards:-161.50449, queue:156.86217, delay:4.4955125, throughput:1490
REAL_TEST step:62, travel time:338.312257348863, q_loss:100, rewards:-156.44366, queue:154.98192, delay:4.4114785, throughput:1480
REAL_TEST step:64, travel time:288.45302375809933, q_loss:100, rewards:-134.67163, queue:133.6107, delay:4.540688, throughput:1557
REAL_TEST step:66, travel time:371.1093318608504, q_loss:100, rewards:-174.00946, queue:169.55812, delay:4.3439355, throughput:1445
REAL_TEST step:68, travel time:390.9972781709309, q_loss:100, rewards:-187.23915, queue:185.86873, delay:4.44849, throughput:1403
REAL_TEST step:70, travel time:337.91988950276243, q_loss:100, rewards:-156.92447, queue:153.24449, delay:4.32005, throughput:1478
REAL_TEST step:72, travel time:296.6855142703285, q_loss:100, rewards:-139.4247, queue:138.25284, delay:4.5407605, throughput:1545
REAL_TEST step:74, travel time:295.2607046070461, q_loss:100, rewards:-137.77722, queue:135.99869, delay:4.554152, throughput:1539
REAL_TEST step:76, travel time:306.45864661654133, q_loss:100, rewards:-144.74255, queue:142.57404, delay:4.444602, throughput:1563
REAL_TEST step:78, travel time:312.3044420368364, q_loss:100, rewards:-146.42502, queue:142.08911, delay:4.3320165, throughput:1557
