Loading cached latent encoders from pretrained/atc/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_atc_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:1713.4842148421485, q_loss:100, rewards:-773.9975, queue:53.67257, delay:0.18178262, throughput:503
REAL_TEST step:4, travel time:1772.9182785299806, q_loss:100, rewards:-673.56976, queue:50.755383, delay:0.22621863, throughput:479
REAL_TEST step:6, travel time:1290.892765332354, q_loss:100, rewards:-422.10083, queue:48.123783, delay:0.27441075, throughput:1121
REAL_TEST step:8, travel time:1224.873281930942, q_loss:100, rewards:-205.85887, queue:36.75087, delay:0.27476645, throughput:1128
REAL_TEST step:10, travel time:1222.9396900269542, q_loss:100, rewards:-367.5414, queue:47.049133, delay:0.24705912, throughput:1035
REAL_TEST step:12, travel time:1095.9758632249413, q_loss:100, rewards:-259.20972, queue:37.81389, delay:0.27406204, throughput:1348
REAL_TEST step:14, travel time:1265.3692528735633, q_loss:100, rewards:-392.1394, queue:43.175175, delay:0.26686034, throughput:1087
REAL_TEST step:16, travel time:1472.109893992933, q_loss:100, rewards:-491.93054, queue:57.34722, delay:0.27120656, throughput:725
REAL_TEST step:18, travel time:1178.520964360587, q_loss:100, rewards:-409.75473, queue:35.144444, delay:0.24915679, throughput:1260
REAL_TEST step:20, travel time:1242.0468805075784, q_loss:100, rewards:-466.26077, queue:36.75469, delay:0.24708413, throughput:1106
REAL_TEST step:22, travel time:1091.4104868913857, q_loss:100, rewards:-380.13785, queue:33.1375, delay:0.26296502, throughput:1357
REAL_TEST step:24, travel time:1175.2437003797031, q_loss:100, rewards:-357.3606, queue:33.347397, delay:0.25646862, throughput:1285
REAL_TEST step:26, travel time:824.2926583975864, q_loss:100, rewards:-230.8156, queue:17.800694, delay:0.22956935, throughput:1797
REAL_TEST step:28, travel time:1106.717783066984, q_loss:100, rewards:-289.9808, queue:32.65625, delay:0.25056404, throughput:1264
REAL_TEST step:30, travel time:978.9523969158565, q_loss:100, rewards:-321.11444, queue:28.152082, delay:0.24178384, throughput:1581
REAL_TEST step:32, travel time:1101.4604989604989, q_loss:100, rewards:-322.16476, queue:30.092535, delay:0.2452772, throughput:1299
REAL_TEST step:34, travel time:989.3335568219912, q_loss:100, rewards:-206.07921, queue:26.743229, delay:0.2518918, throughput:1563
REAL_TEST step:36, travel time:1372.2691993464052, q_loss:100, rewards:-602.27893, queue:39.156944, delay:0.21785448, throughput:927
REAL_TEST step:38, travel time:823.8786456587328, q_loss:100, rewards:-195.45245, queue:19.38559, delay:0.23003082, throughput:1921
REAL_TEST step:40, travel time:777.9611129735166, q_loss:100, rewards:-115.719154, queue:18.771008, delay:0.23532477, throughput:2000
REAL_TEST step:42, travel time:948.0268186389541, q_loss:100, rewards:-275.3803, queue:22.95677, delay:0.22170995, throughput:1598
REAL_TEST step:44, travel time:1040.2963459604425, q_loss:100, rewards:-286.0986, queue:26.572395, delay:0.24777678, throughput:1466
REAL_TEST step:46, travel time:706.9882668454576, q_loss:100, rewards:-139.2489, queue:18.396355, delay:0.24565998, throughput:2099
REAL_TEST step:48, travel time:939.0703989272545, q_loss:100, rewards:-254.21475, queue:24.882118, delay:0.23797958, throughput:1619
REAL_TEST step:50, travel time:985.0050284948039, q_loss:100, rewards:-313.98642, queue:22.34618, delay:0.23181653, throughput:1459
REAL_TEST step:52, travel time:896.9959772041569, q_loss:100, rewards:-227.00471, queue:23.362846, delay:0.23239335, throughput:1694
REAL_TEST step:54, travel time:899.6684545759302, q_loss:100, rewards:-185.52556, queue:26.114758, delay:0.22825402, throughput:1663
REAL_TEST step:56, travel time:762.5243043915522, q_loss:100, rewards:-179.11447, queue:20.442883, delay:0.24102724, throughput:1870
REAL_TEST step:58, travel time:740.388870264834, q_loss:100, rewards:-195.75134, queue:12.8776045, delay:0.20400001, throughput:1925
REAL_TEST step:60, travel time:942.7513368983957, q_loss:100, rewards:-356.37192, queue:20.797743, delay:0.23934253, throughput:1604
REAL_TEST step:62, travel time:876.257794166946, q_loss:100, rewards:-192.75412, queue:27.848959, delay:0.23324789, throughput:1749
REAL_TEST step:64, travel time:1081.4525304765423, q_loss:100, rewards:-431.97803, queue:25.66823, delay:0.24720035, throughput:1335
REAL_TEST step:66, travel time:770.678846798525, q_loss:100, rewards:-194.75499, queue:17.292187, delay:0.23482178, throughput:2006
REAL_TEST step:68, travel time:859.5095541401274, q_loss:100, rewards:-238.05305, queue:21.21823, delay:0.22181018, throughput:1732
REAL_TEST step:70, travel time:757.0197787462287, q_loss:100, rewards:-224.35669, queue:13.257639, delay:0.21009003, throughput:1988
REAL_TEST step:72, travel time:977.1887361716393, q_loss:100, rewards:-294.61194, queue:28.82066, delay:0.23406936, throughput:1553
REAL_TEST step:74, travel time:722.1022460610124, q_loss:100, rewards:-153.57999, queue:18.360937, delay:0.22034523, throughput:2052
REAL_TEST step:76, travel time:705.049949715052, q_loss:100, rewards:-192.34366, queue:13.354341, delay:0.23131166, throughput:2224
REAL_TEST step:78, travel time:864.7153871940999, q_loss:100, rewards:-228.62053, queue:24.128819, delay:0.24416305, throughput:1752
REAL_TEST step:80, travel time:843.4773717733825, q_loss:100, rewards:-192.81358, queue:25.040277, delay:0.25774732, throughput:1851
REAL_TEST step:82, travel time:1160.9067512122342, q_loss:100, rewards:-406.69305, queue:27.27257, delay:0.20852897, throughput:1191
REAL_TEST step:84, travel time:801.2775729131747, q_loss:100, rewards:-149.96503, queue:22.567709, delay:0.26288667, throughput:2009
REAL_TEST step:86, travel time:690.7844451894066, q_loss:100, rewards:-144.95638, queue:15.28559, delay:0.2173442, throughput:2138
REAL_TEST step:88, travel time:717.6302380154207, q_loss:100, rewards:-157.67804, queue:19.119965, delay:0.22543013, throughput:1983
REAL_TEST step:90, travel time:941.9282601407979, q_loss:100, rewards:-214.6014, queue:26.623959, delay:0.25009373, throughput:1601
REAL_TEST step:92, travel time:755.3533355682199, q_loss:100, rewards:-169.59201, queue:18.98889, delay:0.23113587, throughput:1881
REAL_TEST step:94, travel time:777.8042239356353, q_loss:100, rewards:-239.64165, queue:12.905556, delay:0.22169071, throughput:2038
REAL_TEST step:96, travel time:842.4146832048274, q_loss:100, rewards:-265.13275, queue:22.144096, delay:0.23876452, throughput:1768
REAL_TEST step:98, travel time:675.3493127723768, q_loss:100, rewards:-151.15804, queue:14.333333, delay:0.2209032, throughput:2170
REAL_TEST step:100, travel time:778.7857861213544, q_loss:100, rewards:-214.09113, queue:15.436285, delay:0.21223679, throughput:1955
REAL_TEST step:102, travel time:758.46128059001, q_loss:100, rewards:-170.51361, queue:18.8375, delay:0.22710608, throughput:1967
REAL_TEST step:104, travel time:831.1521957760643, q_loss:100, rewards:-203.65305, queue:24.661806, delay:0.23448054, throughput:1770
REAL_TEST step:106, travel time:836.81897418706, q_loss:100, rewards:-199.00359, queue:16.921007, delay:0.22598597, throughput:1829
REAL_TEST step:108, travel time:683.2688568555146, q_loss:100, rewards:-179.17857, queue:13.222743, delay:0.22120802, throughput:2150
REAL_TEST step:110, travel time:1072.251197053407, q_loss:100, rewards:-365.74222, queue:20.7783, delay:0.20004718, throughput:1342
REAL_TEST step:112, travel time:822.529332886356, q_loss:100, rewards:-171.10918, queue:19.378645, delay:0.2262644, throughput:1824
REAL_TEST step:114, travel time:893.4545759302715, q_loss:100, rewards:-222.21776, queue:20.7842, delay:0.22019455, throughput:1742
REAL_TEST step:116, travel time:751.2383506537043, q_loss:100, rewards:-136.46973, queue:20.094965, delay:0.23148657, throughput:1922
REAL_TEST step:118, travel time:804.9044585987261, q_loss:100, rewards:-198.56056, queue:22.390451, delay:0.20843582, throughput:1830
REAL_TEST step:120, travel time:834.5055313442842, q_loss:100, rewards:-196.3528, queue:22.248611, delay:0.24680188, throughput:1729
REAL_TEST step:122, travel time:739.8789808917197, q_loss:100, rewards:-169.36583, queue:17.852604, delay:0.22476938, throughput:1960
REAL_TEST step:124, travel time:872.3355840648211, q_loss:100, rewards:-264.4514, queue:21.182117, delay:0.25137758, throughput:1753
REAL_TEST step:126, travel time:1060.3406744666208, q_loss:100, rewards:-360.59616, queue:26.449654, delay:0.23692186, throughput:1372
REAL_TEST step:128, travel time:803.1005698960778, q_loss:100, rewards:-172.39893, queue:22.609375, delay:0.24096586, throughput:1843
REAL_TEST step:130, travel time:816.9101575595039, q_loss:100, rewards:-235.19167, queue:19.924652, delay:0.23921064, throughput:1812
REAL_TEST step:132, travel time:715.7086825343614, q_loss:100, rewards:-165.10474, queue:15.730729, delay:0.20962144, throughput:2081
REAL_TEST step:134, travel time:649.0968823332216, q_loss:100, rewards:-123.44528, queue:13.934548, delay:0.21279149, throughput:2165
REAL_TEST step:136, travel time:960.5333556821992, q_loss:100, rewards:-206.59335, queue:35.874306, delay:0.2663325, throughput:1493
REAL_TEST step:138, travel time:802.823667448877, q_loss:100, rewards:-160.3547, queue:23.634548, delay:0.2387469, throughput:1868
REAL_TEST step:140, travel time:792.7686892390211, q_loss:100, rewards:-269.61523, queue:18.304167, delay:0.21310782, throughput:1961
REAL_TEST step:142, travel time:743.1800201139793, q_loss:100, rewards:-142.09946, queue:18.240105, delay:0.21261635, throughput:1949
REAL_TEST step:144, travel time:706.5866577271204, q_loss:100, rewards:-168.53526, queue:12.592188, delay:0.1909103, throughput:2111
REAL_TEST step:146, travel time:817.1756620851492, q_loss:100, rewards:-300.9366, queue:14.967188, delay:0.20152724, throughput:1953
REAL_TEST step:148, travel time:851.7566208514918, q_loss:100, rewards:-139.30418, queue:21.613194, delay:0.24459924, throughput:1729
REAL_TEST step:150, travel time:942.9021119678176, q_loss:100, rewards:-140.25504, queue:30.337152, delay:0.26303017, throughput:1591
REAL_TEST step:152, travel time:609.9678176332551, q_loss:100, rewards:-105.33085, queue:14.169444, delay:0.21849968, throughput:2286
REAL_TEST step:154, travel time:709.253436138116, q_loss:100, rewards:-185.71666, queue:16.433332, delay:0.21970503, throughput:2160
REAL_TEST step:156, travel time:699.5102246061012, q_loss:100, rewards:-139.8553, queue:17.859375, delay:0.25501114, throughput:2097
REAL_TEST step:158, travel time:654.9822326516929, q_loss:100, rewards:-112.065796, queue:12.769792, delay:0.20806263, throughput:2129
REAL_TEST step:160, travel time:884.4445189406638, q_loss:100, rewards:-134.17839, queue:24.873611, delay:0.24344674, throughput:1718
REAL_TEST step:162, travel time:705.8166275561515, q_loss:100, rewards:-98.99329, queue:12.663889, delay:0.19915128, throughput:2037
REAL_TEST step:164, travel time:782.8089171974523, q_loss:100, rewards:-198.44167, queue:17.086285, delay:0.22530687, throughput:1968
REAL_TEST step:166, travel time:935.8378284923928, q_loss:100, rewards:-227.00336, queue:22.095486, delay:0.23086107, throughput:1628
REAL_TEST step:168, travel time:556.3912168957426, q_loss:100, rewards:-122.957245, queue:13.934028, delay:0.22128868, throughput:2358
REAL_TEST step:170, travel time:716.0328528327187, q_loss:100, rewards:-146.79166, queue:17.859375, delay:0.24013253, throughput:1993
REAL_TEST step:172, travel time:734.3804894401609, q_loss:100, rewards:-205.77278, queue:17.07066, delay:0.20509635, throughput:2028
