Loading cached latent encoders from pretrained/atc/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_atc_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:1528.5536791314837, q_loss:100, rewards:-627.0844, queue:70.985344, delay:1.2602855, throughput:699
REAL_TEST step:4, travel time:1303.7915321133835, q_loss:100, rewards:-482.24884, queue:63.776474, delay:1.3069152, throughput:1115
REAL_TEST step:6, travel time:938.91820315119, q_loss:100, rewards:-139.63216, queue:46.69008, delay:1.2900157, throughput:1679
REAL_TEST step:8, travel time:1041.8045591686223, q_loss:100, rewards:-160.28944, queue:48.03649, delay:1.2915123, throughput:1486
REAL_TEST step:10, travel time:933.3281930942005, q_loss:100, rewards:-233.35085, queue:46.314636, delay:1.2871248, throughput:1721
REAL_TEST step:12, travel time:876.7083473013745, q_loss:100, rewards:-100.719955, queue:39.8291, delay:1.2579294, throughput:1803
REAL_TEST step:14, travel time:1123.0160558464224, q_loss:100, rewards:-324.7944, queue:50.40865, delay:1.2768779, throughput:1369
REAL_TEST step:16, travel time:1054.5357880247764, q_loss:100, rewards:-329.57822, queue:50.853874, delay:1.2846459, throughput:1473
REAL_TEST step:18, travel time:1116.9282479972135, q_loss:100, rewards:-383.62357, queue:50.49766, delay:1.3016691, throughput:1451
REAL_TEST step:20, travel time:862.5812939993295, q_loss:100, rewards:-230.73334, queue:42.566612, delay:1.267015, throughput:1831
REAL_TEST step:22, travel time:719.0486087831042, q_loss:100, rewards:-89.213615, queue:34.718994, delay:1.2603852, throughput:2057
REAL_TEST step:24, travel time:885.0589254766031, q_loss:100, rewards:-254.6944, queue:42.916515, delay:1.2693365, throughput:1815
REAL_TEST step:26, travel time:698.5487763995977, q_loss:100, rewards:-136.5853, queue:34.012974, delay:1.2988421, throughput:2075
REAL_TEST step:28, travel time:760.5253100905129, q_loss:100, rewards:-145.82607, queue:35.215775, delay:1.2732729, throughput:2007
REAL_TEST step:30, travel time:761.1823667448876, q_loss:100, rewards:-167.00362, queue:36.433002, delay:1.2693139, throughput:1993
REAL_TEST step:32, travel time:853.6450638012088, q_loss:100, rewards:-193.41412, queue:41.8825, delay:1.253608, throughput:1800
REAL_TEST step:34, travel time:796.8347301374455, q_loss:100, rewards:-95.47836, queue:38.12039, delay:1.2941774, throughput:1911
REAL_TEST step:36, travel time:966.854152128402, q_loss:100, rewards:-370.32968, queue:47.957027, delay:1.2943028, throughput:1667
REAL_TEST step:38, travel time:792.6010727455582, q_loss:100, rewards:-77.221405, queue:39.442036, delay:1.2842902, throughput:1984
REAL_TEST step:40, travel time:735.0368756285618, q_loss:100, rewards:-91.48055, queue:35.834984, delay:1.2968161, throughput:2092
REAL_TEST step:42, travel time:693.3003687562856, q_loss:100, rewards:-102.72635, queue:31.584343, delay:1.2244664, throughput:2157
REAL_TEST step:44, travel time:681.837076768354, q_loss:100, rewards:-91.90972, queue:32.58401, delay:1.2810981, throughput:2105
REAL_TEST step:46, travel time:689.6644317800872, q_loss:100, rewards:-93.96024, queue:33.206814, delay:1.2922342, throughput:2129
REAL_TEST step:48, travel time:747.1645993965806, q_loss:100, rewards:-136.85028, queue:33.51184, delay:1.215542, throughput:2069
REAL_TEST step:50, travel time:619.7673483070735, q_loss:100, rewards:-108.418915, queue:28.85727, delay:1.272252, throughput:2257
REAL_TEST step:52, travel time:729.6590680522963, q_loss:100, rewards:-141.36443, queue:35.40701, delay:1.2782656, throughput:2034
REAL_TEST step:54, travel time:662.8538384177003, q_loss:100, rewards:-105.96085, queue:31.56129, delay:1.2371364, throughput:2241
REAL_TEST step:56, travel time:740.7820985584982, q_loss:100, rewards:-106.073296, queue:35.646847, delay:1.27016, throughput:2067
REAL_TEST step:58, travel time:631.8323835065371, q_loss:100, rewards:-123.542786, queue:30.098831, delay:1.2723906, throughput:2226
REAL_TEST step:60, travel time:754.2078444518941, q_loss:100, rewards:-107.2286, queue:37.059975, delay:1.2924696, throughput:2036
REAL_TEST step:62, travel time:785.9399932953403, q_loss:100, rewards:-93.672485, queue:39.441216, delay:1.2896842, throughput:2070
REAL_TEST step:64, travel time:685.8162923231646, q_loss:100, rewards:-158.16502, queue:32.98319, delay:1.2978985, throughput:2204
REAL_TEST step:66, travel time:710.6419711699631, q_loss:100, rewards:-174.78221, queue:32.97639, delay:1.2552826, throughput:2107
REAL_TEST step:68, travel time:605.2765672142139, q_loss:100, rewards:-105.67283, queue:28.883501, delay:1.2876209, throughput:2301
REAL_TEST step:70, travel time:693.8571907475696, q_loss:100, rewards:-199.14249, queue:32.668453, delay:1.2866318, throughput:2150
REAL_TEST step:72, travel time:720.2199128394234, q_loss:100, rewards:-167.35695, queue:32.739925, delay:1.2409605, throughput:2048
REAL_TEST step:74, travel time:657.8055648675829, q_loss:100, rewards:-146.83385, queue:30.283176, delay:1.2139841, throughput:2198
REAL_TEST step:76, travel time:760.0305062018102, q_loss:100, rewards:-223.60089, queue:32.999268, delay:1.2766788, throughput:2051
REAL_TEST step:78, travel time:724.3060677170633, q_loss:100, rewards:-98.11301, queue:30.979305, delay:1.2467955, throughput:2127
REAL_TEST step:80, travel time:671.1917532685217, q_loss:100, rewards:-120.94169, queue:31.865942, delay:1.2426078, throughput:2205
REAL_TEST step:82, travel time:823.4415121255349, q_loss:100, rewards:-313.50424, queue:30.005447, delay:1.2533908, throughput:1838
REAL_TEST step:84, travel time:728.4056319141804, q_loss:100, rewards:-115.00584, queue:36.060806, delay:1.2952286, throughput:2078
REAL_TEST step:86, travel time:750.2794612794613, q_loss:100, rewards:-222.15724, queue:36.60241, delay:1.2674683, throughput:2050
REAL_TEST step:88, travel time:679.5370432450553, q_loss:100, rewards:-125.347755, queue:32.908432, delay:1.2422919, throughput:2156
REAL_TEST step:90, travel time:639.9654710023466, q_loss:100, rewards:-129.29196, queue:30.492128, delay:1.2685491, throughput:2282
REAL_TEST step:92, travel time:726.171974522293, q_loss:100, rewards:-179.73276, queue:35.83182, delay:1.2620469, throughput:2194
REAL_TEST step:94, travel time:560.1009051290647, q_loss:100, rewards:-102.22252, queue:25.18709, delay:1.2404693, throughput:2406
REAL_TEST step:96, travel time:639.407308079115, q_loss:100, rewards:-167.29666, queue:29.442556, delay:1.274154, throughput:2275
REAL_TEST step:98, travel time:621.1293999329534, q_loss:100, rewards:-90.47166, queue:28.960379, delay:1.2240993, throughput:2285
REAL_TEST step:100, travel time:645.5072075092189, q_loss:100, rewards:-95.77337, queue:29.627596, delay:1.2363924, throughput:2282
REAL_TEST step:102, travel time:558.1508548441167, q_loss:100, rewards:-98.02337, queue:26.29235, delay:1.2680436, throughput:2390
REAL_TEST step:104, travel time:568.2970164264163, q_loss:100, rewards:-91.52747, queue:26.098204, delay:1.2634212, throughput:2389
REAL_TEST step:106, travel time:675.1813610459269, q_loss:100, rewards:-158.91115, queue:29.443033, delay:1.2467257, throughput:2179
REAL_TEST step:108, travel time:647.5766007375125, q_loss:100, rewards:-124.54831, queue:30.920633, delay:1.237213, throughput:2255
REAL_TEST step:110, travel time:598.4924572577942, q_loss:100, rewards:-103.72002, queue:26.634811, delay:1.2062057, throughput:2315
REAL_TEST step:112, travel time:710.9557492457258, q_loss:100, rewards:-138.18832, queue:32.57572, delay:1.2469422, throughput:2139
REAL_TEST step:114, travel time:676.7522628226618, q_loss:100, rewards:-101.85586, queue:29.22577, delay:1.2187442, throughput:2178
REAL_TEST step:116, travel time:592.6912504190412, q_loss:100, rewards:-130.19165, queue:28.139065, delay:1.2908922, throughput:2317
REAL_TEST step:118, travel time:579.6362722091853, q_loss:100, rewards:-97.80472, queue:27.16292, delay:1.2781351, throughput:2348
REAL_TEST step:120, travel time:598.719074756956, q_loss:100, rewards:-151.51831, queue:25.6329, delay:1.3045417, throughput:2315
REAL_TEST step:122, travel time:670.248742876299, q_loss:100, rewards:-193.75084, queue:31.227154, delay:1.2780502, throughput:2103
REAL_TEST step:124, travel time:621.3426081126382, q_loss:100, rewards:-124.22749, queue:29.664257, delay:1.2503227, throughput:2316
