Loading cached latent encoders from pretrained/darla/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_darla_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:1824.8393881453155, q_loss:100, rewards:-821.2545, queue:72.05922, delay:1.2701321, throughput:402
REAL_TEST step:4, travel time:1349.754143646409, q_loss:100, rewards:-332.29068, queue:64.30523, delay:1.3034568, throughput:954
REAL_TEST step:6, travel time:1314.7620882971269, q_loss:100, rewards:-486.65582, queue:66.22001, delay:1.2903196, throughput:1016
REAL_TEST step:8, travel time:1240.5883590462834, q_loss:100, rewards:-365.5033, queue:58.80367, delay:1.2824804, throughput:1147
REAL_TEST step:10, travel time:1151.0153846153846, q_loss:100, rewards:-324.94302, queue:55.893467, delay:1.291206, throughput:1307
REAL_TEST step:12, travel time:1072.723768018773, q_loss:100, rewards:-161.15744, queue:50.48494, delay:1.2630988, throughput:1420
REAL_TEST step:14, travel time:1016.3985920214549, q_loss:100, rewards:-183.37671, queue:48.93064, delay:1.2858416, throughput:1507
REAL_TEST step:16, travel time:1174.1959818043972, q_loss:100, rewards:-336.85052, queue:53.86186, delay:1.2759842, throughput:1242
REAL_TEST step:18, travel time:940.583640630238, q_loss:100, rewards:-183.19063, queue:46.330196, delay:1.287946, throughput:1653
REAL_TEST step:20, travel time:879.5507877975193, q_loss:100, rewards:-158.31778, queue:43.49101, delay:1.2594671, throughput:1755
REAL_TEST step:22, travel time:838.2792490781093, q_loss:100, rewards:-128.23386, queue:38.172535, delay:1.2622387, throughput:1893
REAL_TEST step:24, travel time:879.5588333892055, q_loss:100, rewards:-195.03506, queue:43.63136, delay:1.2739118, throughput:1803
REAL_TEST step:26, travel time:861.104257458934, q_loss:100, rewards:-184.40721, queue:42.78688, delay:1.3113788, throughput:1858
REAL_TEST step:28, travel time:950.7207509218907, q_loss:100, rewards:-187.96118, queue:46.090862, delay:1.277799, throughput:1724
REAL_TEST step:30, travel time:848.642641635937, q_loss:100, rewards:-230.95164, queue:40.19355, delay:1.2698544, throughput:1833
REAL_TEST step:32, travel time:775.5873281930942, q_loss:100, rewards:-121.07252, queue:37.73333, delay:1.2488844, throughput:1973
REAL_TEST step:34, travel time:732.4170298357359, q_loss:100, rewards:-163.12971, queue:34.816128, delay:1.289305, throughput:2049
REAL_TEST step:36, travel time:826.1374455246396, q_loss:100, rewards:-109.4423, queue:40.705772, delay:1.2950788, throughput:1911
REAL_TEST step:38, travel time:705.3724438484747, q_loss:100, rewards:-94.59309, queue:33.690056, delay:1.2833842, throughput:2098
REAL_TEST step:40, travel time:695.809922896413, q_loss:100, rewards:-122.69778, queue:32.479244, delay:1.2971965, throughput:2112
REAL_TEST step:42, travel time:821.0660408984244, q_loss:100, rewards:-84.11945, queue:39.755104, delay:1.2403636, throughput:1928
REAL_TEST step:44, travel time:688.8776399597721, q_loss:100, rewards:-100.86727, queue:33.150433, delay:1.2784741, throughput:2128
REAL_TEST step:46, travel time:883.6194628531566, q_loss:100, rewards:-307.1969, queue:43.380398, delay:1.3047614, throughput:1798
REAL_TEST step:48, travel time:792.3808246731478, q_loss:100, rewards:-110.90139, queue:34.936996, delay:1.2288438, throughput:1993
REAL_TEST step:50, travel time:913.0351671309193, q_loss:100, rewards:-262.46225, queue:38.849957, delay:1.2754607, throughput:1788
REAL_TEST step:52, travel time:714.5303385853168, q_loss:100, rewards:-115.4478, queue:33.933064, delay:1.2844329, throughput:2094
REAL_TEST step:54, travel time:710.0958766342608, q_loss:100, rewards:-118.63945, queue:31.618383, delay:1.2374849, throughput:2120
REAL_TEST step:56, travel time:806.6071069393229, q_loss:100, rewards:-162.99113, queue:39.487713, delay:1.2848624, throughput:1928
REAL_TEST step:58, travel time:772.9668119342944, q_loss:100, rewards:-142.39026, queue:35.82676, delay:1.2811235, throughput:2013
REAL_TEST step:60, travel time:655.0160911833724, q_loss:100, rewards:-103.65777, queue:31.62289, delay:1.2971933, throughput:2211
REAL_TEST step:62, travel time:843.1290646999664, q_loss:100, rewards:-237.87968, queue:42.26638, delay:1.2932574, throughput:1889
REAL_TEST step:64, travel time:684.3556821991284, q_loss:100, rewards:-137.78694, queue:33.55284, delay:1.2933605, throughput:2118
REAL_TEST step:66, travel time:633.7586322494134, q_loss:100, rewards:-120.80441, queue:28.122147, delay:1.2576945, throughput:2233
REAL_TEST step:68, travel time:667.9215554810594, q_loss:100, rewards:-143.24641, queue:31.761814, delay:1.2852061, throughput:2190
REAL_TEST step:70, travel time:663.1535367080121, q_loss:100, rewards:-114.51138, queue:30.795267, delay:1.2927512, throughput:2194
REAL_TEST step:72, travel time:739.7606436473349, q_loss:100, rewards:-196.87001, queue:35.3392, delay:1.2542535, throughput:2117
REAL_TEST step:74, travel time:655.0955414012739, q_loss:100, rewards:-133.57025, queue:28.790245, delay:1.2155766, throughput:2186
REAL_TEST step:76, travel time:772.4016091183372, q_loss:100, rewards:-150.44139, queue:36.49923, delay:1.2852758, throughput:2037
REAL_TEST step:78, travel time:769.3684210526316, q_loss:100, rewards:-190.64001, queue:32.66772, delay:1.2580993, throughput:2008
