replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_domain_randomization_s0/model/hz4x4_noise5_presslight_domain_randomization -> eval real_setting=sensor5
REAL_TEST step:3, travel time:1254.2580398162327, q_loss:100, rewards:-352.83252, queue:44.114063, delay:0.2448507, throughput:1091
REAL_TEST step:6, travel time:994.2118672477371, q_loss:100, rewards:-153.89027, queue:40.113716, delay:0.26588157, throughput:1504
REAL_TEST step:9, travel time:1107.3868588669125, q_loss:100, rewards:-188.26752, queue:43.16823, delay:0.2933399, throughput:1238
REAL_TEST step:12, travel time:899.4099899430104, q_loss:100, rewards:-202.77777, queue:28.957466, delay:0.28212425, throughput:1723
REAL_TEST step:15, travel time:1222.826857532379, q_loss:100, rewards:-243.34114, queue:53.14618, delay:0.3058371, throughput:1074
REAL_TEST step:18, travel time:916.534026148173, q_loss:100, rewards:-193.71721, queue:31.513542, delay:0.2796498, throughput:1663
REAL_TEST step:21, travel time:997.7640868974881, q_loss:100, rewards:-284.7311, queue:39.342014, delay:0.27454108, throughput:1461
REAL_TEST step:24, travel time:844.1592356687898, q_loss:100, rewards:-223.58888, queue:32.258854, delay:0.28189877, throughput:1769
REAL_TEST step:27, travel time:1107.7663426081126, q_loss:100, rewards:-195.97888, queue:44.264755, delay:0.2927369, throughput:1245
REAL_TEST step:30, travel time:975.289976533691, q_loss:100, rewards:-145.79974, queue:38.328125, delay:0.26908034, throughput:1507
REAL_TEST step:33, travel time:1012.6027489104928, q_loss:100, rewards:-191.08865, queue:37.374306, delay:0.28056657, throughput:1430
REAL_TEST step:36, travel time:1035.511565538049, q_loss:100, rewards:-226.58415, queue:42.99045, delay:0.30955634, throughput:1424
REAL_TEST step:39, travel time:1202.0017082336863, q_loss:100, rewards:-308.40326, queue:45.51962, delay:0.29405275, throughput:1112
REAL_TEST step:42, travel time:1136.1749400890105, q_loss:100, rewards:-251.79445, queue:45.85278, delay:0.2904761, throughput:1187
REAL_TEST step:45, travel time:1082.5041904123366, q_loss:100, rewards:-223.06444, queue:43.280727, delay:0.30545008, throughput:1280
REAL_TEST step:48, travel time:1281.7491444216291, q_loss:100, rewards:-350.4698, queue:56.665104, delay:0.2844264, throughput:951
REAL_TEST step:51, travel time:1190.4693251533743, q_loss:100, rewards:-324.64606, queue:51.1309, delay:0.28439537, throughput:1082
REAL_TEST step:54, travel time:1240.3433755563162, q_loss:100, rewards:-300.51303, queue:53.96649, delay:0.28823212, throughput:1070
REAL_TEST step:57, travel time:1222.0920602327174, q_loss:100, rewards:-275.6956, queue:51.791492, delay:0.2925176, throughput:1051
REAL_TEST step:60, travel time:1137.9192229038854, q_loss:100, rewards:-296.82556, queue:48.097744, delay:0.28324878, throughput:1220
REAL_TEST step:63, travel time:1273.7219178082191, q_loss:100, rewards:-306.89777, queue:53.267014, delay:0.28702444, throughput:964
REAL_TEST step:66, travel time:1290.4878715408267, q_loss:100, rewards:-348.15427, queue:54.86823, delay:0.3068612, throughput:913
REAL_TEST step:69, travel time:1203.6134763660743, q_loss:100, rewards:-329.0122, queue:52.007465, delay:0.28071803, throughput:1037
REAL_TEST step:72, travel time:1066.8662420382166, q_loss:100, rewards:-267.71893, queue:39.41927, delay:0.27718756, throughput:1375
REAL_TEST step:75, travel time:975.2266174991619, q_loss:100, rewards:-184.80832, queue:34.837326, delay:0.285011, throughput:1586
REAL_TEST step:78, travel time:1188.1639784946237, q_loss:100, rewards:-336.8356, queue:34.66302, delay:0.27950856, throughput:1138
REAL_TEST step:81, travel time:867.6610794502179, q_loss:100, rewards:-154.96223, queue:31.719097, delay:0.2810524, throughput:1697
REAL_TEST step:84, travel time:1018.8209855849816, q_loss:100, rewards:-235.94615, queue:38.0408, delay:0.2716477, throughput:1532
REAL_TEST step:87, travel time:1081.5179349648006, q_loss:100, rewards:-264.52835, queue:45.548958, delay:0.29927793, throughput:1269
REAL_TEST step:90, travel time:1085.8397586322494, q_loss:100, rewards:-294.04504, queue:45.327778, delay:0.2819212, throughput:1300
REAL_TEST step:93, travel time:1126.0194435132416, q_loss:100, rewards:-395.86975, queue:45.44896, delay:0.28201246, throughput:1353
REAL_TEST step:96, travel time:954.6178343949044, q_loss:100, rewards:-202.56749, queue:36.859898, delay:0.2862159, throughput:1527
REAL_TEST step:99, travel time:1041.9399932953402, q_loss:100, rewards:-379.22058, queue:37.016666, delay:0.27919015, throughput:1502
REAL_TEST step:102, travel time:1194.221253771371, q_loss:100, rewards:-335.23868, queue:50.248783, delay:0.28834313, throughput:1139
REAL_TEST step:105, travel time:1174.5385196374623, q_loss:100, rewards:-519.78357, queue:42.646008, delay:0.24803217, throughput:1151
REAL_TEST step:108, travel time:1158.0519611129735, q_loss:100, rewards:-334.46497, queue:48.645832, delay:0.27781504, throughput:1102
REAL_TEST step:111, travel time:1117.0489440160911, q_loss:100, rewards:-312.42972, queue:42.492363, delay:0.27269286, throughput:1132
REAL_TEST step:114, travel time:1110.9450309428466, q_loss:100, rewards:-435.22223, queue:43.144444, delay:0.26244834, throughput:1214
REAL_TEST step:117, travel time:1203.425410660409, q_loss:100, rewards:-354.21277, queue:48.572918, delay:0.29286253, throughput:1118
REAL_TEST step:120, travel time:1156.204156889038, q_loss:100, rewards:-322.76862, queue:50.4967, delay:0.28958803, throughput:1123
REAL_TEST step:123, travel time:1418.2726907630522, q_loss:100, rewards:-626.2109, queue:51.72014, delay:0.26738316, throughput:754
