replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_domain_randomization_s0/model/hz4x4_noise5_presslight_domain_randomization -> eval real_setting=combine4
REAL_TEST step:3, travel time:802.8954073080791, q_loss:100, rewards:-192.43863, queue:40.587925, delay:1.6473056, throughput:1980
REAL_TEST step:6, travel time:841.5980556486759, q_loss:100, rewards:-159.3347, queue:39.64663, delay:1.6177901, throughput:1862
REAL_TEST step:9, travel time:724.8276902447201, q_loss:100, rewards:-94.92115, queue:33.46118, delay:1.5846342, throughput:2070
REAL_TEST step:12, travel time:602.8467985249748, q_loss:100, rewards:-107.18974, queue:26.643446, delay:1.6493971, throughput:2319
REAL_TEST step:15, travel time:699.9198793161247, q_loss:100, rewards:-114.25971, queue:34.145073, delay:1.5776455, throughput:2179
REAL_TEST step:18, travel time:543.2014750251425, q_loss:100, rewards:-85.97721, queue:26.738264, delay:1.6165916, throughput:2446
REAL_TEST step:21, travel time:637.0502849480389, q_loss:100, rewards:-90.99862, queue:25.106499, delay:1.558352, throughput:2262
REAL_TEST step:24, travel time:517.1666107945022, q_loss:100, rewards:-94.16777, queue:25.869415, delay:1.5401064, throughput:2472
REAL_TEST step:27, travel time:618.2943345625209, q_loss:100, rewards:-90.20475, queue:29.29011, delay:1.5060191, throughput:2300
REAL_TEST step:30, travel time:608.4884344619511, q_loss:100, rewards:-121.49199, queue:25.982937, delay:1.5801829, throughput:2314
REAL_TEST step:33, travel time:576.0891719745223, q_loss:100, rewards:-75.0633, queue:26.698643, delay:1.5548601, throughput:2370
REAL_TEST step:36, travel time:551.6047603084144, q_loss:100, rewards:-94.88917, queue:26.9718, delay:1.6721727, throughput:2488
REAL_TEST step:39, travel time:612.927589674824, q_loss:100, rewards:-106.84252, queue:25.120546, delay:1.533099, throughput:2305
REAL_TEST step:42, travel time:514.9326181696279, q_loss:100, rewards:-120.85804, queue:24.324917, delay:1.6123874, throughput:2489
REAL_TEST step:45, travel time:526.8032182366745, q_loss:100, rewards:-108.192795, queue:25.22274, delay:1.5844177, throughput:2485
REAL_TEST step:48, travel time:646.8203151190077, q_loss:100, rewards:-129.15025, queue:25.627024, delay:1.4888186, throughput:2292
REAL_TEST step:51, travel time:575.8578612135434, q_loss:100, rewards:-160.69638, queue:24.256817, delay:1.5421857, throughput:2375
REAL_TEST step:54, travel time:526.0305062018102, q_loss:100, rewards:-83.54198, queue:22.270308, delay:1.5530268, throughput:2449
