Loading cached latent encoders from pretrained/lusr/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_lusr_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1708.9482837528603, q_loss:100, rewards:-741.705, queue:55.667843, delay:1.0667858, throughput:503
REAL_TEST step:4, travel time:1563.9817905918057, q_loss:100, rewards:-571.53754, queue:62.203682, delay:1.0962833, throughput:622
REAL_TEST step:6, travel time:1192.873952396916, q_loss:100, rewards:-364.92188, queue:53.082302, delay:1.1144063, throughput:1184
REAL_TEST step:8, travel time:1204.0311766677842, q_loss:100, rewards:-307.77307, queue:48.481403, delay:1.127953, throughput:1153
REAL_TEST step:10, travel time:1101.782098558498, q_loss:100, rewards:-322.44498, queue:50.321896, delay:1.0736883, throughput:1338
REAL_TEST step:12, travel time:1021.280925243044, q_loss:100, rewards:-166.16086, queue:44.441505, delay:1.1132716, throughput:1486
REAL_TEST step:14, travel time:1125.2641635936977, q_loss:100, rewards:-227.0775, queue:45.1223, delay:1.076365, throughput:1325
REAL_TEST step:16, travel time:1279.0426126440796, q_loss:100, rewards:-339.63083, queue:54.520237, delay:1.0523331, throughput:1078
REAL_TEST step:18, travel time:1232.1870701513067, q_loss:100, rewards:-385.13434, queue:46.82999, delay:1.0246682, throughput:1128
REAL_TEST step:20, travel time:1155.8953093133923, q_loss:100, rewards:-295.01392, queue:49.01096, delay:1.0734389, throughput:1289
REAL_TEST step:22, travel time:1062.6828695943682, q_loss:100, rewards:-203.51918, queue:48.47593, delay:1.0761245, throughput:1442
REAL_TEST step:24, travel time:1165.606479919001, q_loss:100, rewards:-420.38864, queue:42.6376, delay:1.0914395, throughput:1263
REAL_TEST step:26, travel time:1169.519946362722, q_loss:100, rewards:-315.79803, queue:48.71671, delay:1.0834299, throughput:1232
REAL_TEST step:28, travel time:1239.1869918699188, q_loss:100, rewards:-365.15607, queue:54.800087, delay:1.1204488, throughput:1138
REAL_TEST step:30, travel time:1177.6550452564531, q_loss:100, rewards:-414.725, queue:51.82168, delay:1.075354, throughput:1232
REAL_TEST step:32, travel time:1159.3412671806907, q_loss:100, rewards:-221.79362, queue:48.145195, delay:1.0494047, throughput:1264
REAL_TEST step:34, travel time:1031.8987596379484, q_loss:100, rewards:-236.26027, queue:41.09756, delay:1.081241, throughput:1503
REAL_TEST step:36, travel time:978.7877975192758, q_loss:100, rewards:-156.97557, queue:35.914566, delay:1.0575038, throughput:1605
REAL_TEST step:38, travel time:982.823667448877, q_loss:100, rewards:-261.14313, queue:36.26933, delay:1.0995114, throughput:1599
