Loading cached latent encoders from pretrained/recon_baseline/presslight/hz4x4
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_recon_baseline_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:1, travel time:1824.229420360448, q_loss:100, rewards:-908.8431, queue:148.63893, delay:8.004507, throughput:390
REAL_TEST step:2, travel time:1795.9426627793976, q_loss:100, rewards:-809.6161, queue:146.78943, delay:8.057642, throughput:473
REAL_TEST step:3, travel time:1464.6252579446966, q_loss:100, rewards:-615.6244, queue:139.881, delay:8.081338, throughput:807
REAL_TEST step:4, travel time:1091.760643647335, q_loss:100, rewards:-341.69693, queue:130.74933, delay:8.081457, throughput:1366
REAL_TEST step:5, travel time:922.4575930271538, q_loss:100, rewards:-148.70084, queue:121.40076, delay:8.12407, throughput:1669
REAL_TEST step:6, travel time:966.8032901645082, q_loss:100, rewards:-284.7219, queue:123.22109, delay:8.149625, throughput:1627
REAL_TEST step:7, travel time:912.2980221253771, q_loss:100, rewards:-164.25133, queue:121.01406, delay:8.181389, throughput:1717
REAL_TEST step:8, travel time:1106.9235645041015, q_loss:100, rewards:-396.0839, queue:129.17317, delay:8.15543, throughput:1368
REAL_TEST step:9, travel time:746.2993630573249, q_loss:100, rewards:-108.28693, queue:112.29921, delay:8.203434, throughput:1994
REAL_TEST step:10, travel time:746.3007039892725, q_loss:100, rewards:-109.410286, queue:113.48841, delay:8.075728, throughput:2010
REAL_TEST step:11, travel time:712.118002011398, q_loss:100, rewards:-117.399445, queue:111.66823, delay:8.017916, throughput:2086
REAL_TEST step:12, travel time:775.2269527321488, q_loss:100, rewards:-161.79556, queue:113.72928, delay:8.051585, throughput:1994
REAL_TEST step:13, travel time:657.5263157894736, q_loss:100, rewards:-114.480835, queue:109.40679, delay:8.130669, throughput:2163
REAL_TEST step:14, travel time:705.5551458263493, q_loss:100, rewards:-139.99387, queue:111.047806, delay:8.074591, throughput:2115
REAL_TEST step:15, travel time:661.1501843781429, q_loss:100, rewards:-159.06473, queue:110.12996, delay:8.1419735, throughput:2209
REAL_TEST step:16, travel time:689.7901441501843, q_loss:100, rewards:-164.13475, queue:111.25647, delay:8.047915, throughput:2146
REAL_TEST step:17, travel time:623.6014079785451, q_loss:100, rewards:-136.2386, queue:108.06428, delay:8.1458645, throughput:2299
REAL_TEST step:18, travel time:674.4170298357359, q_loss:100, rewards:-121.58887, queue:110.75475, delay:8.132116, throughput:2182
REAL_TEST step:19, travel time:654.923231645994, q_loss:100, rewards:-149.7172, queue:110.30286, delay:8.093342, throughput:2244
REAL_TEST step:20, travel time:532.9607777405297, q_loss:100, rewards:-111.513336, queue:105.07106, delay:8.147631, throughput:2427
REAL_TEST step:21, travel time:631.8592021454912, q_loss:100, rewards:-94.69474, queue:108.32587, delay:8.0499, throughput:2239
REAL_TEST step:22, travel time:645.977204156889, q_loss:100, rewards:-82.14444, queue:109.77454, delay:8.113865, throughput:2208
REAL_TEST step:23, travel time:576.0315119007711, q_loss:100, rewards:-91.15248, queue:105.41173, delay:8.151152, throughput:2366
REAL_TEST step:24, travel time:640.425075427422, q_loss:100, rewards:-116.56306, queue:110.34004, delay:8.077445, throughput:2199
REAL_TEST step:25, travel time:596.199128394234, q_loss:100, rewards:-98.20749, queue:107.1046, delay:8.152588, throughput:2327
REAL_TEST step:26, travel time:566.7636607442172, q_loss:100, rewards:-91.999176, queue:104.78713, delay:8.096719, throughput:2377
REAL_TEST step:27, travel time:656.7170633590346, q_loss:100, rewards:-117.7953, queue:110.05636, delay:8.116451, throughput:2233
REAL_TEST step:28, travel time:609.8266845457593, q_loss:100, rewards:-137.0236, queue:107.87073, delay:8.17182, throughput:2311
REAL_TEST step:29, travel time:627.1642641635937, q_loss:100, rewards:-147.81584, queue:109.207245, delay:8.036648, throughput:2279
REAL_TEST step:30, travel time:551.7291317465639, q_loss:100, rewards:-120.488045, queue:105.03565, delay:8.103838, throughput:2394
REAL_TEST step:31, travel time:556.3831713040563, q_loss:100, rewards:-130.51553, queue:104.97674, delay:8.1265135, throughput:2449
REAL_TEST step:32, travel time:563.0338585316795, q_loss:100, rewards:-105.346375, queue:105.518036, delay:8.137166, throughput:2362
REAL_TEST step:33, travel time:544.199128394234, q_loss:100, rewards:-101.80306, queue:104.927666, delay:8.035824, throughput:2430
REAL_TEST step:34, travel time:517.6131411330875, q_loss:100, rewards:-118.553604, queue:104.24156, delay:8.051351, throughput:2477
REAL_TEST step:35, travel time:602.6580623533356, q_loss:100, rewards:-122.681366, queue:107.02511, delay:8.119778, throughput:2302
REAL_TEST step:36, travel time:594.3965806235334, q_loss:100, rewards:-132.20197, queue:106.8896, delay:8.080302, throughput:2308
REAL_TEST step:37, travel time:540.0613476366075, q_loss:100, rewards:-116.29249, queue:104.93815, delay:8.052558, throughput:2451
REAL_TEST step:38, travel time:612.5826349312772, q_loss:100, rewards:-172.98311, queue:108.73813, delay:8.091154, throughput:2272
REAL_TEST step:39, travel time:551.2618169627891, q_loss:100, rewards:-143.74088, queue:105.03006, delay:8.072888, throughput:2429
REAL_TEST step:40, travel time:521.0603419376466, q_loss:100, rewards:-115.13644, queue:102.70905, delay:8.100284, throughput:2467
REAL_TEST step:41, travel time:521.5357023131077, q_loss:100, rewards:-127.99781, queue:104.51812, delay:8.085199, throughput:2463
REAL_TEST step:42, travel time:564.1796848809923, q_loss:100, rewards:-112.19251, queue:106.75769, delay:8.104836, throughput:2382
REAL_TEST step:43, travel time:517.234998323835, q_loss:100, rewards:-121.23083, queue:102.920105, delay:8.159789, throughput:2480
REAL_TEST step:44, travel time:519.4009386523634, q_loss:100, rewards:-122.68472, queue:103.38825, delay:8.098253, throughput:2488
REAL_TEST step:45, travel time:518.3828360710694, q_loss:100, rewards:-121.823326, queue:103.06847, delay:8.095736, throughput:2457
REAL_TEST step:46, travel time:502.20784445189406, q_loss:100, rewards:-128.95697, queue:102.91339, delay:8.1505375, throughput:2530
REAL_TEST step:47, travel time:503.99530673818305, q_loss:100, rewards:-133.74113, queue:102.758965, delay:8.129896, throughput:2493
REAL_TEST step:48, travel time:520.0077103586993, q_loss:100, rewards:-116.07917, queue:103.367935, delay:8.177933, throughput:2452
REAL_TEST step:49, travel time:494.22795843110964, q_loss:100, rewards:-118.18362, queue:102.15039, delay:8.151607, throughput:2517
REAL_TEST step:50, travel time:521.90077103587, q_loss:100, rewards:-96.53447, queue:102.84885, delay:8.068199, throughput:2446
REAL_TEST step:51, travel time:503.4968152866242, q_loss:100, rewards:-110.52608, queue:102.357864, delay:8.099888, throughput:2499
REAL_TEST step:52, travel time:514.4968152866242, q_loss:100, rewards:-116.86027, queue:102.14017, delay:8.162998, throughput:2513
REAL_TEST step:53, travel time:483.68186389540733, q_loss:100, rewards:-115.938896, queue:102.873024, delay:8.066187, throughput:2543
REAL_TEST step:54, travel time:486.4669795507878, q_loss:100, rewards:-107.8678, queue:102.347244, delay:8.12771, throughput:2511
REAL_TEST step:55, travel time:518.3540060341937, q_loss:100, rewards:-133.60281, queue:103.05551, delay:8.056949, throughput:2489
REAL_TEST step:56, travel time:501.0392222594703, q_loss:100, rewards:-111.80777, queue:103.383965, delay:8.083139, throughput:2497
REAL_TEST step:57, travel time:535.3509889373114, q_loss:100, rewards:-119.56695, queue:103.83411, delay:8.119954, throughput:2461
REAL_TEST step:58, travel time:511.6761649346296, q_loss:100, rewards:-153.5444, queue:103.87354, delay:8.057966, throughput:2506
REAL_TEST step:59, travel time:544.0097217566208, q_loss:100, rewards:-159.27083, queue:105.37601, delay:8.100864, throughput:2444
REAL_TEST step:60, travel time:502.11464968152865, q_loss:100, rewards:-142.41393, queue:102.90357, delay:8.137675, throughput:2545
REAL_TEST step:61, travel time:534.9031176667784, q_loss:100, rewards:-147.65721, queue:104.28372, delay:8.0767355, throughput:2475
REAL_TEST step:62, travel time:560.9651357693597, q_loss:100, rewards:-164.50778, queue:106.63282, delay:8.149301, throughput:2435
REAL_TEST step:63, travel time:558.9919544083137, q_loss:100, rewards:-181.7666, queue:106.66092, delay:8.083277, throughput:2441
REAL_TEST step:64, travel time:548.0734160241368, q_loss:100, rewards:-173.29225, queue:106.97602, delay:8.073806, throughput:2462
REAL_TEST step:65, travel time:507.49614482065033, q_loss:100, rewards:-142.90807, queue:103.13194, delay:8.093392, throughput:2542
REAL_TEST step:66, travel time:475.4384847468991, q_loss:100, rewards:-103.582756, queue:101.30616, delay:8.068415, throughput:2563
REAL_TEST step:67, travel time:466.52095206168286, q_loss:100, rewards:-108.70165, queue:101.2611, delay:8.095065, throughput:2594
REAL_TEST step:68, travel time:479.7763995977204, q_loss:100, rewards:-106.69138, queue:102.762215, delay:8.041818, throughput:2554
REAL_TEST step:69, travel time:534.7093530003352, q_loss:100, rewards:-155.13249, queue:104.721085, delay:8.157503, throughput:2492
REAL_TEST step:70, travel time:487.3550117331545, q_loss:100, rewards:-106.03611, queue:102.59008, delay:8.121626, throughput:2557
REAL_TEST step:71, travel time:498.75092189071404, q_loss:100, rewards:-125.11832, queue:103.5268, delay:8.078922, throughput:2526
REAL_TEST step:72, travel time:447.6962789138451, q_loss:100, rewards:-96.98972, queue:99.83026, delay:8.125693, throughput:2598
REAL_TEST step:73, travel time:470.5041904123366, q_loss:100, rewards:-119.09139, queue:102.43255, delay:8.120853, throughput:2562
REAL_TEST step:74, travel time:494.7596379483741, q_loss:100, rewards:-106.44974, queue:102.44245, delay:8.094476, throughput:2538
REAL_TEST step:75, travel time:442.92591350988937, q_loss:100, rewards:-83.0586, queue:99.90534, delay:8.021795, throughput:2613
REAL_TEST step:76, travel time:459.8421052631579, q_loss:100, rewards:-92.72942, queue:99.71585, delay:8.08733, throughput:2561
REAL_TEST step:77, travel time:472.27824337914853, q_loss:100, rewards:-98.57085, queue:100.50087, delay:8.114928, throughput:2582
REAL_TEST step:78, travel time:473.92524304391554, q_loss:100, rewards:-91.56084, queue:100.88273, delay:8.135741, throughput:2553
REAL_TEST step:79, travel time:440.69024472008044, q_loss:100, rewards:-80.82, queue:100.05603, delay:8.129313, throughput:2617
REAL_TEST step:80, travel time:486.03788132752265, q_loss:100, rewards:-95.926674, queue:103.094864, delay:8.048771, throughput:2535
REAL_TEST step:81, travel time:456.5796178343949, q_loss:100, rewards:-86.80084, queue:100.70362, delay:8.02966, throughput:2596
REAL_TEST step:82, travel time:476.46899094870935, q_loss:100, rewards:-90.20445, queue:101.273224, delay:8.051396, throughput:2543
REAL_TEST step:83, travel time:457.0, q_loss:100, rewards:-92.045, queue:102.05434, delay:7.9855447, throughput:2567
REAL_TEST step:84, travel time:439.53369091518607, q_loss:100, rewards:-88.88972, queue:100.83704, delay:8.053961, throughput:2606
REAL_TEST step:85, travel time:472.0194435132417, q_loss:100, rewards:-84.7911, queue:102.162155, delay:8.09865, throughput:2570
REAL_TEST step:86, travel time:428.17733825008384, q_loss:100, rewards:-92.05139, queue:100.02038, delay:8.085193, throughput:2589
REAL_TEST step:87, travel time:462.33992624874287, q_loss:100, rewards:-90.80333, queue:100.14201, delay:8.065002, throughput:2574
REAL_TEST step:88, travel time:457.2923231645994, q_loss:100, rewards:-91.809746, queue:99.667534, delay:8.170676, throughput:2571
REAL_TEST step:89, travel time:433.9383171304056, q_loss:100, rewards:-87.56334, queue:100.55065, delay:8.114015, throughput:2626
REAL_TEST step:90, travel time:454.2202480724103, q_loss:100, rewards:-91.09222, queue:100.858604, delay:8.096904, throughput:2609
REAL_TEST step:91, travel time:440.0217901441502, q_loss:100, rewards:-82.87666, queue:100.565216, delay:8.131702, throughput:2624
REAL_TEST step:92, travel time:459.619845792826, q_loss:100, rewards:-90.21335, queue:101.86096, delay:8.040397, throughput:2591
REAL_TEST step:93, travel time:453.9718404290982, q_loss:100, rewards:-83.952774, queue:99.410416, delay:8.046274, throughput:2626
REAL_TEST step:94, travel time:449.135769359705, q_loss:100, rewards:-83.74639, queue:101.506996, delay:8.120547, throughput:2595
REAL_TEST step:95, travel time:434.26583975863224, q_loss:100, rewards:-80.38611, queue:99.5164, delay:8.166163, throughput:2640
REAL_TEST step:96, travel time:424.89708347301377, q_loss:100, rewards:-84.312225, queue:99.753555, delay:8.084843, throughput:2618
REAL_TEST step:97, travel time:441.0687227623198, q_loss:100, rewards:-79.923615, queue:101.001205, delay:8.112402, throughput:2616
REAL_TEST step:98, travel time:443.081461615823, q_loss:100, rewards:-85.45445, queue:100.93513, delay:8.075164, throughput:2617
REAL_TEST step:99, travel time:420.5732484076433, q_loss:100, rewards:-87.398346, queue:99.8337, delay:8.034522, throughput:2642
REAL_TEST step:100, travel time:457.23365739188733, q_loss:100, rewards:-89.1975, queue:101.18891, delay:8.078203, throughput:2590
REAL_TEST step:101, travel time:441.4777070063694, q_loss:100, rewards:-90.25306, queue:100.71638, delay:8.040322, throughput:2619
REAL_TEST step:102, travel time:413.78176332551124, q_loss:100, rewards:-87.07806, queue:99.18139, delay:8.02957, throughput:2644
REAL_TEST step:103, travel time:440.53234998323836, q_loss:100, rewards:-86.526955, queue:100.942024, delay:8.035857, throughput:2629
REAL_TEST step:104, travel time:470.8977539389876, q_loss:100, rewards:-88.091385, queue:102.18539, delay:8.129003, throughput:2552
REAL_TEST step:105, travel time:460.50016761649346, q_loss:100, rewards:-85.7872, queue:101.54485, delay:8.1053915, throughput:2612
REAL_TEST step:106, travel time:482.9604425075427, q_loss:100, rewards:-109.59387, queue:102.056, delay:8.134267, throughput:2613
REAL_TEST step:107, travel time:448.38115990613477, q_loss:100, rewards:-97.74195, queue:100.66281, delay:8.087586, throughput:2627
REAL_TEST step:108, travel time:490.7991954408314, q_loss:100, rewards:-92.38445, queue:102.98363, delay:8.124008, throughput:2581
REAL_TEST step:109, travel time:482.7606436473349, q_loss:100, rewards:-90.0414, queue:101.36126, delay:8.037195, throughput:2591
REAL_TEST step:110, travel time:464.2111967817633, q_loss:100, rewards:-98.6214, queue:101.57031, delay:8.098064, throughput:2618
REAL_TEST step:111, travel time:464.8980891719745, q_loss:100, rewards:-83.119446, queue:100.699936, delay:8.111627, throughput:2606
REAL_TEST step:112, travel time:517.330204492122, q_loss:100, rewards:-93.71972, queue:104.74874, delay:8.098902, throughput:2479
REAL_TEST step:113, travel time:484.6061012403621, q_loss:100, rewards:-115.58781, queue:103.07643, delay:8.053426, throughput:2587
REAL_TEST step:114, travel time:558.2467314783775, q_loss:100, rewards:-110.58557, queue:106.49798, delay:8.074917, throughput:2421
REAL_TEST step:115, travel time:466.4964800536373, q_loss:100, rewards:-91.37805, queue:101.81116, delay:8.05572, throughput:2581
REAL_TEST step:116, travel time:493.55916862219243, q_loss:100, rewards:-99.28641, queue:102.23252, delay:8.112922, throughput:2560
REAL_TEST step:117, travel time:440.71974522292993, q_loss:100, rewards:-100.63027, queue:101.06324, delay:8.062924, throughput:2632
REAL_TEST step:118, travel time:512.9128394233993, q_loss:100, rewards:-89.92137, queue:104.446495, delay:8.092753, throughput:2473
REAL_TEST step:119, travel time:508.208179684881, q_loss:100, rewards:-103.00889, queue:103.58226, delay:8.080647, throughput:2515
REAL_TEST step:120, travel time:484.3818303721086, q_loss:100, rewards:-103.57666, queue:102.15535, delay:8.098535, throughput:2560
REAL_TEST step:121, travel time:486.37847804223935, q_loss:100, rewards:-111.663925, queue:103.45862, delay:7.982271, throughput:2578
REAL_TEST step:122, travel time:458.9604425075427, q_loss:100, rewards:-95.64695, queue:101.219246, delay:8.105218, throughput:2611
REAL_TEST step:123, travel time:504.11833724438486, q_loss:100, rewards:-103.25192, queue:102.74006, delay:8.124257, throughput:2545
REAL_TEST step:124, travel time:488.7757291317466, q_loss:100, rewards:-90.44112, queue:102.9503, delay:8.064579, throughput:2571
REAL_TEST step:125, travel time:486.6751592356688, q_loss:100, rewards:-99.069725, queue:102.2169, delay:8.042815, throughput:2574
REAL_TEST step:126, travel time:490.59068052296345, q_loss:100, rewards:-98.40275, queue:102.28731, delay:8.138223, throughput:2552
REAL_TEST step:127, travel time:488.06537043245055, q_loss:100, rewards:-105.13331, queue:102.314705, delay:8.022529, throughput:2590
REAL_TEST step:128, travel time:461.5407308079115, q_loss:100, rewards:-90.40335, queue:101.2828, delay:8.064603, throughput:2588
REAL_TEST step:129, travel time:462.8571907475696, q_loss:100, rewards:-95.705, queue:101.49812, delay:8.150859, throughput:2599
REAL_TEST step:130, travel time:478.29165269862557, q_loss:100, rewards:-96.12529, queue:102.5928, delay:8.095493, throughput:2605
REAL_TEST step:131, travel time:491.8407643312102, q_loss:100, rewards:-107.1578, queue:102.99539, delay:8.129743, throughput:2561
REAL_TEST step:132, travel time:461.45055313442845, q_loss:100, rewards:-97.12361, queue:101.93336, delay:8.064912, throughput:2603
REAL_TEST step:133, travel time:489.71873952396913, q_loss:100, rewards:-128.13586, queue:102.088104, delay:8.1379, throughput:2571
REAL_TEST step:134, travel time:507.3955749245726, q_loss:100, rewards:-136.62001, queue:103.76368, delay:8.026037, throughput:2565
REAL_TEST step:135, travel time:493.1840429098223, q_loss:100, rewards:-108.79835, queue:101.59158, delay:8.076393, throughput:2574
REAL_TEST step:136, travel time:488.5682199128394, q_loss:100, rewards:-108.48027, queue:102.76009, delay:8.01418, throughput:2568
REAL_TEST step:137, travel time:504.7841099564197, q_loss:100, rewards:-114.66193, queue:103.88733, delay:8.135974, throughput:2556
REAL_TEST step:138, travel time:478.5326852162253, q_loss:100, rewards:-110.38888, queue:103.46446, delay:8.0856495, throughput:2581
REAL_TEST step:139, travel time:507.36004022795845, q_loss:100, rewards:-113.43999, queue:103.63053, delay:8.10365, throughput:2531
REAL_TEST step:140, travel time:523.2326516929265, q_loss:100, rewards:-116.720856, queue:103.34859, delay:8.072914, throughput:2506
REAL_TEST step:141, travel time:529.027153871941, q_loss:100, rewards:-114.13278, queue:103.97325, delay:8.031901, throughput:2511
REAL_TEST step:142, travel time:521.6808581964465, q_loss:100, rewards:-112.78109, queue:104.24131, delay:8.047781, throughput:2501
REAL_TEST step:143, travel time:493.5574924572578, q_loss:100, rewards:-105.16751, queue:102.89071, delay:8.069137, throughput:2564
REAL_TEST step:144, travel time:520.7998659068053, q_loss:100, rewards:-114.48111, queue:103.16736, delay:8.138563, throughput:2513
REAL_TEST step:145, travel time:512.3637277908147, q_loss:100, rewards:-109.85638, queue:104.327126, delay:8.102679, throughput:2560
REAL_TEST step:146, travel time:525.8015420717398, q_loss:100, rewards:-110.98277, queue:104.53986, delay:8.149902, throughput:2514
REAL_TEST step:147, travel time:495.4431780087161, q_loss:100, rewards:-96.86945, queue:101.90115, delay:8.053541, throughput:2539
REAL_TEST step:148, travel time:531.0714046262152, q_loss:100, rewards:-122.04307, queue:103.92172, delay:8.095974, throughput:2484
REAL_TEST step:149, travel time:508.69225611800204, q_loss:100, rewards:-97.6125, queue:103.35428, delay:8.07232, throughput:2505
REAL_TEST step:150, travel time:535.2292993630573, q_loss:100, rewards:-104.60445, queue:105.273315, delay:8.109601, throughput:2463
REAL_TEST step:151, travel time:517.1263828360711, q_loss:100, rewards:-128.60167, queue:105.029625, delay:8.032186, throughput:2521
REAL_TEST step:152, travel time:532.6208514917868, q_loss:100, rewards:-135.48665, queue:105.303764, delay:8.095949, throughput:2458
REAL_TEST step:153, travel time:507.54106604089844, q_loss:100, rewards:-108.45612, queue:104.220314, delay:8.068546, throughput:2530
REAL_TEST step:154, travel time:579.3734495474355, q_loss:100, rewards:-131.98721, queue:107.44996, delay:8.046126, throughput:2359
REAL_TEST step:155, travel time:577.597049949715, q_loss:100, rewards:-157.19974, queue:106.54786, delay:8.120727, throughput:2382
REAL_TEST step:156, travel time:564.1297351659404, q_loss:100, rewards:-173.15501, queue:105.85866, delay:8.09323, throughput:2379
REAL_TEST step:157, travel time:522.9239021119678, q_loss:100, rewards:-123.59583, queue:104.484505, delay:8.025239, throughput:2444
REAL_TEST step:158, travel time:573.4448541736507, q_loss:100, rewards:-138.98639, queue:106.75115, delay:8.1374855, throughput:2356
REAL_TEST step:159, travel time:571.8866912504191, q_loss:100, rewards:-134.59308, queue:107.518425, delay:8.104251, throughput:2378
REAL_TEST step:160, travel time:589.7569560844787, q_loss:100, rewards:-166.62198, queue:108.205986, delay:8.074202, throughput:2359
REAL_TEST step:161, travel time:586.8102581293999, q_loss:100, rewards:-146.9122, queue:107.76765, delay:8.131984, throughput:2360
REAL_TEST step:162, travel time:515.8531679517265, q_loss:100, rewards:-109.5889, queue:103.91317, delay:8.003305, throughput:2495
REAL_TEST step:163, travel time:508.7277908146162, q_loss:100, rewards:-118.36141, queue:103.21274, delay:8.032468, throughput:2531
