Loading cached latent encoders from pretrained/recon_baseline/presslight/hz4x4
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_recon_baseline_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:1, travel time:1932.8718323586745, q_loss:100, rewards:-819.0831, queue:65.91111, delay:0.20707719, throughput:308
REAL_TEST step:2, travel time:1887.8258127122756, q_loss:100, rewards:-853.6784, queue:64.11736, delay:0.20442696, throughput:341
REAL_TEST step:3, travel time:1385.636219849743, q_loss:100, rewards:-522.38934, queue:54.494617, delay:0.2763511, throughput:837
REAL_TEST step:4, travel time:1329.5159235668789, q_loss:100, rewards:-387.17755, queue:60.032467, delay:0.33659127, throughput:905
REAL_TEST step:5, travel time:1364.6258549931601, q_loss:100, rewards:-408.2022, queue:60.696354, delay:0.32272857, throughput:876
REAL_TEST step:6, travel time:1491.8380480905234, q_loss:100, rewards:-454.09418, queue:65.76493, delay:0.28904828, throughput:717
REAL_TEST step:7, travel time:1431.8497447118891, q_loss:100, rewards:-397.46918, queue:61.247047, delay:0.29588628, throughput:821
REAL_TEST step:8, travel time:1377.7311190193752, q_loss:100, rewards:-399.4857, queue:54.135765, delay:0.27116674, throughput:899
REAL_TEST step:9, travel time:1162.3010392222595, q_loss:100, rewards:-220.6339, queue:50.334896, delay:0.2950296, throughput:1279
REAL_TEST step:10, travel time:1114.6704659738518, q_loss:100, rewards:-261.17252, queue:47.95972, delay:0.2952363, throughput:1335
REAL_TEST step:11, travel time:1250.365757216291, q_loss:100, rewards:-398.5143, queue:47.578125, delay:0.2586981, throughput:1076
REAL_TEST step:12, travel time:1429.9294312992943, q_loss:100, rewards:-585.6517, queue:53.90521, delay:0.24579951, throughput:839
REAL_TEST step:13, travel time:1381.0517309988063, q_loss:100, rewards:-582.25525, queue:53.87014, delay:0.28670147, throughput:872
REAL_TEST step:14, travel time:1445.5093399750933, q_loss:100, rewards:-675.09863, queue:54.77743, delay:0.2558855, throughput:806
REAL_TEST step:15, travel time:1344.7465083798882, q_loss:100, rewards:-495.81827, queue:58.68663, delay:0.29880935, throughput:941
REAL_TEST step:16, travel time:1418.814368770764, q_loss:100, rewards:-535.30084, queue:53.062847, delay:0.26598546, throughput:858
