Loading cached latent encoders from pretrained/vae_embedding/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_vae_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:1549.7177251971773, q_loss:100, rewards:-442.81006, queue:58.762325, delay:0.28607172, throughput:693
REAL_TEST step:4, travel time:1434.3112120153685, q_loss:100, rewards:-468.0836, queue:63.39566, delay:0.2944746, throughput:804
REAL_TEST step:6, travel time:1333.479379626366, q_loss:100, rewards:-399.42804, queue:57.970486, delay:0.29457074, throughput:957
REAL_TEST step:8, travel time:1206.9632352941176, q_loss:100, rewards:-286.26062, queue:50.28455, delay:0.31144422, throughput:1186
REAL_TEST step:10, travel time:1174.0045534150613, q_loss:100, rewards:-355.69754, queue:48.616146, delay:0.29761422, throughput:1226
REAL_TEST step:12, travel time:1227.9811386657352, q_loss:100, rewards:-244.42413, queue:51.8066, delay:0.28326127, throughput:1156
REAL_TEST step:14, travel time:1283.2236198462613, q_loss:100, rewards:-293.92334, queue:54.87118, delay:0.29507405, throughput:1128
REAL_TEST step:16, travel time:1438.2208849557521, q_loss:100, rewards:-447.07132, queue:63.217186, delay:0.29240626, throughput:782
REAL_TEST step:18, travel time:1307.1020755358966, q_loss:100, rewards:-435.04697, queue:58.184723, delay:0.30655116, throughput:959
REAL_TEST step:20, travel time:1303.963169642857, q_loss:100, rewards:-394.40704, queue:53.197395, delay:0.30306, throughput:1119
REAL_TEST step:22, travel time:1219.9332886356017, q_loss:100, rewards:-273.23358, queue:54.6283, delay:0.2905106, throughput:1225
REAL_TEST step:24, travel time:1294.395738735592, q_loss:100, rewards:-374.82425, queue:55.867188, delay:0.29315937, throughput:1128
REAL_TEST step:26, travel time:1415.6201138519923, q_loss:100, rewards:-592.2504, queue:58.563023, delay:0.28497, throughput:922
REAL_TEST step:28, travel time:1372.1342657342657, q_loss:100, rewards:-476.92657, queue:60.053818, delay:0.30117694, throughput:991
REAL_TEST step:30, travel time:1253.609674168626, q_loss:100, rewards:-320.96164, queue:56.085938, delay:0.29619876, throughput:1182
REAL_TEST step:32, travel time:1423.8374645892352, q_loss:100, rewards:-567.4589, queue:62.363716, delay:0.29493594, throughput:821
REAL_TEST step:34, travel time:1429.0381708238851, q_loss:100, rewards:-480.77856, queue:58.323437, delay:0.28675047, throughput:991
REAL_TEST step:36, travel time:1221.048584411045, q_loss:100, rewards:-383.70346, queue:52.074654, delay:0.25270534, throughput:1227
REAL_TEST step:38, travel time:1404.9796477495108, q_loss:100, rewards:-531.66583, queue:56.136284, delay:0.27532816, throughput:858
REAL_TEST step:40, travel time:1404.1459416233506, q_loss:100, rewards:-503.7242, queue:54.179512, delay:0.26894635, throughput:944
REAL_TEST step:42, travel time:1205.297014925373, q_loss:100, rewards:-400.9145, queue:48.782814, delay:0.26909927, throughput:1138
REAL_TEST step:44, travel time:1198.646540027137, q_loss:100, rewards:-416.72916, queue:53.28507, delay:0.2854524, throughput:1220
REAL_TEST step:46, travel time:1077.3955749245727, q_loss:100, rewards:-160.11278, queue:46.085938, delay:0.2911362, throughput:1458
REAL_TEST step:48, travel time:1081.222259470332, q_loss:100, rewards:-222.46858, queue:46.605556, delay:0.2884663, throughput:1469
REAL_TEST step:50, travel time:1189.9279249078108, q_loss:100, rewards:-279.21558, queue:53.34271, delay:0.28063515, throughput:1262
REAL_TEST step:52, travel time:1434.9857299670691, q_loss:100, rewards:-427.25595, queue:61.63125, delay:0.288699, throughput:890
REAL_TEST step:54, travel time:1476.5796875, q_loss:100, rewards:-508.30447, queue:59.10677, delay:0.2707956, throughput:833
REAL_TEST step:56, travel time:1108.9622577354642, q_loss:100, rewards:-249.06218, queue:47.07743, delay:0.29348552, throughput:1376
REAL_TEST step:58, travel time:1211.7879456082323, q_loss:100, rewards:-257.2141, queue:48.18281, delay:0.29135612, throughput:1186
REAL_TEST step:60, travel time:1170.5046153846154, q_loss:100, rewards:-242.1564, queue:50.044964, delay:0.29612955, throughput:1236
REAL_TEST step:62, travel time:1017.452899765337, q_loss:100, rewards:-167.28944, queue:42.248436, delay:0.2669323, throughput:1500
REAL_TEST step:64, travel time:1069.208179684881, q_loss:100, rewards:-276.85556, queue:45.65712, delay:0.28852865, throughput:1397
REAL_TEST step:66, travel time:1441.8419856006062, q_loss:100, rewards:-436.2544, queue:59.57205, delay:0.26960114, throughput:824
REAL_TEST step:68, travel time:1208.986255447536, q_loss:100, rewards:-259.20135, queue:53.62969, delay:0.27745038, throughput:1248
REAL_TEST step:70, travel time:1131.2722091853839, q_loss:100, rewards:-265.5781, queue:49.47465, delay:0.28683475, throughput:1388
REAL_TEST step:72, travel time:1118.0626885685551, q_loss:100, rewards:-181.26662, queue:48.703995, delay:0.26874962, throughput:1407
REAL_TEST step:74, travel time:1105.1059336238686, q_loss:100, rewards:-213.62654, queue:47.957985, delay:0.26630667, throughput:1364
REAL_TEST step:76, travel time:968.2571237009722, q_loss:100, rewards:-148.37029, queue:40.03038, delay:0.27008078, throughput:1639
REAL_TEST step:78, travel time:1146.4776223776223, q_loss:100, rewards:-321.947, queue:48.830383, delay:0.26293552, throughput:1312
REAL_TEST step:80, travel time:1065.7525980556486, q_loss:100, rewards:-274.50168, queue:45.948784, delay:0.28819242, throughput:1474
REAL_TEST step:82, travel time:1102.4024226110364, q_loss:100, rewards:-232.8536, queue:47.93507, delay:0.2637351, throughput:1401
REAL_TEST step:84, travel time:1246.6706061761342, q_loss:100, rewards:-377.9373, queue:48.602432, delay:0.2691859, throughput:1217
REAL_TEST step:86, travel time:1094.0526315789473, q_loss:100, rewards:-187.81056, queue:46.271355, delay:0.29227883, throughput:1480
REAL_TEST step:88, travel time:1252.683870967742, q_loss:100, rewards:-450.80164, queue:49.547222, delay:0.2547268, throughput:1201
REAL_TEST step:90, travel time:1109.013409319477, q_loss:100, rewards:-220.04137, queue:47.780556, delay:0.2896425, throughput:1464
REAL_TEST step:92, travel time:951.3171304056319, q_loss:100, rewards:-209.24135, queue:38.832638, delay:0.27145126, throughput:1694
