Loading cached latent encoders from pretrained/vae_embedding/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_vae_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:1677.835859679515, q_loss:100, rewards:-535.5366, queue:49.607117, delay:0.23735593, throughput:542
REAL_TEST step:4, travel time:1357.3104257458933, q_loss:100, rewards:-440.56137, queue:58.631424, delay:0.26070565, throughput:911
REAL_TEST step:6, travel time:1370.2885361552028, q_loss:100, rewards:-467.6664, queue:57.99514, delay:0.25572723, throughput:907
REAL_TEST step:8, travel time:1290.1320293398533, q_loss:100, rewards:-340.277, queue:45.517708, delay:0.27414113, throughput:1004
REAL_TEST step:10, travel time:1216.9186088203658, q_loss:100, rewards:-263.13583, queue:35.378994, delay:0.2710931, throughput:1178
REAL_TEST step:12, travel time:1247.5681130171545, q_loss:100, rewards:-335.72586, queue:36.7125, delay:0.24936981, throughput:1146
REAL_TEST step:14, travel time:1049.7353139770426, q_loss:100, rewards:-277.58057, queue:32.449654, delay:0.2480645, throughput:1528
REAL_TEST step:16, travel time:1192.6934919524142, q_loss:100, rewards:-345.37357, queue:40.09479, delay:0.2524979, throughput:1233
REAL_TEST step:18, travel time:1026.5645323499832, q_loss:100, rewards:-218.49557, queue:31.104687, delay:0.2466732, throughput:1456
REAL_TEST step:20, travel time:955.5005028494804, q_loss:100, rewards:-186.4833, queue:32.21302, delay:0.26570222, throughput:1556
REAL_TEST step:22, travel time:1116.2933197694133, q_loss:100, rewards:-431.52362, queue:33.55573, delay:0.25141743, throughput:1250
REAL_TEST step:24, travel time:948.8887026483405, q_loss:100, rewards:-221.61867, queue:30.766493, delay:0.25245428, throughput:1623
REAL_TEST step:26, travel time:1151.0413492927094, q_loss:100, rewards:-437.85724, queue:28.537327, delay:0.24968703, throughput:1197
REAL_TEST step:28, travel time:1039.5432140445646, q_loss:100, rewards:-280.9203, queue:29.317883, delay:0.25818822, throughput:1467
REAL_TEST step:30, travel time:886.8290311766677, q_loss:100, rewards:-125.66276, queue:25.252777, delay:0.24243069, throughput:1721
REAL_TEST step:32, travel time:957.7080120683876, q_loss:100, rewards:-250.9786, queue:29.707813, delay:0.24884479, throughput:1482
REAL_TEST step:34, travel time:936.6054307743882, q_loss:100, rewards:-241.7461, queue:26.691841, delay:0.23705749, throughput:1572
REAL_TEST step:36, travel time:1048.4574036511156, q_loss:100, rewards:-405.93506, queue:27.490625, delay:0.21803543, throughput:1417
REAL_TEST step:38, travel time:1103.6912065439674, q_loss:100, rewards:-283.67447, queue:24.33802, delay:0.24156384, throughput:1343
REAL_TEST step:40, travel time:1034.851049424509, q_loss:100, rewards:-247.61417, queue:32.1342, delay:0.23603915, throughput:1500
REAL_TEST step:42, travel time:956.75, q_loss:100, rewards:-249.16641, queue:21.06493, delay:0.2029304, throughput:1548
REAL_TEST step:44, travel time:695.4646329198794, q_loss:100, rewards:-145.86472, queue:16.653126, delay:0.2263804, throughput:2033
REAL_TEST step:46, travel time:906.1367750586658, q_loss:100, rewards:-116.03392, queue:28.366667, delay:0.2562553, throughput:1628
REAL_TEST step:48, travel time:816.0955414012739, q_loss:100, rewards:-149.61615, queue:18.582119, delay:0.22036539, throughput:1876
REAL_TEST step:50, travel time:1032.6137005649719, q_loss:100, rewards:-322.40057, queue:27.959202, delay:0.22453128, throughput:1452
REAL_TEST step:52, travel time:1146.8942232630757, q_loss:100, rewards:-507.82312, queue:13.358334, delay:0.21590789, throughput:1130
REAL_TEST step:54, travel time:788.4331210191083, q_loss:100, rewards:-184.83023, queue:16.380035, delay:0.2114694, throughput:1922
REAL_TEST step:56, travel time:1100.9750889679715, q_loss:100, rewards:-381.5898, queue:24.225348, delay:0.21405065, throughput:1310
REAL_TEST step:58, travel time:955.0486087831042, q_loss:100, rewards:-303.81668, queue:20.686459, delay:0.22729202, throughput:1892
REAL_TEST step:60, travel time:931.6772354827218, q_loss:100, rewards:-338.9458, queue:17.425173, delay:0.24322751, throughput:1711
REAL_TEST step:62, travel time:987.9906134763661, q_loss:100, rewards:-203.33228, queue:32.197224, delay:0.2331504, throughput:1521
REAL_TEST step:64, travel time:1034.856384860276, q_loss:100, rewards:-372.83615, queue:25.38611, delay:0.22773777, throughput:1466
REAL_TEST step:66, travel time:821.9943010392223, q_loss:100, rewards:-182.30997, queue:17.747396, delay:0.21941125, throughput:1960
REAL_TEST step:68, travel time:975.2261695392191, q_loss:100, rewards:-238.55473, queue:23.872396, delay:0.21042345, throughput:1522
REAL_TEST step:70, travel time:1030.8018085908063, q_loss:100, rewards:-379.60062, queue:19.74132, delay:0.19480784, throughput:1407
REAL_TEST step:72, travel time:972.3214884344619, q_loss:100, rewards:-265.75357, queue:29.885416, delay:0.25647685, throughput:1514
REAL_TEST step:74, travel time:982.1102916526986, q_loss:100, rewards:-166.5033, queue:18.833508, delay:0.20449978, throughput:1604
REAL_TEST step:76, travel time:1008.1949924127466, q_loss:100, rewards:-310.38968, queue:20.044792, delay:0.21577239, throughput:1504
REAL_TEST step:78, travel time:794.6228628897084, q_loss:100, rewards:-198.28442, queue:21.49948, delay:0.23995112, throughput:1891
REAL_TEST step:80, travel time:671.3881997988602, q_loss:100, rewards:-125.64443, queue:16.565971, delay:0.22460514, throughput:2145
