Loading cached latent encoders from pretrained/vae_embedding/presslight/hz4x4
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/hz4x4/baseline_v1_vae_s0/model/hz4x4_noise5_presslight_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:1393.580619539317, q_loss:100, rewards:-439.42395, queue:58.08558, delay:1.2735503, throughput:917
REAL_TEST step:4, travel time:1298.206192582511, q_loss:100, rewards:-444.13382, queue:66.39558, delay:1.29847, throughput:1009
REAL_TEST step:6, travel time:1022.6929265839759, q_loss:100, rewards:-290.3398, queue:52.010674, delay:1.292909, throughput:1534
REAL_TEST step:8, travel time:1053.0969887955182, q_loss:100, rewards:-262.91245, queue:50.76162, delay:1.2929469, throughput:1455
REAL_TEST step:10, travel time:955.4123989218328, q_loss:100, rewards:-271.01328, queue:48.421093, delay:1.2921641, throughput:1616
REAL_TEST step:12, travel time:994.6179146256123, q_loss:100, rewards:-242.42809, queue:44.05052, delay:1.243467, throughput:1576
REAL_TEST step:14, travel time:981.6225096120238, q_loss:100, rewards:-242.03603, queue:41.94376, delay:1.2695899, throughput:1609
REAL_TEST step:16, travel time:1053.5178321678322, q_loss:100, rewards:-261.9554, queue:51.93077, delay:1.2685935, throughput:1493
REAL_TEST step:18, travel time:731.8196446530338, q_loss:100, rewards:-95.3311, queue:33.275364, delay:1.2831769, throughput:2098
REAL_TEST step:20, travel time:756.642641635937, q_loss:100, rewards:-122.92973, queue:35.900845, delay:1.2587129, throughput:1996
REAL_TEST step:22, travel time:828.2524304391552, q_loss:100, rewards:-156.53473, queue:41.67947, delay:1.2387418, throughput:1905
REAL_TEST step:24, travel time:869.5493827160494, q_loss:100, rewards:-273.78113, queue:42.84485, delay:1.2602199, throughput:1882
REAL_TEST step:26, travel time:857.9493798189742, q_loss:100, rewards:-225.89305, queue:42.621086, delay:1.2978139, throughput:1827
REAL_TEST step:28, travel time:651.9031176667784, q_loss:100, rewards:-106.5586, queue:29.184494, delay:1.2571331, throughput:2196
REAL_TEST step:30, travel time:659.5179349648006, q_loss:100, rewards:-99.744995, queue:30.232153, delay:1.2543159, throughput:2176
REAL_TEST step:32, travel time:760.0626885685551, q_loss:100, rewards:-96.92192, queue:36.87774, delay:1.2421416, throughput:2009
REAL_TEST step:34, travel time:674.2458516762614, q_loss:100, rewards:-213.05833, queue:32.220573, delay:1.2727388, throughput:2121
REAL_TEST step:36, travel time:732.8673363352962, q_loss:100, rewards:-237.56943, queue:34.894287, delay:1.2798302, throughput:2062
REAL_TEST step:38, travel time:611.9081461615823, q_loss:100, rewards:-98.45304, queue:28.694492, delay:1.2816995, throughput:2311
REAL_TEST step:40, travel time:650.2752262822662, q_loss:100, rewards:-105.63556, queue:28.4389, delay:1.2838697, throughput:2223
REAL_TEST step:42, travel time:641.4502179014415, q_loss:100, rewards:-125.43583, queue:28.41623, delay:1.2163882, throughput:2257
REAL_TEST step:44, travel time:641.0033523298692, q_loss:100, rewards:-97.14581, queue:31.258095, delay:1.273648, throughput:2222
REAL_TEST step:46, travel time:602.1565538048944, q_loss:100, rewards:-87.9889, queue:29.043192, delay:1.2752912, throughput:2355
REAL_TEST step:48, travel time:659.8323835065371, q_loss:100, rewards:-100.014725, queue:27.800428, delay:1.2082065, throughput:2192
REAL_TEST step:50, travel time:737.5819644653034, q_loss:100, rewards:-193.05942, queue:29.441233, delay:1.2652316, throughput:2139
REAL_TEST step:52, travel time:685.0663194444444, q_loss:100, rewards:-252.75479, queue:24.975613, delay:1.2601278, throughput:2165
REAL_TEST step:54, travel time:795.631819781767, q_loss:100, rewards:-245.63509, queue:35.97791, delay:1.2147762, throughput:1912
REAL_TEST step:56, travel time:666.3523298692592, q_loss:100, rewards:-109.25252, queue:30.192062, delay:1.2568597, throughput:2216
REAL_TEST step:58, travel time:564.1632584646329, q_loss:100, rewards:-89.53528, queue:26.699436, delay:1.2565136, throughput:2410
REAL_TEST step:60, travel time:644.9735165940328, q_loss:100, rewards:-102.387215, queue:31.256695, delay:1.2835028, throughput:2209
REAL_TEST step:62, travel time:624.0378813275227, q_loss:100, rewards:-80.68916, queue:29.074747, delay:1.2687128, throughput:2293
REAL_TEST step:64, travel time:614.5102246061012, q_loss:100, rewards:-137.20305, queue:30.098063, delay:1.2794672, throughput:2295
REAL_TEST step:66, travel time:702.4911163258465, q_loss:100, rewards:-148.16139, queue:32.25704, delay:1.241669, throughput:2160
REAL_TEST step:68, travel time:611.9708347301374, q_loss:100, rewards:-112.89004, queue:29.907074, delay:1.2673165, throughput:2345
REAL_TEST step:70, travel time:680.1612470667113, q_loss:100, rewards:-104.992775, queue:33.249283, delay:1.2685956, throughput:2265
REAL_TEST step:72, travel time:537.0650351994636, q_loss:100, rewards:-96.59833, queue:23.989637, delay:1.238847, throughput:2472
REAL_TEST step:74, travel time:675.9912839423399, q_loss:100, rewards:-100.306404, queue:30.44952, delay:1.2062286, throughput:2306
REAL_TEST step:76, travel time:604.0626885685551, q_loss:100, rewards:-99.3711, queue:25.52399, delay:1.269397, throughput:2294
REAL_TEST step:78, travel time:600.5487763995977, q_loss:100, rewards:-100.655014, queue:28.910868, delay:1.2330068, throughput:2341
REAL_TEST step:80, travel time:546.7033188065706, q_loss:100, rewards:-88.86835, queue:24.843737, delay:1.2290559, throughput:2414
REAL_TEST step:82, travel time:525.9383171304056, q_loss:100, rewards:-81.60861, queue:23.79931, delay:1.2439753, throughput:2500
REAL_TEST step:84, travel time:745.5073724007561, q_loss:100, rewards:-250.2806, queue:29.061644, delay:1.2686408, throughput:1957
REAL_TEST step:86, travel time:689.9661414683205, q_loss:100, rewards:-134.9023, queue:34.480072, delay:1.2450626, throughput:2186
REAL_TEST step:88, travel time:575.4156889037881, q_loss:100, rewards:-92.39056, queue:26.756662, delay:1.2257744, throughput:2425
REAL_TEST step:90, travel time:639.2722091853839, q_loss:100, rewards:-87.50776, queue:31.022684, delay:1.2520114, throughput:2281
REAL_TEST step:92, travel time:563.1377807576265, q_loss:100, rewards:-119.28724, queue:26.425417, delay:1.2523539, throughput:2432
REAL_TEST step:94, travel time:583.3684210526316, q_loss:100, rewards:-129.15775, queue:26.167707, delay:1.2330142, throughput:2442
REAL_TEST step:96, travel time:604.597049949715, q_loss:100, rewards:-138.9906, queue:29.056456, delay:1.2519342, throughput:2290
REAL_TEST step:98, travel time:564.2058330539725, q_loss:100, rewards:-117.85275, queue:25.517351, delay:1.2188933, throughput:2389
REAL_TEST step:100, travel time:554.3493127723768, q_loss:100, rewards:-109.99057, queue:24.680798, delay:1.2293642, throughput:2395
REAL_TEST step:102, travel time:506.84445189406637, q_loss:100, rewards:-97.01997, queue:23.204216, delay:1.2552184, throughput:2543
REAL_TEST step:104, travel time:607.3875293328864, q_loss:100, rewards:-125.61943, queue:27.809711, delay:1.2539328, throughput:2357
REAL_TEST step:106, travel time:680.7314783774724, q_loss:100, rewards:-116.2472, queue:30.714457, delay:1.2388927, throughput:2226
REAL_TEST step:108, travel time:590.0234663090848, q_loss:100, rewards:-132.18307, queue:27.783436, delay:1.2234117, throughput:2321
