Loading cached latent encoders from pretrained/atc/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_atc_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:18, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:20, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:22, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:24, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:26, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:28, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:30, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:32, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:34, travel time:131.1844499586435, q_loss:100, rewards:-6.0724998, queue:2.463889, delay:0.2776643, throughput:1162
REAL_TEST step:36, travel time:131.7402812241522, q_loss:100, rewards:-6.248889, queue:2.588889, delay:0.27952635, throughput:1162
REAL_TEST step:38, travel time:130.97684036393713, q_loss:100, rewards:-5.9508314, queue:2.3166666, delay:0.27621594, throughput:1162
REAL_TEST step:40, travel time:39.9527972027972, q_loss:100, rewards:-7.015277, queue:2.6833334, delay:0.17739052, throughput:1703
REAL_TEST step:42, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:44, travel time:41.74460641399417, q_loss:100, rewards:-7.3263907, queue:2.9805555, delay:0.18959267, throughput:1704
REAL_TEST step:46, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:48, travel time:130.98428453267164, q_loss:100, rewards:-5.956667, queue:2.325, delay:0.27630913, throughput:1162
REAL_TEST step:50, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:52, travel time:130.98428453267164, q_loss:100, rewards:-5.956667, queue:2.325, delay:0.27630913, throughput:1162
REAL_TEST step:54, travel time:40.5731778425656, q_loss:100, rewards:-6.7783303, queue:2.4444444, delay:0.17961212, throughput:1703
REAL_TEST step:56, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:58, travel time:40.49154518950437, q_loss:100, rewards:-6.824722, queue:2.4527779, delay:0.17746885, throughput:1703
REAL_TEST step:60, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:62, travel time:40.70104895104895, q_loss:100, rewards:-6.6775002, queue:2.3305554, delay:0.17745095, throughput:1704
REAL_TEST step:64, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:66, travel time:39.478717201166184, q_loss:100, rewards:-6.577776, queue:2.2527778, delay:0.17239283, throughput:1705
REAL_TEST step:68, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:70, travel time:37.8734693877551, q_loss:100, rewards:-6.0047207, queue:1.7805556, delay:0.16769837, throughput:1703
REAL_TEST step:72, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:74, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:76, travel time:36.72303206997085, q_loss:100, rewards:-5.5461106, queue:1.5416666, delay:0.14503297, throughput:1703
REAL_TEST step:78, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:80, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:82, travel time:108.11458333333333, q_loss:100, rewards:-5.8313875, queue:2.2305555, delay:0.24712858, throughput:1296
REAL_TEST step:84, travel time:37.20699708454811, q_loss:100, rewards:-5.5999994, queue:1.625, delay:0.1475682, throughput:1702
REAL_TEST step:86, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:88, travel time:100.61842105263158, q_loss:100, rewards:-5.8572206, queue:2.175, delay:0.24183837, throughput:1321
REAL_TEST step:90, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:92, travel time:36.883381924198254, q_loss:100, rewards:-5.5747204, queue:1.5722222, delay:0.14393105, throughput:1702
REAL_TEST step:94, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:96, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:98, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:100, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:102, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:104, travel time:134.09859154929578, q_loss:100, rewards:-5.9016647, queue:2.3583333, delay:0.27242687, throughput:1159
REAL_TEST step:106, travel time:39.76093294460642, q_loss:100, rewards:-6.6730556, queue:2.3916667, delay:0.17040046, throughput:1704
REAL_TEST step:108, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:110, travel time:40.35860058309038, q_loss:100, rewards:-7.0413885, queue:2.6888888, delay:0.18255329, throughput:1704
REAL_TEST step:112, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:114, travel time:39.802915451895046, q_loss:100, rewards:-6.8005505, queue:2.5527778, delay:0.1729446, throughput:1704
REAL_TEST step:116, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:118, travel time:39.737609329446066, q_loss:100, rewards:-6.9388895, queue:2.5305555, delay:0.18376404, throughput:1704
REAL_TEST step:120, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
