Loading cached latent encoders from pretrained/atc/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_atc_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.9138889, delay:0.2629856, throughput:1138
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:16, travel time:157.82648784576696, q_loss:100, rewards:-5.82472, queue:2.2944446, delay:0.28362188, throughput:1138
REAL_TEST step:18, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:20, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:22, travel time:157.48030176026822, q_loss:100, rewards:-5.7297206, queue:1.1944444, delay:0.17521565, throughput:1138
REAL_TEST step:24, travel time:157.48030176026822, q_loss:100, rewards:-5.7297206, queue:2.1583333, delay:0.2823144, throughput:1138
REAL_TEST step:26, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:28, travel time:157.42665549036045, q_loss:100, rewards:-5.709721, queue:2.1861112, delay:0.28215945, throughput:1138
REAL_TEST step:30, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.9194444, delay:0.26944545, throughput:1138
REAL_TEST step:32, travel time:157.48030176026822, q_loss:100, rewards:-5.7297206, queue:2.1583333, delay:0.2823144, throughput:1138
REAL_TEST step:34, travel time:153.8187134502924, q_loss:100, rewards:-5.928056, queue:2.386111, delay:0.28236458, throughput:1143
REAL_TEST step:36, travel time:121.44066455696202, q_loss:100, rewards:-5.8588867, queue:2.35, delay:0.273551, throughput:1216
REAL_TEST step:38, travel time:153.8187134502924, q_loss:100, rewards:-5.928056, queue:2.386111, delay:0.28236458, throughput:1143
REAL_TEST step:40, travel time:53.09713282621416, q_loss:100, rewards:-5.3255563, queue:1.4722222, delay:0.19360965, throughput:1680
REAL_TEST step:42, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:44, travel time:111.60631578947368, q_loss:100, rewards:-6.7683325, queue:3.125, delay:0.24784471, throughput:1367
REAL_TEST step:46, travel time:131.25787728026535, q_loss:100, rewards:-5.689719, queue:2.1388888, delay:0.2733405, throughput:1159
REAL_TEST step:48, travel time:132.95443247721624, q_loss:100, rewards:-5.5561132, queue:1.975, delay:0.2719767, throughput:1159
REAL_TEST step:50, travel time:72.33215339233038, q_loss:100, rewards:-5.735278, queue:1.5972222, delay:0.17250565, throughput:1666
REAL_TEST step:52, travel time:112.10629654705484, q_loss:100, rewards:-5.850555, queue:2.1722221, delay:0.25134295, throughput:1424
REAL_TEST step:54, travel time:106.11875, q_loss:100, rewards:-6.5538926, queue:2.8833334, delay:0.2513419, throughput:1383
REAL_TEST step:56, travel time:83.08731563421829, q_loss:100, rewards:-5.6475005, queue:1.9138889, delay:0.21443433, throughput:1653
REAL_TEST step:58, travel time:52.3597667638484, q_loss:100, rewards:-5.191667, queue:1.4055556, delay:0.1835289, throughput:1704
REAL_TEST step:60, travel time:133.2390766694147, q_loss:100, rewards:-6.3413916, queue:2.7416666, delay:0.26999727, throughput:1164
REAL_TEST step:62, travel time:48.91836734693877, q_loss:100, rewards:-5.0508347, queue:1.2888889, delay:0.18485941, throughput:1699
REAL_TEST step:64, travel time:92.48991172761664, q_loss:100, rewards:-6.0841656, queue:2.3583333, delay:0.23622742, throughput:1532
REAL_TEST step:66, travel time:50.691545189504374, q_loss:100, rewards:-5.077222, queue:1.3138889, delay:0.18647732, throughput:1704
REAL_TEST step:68, travel time:46.60081585081585, q_loss:100, rewards:-5.006388, queue:1.1, delay:0.1489909, throughput:1702
REAL_TEST step:70, travel time:85.10510510510511, q_loss:100, rewards:-5.859724, queue:2.0805554, delay:0.22474284, throughput:1644
REAL_TEST step:72, travel time:81.28251912889935, q_loss:100, rewards:-6.029446, queue:1.9638889, delay:0.18334414, throughput:1674
REAL_TEST step:74, travel time:151.2590799031477, q_loss:100, rewards:-7.0013914, queue:3.4527779, delay:0.28037074, throughput:1183
REAL_TEST step:76, travel time:132.8351195383347, q_loss:100, rewards:-6.278054, queue:2.7805555, delay:0.27145112, throughput:1164
REAL_TEST step:78, travel time:151.2590799031477, q_loss:100, rewards:-7.0013914, queue:3.4527779, delay:0.28037074, throughput:1183
REAL_TEST step:80, travel time:134.7854183927092, q_loss:100, rewards:-6.0986104, queue:1.8111111, delay:0.25653797, throughput:1159
REAL_TEST step:82, travel time:134.29313099041534, q_loss:100, rewards:-5.805279, queue:2.2805555, delay:0.26944706, throughput:1196
REAL_TEST step:84, travel time:64.72146658781786, q_loss:100, rewards:-5.6552763, queue:1.9083333, delay:0.21155839, throughput:1640
REAL_TEST step:86, travel time:139.53390491036632, q_loss:100, rewards:-6.508889, queue:2.9444444, delay:0.26802355, throughput:1226
REAL_TEST step:88, travel time:130.90465116279069, q_loss:100, rewards:-6.0205564, queue:2.4777777, delay:0.26973075, throughput:1235
REAL_TEST step:90, travel time:145.6284289276808, q_loss:100, rewards:-6.600833, queue:3.0805554, delay:0.24188238, throughput:1151
REAL_TEST step:92, travel time:49.34285714285714, q_loss:100, rewards:-5.089442, queue:1.2583333, delay:0.18664862, throughput:1703
REAL_TEST step:94, travel time:106.0655129789864, q_loss:100, rewards:-5.8430567, queue:2.1305556, delay:0.23271188, throughput:1593
