Loading cached latent encoders from pretrained/atc/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_atc_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:10.914552, delay:1.0993962, throughput:1138
REAL_TEST step:4, travel time:155.32808616404307, q_loss:100, rewards:-6.683891, queue:11.565867, delay:1.1726106, throughput:1153
REAL_TEST step:6, travel time:139.5787878787879, q_loss:100, rewards:-6.801668, queue:14.698422, delay:1.3608749, throughput:1267
REAL_TEST step:8, travel time:135.8368690563277, q_loss:100, rewards:-6.5391655, queue:8.704965, delay:0.80195737, throughput:1310
REAL_TEST step:10, travel time:145.17586750788644, q_loss:100, rewards:-6.4477763, queue:13.765095, delay:1.2882226, throughput:1213
REAL_TEST step:12, travel time:130.46866096866097, q_loss:100, rewards:-6.529721, queue:12.910821, delay:1.2190747, throughput:1349
REAL_TEST step:14, travel time:132.47456395348837, q_loss:100, rewards:-6.8830547, queue:10.725195, delay:1.0761838, throughput:1328
REAL_TEST step:16, travel time:127.72394366197183, q_loss:100, rewards:-6.9144483, queue:14.024098, delay:1.3487973, throughput:1366
REAL_TEST step:18, travel time:145.1506309148265, q_loss:100, rewards:-6.374722, queue:9.762694, delay:0.9583769, throughput:1212
REAL_TEST step:20, travel time:132.6545189504373, q_loss:100, rewards:-6.418054, queue:12.383246, delay:1.1811607, throughput:1321
REAL_TEST step:22, travel time:122.7457969065232, q_loss:100, rewards:-6.6074977, queue:8.79855, delay:0.96055645, throughput:1430
REAL_TEST step:24, travel time:129.3674052894925, q_loss:100, rewards:-6.5741663, queue:9.728315, delay:0.9084427, throughput:1347
REAL_TEST step:26, travel time:142.93659281894577, q_loss:100, rewards:-6.9155536, queue:10.433966, delay:1.0049877, throughput:1253
REAL_TEST step:28, travel time:137.42464736451373, q_loss:100, rewards:-6.494447, queue:11.9143, delay:1.2541077, throughput:1295
REAL_TEST step:30, travel time:139.24371667936023, q_loss:100, rewards:-6.1855545, queue:8.800863, delay:0.949605, throughput:1260
REAL_TEST step:32, travel time:121.44488977955912, q_loss:100, rewards:-6.7408338, queue:10.849394, delay:0.9851161, throughput:1441
REAL_TEST step:34, travel time:105.53445065176909, q_loss:100, rewards:-7.0369396, queue:12.00627, delay:1.1653212, throughput:1555
REAL_TEST step:36, travel time:95.62766605728214, q_loss:100, rewards:-6.9097238, queue:10.015976, delay:1.0160769, throughput:1587
REAL_TEST step:38, travel time:78.87447947650209, q_loss:100, rewards:-6.8669486, queue:11.227033, delay:1.0931958, throughput:1630
REAL_TEST step:40, travel time:42.2728862973761, q_loss:100, rewards:-6.796666, queue:7.432754, delay:0.75603825, throughput:1703
REAL_TEST step:42, travel time:83.95930580490725, q_loss:100, rewards:-6.6647243, queue:9.344687, delay:1.0442849, throughput:1639
REAL_TEST step:44, travel time:42.330029154518954, q_loss:100, rewards:-6.979164, queue:9.643797, delay:0.9079883, throughput:1703
REAL_TEST step:46, travel time:133.42646023926812, q_loss:100, rewards:-6.7705607, queue:12.099931, delay:1.1908116, throughput:1365
REAL_TEST step:48, travel time:91.95165094339623, q_loss:100, rewards:-6.821109, queue:12.065647, delay:1.1542733, throughput:1661
REAL_TEST step:50, travel time:61.279506752789196, q_loss:100, rewards:-6.536944, queue:8.900823, delay:0.8816098, throughput:1659
REAL_TEST step:52, travel time:89.91716328963051, q_loss:100, rewards:-6.9616694, queue:13.902007, delay:1.350436, throughput:1648
REAL_TEST step:54, travel time:74.26880466472304, q_loss:100, rewards:-6.875832, queue:11.915318, delay:1.161714, throughput:1692
REAL_TEST step:56, travel time:68.8274647887324, q_loss:100, rewards:-6.4997225, queue:10.744109, delay:0.96753097, throughput:1674
REAL_TEST step:58, travel time:43.038619075482735, q_loss:100, rewards:-6.909723, queue:9.142847, delay:0.9550092, throughput:1685
