Loading cached latent encoders from pretrained/darla/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_darla_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:49.00408163265306, q_loss:100, rewards:-10.400833, queue:6.102778, delay:0.20997277, throughput:1702
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:18, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:20, travel time:52.97900874635568, q_loss:100, rewards:-12.926667, queue:8.611111, delay:0.23408921, throughput:1705
REAL_TEST step:22, travel time:45.47288629737609, q_loss:100, rewards:-9.032218, queue:4.6555557, delay:0.20173104, throughput:1701
REAL_TEST step:24, travel time:39.370262390670554, q_loss:100, rewards:-6.6538887, queue:2.5027778, delay:0.17098439, throughput:1704
REAL_TEST step:26, travel time:39.439067055393586, q_loss:100, rewards:-7.110003, queue:2.786111, delay:0.18431002, throughput:1704
REAL_TEST step:28, travel time:37.012244897959185, q_loss:100, rewards:-5.6566663, queue:1.6305555, delay:0.14772707, throughput:1704
REAL_TEST step:30, travel time:46.625072886297374, q_loss:100, rewards:-9.663332, queue:5.322222, delay:0.20723796, throughput:1700
REAL_TEST step:32, travel time:37.054810495626825, q_loss:100, rewards:-5.451664, queue:1.5277778, delay:0.1487223, throughput:1703
REAL_TEST step:34, travel time:41.06880466472303, q_loss:100, rewards:-7.69861, queue:3.425, delay:0.18502894, throughput:1705
REAL_TEST step:36, travel time:37.054810495626825, q_loss:100, rewards:-5.451664, queue:1.5277778, delay:0.1487223, throughput:1703
REAL_TEST step:38, travel time:39.94285714285714, q_loss:100, rewards:-6.659446, queue:2.475, delay:0.17117523, throughput:1705
REAL_TEST step:40, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:42, travel time:37.010495626822156, q_loss:100, rewards:-5.458611, queue:1.4444444, delay:0.14658406, throughput:1705
REAL_TEST step:44, travel time:38.71778425655977, q_loss:100, rewards:-6.359725, queue:2.038889, delay:0.19059493, throughput:1705
REAL_TEST step:46, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:48, travel time:39.2511655011655, q_loss:100, rewards:-6.5969415, queue:2.3972223, delay:0.1677975, throughput:1703
REAL_TEST step:50, travel time:37.54460641399417, q_loss:100, rewards:-5.558053, queue:1.5888889, delay:0.15498969, throughput:1702
REAL_TEST step:52, travel time:39.72478134110787, q_loss:100, rewards:-6.7847223, queue:2.5222223, delay:0.17099369, throughput:1703
REAL_TEST step:54, travel time:36.753935860058306, q_loss:100, rewards:-5.59111, queue:1.6305555, delay:0.14248896, throughput:1704
REAL_TEST step:56, travel time:37.17084548104956, q_loss:100, rewards:-5.582777, queue:1.5944444, delay:0.1428985, throughput:1700
REAL_TEST step:58, travel time:37.17084548104956, q_loss:100, rewards:-5.582777, queue:1.5944444, delay:0.1428985, throughput:1700
REAL_TEST step:60, travel time:40.34344023323615, q_loss:100, rewards:-6.0013876, queue:1.9861112, delay:0.21356419, throughput:1700
REAL_TEST step:62, travel time:37.0396501457726, q_loss:100, rewards:-5.4758315, queue:1.5472223, delay:0.14836338, throughput:1702
REAL_TEST step:64, travel time:37.06180758017493, q_loss:100, rewards:-5.673054, queue:1.6861111, delay:0.14068161, throughput:1703
REAL_TEST step:66, travel time:37.80174927113703, q_loss:100, rewards:-5.9766674, queue:1.8944445, delay:0.17745529, throughput:1701
REAL_TEST step:68, travel time:38.49737609329446, q_loss:100, rewards:-6.084168, queue:2.075, delay:0.19324113, throughput:1704
REAL_TEST step:70, travel time:68.49940476190476, q_loss:100, rewards:-6.545832, queue:2.6055555, delay:0.24975291, throughput:1629
REAL_TEST step:72, travel time:37.201166180758015, q_loss:100, rewards:-5.731943, queue:1.75, delay:0.14613175, throughput:1703
REAL_TEST step:74, travel time:37.09382284382284, q_loss:100, rewards:-5.597218, queue:1.6, delay:0.14913, throughput:1702
REAL_TEST step:76, travel time:39.1486013986014, q_loss:100, rewards:-6.6933355, queue:2.5444446, delay:0.16419244, throughput:1703
REAL_TEST step:78, travel time:39.1486013986014, q_loss:100, rewards:-6.6933355, queue:2.5444446, delay:0.16419244, throughput:1703
REAL_TEST step:80, travel time:39.34402332361516, q_loss:100, rewards:-6.7538867, queue:2.5444446, delay:0.1692227, throughput:1704
REAL_TEST step:82, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:84, travel time:39.34402332361516, q_loss:100, rewards:-6.7538867, queue:2.5444446, delay:0.1692227, throughput:1704
REAL_TEST step:86, travel time:36.61632653061225, q_loss:100, rewards:-5.7072206, queue:1.7166667, delay:0.1519447, throughput:1701
REAL_TEST step:88, travel time:38.99183673469388, q_loss:100, rewards:-6.710001, queue:2.4166667, delay:0.1709081, throughput:1705
REAL_TEST step:90, travel time:37.51545189504373, q_loss:100, rewards:-5.733331, queue:1.7638888, delay:0.1447881, throughput:1702
REAL_TEST step:92, travel time:38.68513119533527, q_loss:100, rewards:-6.5658317, queue:2.2805555, delay:0.1696047, throughput:1699
REAL_TEST step:94, travel time:37.49387755102041, q_loss:100, rewards:-6.082224, queue:1.7583333, delay:0.18540564, throughput:1704
REAL_TEST step:96, travel time:39.200583090379006, q_loss:100, rewards:-6.9277735, queue:2.6166666, delay:0.17894962, throughput:1705
REAL_TEST step:98, travel time:37.50787172011662, q_loss:100, rewards:-6.252501, queue:1.8944445, delay:0.1879544, throughput:1704
REAL_TEST step:100, travel time:38.95629370629371, q_loss:100, rewards:-6.5663857, queue:2.3, delay:0.16159727, throughput:1703
REAL_TEST step:102, travel time:39.14985422740525, q_loss:100, rewards:-6.7027764, queue:2.4194446, delay:0.17303944, throughput:1703
REAL_TEST step:104, travel time:36.70379008746356, q_loss:100, rewards:-5.580278, queue:1.6361111, delay:0.14947225, throughput:1703
REAL_TEST step:106, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:108, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:110, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:112, travel time:45.16495468277946, q_loss:100, rewards:-6.0494447, queue:2.175, delay:0.17014268, throughput:1611
REAL_TEST step:114, travel time:38.0, q_loss:100, rewards:-6.0111084, queue:1.9972222, delay:0.15010491, throughput:1702
REAL_TEST step:116, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:118, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
REAL_TEST step:120, travel time:36.87755102040816, q_loss:100, rewards:-5.657775, queue:1.7166667, delay:0.13913941, throughput:1702
