Loading cached latent encoders from pretrained/lusr/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_lusr_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:404.4533152909337, q_loss:100, rewards:-76.80773, queue:76.43056, delay:0.47554398, throughput:650
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:18, travel time:157.94216261525565, q_loss:100, rewards:-5.8372197, queue:2.275, delay:0.2830591, throughput:1138
REAL_TEST step:20, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:22, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:24, travel time:156.8354114713217, q_loss:100, rewards:-7.0975018, queue:3.538889, delay:0.2844191, throughput:1148
REAL_TEST step:26, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:28, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:30, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:32, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:34, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:36, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:38, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:40, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:42, travel time:158.2003352891869, q_loss:100, rewards:-5.9441657, queue:2.4083333, delay:0.28486398, throughput:1138
REAL_TEST step:44, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:46, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:48, travel time:157.91282481139984, q_loss:100, rewards:-5.83361, queue:2.2722223, delay:0.2825658, throughput:1138
REAL_TEST step:50, travel time:48.476967930029154, q_loss:100, rewards:-7.4402766, queue:3.2833333, delay:0.2298221, throughput:1696
REAL_TEST step:52, travel time:157.94216261525565, q_loss:100, rewards:-5.8372197, queue:2.275, delay:0.2830591, throughput:1138
REAL_TEST step:54, travel time:158.2003352891869, q_loss:100, rewards:-5.9441657, queue:2.4083333, delay:0.28486398, throughput:1138
REAL_TEST step:56, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:58, travel time:43.6134110787172, q_loss:100, rewards:-8.508337, queue:4.172222, delay:0.24704528, throughput:1691
REAL_TEST step:60, travel time:158.07124895222128, q_loss:100, rewards:-5.903887, queue:2.4222221, delay:0.28409323, throughput:1138
REAL_TEST step:62, travel time:136.77814569536423, q_loss:100, rewards:-6.943612, queue:3.3055556, delay:0.2803046, throughput:1159
REAL_TEST step:64, travel time:97.4155749636099, q_loss:100, rewards:-7.093611, queue:3.2916667, delay:0.27031294, throughput:1329
REAL_TEST step:66, travel time:158.2003352891869, q_loss:100, rewards:-5.9441657, queue:2.4083333, delay:0.28486398, throughput:1138
REAL_TEST step:68, travel time:158.11986588432524, q_loss:100, rewards:-5.918333, queue:2.4583333, delay:0.28495196, throughput:1138
REAL_TEST step:70, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:72, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:74, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:76, travel time:158.2003352891869, q_loss:100, rewards:-5.9441657, queue:2.4083333, delay:0.28486398, throughput:1138
REAL_TEST step:78, travel time:157.91282481139984, q_loss:100, rewards:-5.83361, queue:2.2722223, delay:0.2825658, throughput:1138
REAL_TEST step:80, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:82, travel time:157.91282481139984, q_loss:100, rewards:-5.83361, queue:2.2722223, delay:0.2825658, throughput:1138
REAL_TEST step:84, travel time:43.17132867132867, q_loss:100, rewards:-8.006386, queue:3.6888888, delay:0.24057049, throughput:1695
REAL_TEST step:86, travel time:166.5157715260017, q_loss:100, rewards:-5.77722, queue:2.2555556, delay:0.18579133, throughput:1118
REAL_TEST step:88, travel time:43.44431486880467, q_loss:100, rewards:-8.111667, queue:3.8, delay:0.23541978, throughput:1703
REAL_TEST step:90, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:92, travel time:43.78950437317784, q_loss:100, rewards:-7.5847187, queue:3.375, delay:0.23043527, throughput:1696
REAL_TEST step:94, travel time:157.94216261525565, q_loss:100, rewards:-5.8372197, queue:2.275, delay:0.2830591, throughput:1138
REAL_TEST step:96, travel time:42.50320699708455, q_loss:100, rewards:-6.897498, queue:2.7277777, delay:0.21713814, throughput:1701
REAL_TEST step:98, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:100, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:102, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:104, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:106, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:108, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:110, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:112, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:114, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:116, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:118, travel time:161.52622814321398, q_loss:100, rewards:-6.751945, queue:3.1944444, delay:0.28352493, throughput:1144
REAL_TEST step:120, travel time:157.93042749371332, q_loss:100, rewards:-5.867221, queue:2.386111, delay:0.2830701, throughput:1138
