Loading cached latent encoders from pretrained/lusr/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_lusr_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:450.13370473537606, q_loss:100, rewards:-83.724396, queue:38.572224, delay:0.3091886, throughput:624
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3472223, delay:0.25637543, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.5, delay:0.17860308, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.0416666, delay:0.17100061, throughput:1138
REAL_TEST step:16, travel time:157.5968147527242, q_loss:100, rewards:-5.7611113, queue:2.2944446, delay:0.28270137, throughput:1138
REAL_TEST step:18, travel time:156.96060352053647, q_loss:100, rewards:-5.5974975, queue:1.2138889, delay:0.18557929, throughput:1138
REAL_TEST step:20, travel time:157.639564124057, q_loss:100, rewards:-5.7599998, queue:2.25, delay:0.27682307, throughput:1138
REAL_TEST step:22, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.95555556, delay:0.16234665, throughput:1138
REAL_TEST step:24, travel time:148.88547717842323, q_loss:100, rewards:-7.9186115, queue:1.1611111, delay:0.15539326, throughput:1154
REAL_TEST step:26, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.3777778, delay:0.13963911, throughput:1138
REAL_TEST step:28, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:30, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.925, delay:0.14167431, throughput:1138
REAL_TEST step:32, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.4194444, delay:0.17640893, throughput:1138
REAL_TEST step:34, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.4194444, delay:0.17640893, throughput:1138
REAL_TEST step:36, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.8777778, delay:0.23267539, throughput:1138
REAL_TEST step:38, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.9194444, delay:0.26944545, throughput:1138
REAL_TEST step:40, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.9138889, delay:0.12557676, throughput:1138
REAL_TEST step:42, travel time:158.15088013411568, q_loss:100, rewards:-5.9516654, queue:1.9055556, delay:0.25078666, throughput:1138
REAL_TEST step:44, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.9194444, delay:0.26944545, throughput:1138
REAL_TEST step:46, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.5055555, delay:0.1850629, throughput:1138
REAL_TEST step:48, travel time:156.93964794635372, q_loss:100, rewards:-5.585831, queue:2.086111, delay:0.28307557, throughput:1138
REAL_TEST step:50, travel time:45.53702623906705, q_loss:100, rewards:-7.433054, queue:2.8055556, delay:0.15434842, throughput:1690
REAL_TEST step:52, travel time:156.85163453478626, q_loss:100, rewards:-5.581944, queue:2.088889, delay:0.2846394, throughput:1138
REAL_TEST step:54, travel time:44.88396501457726, q_loss:100, rewards:-6.112498, queue:1.7888889, delay:0.15738526, throughput:1701
REAL_TEST step:56, travel time:157.639564124057, q_loss:100, rewards:-5.7599998, queue:1.2861111, delay:0.1760543, throughput:1138
REAL_TEST step:58, travel time:83.53236151603498, q_loss:100, rewards:-27.131388, queue:5.7833333, delay:0.21785654, throughput:1699
REAL_TEST step:60, travel time:166.74020442930154, q_loss:100, rewards:-5.6411104, queue:2.1111112, delay:0.2546982, throughput:1118
REAL_TEST step:62, travel time:144.49408050513023, q_loss:100, rewards:-6.731111, queue:3.1333334, delay:0.27417213, throughput:1210
REAL_TEST step:64, travel time:144.7185770750988, q_loss:100, rewards:-6.684164, queue:3.1111112, delay:0.27537456, throughput:1208
REAL_TEST step:66, travel time:157.40234702430845, q_loss:100, rewards:-5.694443, queue:2.1583333, delay:0.2636516, throughput:1138
REAL_TEST step:68, travel time:65.28215767634855, q_loss:100, rewards:-5.8325005, queue:0.61388886, delay:0.09110937, throughput:1663
REAL_TEST step:70, travel time:157.67728415758592, q_loss:100, rewards:-5.763332, queue:2.213889, delay:0.26378876, throughput:1138
REAL_TEST step:72, travel time:157.639564124057, q_loss:100, rewards:-5.7599998, queue:2.2194445, delay:0.24708663, throughput:1138
REAL_TEST step:74, travel time:157.67728415758592, q_loss:100, rewards:-5.763332, queue:1.25, delay:0.15668994, throughput:1138
REAL_TEST step:76, travel time:157.4576697401509, q_loss:100, rewards:-5.7099996, queue:2.1666667, delay:0.2771747, throughput:1138
REAL_TEST step:78, travel time:156.93964794635372, q_loss:100, rewards:-5.585831, queue:1.2027777, delay:0.17803453, throughput:1138
REAL_TEST step:80, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.95, delay:0.15588684, throughput:1138
REAL_TEST step:82, travel time:134.43022295623453, q_loss:100, rewards:-6.1875014, queue:1.3138889, delay:0.15427423, throughput:1161
REAL_TEST step:84, travel time:45.92069970845481, q_loss:100, rewards:-6.7875013, queue:2.6666667, delay:0.21365151, throughput:1702
REAL_TEST step:86, travel time:301.75817923186344, q_loss:100, rewards:-20.941658, queue:18.4, delay:0.47042647, throughput:642
REAL_TEST step:88, travel time:46.57551020408163, q_loss:100, rewards:-8.705836, queue:3.4722223, delay:0.19757383, throughput:1696
REAL_TEST step:90, travel time:157.99245599329421, q_loss:100, rewards:-5.856389, queue:2.3333333, delay:0.23953994, throughput:1138
REAL_TEST step:92, travel time:51.86763848396502, q_loss:100, rewards:-11.545837, queue:4.602778, delay:0.19807686, throughput:1689
REAL_TEST step:94, travel time:44.84723032069971, q_loss:100, rewards:-6.6030574, queue:2.6027777, delay:0.22130476, throughput:1701
