Loading cached latent encoders from pretrained/recon_baseline/presslight/ingolstadt1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_recon_baseline_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:1, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.9138889, delay:0.2629856, throughput:1138
REAL_TEST step:2, travel time:294.52423469387753, q_loss:100, rewards:-57.518288, queue:20.544445, delay:0.31267408, throughput:710
REAL_TEST step:3, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:4, travel time:118.49127516778523, q_loss:100, rewards:-6.720555, queue:2.1777778, delay:0.18998559, throughput:1438
REAL_TEST step:5, travel time:116.13333333333334, q_loss:100, rewards:-7.323894, queue:3.5305555, delay:0.30794126, throughput:1466
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:7, travel time:150.45579886455798, q_loss:100, rewards:-7.094719, queue:1.9444444, delay:0.1734906, throughput:1180
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:9, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.5055555, delay:0.1850629, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3777778, delay:0.27704784, throughput:1138
REAL_TEST step:11, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.95555556, delay:0.16234665, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.0111111, delay:0.15032823, throughput:1138
REAL_TEST step:13, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.3777778, delay:0.13963911, throughput:1138
REAL_TEST step:14, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3527777, delay:0.26283526, throughput:1138
REAL_TEST step:15, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.925, delay:0.14167431, throughput:1138
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:1.4194444, delay:0.17640893, throughput:1138
REAL_TEST step:17, travel time:68.72361516034985, q_loss:100, rewards:-6.441944, queue:1.475, delay:0.14548206, throughput:1689
REAL_TEST step:18, travel time:153.53383458646616, q_loss:100, rewards:-6.764446, queue:2.7805555, delay:0.23127672, throughput:1143
REAL_TEST step:19, travel time:447.33009708737865, q_loss:100, rewards:-83.52911, queue:52.88889, delay:0.2811353, throughput:627
REAL_TEST step:20, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:0.9138889, delay:0.12557676, throughput:1138
REAL_TEST step:21, travel time:105.74853801169591, q_loss:100, rewards:-34.58472, queue:13.266666, delay:0.26308927, throughput:1658
