Loading cached latent encoders from pretrained/recon_baseline/presslight/ingolstadt1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_recon_baseline_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:1, travel time:149.2480252764613, q_loss:100, rewards:-7.007499, queue:11.63563, delay:1.0981053, throughput:1211
REAL_TEST step:2, travel time:112.79511426319937, q_loss:100, rewards:-22.766655, queue:25.545315, delay:1.2243451, throughput:1240
REAL_TEST step:3, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:14.134817, delay:1.3677678, throughput:1138
REAL_TEST step:4, travel time:160.39411283728538, q_loss:100, rewards:-6.591943, queue:8.799553, delay:0.8020975, throughput:1168
REAL_TEST step:5, travel time:142.91595330739298, q_loss:100, rewards:-6.51528, queue:13.836808, delay:1.2881205, throughput:1235
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:12.515966, delay:1.2349708, throughput:1138
REAL_TEST step:7, travel time:165.40337552742616, q_loss:100, rewards:-5.966112, queue:10.73004, delay:1.0755895, throughput:1129
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:13.444203, delay:1.3493373, throughput:1138
REAL_TEST step:9, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:9.402729, delay:0.95468336, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:12.088883, delay:1.2013695, throughput:1138
REAL_TEST step:11, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:8.77723, delay:0.9711099, throughput:1138
REAL_TEST step:12, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:9.026622, delay:0.8997986, throughput:1138
REAL_TEST step:13, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:10.412189, delay:1.0114974, throughput:1138
REAL_TEST step:14, travel time:157.6275, q_loss:100, rewards:-6.088888, queue:11.700175, delay:1.273582, throughput:1144
REAL_TEST step:15, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:9.011801, delay:0.98081464, throughput:1138
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:10.890288, delay:0.9988734, throughput:1138
REAL_TEST step:17, travel time:112.04398625429553, q_loss:100, rewards:-6.6597238, queue:11.596864, delay:1.1732699, throughput:1405
REAL_TEST step:18, travel time:48.68163265306122, q_loss:100, rewards:-6.933891, queue:9.38726, delay:0.9743985, throughput:1681
REAL_TEST step:19, travel time:45.53236151603499, q_loss:100, rewards:-6.398054, queue:10.588548, delay:1.054445, throughput:1693
REAL_TEST step:20, travel time:59.28091872791519, q_loss:100, rewards:-6.4608364, queue:7.30759, delay:0.75821203, throughput:1669
REAL_TEST step:21, travel time:48.339754816112084, q_loss:100, rewards:-9.802219, queue:9.197226, delay:1.02505, throughput:1683
REAL_TEST step:22, travel time:51.09271137026239, q_loss:100, rewards:-12.166102, queue:11.246508, delay:0.90837514, throughput:1700
REAL_TEST step:23, travel time:97.48048624440179, q_loss:100, rewards:-7.060277, queue:12.480662, delay:1.1870577, throughput:1507
REAL_TEST step:24, travel time:59.125589622641506, q_loss:100, rewards:-6.5044446, queue:11.847518, delay:1.1278154, throughput:1653
REAL_TEST step:25, travel time:44.93236151603499, q_loss:100, rewards:-7.442224, queue:9.920879, delay:0.9033035, throughput:1699
REAL_TEST step:26, travel time:41.245481049562684, q_loss:100, rewards:-7.0763874, queue:14.18732, delay:1.3100644, throughput:1705
REAL_TEST step:27, travel time:43.16326530612245, q_loss:100, rewards:-7.060835, queue:12.637984, delay:1.1615608, throughput:1697
REAL_TEST step:28, travel time:43.08396501457726, q_loss:100, rewards:-6.76639, queue:11.553261, delay:0.9633717, throughput:1697
REAL_TEST step:29, travel time:47.49096209912536, q_loss:100, rewards:-6.6302767, queue:8.891129, delay:0.9405979, throughput:1701
REAL_TEST step:30, travel time:52.918475073313786, q_loss:100, rewards:-6.2705564, queue:13.04725, delay:1.3821558, throughput:1666
REAL_TEST step:31, travel time:55.482798833819245, q_loss:100, rewards:-6.460279, queue:13.291678, delay:1.3578604, throughput:1693
REAL_TEST step:32, travel time:56.07218309859155, q_loss:100, rewards:-6.728888, queue:13.849512, delay:1.3318884, throughput:1670
REAL_TEST step:33, travel time:46.44839650145773, q_loss:100, rewards:-6.3686094, queue:9.961881, delay:0.991015, throughput:1704
REAL_TEST step:34, travel time:124.17091152815013, q_loss:100, rewards:-8.371668, queue:12.361133, delay:1.00633, throughput:1438
REAL_TEST step:35, travel time:47.587755102040816, q_loss:100, rewards:-6.155835, queue:11.198435, delay:1.0775312, throughput:1699
REAL_TEST step:36, travel time:43.89096209912537, q_loss:100, rewards:-6.767501, queue:10.789279, delay:1.0667874, throughput:1704
REAL_TEST step:37, travel time:95.25490196078431, q_loss:100, rewards:-6.962222, queue:9.374532, delay:0.9410312, throughput:1581
REAL_TEST step:38, travel time:63.352975839717146, q_loss:100, rewards:-6.670556, queue:11.153377, delay:1.0834448, throughput:1648
REAL_TEST step:39, travel time:116.03366336633664, q_loss:100, rewards:-6.681112, queue:11.554903, delay:1.0892309, throughput:1461
REAL_TEST step:40, travel time:83.6833836858006, q_loss:100, rewards:-6.6361103, queue:8.839617, delay:0.9179916, throughput:1602
REAL_TEST step:41, travel time:73.39847864248098, q_loss:100, rewards:-6.6416655, queue:9.3175745, delay:0.95015955, throughput:1682
REAL_TEST step:42, travel time:50.89504373177842, q_loss:100, rewards:-6.214725, queue:11.120943, delay:1.0912007, throughput:1697
REAL_TEST step:43, travel time:139.38897396630935, q_loss:100, rewards:-6.5302777, queue:11.325716, delay:1.0550653, throughput:1247
REAL_TEST step:44, travel time:52.02332361516035, q_loss:100, rewards:-6.336944, queue:12.201605, delay:1.142763, throughput:1698
REAL_TEST step:45, travel time:48.78309037900875, q_loss:100, rewards:-6.1494465, queue:9.77319, delay:0.96922106, throughput:1680
REAL_TEST step:46, travel time:41.50903790087464, q_loss:100, rewards:-7.1372232, queue:11.239771, delay:0.9843368, throughput:1702
REAL_TEST step:47, travel time:43.03848396501458, q_loss:100, rewards:-6.7355566, queue:13.426928, delay:1.3183231, throughput:1700
REAL_TEST step:48, travel time:53.46472303206997, q_loss:100, rewards:-6.57028, queue:12.221458, delay:1.2402136, throughput:1692
REAL_TEST step:49, travel time:55.15, q_loss:100, rewards:-6.7327785, queue:11.295756, delay:1.0582371, throughput:1660
REAL_TEST step:50, travel time:44.44256559766764, q_loss:100, rewards:-6.5427794, queue:10.903592, delay:1.0633502, throughput:1704
REAL_TEST step:51, travel time:59.9877121123464, q_loss:100, rewards:-6.8122225, queue:11.529641, delay:1.1137035, throughput:1681
REAL_TEST step:52, travel time:60.03642773207991, q_loss:100, rewards:-6.3938875, queue:13.413687, delay:1.314715, throughput:1657
REAL_TEST step:53, travel time:53.01457725947522, q_loss:100, rewards:-6.5347223, queue:11.117138, delay:1.0394623, throughput:1698
