Loading cached latent encoders from pretrained/vae_embedding/presslight/ingolstadt1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt1/baseline_v1_vae_s0/model/ingolstadt1_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:4, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:6, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:8, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:10, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:12, travel time:53.67813411078717, q_loss:100, rewards:-9.336948, queue:5.475, delay:0.23210813, throughput:1697
REAL_TEST step:14, travel time:52.94227405247813, q_loss:100, rewards:-13.236395, queue:9.297222, delay:0.23336585, throughput:1701
REAL_TEST step:16, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:18, travel time:52.695043731778426, q_loss:100, rewards:-12.376387, queue:8.363889, delay:0.28154248, throughput:1699
REAL_TEST step:20, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:22, travel time:55.588921282798836, q_loss:100, rewards:-13.834162, queue:9.7722225, delay:0.2832374, throughput:1703
REAL_TEST step:24, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:26, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:28, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:30, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:32, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:34, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:36, travel time:36.59416909620991, q_loss:100, rewards:-5.4974985, queue:1.5222223, delay:0.14246069, throughput:1701
REAL_TEST step:38, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:40, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:42, travel time:36.18542274052478, q_loss:100, rewards:-5.64083, queue:1.7, delay:0.14425671, throughput:1703
REAL_TEST step:44, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:46, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:48, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:50, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:52, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:54, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:56, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:58, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:60, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:62, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:64, travel time:68.98711189220856, q_loss:100, rewards:-6.871388, queue:3.0694444, delay:0.23780206, throughput:1673
REAL_TEST step:66, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:68, travel time:77.95518867924528, q_loss:100, rewards:-7.585, queue:3.7333333, delay:0.25163808, throughput:1644
REAL_TEST step:70, travel time:83.86307053941908, q_loss:100, rewards:-7.4797173, queue:3.6416667, delay:0.24669807, throughput:1639
REAL_TEST step:72, travel time:82.26081871345029, q_loss:100, rewards:-7.521942, queue:3.6416667, delay:0.25140294, throughput:1676
REAL_TEST step:74, travel time:51.1935860058309, q_loss:100, rewards:-6.660277, queue:2.7222223, delay:0.21909207, throughput:1684
REAL_TEST step:76, travel time:121.8536409516943, q_loss:100, rewards:-5.600555, queue:1.9888889, delay:0.20158024, throughput:1335
REAL_TEST step:78, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:80, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:82, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:84, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:86, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:88, travel time:158.18524727577537, q_loss:100, rewards:-5.9174995, queue:2.3833334, delay:0.28350767, throughput:1138
REAL_TEST step:90, travel time:41.23790087463557, q_loss:100, rewards:-5.747777, queue:1.8694445, delay:0.17767656, throughput:1702
REAL_TEST step:92, travel time:42.197084548104954, q_loss:100, rewards:-5.8675003, queue:2.0055556, delay:0.1838821, throughput:1704
REAL_TEST step:94, travel time:37.43731778425656, q_loss:100, rewards:-5.6961107, queue:1.7555555, delay:0.1502569, throughput:1702
REAL_TEST step:96, travel time:36.63848396501458, q_loss:100, rewards:-5.684165, queue:1.7138889, delay:0.15436158, throughput:1703
REAL_TEST step:98, travel time:37.61865889212828, q_loss:100, rewards:-5.864998, queue:1.8805555, delay:0.15081257, throughput:1704
REAL_TEST step:100, travel time:37.61865889212828, q_loss:100, rewards:-5.864998, queue:1.8805555, delay:0.15081257, throughput:1704
REAL_TEST step:102, travel time:36.81399416909621, q_loss:100, rewards:-5.6691637, queue:1.6805556, delay:0.14476824, throughput:1704
REAL_TEST step:104, travel time:37.44314868804665, q_loss:100, rewards:-5.8872213, queue:1.8472222, delay:0.14776844, throughput:1703
REAL_TEST step:106, travel time:36.63848396501458, q_loss:100, rewards:-5.684165, queue:1.7138889, delay:0.15436158, throughput:1703
REAL_TEST step:108, travel time:37.011661807580175, q_loss:100, rewards:-5.749719, queue:1.7638888, delay:0.15051357, throughput:1704
REAL_TEST step:110, travel time:37.14927113702624, q_loss:100, rewards:-5.7449985, queue:1.7638888, delay:0.15004168, throughput:1703
REAL_TEST step:112, travel time:37.98542274052478, q_loss:100, rewards:-5.7686114, queue:1.8777778, delay:0.15161628, throughput:1701
REAL_TEST step:114, travel time:81.78811065332549, q_loss:100, rewards:-7.365553, queue:3.4222221, delay:0.24025258, throughput:1669
REAL_TEST step:116, travel time:41.15685131195335, q_loss:100, rewards:-5.932776, queue:2.0305555, delay:0.16678701, throughput:1702
REAL_TEST step:118, travel time:37.17142857142857, q_loss:100, rewards:-5.7627783, queue:1.8555555, delay:0.14797571, throughput:1705
REAL_TEST step:120, travel time:38.80874635568513, q_loss:100, rewards:-5.8288875, queue:1.9305556, delay:0.14854643, throughput:1702
