Loading cached latent encoders from pretrained/atc/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_atc_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:1221.5867537313434, q_loss:100, rewards:-70.2539, queue:30.332764, delay:1.3946551, throughput:530
REAL_TEST step:4, travel time:1423.145029239766, q_loss:100, rewards:-76.86695, queue:28.263027, delay:1.388801, throughput:403
REAL_TEST step:6, travel time:1231.3936507936507, q_loss:100, rewards:-66.43304, queue:25.574036, delay:1.34479, throughput:517
REAL_TEST step:8, travel time:435.8167082294264, q_loss:100, rewards:-24.967215, queue:26.378618, delay:1.3209789, throughput:1293
REAL_TEST step:10, travel time:656.3082352941176, q_loss:100, rewards:-31.694727, queue:26.666426, delay:1.3427844, throughput:836
REAL_TEST step:12, travel time:658.7096530920061, q_loss:100, rewards:-41.24638, queue:28.291996, delay:1.3188052, throughput:868
REAL_TEST step:14, travel time:479.5447098976109, q_loss:100, rewards:-33.289715, queue:24.90637, delay:1.2991784, throughput:1114
REAL_TEST step:16, travel time:725.1808681672026, q_loss:100, rewards:-39.104713, queue:27.517965, delay:1.3238302, throughput:757
REAL_TEST step:18, travel time:688.5696400625978, q_loss:100, rewards:-35.837772, queue:27.035696, delay:1.3434205, throughput:805
REAL_TEST step:20, travel time:392.3654467168999, q_loss:100, rewards:-47.09943, queue:23.175957, delay:1.3333453, throughput:1538
REAL_TEST step:22, travel time:406.947247706422, q_loss:100, rewards:-40.95945, queue:24.470121, delay:1.3456055, throughput:1410
REAL_TEST step:24, travel time:521.5211267605633, q_loss:100, rewards:-47.43722, queue:28.103785, delay:1.3174765, throughput:1201
REAL_TEST step:26, travel time:598.3788373612018, q_loss:100, rewards:-33.738598, queue:27.831423, delay:1.3156853, throughput:1059
REAL_TEST step:28, travel time:720.2188905547226, q_loss:100, rewards:-41.63611, queue:28.484875, delay:1.3273264, throughput:824
REAL_TEST step:30, travel time:659.4964838255977, q_loss:100, rewards:-44.422768, queue:27.980984, delay:1.2950623, throughput:933
REAL_TEST step:32, travel time:621.4904862579281, q_loss:100, rewards:-29.271942, queue:26.72469, delay:1.3315209, throughput:943
REAL_TEST step:34, travel time:600.8037790697674, q_loss:100, rewards:-28.320543, queue:26.017044, delay:1.2960316, throughput:937
REAL_TEST step:36, travel time:648.884047267356, q_loss:100, rewards:-25.184435, queue:26.273779, delay:1.3155211, throughput:878
REAL_TEST step:38, travel time:682.8318452380952, q_loss:100, rewards:-34.070824, queue:27.15493, delay:1.3033832, throughput:851
REAL_TEST step:40, travel time:749.16476841306, q_loss:100, rewards:-39.043606, queue:28.268068, delay:1.3154827, throughput:799
REAL_TEST step:42, travel time:729.5679875679875, q_loss:100, rewards:-33.3586, queue:27.787485, delay:1.3104568, throughput:796
REAL_TEST step:44, travel time:654.4056809905317, q_loss:100, rewards:-36.53027, queue:28.02952, delay:1.3152618, throughput:886
REAL_TEST step:46, travel time:699.8774811772759, q_loss:100, rewards:-45.088608, queue:30.125784, delay:1.3168144, throughput:902
REAL_TEST step:48, travel time:968.8169014084507, q_loss:100, rewards:-56.269146, queue:34.380367, delay:1.3423501, throughput:728
REAL_TEST step:50, travel time:760.0819444444444, q_loss:100, rewards:-50.84221, queue:30.773525, delay:1.332043, throughput:857
REAL_TEST step:52, travel time:811.1447010869565, q_loss:100, rewards:-56.231113, queue:32.18531, delay:1.362561, throughput:869
REAL_TEST step:54, travel time:797.0707512764405, q_loss:100, rewards:-61.20139, queue:31.344048, delay:1.3601288, throughput:852
REAL_TEST step:56, travel time:847.9586776859504, q_loss:100, rewards:-68.51861, queue:32.359444, delay:1.3496393, throughput:809
REAL_TEST step:58, travel time:699.7762001352265, q_loss:100, rewards:-43.334988, queue:28.95956, delay:1.3385271, throughput:930
REAL_TEST step:60, travel time:1048.4902874902875, q_loss:100, rewards:-67.28222, queue:34.13852, delay:1.3726124, throughput:710
REAL_TEST step:62, travel time:1089.2837398373983, q_loss:100, rewards:-84.46721, queue:33.1616, delay:1.3759414, throughput:690
REAL_TEST step:64, travel time:993.7085201793722, q_loss:100, rewards:-65.26777, queue:33.121826, delay:1.373715, throughput:774
REAL_TEST step:66, travel time:687.5983236621535, q_loss:100, rewards:-50.351944, queue:29.560627, delay:1.3332227, throughput:1025
REAL_TEST step:68, travel time:639.6225425950197, q_loss:100, rewards:-36.545265, queue:27.308748, delay:1.3226067, throughput:1030
REAL_TEST step:70, travel time:743.0054794520548, q_loss:100, rewards:-43.730267, queue:28.380165, delay:1.320915, throughput:961
REAL_TEST step:72, travel time:663.7868403015764, q_loss:100, rewards:-40.00944, queue:27.87602, delay:1.336984, throughput:997
REAL_TEST step:74, travel time:697.4876325088339, q_loss:100, rewards:-44.637775, queue:27.733488, delay:1.324691, throughput:964
REAL_TEST step:76, travel time:766.2256055363322, q_loss:100, rewards:-40.090546, queue:28.558382, delay:1.3393464, throughput:935
REAL_TEST step:78, travel time:791.807326007326, q_loss:100, rewards:-43.40943, queue:29.276388, delay:1.339476, throughput:857
REAL_TEST step:80, travel time:839.8556998556999, q_loss:100, rewards:-46.90611, queue:30.028162, delay:1.3555936, throughput:875
REAL_TEST step:82, travel time:832.5156819839533, q_loss:100, rewards:-53.93415, queue:29.754248, delay:1.3393623, throughput:875
REAL_TEST step:84, travel time:891.1098181818181, q_loss:100, rewards:-54.45972, queue:31.716286, delay:1.3577567, throughput:838
REAL_TEST step:86, travel time:861.377519379845, q_loss:100, rewards:-48.61027, queue:28.851622, delay:1.3490753, throughput:810
REAL_TEST step:88, travel time:970.112283345893, q_loss:100, rewards:-53.346382, queue:31.83576, delay:1.3605636, throughput:793
REAL_TEST step:90, travel time:934.5460385438972, q_loss:100, rewards:-53.122494, queue:34.30819, delay:1.3567524, throughput:823
REAL_TEST step:92, travel time:762.9593663911845, q_loss:100, rewards:-47.778896, queue:29.541862, delay:1.3471473, throughput:929
REAL_TEST step:94, travel time:989.2857142857143, q_loss:100, rewards:-45.82166, queue:34.71228, delay:1.3797766, throughput:763
REAL_TEST step:96, travel time:850.7101980924432, q_loss:100, rewards:-48.249435, queue:29.971472, delay:1.34035, throughput:835
