Loading cached latent encoders from pretrained/darla/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_darla_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:937.4450101832994, q_loss:100, rewards:-53.807774, queue:9.240477, delay:0.20741306, throughput:509
REAL_TEST step:4, travel time:1413.0678119349006, q_loss:100, rewards:-57.081955, queue:20.080158, delay:0.24767974, throughput:438
REAL_TEST step:6, travel time:1699.6074168797954, q_loss:100, rewards:-81.09972, queue:14.41746, delay:0.2782872, throughput:300
REAL_TEST step:8, travel time:1138.8494809688582, q_loss:100, rewards:-63.77445, queue:14.845634, delay:0.21323189, throughput:671
REAL_TEST step:10, travel time:1483.1589805825242, q_loss:100, rewards:-63.94805, queue:9.35873, delay:0.1999367, throughput:383
REAL_TEST step:12, travel time:1554.607638888889, q_loss:100, rewards:-65.53667, queue:16.452778, delay:0.27245724, throughput:380
REAL_TEST step:14, travel time:992.2005597014926, q_loss:100, rewards:-50.009724, queue:12.724206, delay:0.18635961, throughput:667
REAL_TEST step:16, travel time:1424.5454545454545, q_loss:100, rewards:-56.76583, queue:13.227381, delay:0.2242178, throughput:373
REAL_TEST step:18, travel time:926.3875365141188, q_loss:100, rewards:-65.198616, queue:10.850397, delay:0.24181606, throughput:681
REAL_TEST step:20, travel time:1526.0704057279236, q_loss:100, rewards:-74.11361, queue:11.606746, delay:0.22335355, throughput:383
REAL_TEST step:22, travel time:467.764238410596, q_loss:100, rewards:-43.9225, queue:6.699603, delay:0.18247473, throughput:1209
REAL_TEST step:24, travel time:1027.0232766338406, q_loss:100, rewards:-69.09083, queue:11.963096, delay:0.27818325, throughput:635
REAL_TEST step:26, travel time:385.25779036827197, q_loss:100, rewards:-41.520832, queue:4.75, delay:0.14412963, throughput:1419
REAL_TEST step:28, travel time:380.1948669201521, q_loss:100, rewards:-54.78085, queue:5.325, delay:0.19209051, throughput:1857
REAL_TEST step:30, travel time:916.3399390243902, q_loss:100, rewards:-50.233883, queue:10.557143, delay:0.2371024, throughput:828
REAL_TEST step:32, travel time:503.1296572280179, q_loss:100, rewards:-37.179455, queue:9.107142, delay:0.19257255, throughput:1129
