Loading cached latent encoders from pretrained/darla/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_darla_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=combine1
REAL_TEST step:2, travel time:711.4667709147772, q_loss:100, rewards:-49.148056, queue:21.916061, delay:1.2907482, throughput:823
REAL_TEST step:4, travel time:964.1974281391831, q_loss:100, rewards:-52.350266, queue:31.382875, delay:1.3734766, throughput:765
REAL_TEST step:6, travel time:1329.6608427543679, q_loss:100, rewards:-56.89694, queue:29.211397, delay:1.2492353, throughput:367
REAL_TEST step:8, travel time:804.9376854599407, q_loss:100, rewards:-38.7825, queue:26.355291, delay:1.2670178, throughput:821
REAL_TEST step:10, travel time:816.1420408163266, q_loss:100, rewards:-29.661106, queue:23.987041, delay:1.2736192, throughput:737
REAL_TEST step:12, travel time:872.6975772765246, q_loss:100, rewards:-31.093603, queue:26.15098, delay:1.2823455, throughput:709
REAL_TEST step:14, travel time:810.7428817946505, q_loss:100, rewards:-35.790833, queue:25.54165, delay:1.1554172, throughput:748
REAL_TEST step:16, travel time:728.8906882591093, q_loss:100, rewards:-34.72972, queue:25.222342, delay:1.219983, throughput:830
REAL_TEST step:18, travel time:696.9598021026593, q_loss:100, rewards:-35.98306, queue:26.663126, delay:1.3310384, throughput:1113
REAL_TEST step:20, travel time:181.72292724196276, q_loss:100, rewards:-22.413055, queue:13.857444, delay:1.152824, throughput:2222
REAL_TEST step:22, travel time:630.6242774566474, q_loss:100, rewards:-32.15973, queue:22.13794, delay:1.2594463, throughput:1209
REAL_TEST step:24, travel time:295.33155792276966, q_loss:100, rewards:-30.335276, queue:18.471153, delay:1.2745808, throughput:1955
REAL_TEST step:26, travel time:244.03100436681223, q_loss:100, rewards:-17.075277, queue:16.375095, delay:1.1871051, throughput:2076
REAL_TEST step:28, travel time:292.16065073716317, q_loss:100, rewards:-24.123608, queue:19.390175, delay:1.2257732, throughput:1765
REAL_TEST step:30, travel time:130.2455871066769, q_loss:100, rewards:-15.449723, queue:13.910516, delay:1.1616092, throughput:2470
REAL_TEST step:32, travel time:154.0952567620541, q_loss:100, rewards:-22.568333, queue:14.999667, delay:1.2138829, throughput:2418
REAL_TEST step:34, travel time:194.44529262086513, q_loss:100, rewards:-24.071667, queue:16.556295, delay:1.1765788, throughput:2193
REAL_TEST step:36, travel time:126.61796957905908, q_loss:100, rewards:-18.804169, queue:15.124742, delay:1.234862, throughput:2705
REAL_TEST step:38, travel time:178.2751124437781, q_loss:100, rewards:-32.05195, queue:16.398468, delay:1.1633875, throughput:2347
REAL_TEST step:40, travel time:170.25103969754252, q_loss:100, rewards:-29.011114, queue:17.28158, delay:1.207427, throughput:2507
REAL_TEST step:42, travel time:487.3805584281282, q_loss:100, rewards:-29.126669, queue:24.111479, delay:1.2763197, throughput:1423
REAL_TEST step:44, travel time:143.9623352165725, q_loss:100, rewards:-20.324165, queue:16.146082, delay:1.2438965, throughput:2518
REAL_TEST step:46, travel time:123.77345701034606, q_loss:100, rewards:-21.476946, queue:15.190033, delay:1.1952603, throughput:2693
REAL_TEST step:48, travel time:193.69464767038892, q_loss:100, rewards:-27.090275, queue:16.926807, delay:1.2306995, throughput:2410
REAL_TEST step:50, travel time:792.5894117647059, q_loss:100, rewards:-48.61832, queue:27.955692, delay:1.2705073, throughput:1139
REAL_TEST step:52, travel time:146.16868353502016, q_loss:100, rewards:-22.246666, queue:16.114143, delay:1.2129251, throughput:2566
REAL_TEST step:54, travel time:268.8266978922717, q_loss:100, rewards:-34.95056, queue:20.172014, delay:1.3134521, throughput:2084
REAL_TEST step:56, travel time:128.0854671280277, q_loss:100, rewards:-26.723057, queue:14.877474, delay:1.1547642, throughput:2759
REAL_TEST step:58, travel time:177.18695965417868, q_loss:100, rewards:-27.613613, queue:17.256338, delay:1.254311, throughput:2410
REAL_TEST step:60, travel time:197.68474148802017, q_loss:100, rewards:-21.335836, queue:19.360483, delay:1.257779, throughput:2151
REAL_TEST step:62, travel time:116.26514886164624, q_loss:100, rewards:-20.446667, queue:14.875065, delay:1.2198403, throughput:2727
REAL_TEST step:64, travel time:117.2603591160221, q_loss:100, rewards:-21.357225, queue:14.901535, delay:1.2320161, throughput:2796
REAL_TEST step:66, travel time:747.4304709141275, q_loss:100, rewards:-50.166668, queue:28.733454, delay:1.3483621, throughput:1189
REAL_TEST step:68, travel time:155.04312777106006, q_loss:100, rewards:-20.617228, queue:15.439996, delay:1.2248123, throughput:2368
REAL_TEST step:70, travel time:135.21828358208955, q_loss:100, rewards:-18.2775, queue:14.892216, delay:1.2070849, throughput:2553
REAL_TEST step:72, travel time:133.37558348294434, q_loss:100, rewards:-19.827501, queue:15.26686, delay:1.2269766, throughput:2653
REAL_TEST step:74, travel time:233.88251001335112, q_loss:100, rewards:-19.663887, queue:19.217924, delay:1.1497707, throughput:2082
REAL_TEST step:76, travel time:230.1455720258457, q_loss:100, rewards:-30.956667, queue:19.627184, delay:1.294011, throughput:2356
REAL_TEST step:78, travel time:248.11896207584832, q_loss:100, rewards:-24.039995, queue:20.707846, delay:1.2244513, throughput:2219
REAL_TEST step:80, travel time:134.81543385490755, q_loss:100, rewards:-19.03139, queue:15.772922, delay:1.2401022, throughput:2682
REAL_TEST step:82, travel time:127.68078617417825, q_loss:100, rewards:-25.166666, queue:16.014427, delay:1.2564483, throughput:2782
REAL_TEST step:84, travel time:127.1812456263121, q_loss:100, rewards:-20.878891, queue:15.041605, delay:1.2027586, throughput:2741
REAL_TEST step:86, travel time:171.57193119624708, q_loss:100, rewards:-25.008055, queue:17.679321, delay:1.2401793, throughput:2386
REAL_TEST step:88, travel time:223.98888888888888, q_loss:100, rewards:-33.300278, queue:16.798615, delay:1.2241327, throughput:2238
REAL_TEST step:90, travel time:132.59324522760647, q_loss:100, rewards:-20.762218, queue:14.530801, delay:1.1574202, throughput:2595
REAL_TEST step:92, travel time:167.4183933115231, q_loss:100, rewards:-37.05139, queue:16.423958, delay:1.2148052, throughput:2568
REAL_TEST step:94, travel time:164.08579668348955, q_loss:100, rewards:-34.121105, queue:16.961311, delay:1.2486227, throughput:2605
REAL_TEST step:96, travel time:309.1901185770751, q_loss:100, rewards:-46.72251, queue:20.415974, delay:1.1840138, throughput:2193
REAL_TEST step:98, travel time:720.5883306320908, q_loss:100, rewards:-44.109722, queue:27.091108, delay:1.2529572, throughput:1302
REAL_TEST step:100, travel time:628.3447408152995, q_loss:100, rewards:-44.208893, queue:26.777145, delay:1.3060796, throughput:1449
REAL_TEST step:102, travel time:842.7916894477856, q_loss:100, rewards:-56.339436, queue:32.30923, delay:1.3257359, throughput:1279
REAL_TEST step:104, travel time:918.0674807197944, q_loss:100, rewards:-47.158615, queue:32.358826, delay:1.3165776, throughput:958
REAL_TEST step:106, travel time:896.01171875, q_loss:100, rewards:-44.241955, queue:31.133104, delay:1.2987646, throughput:945
REAL_TEST step:108, travel time:726.5960154952961, q_loss:100, rewards:-43.69557, queue:27.675753, delay:1.281039, throughput:1254
REAL_TEST step:110, travel time:528.0572171651495, q_loss:100, rewards:-54.573067, queue:24.826288, delay:1.3087118, throughput:1692
REAL_TEST step:112, travel time:707.0028985507247, q_loss:100, rewards:-50.772766, queue:30.280289, delay:1.3173212, throughput:1129
REAL_TEST step:114, travel time:775.0268111808329, q_loss:100, rewards:-66.96443, queue:31.532743, delay:1.3406544, throughput:1126
REAL_TEST step:116, travel time:717.8465539661898, q_loss:100, rewards:-78.43779, queue:30.352474, delay:1.3103557, throughput:1012
REAL_TEST step:118, travel time:384.2957081545064, q_loss:100, rewards:-62.72222, queue:23.38358, delay:1.2829121, throughput:1796
REAL_TEST step:120, travel time:506.4471218206158, q_loss:100, rewards:-73.3114, queue:27.828503, delay:1.3449998, throughput:1683
REAL_TEST step:122, travel time:443.35144170497284, q_loss:100, rewards:-67.02417, queue:25.017326, delay:1.3010015, throughput:1770
REAL_TEST step:124, travel time:755.2731508444962, q_loss:100, rewards:-68.61418, queue:30.89708, delay:1.3006159, throughput:1081
REAL_TEST step:126, travel time:613.8192272309108, q_loss:100, rewards:-73.51444, queue:31.297955, delay:1.3439634, throughput:1503
