replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_domain_randomization_s0/model/ingolstadt7_noise5_presslight_domain_randomization -> eval real_setting=noise3
REAL_TEST step:3, travel time:387.3293464331482, q_loss:100, rewards:-45.99166, queue:21.048044, delay:1.3226715, throughput:1876
REAL_TEST step:6, travel time:242.062890625, q_loss:100, rewards:-39.24916, queue:18.083433, delay:1.3190354, throughput:2254
REAL_TEST step:9, travel time:232.4086651053864, q_loss:100, rewards:-37.375835, queue:17.925444, delay:1.2926112, throughput:2354
REAL_TEST step:12, travel time:183.11236377301765, q_loss:100, rewards:-30.215834, queue:17.15651, delay:1.3073148, throughput:2492
REAL_TEST step:15, travel time:341.52097902097904, q_loss:100, rewards:-25.647482, queue:24.231314, delay:1.3361515, throughput:1783
REAL_TEST step:18, travel time:221.92960844698635, q_loss:100, rewards:-22.892502, queue:16.835783, delay:1.2929085, throughput:2106
REAL_TEST step:21, travel time:264.92382639503984, q_loss:100, rewards:-27.947775, queue:17.187231, delay:1.2932246, throughput:2056
REAL_TEST step:24, travel time:238.8656858092074, q_loss:100, rewards:-17.906946, queue:17.123854, delay:1.2777624, throughput:1942
REAL_TEST step:27, travel time:183.08253438932888, q_loss:100, rewards:-20.473612, queue:16.149992, delay:1.3048323, throughput:2251
REAL_TEST step:30, travel time:228.48275862068965, q_loss:100, rewards:-24.246387, queue:19.179438, delay:1.3251234, throughput:2498
REAL_TEST step:33, travel time:193.0431974162293, q_loss:100, rewards:-21.663887, queue:15.898478, delay:1.3082844, throughput:2311
REAL_TEST step:36, travel time:437.04008908685967, q_loss:100, rewards:-32.631943, queue:23.055582, delay:1.3095391, throughput:1481
REAL_TEST step:39, travel time:241.25596816976127, q_loss:100, rewards:-25.110834, queue:17.439152, delay:1.2913556, throughput:2074
REAL_TEST step:42, travel time:205.23788546255506, q_loss:100, rewards:-19.697216, queue:16.623228, delay:1.2870537, throughput:2125
REAL_TEST step:45, travel time:238.21910388970952, q_loss:100, rewards:-21.597776, queue:16.110802, delay:1.2578462, throughput:1872
REAL_TEST step:48, travel time:190.49687987519502, q_loss:100, rewards:-20.504997, queue:17.278225, delay:1.3059669, throughput:2375
REAL_TEST step:51, travel time:498.6861094407697, q_loss:100, rewards:-23.347225, queue:24.331112, delay:1.2902572, throughput:1373
REAL_TEST step:54, travel time:163.13876576883737, q_loss:100, rewards:-24.45222, queue:17.936184, delay:1.3036119, throughput:2760
REAL_TEST step:57, travel time:448.18619934282583, q_loss:100, rewards:-24.195549, queue:24.038334, delay:1.3021553, throughput:1491
REAL_TEST step:60, travel time:460.9769533445756, q_loss:100, rewards:-24.59499, queue:24.77758, delay:1.3026637, throughput:1418
REAL_TEST step:63, travel time:611.1232786885246, q_loss:100, rewards:-27.817774, queue:26.003092, delay:1.3081945, throughput:1097
REAL_TEST step:66, travel time:184.74513054289267, q_loss:100, rewards:-18.20471, queue:18.000288, delay:1.2797831, throughput:2305
REAL_TEST step:69, travel time:428.3649373881932, q_loss:100, rewards:-22.123055, queue:23.432869, delay:1.2796881, throughput:1401
REAL_TEST step:72, travel time:203.9509385665529, q_loss:100, rewards:-22.98194, queue:19.276396, delay:1.2788178, throughput:2159
REAL_TEST step:75, travel time:370.1916846652268, q_loss:100, rewards:-22.344444, queue:23.15066, delay:1.2835473, throughput:1607
REAL_TEST step:78, travel time:492.38398486759144, q_loss:100, rewards:-22.244995, queue:24.164083, delay:1.3118882, throughput:1309
REAL_TEST step:81, travel time:273.4803611738149, q_loss:100, rewards:-21.807774, queue:18.598162, delay:1.3163174, throughput:1968
REAL_TEST step:84, travel time:497.0460448642267, q_loss:100, rewards:-23.961935, queue:24.024485, delay:1.3032172, throughput:1344
REAL_TEST step:87, travel time:581.9727157360406, q_loss:100, rewards:-25.399446, queue:25.070438, delay:1.3190807, throughput:1189
REAL_TEST step:90, travel time:636.1965865992414, q_loss:100, rewards:-24.292482, queue:25.773994, delay:1.3411511, throughput:1139
REAL_TEST step:93, travel time:462.8472468916519, q_loss:100, rewards:-22.776392, queue:23.534597, delay:1.3250734, throughput:1364
REAL_TEST step:96, travel time:586.9288047028086, q_loss:100, rewards:-23.110273, queue:24.86365, delay:1.322261, throughput:1098
REAL_TEST step:99, travel time:443.87550665894616, q_loss:100, rewards:-22.413607, queue:23.009722, delay:1.2969519, throughput:1388
REAL_TEST step:102, travel time:419.0989259468626, q_loss:100, rewards:-19.48555, queue:23.027828, delay:1.2846045, throughput:1451
REAL_TEST step:105, travel time:531.7152982870643, q_loss:100, rewards:-25.764988, queue:24.803265, delay:1.2943268, throughput:1311
